Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
14/10/2019,19.65,19.69,19.65,19.65,0.14,0.72,92333
15/10/2019,19.66,19.72,19.65,19.71,0.06,0.31,104741
16/10/2019,19.95,20,19.94,19.98,0.27,1.37,144109
17/10/2019,19.93,19.94,19.83,19.84,-0.14,-0.7,62860
18/10/2019,19.74,19.75,19.69,19.7,-0.14,-0.71,111827
21/10/2019,19.53,19.55,19.51,19.52,-0.18,-0.91,51638
22/10/2019,19.61,19.68,19.6,19.65,0.13,0.67,69098
23/10/2019,19.42,19.44,19.32,19.43,-0.22,-1.12,87261
24/10/2019,19.6,19.62,19.58,19.62,0.19,0.98,50793
25/10/2019,19.71,19.75,19.69,19.74,0.12,0.61,75845
28/10/2019,20,20.06,20,20.04,0.3,1.52,88491
29/10/2019,20.09,20.12,20.06,20.07,0.03,0.15,193019
30/10/2019,19.92,19.93,19.86,19.9,-0.17,-0.85,114626
31/10/2019,19.94,19.96,19.86,19.88,-0.02,-0.1,122519
01/11/2019,19.91,19.94,19.89,19.93,0.05,0.25,59917
04/11/2019,20.06,20.08,20.03,20.07,0.14,0.7,224698
05/11/2019,20.25,20.3,20.22,20.24,0.17,0.85,176594
06/11/2019,20.21,20.23,20.17,20.19,-0.05,-0.25,114379
07/11/2019,20.23,20.25,20.21,20.24,0.05,0.25,117123
08/11/2019,20.25,20.27,20.22,20.22,-0.02,-0.1,221787
11/11/2019,20.41,20.43,20.36,20.38,0.16,0.79,104552
12/11/2019,20.45,20.45,20.39,20.42,0.04,0.2,130035
13/11/2019,20.51,20.51,20.43,20.45,0.03,0.15,159342
14/11/2019,20.51,20.64,20.49,20.61,0.16,0.78,242537
15/11/2019,20.67,20.75,20.66,20.71,0.1,0.49,175049
18/11/2019,20.71,20.72,20.66,20.72,0.01,0.05,169781
19/11/2019,20.77,20.85,20.75,20.84,0.12,0.58,126874
20/11/2019,20.72,20.72,20.66,20.69,-0.15,-0.72,132485
21/11/2019,20.68,20.69,20.59,20.64,-0.05,-0.24,148743
22/11/2019,20.71,20.74,20.66,20.74,0.1,0.48,54538
25/11/2019,20.75,20.76,20.73,20.75,0.01,0.05,88745
26/11/2019,20.96,21.06,20.96,20.99,0.24,1.16,148795
27/11/2019,21.01,21.09,20.99,21.08,0.09,0.43,114518
28/11/2019,21.19,21.19,21.11,21.15,0.07,0.33,142375
29/11/2019,21.16,21.2,21.09,21.11,-0.04,-0.19,128056
02/12/2019,21.12,21.2,21.12,21.17,0.06,0.28,96148
03/12/2019,20.7,20.73,20.64,20.67,-0.5,-2.36,179752
04/12/2019,20.47,20.56,20.43,20.55,-0.12,-0.58,148187
05/12/2019,20.58,20.61,20.55,20.6,0.05,0.24,204050
06/12/2019,20.66,20.7,20.65,20.66,0.06,0.29,126512
09/12/2019,20.88,20.89,20.82,20.85,0.19,0.92,143109
10/12/2019,20.8,20.81,20.77,20.81,-0.04,-0.19,83712
