Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
29/01/2021,28.4,28.43,28.09,28.14,-0.14,-0.5,351824
28/01/2021,28.22,28.42,28.05,28.28,-0.72,-2.48,619138
27/01/2021,28.99,29.14,28.9,29,0.2,0.69,416590
25/01/2021,28.61,28.87,28.61,28.8,0.26,0.91,322033
22/01/2021,28.55,28.57,28.5,28.54,0.03,0.11,255749
21/01/2021,28.12,28.54,28.12,28.51,0.57,2.04,458356
20/01/2021,28.02,28.07,27.93,27.94,0.2,0.72,226663
19/01/2021,27.58,27.79,27.5,27.74,0.24,0.87,299450
18/01/2021,27.45,27.52,27.41,27.5,0.04,0.15,232894
15/01/2021,27.5,27.53,27.43,27.46,-0.22,-0.79,268096
14/01/2021,27.78,27.85,27.66,27.68,0.09,0.33,314028
13/01/2021,27.47,27.6,27.43,27.59,-0.21,-0.76,398533
12/01/2021,27.78,27.83,27.73,27.8,-0.24,-0.86,452002
11/01/2021,27.95,28.09,27.94,28.04,0.4,1.45,796699
08/01/2021,27.57,27.73,27.54,27.64,0.65,2.41,589993
07/01/2021,26.86,27.07,26.84,26.99,0.08,0.3,580807
06/01/2021,27.36,27.41,26.83,26.91,-0.37,-1.36,690263
05/01/2021,27.41,27.46,27.27,27.28,-0.39,-1.41,658769
04/01/2021,27.7,27.8,27.58,27.67,-0.01,-0.04,647459
31/12/2020,27.89,27.89,27.62,27.68,-0.19,-0.68,283389
30/12/2020,28.01,28.02,27.87,27.87,-0.2,-0.71,374318
29/12/2020,28,28.08,27.85,28.07,0.42,1.52,229157
24/12/2020,27.94,27.94,27.63,27.65,-0.2,-0.72,437815
23/12/2020,27.95,28.02,27.81,27.85,0.04,0.14,132526
22/12/2020,27.96,27.96,27.75,27.81,-0.13,-0.47,197755
21/12/2020,27.81,27.94,27.75,27.94,0.18,0.65,237536
18/12/2020,27.95,27.95,27.68,27.76,0.03,0.11,243366
17/12/2020,27.92,27.92,27.68,27.73,0.11,0.4,215703
16/12/2020,27.62,27.69,27.59,27.62,0.18,0.66,221139
15/12/2020,27.43,27.47,27.32,27.44,0.16,0.59,207723
14/12/2020,27.3,27.33,27.21,27.28,0.14,0.52,417622
11/12/2020,27.4,27.41,27.09,27.14,-0.25,-0.91,419663
10/12/2020,27.51,27.57,27.32,27.39,-0.77,-2.73,433631
09/12/2020,28.29,28.32,28.14,28.16,0.11,0.39,208456
08/12/2020,28.06,28.11,28,28.05,0.13,0.47,190811
07/12/2020,27.91,28,27.88,27.92,0.05,0.18,346807
04/12/2020,27.86,27.88,27.77,27.87,-0.01,-0.04,220979
03/12/2020,27.89,27.93,27.84,27.88,-0.05,-0.18,224610
02/12/2020,27.97,28,27.87,27.93,0.11,0.4,306035
01/12/2020,27.81,27.91,27.74,27.82,0.39,1.42,347737
30/11/2020,27.54,27.64,27.42,27.43,0.08,0.29,368363
27/11/2020,27.41,27.41,27.3,27.35,-0.09,-0.33,288725
26/11/2020,27.38,27.49,27.36,27.44,0.12,0.44,227521
25/11/2020,27.25,27.4,27.22,27.32,0.2,0.74,344828
24/11/2020,27.08,27.16,27.07,27.12,0.04,0.15,281734
23/11/2020,27.14,27.14,27.01,27.08,-0.18,-0.66,385418
20/11/2020,27.2,27.28,27.17,27.26,0.34,1.26,186359
19/11/2020,26.99,27.02,26.9,26.92,-0.27,-0.99,210515
18/11/2020,27.2,27.23,27.14,27.19,0.01,0.04,146871
17/11/2020,27.31,27.37,27.17,27.18,-0.2,-0.73,360459
16/11/2020,27.27,27.43,27.27,27.38,0.21,0.77,40845
13/11/2020,27.16,27.19,27.06,27.17,0.26,0.97,202886
12/11/2020,27.08,27.19,26.82,26.91,0.45,1.7,318740
11/11/2020,26.5,26.57,26.36,26.46,-0.27,-1.01,681358
10/11/2020,27.3,27.33,26.63,26.73,-1.42,-5.04,906902
09/11/2020,27.54,28.19,27.54,28.15,0.94,3.45,555131
06/11/2020,27.56,27.57,27.2,27.21,-0.38,-1.38,634753
05/11/2020,27.33,27.65,27.18,27.59,0.66,2.45,555444
04/11/2020,26.07,27.39,26.01,26.93,0.83,3.18,1470400
03/11/2020,26.03,26.15,26,26.1,-0.08,-0.31,306050
02/11/2020,26.06,26.19,25.98,26.18,-0.16,-0.61,454142
30/10/2020,26.41,26.47,26.27,26.34,-0.06,-0.23,319073
29/10/2020,26.31,26.41,26.26,26.4,-0.37,-1.38,381128
28/10/2020,26.83,26.86,26.75,26.77,0.03,0.11,279458
27/10/2020,26.77,26.82,26.69,26.74,-0.29,-1.07,311087
26/10/2020,27.03,27.07,26.99,27.03,-0.16,-0.59,357962
23/10/2020,27.12,27.24,27.07,27.19,0.06,0.22,151537
22/10/2020,27.22,27.25,27.04,27.13,-0.34,-1.24,208125
21/10/2020,27.49,27.54,27.45,27.47,-0.08,-0.29,211391
20/10/2020,27.48,27.61,27.46,27.55,-0.28,-1.01,231856
19/10/2020,27.8,27.85,27.72,27.83,0.03,0.11,217493
16/10/2020,27.8,27.93,27.71,27.8,0.16,0.58,207368
15/10/2020,27.79,27.81,27.6,27.64,-0.44,-1.57,285651
14/10/2020,28.01,28.12,28,28.08,0.27,0.97,244612
13/10/2020,27.8,27.89,27.79,27.81,0.78,2.89,341554
12/10/2020,26.91,27.03,26.88,27.03,0.26,0.97,234441
09/10/2020,26.76,26.8,26.71,26.77,0.06,0.22,165962
08/10/2020,26.67,26.75,26.67,26.71,0.42,1.6,142518
07/10/2020,26.23,26.33,26.22,26.29,-0.13,-0.49,203860
06/10/2020,26.47,26.49,26.35,26.42,0.25,0.96,212130
05/10/2020,26.18,26.24,26.14,26.17,-0.19,-0.72,223087
02/10/2020,26.69,26.77,26.24,26.36,-0.11,-0.42,281042
01/10/2020,26.46,26.53,26.42,26.47,0.36,1.38,241301
30/09/2020,26.32,26.53,26.11,26.11,-0.61,-2.28,223224
29/09/2020,26.66,26.78,26.66,26.72,0.38,1.44,217336
28/09/2020,26.26,26.36,26.2,26.34,0.68,2.65,194653
25/09/2020,25.72,25.8,25.62,25.66,0.29,1.14,192333
24/09/2020,25.26,25.5,25.21,25.37,-0.55,-2.12,201464
23/09/2020,25.7,25.94,25.68,25.92,0.74,2.94,183768
22/09/2020,25.25,25.39,25.11,25.18,0.52,2.11,177749
21/09/2020,25.12,25.12,24.57,24.66,-0.56,-2.22,325136
18/09/2020,25.1,25.22,25,25.22,-0.04,-0.16,209645
17/09/2020,25.61,25.62,25.26,25.26,-0.74,-2.85,316275
16/09/2020,25.95,26.05,25.9,26,0.4,1.56,210352
15/09/2020,25.69,25.71,25.56,25.6,0.05,0.2,301900
14/09/2020,25.45,25.59,25.4,25.55,-0.12,-0.47,384804
11/09/2020,25.57,25.69,25.5,25.67,-0.33,-1.27,318408
10/09/2020,26.03,26.05,25.82,26,0.39,1.52,641477
09/09/2020,25.38,25.66,25.35,25.61,-0.61,-2.33,585074
08/09/2020,26.26,26.34,26.12,26.22,0.25,0.96,292458
07/09/2020,26.16,26.16,25.86,25.97,-0.65,-2.44,621593
04/09/2020,26.52,26.67,26.42,26.62,-1.49,-5.3,923908
03/09/2020,28.09,28.11,27.98,28.11,0.23,0.82,205993
02/09/2020,27.73,27.96,27.73,27.88,0.69,2.54,229412
01/09/2020,27.22,27.27,27.17,27.19,0.03,0.11,234746
31/08/2020,27.25,27.3,27.03,27.16,-0.11,-0.4,739282
28/08/2020,27.44,27.44,27.19,27.27,-0.12,-0.44,397518
27/08/2020,27.37,27.41,27.33,27.39,0.36,1.33,255592
26/08/2020,27.04,27.07,26.99,27.03,0.05,0.19,221804
25/08/2020,27,27.01,26.88,26.98,0.17,0.63,212516
24/08/2020,26.78,26.85,26.77,26.81,0.36,1.36,314364
21/08/2020,26.42,26.5,26.4,26.45,0.4,1.54,221939
20/08/2020,26.06,26.06,25.92,26.05,-0.03,-0.12,284414
19/08/2020,26.05,26.16,26.01,26.08,0.19,0.73,212830
18/08/2020,25.94,25.96,25.87,25.89,0.08,0.31,168269
17/08/2020,25.71,25.83,25.68,25.81,-0.16,-0.62,198298
14/08/2020,25.95,26.02,25.93,25.97,0.31,1.21,214607
13/08/2020,25.72,25.75,25.63,25.66,0.22,0.86,187754
12/08/2020,25.43,25.44,25.27,25.44,-0.26,-1.01,314104
11/08/2020,25.64,25.73,25.62,25.7,-0.03,-0.12,137892
10/08/2020,25.73,25.76,25.63,25.73,-0.04,-0.16,227173
07/08/2020,25.78,25.83,25.72,25.77,0.29,1.14,231283
06/08/2020,25.53,25.6,25.47,25.48,-0.13,-0.51,222602
05/08/2020,25.58,25.63,25.51,25.61,-0.07,-0.27,226861
04/08/2020,25.66,25.75,25.65,25.68,0.3,1.18,186140
03/08/2020,25.28,25.47,25.27,25.38,0.44,1.76,203769
31/07/2020,25.06,25.12,24.9,24.94,0.24,0.97,341588
30/07/2020,24.67,24.7,24.58,24.7,0.32,1.31,180972
29/07/2020,24.46,24.46,24.33,24.38,-0.42,-1.69,146246
28/07/2020,24.74,24.91,24.74,24.8,0.34,1.39,226699
27/07/2020,24.38,24.49,24.35,24.46,-0.04,-0.16,300523
24/07/2020,24.73,24.73,24.43,24.5,-0.68,-2.7,570607
23/07/2020,25.15,25.2,25.1,25.18,0,0,184905
22/07/2020,25.56,25.56,25.16,25.18,-0.83,-3.19,416129
21/07/2020,25.83,26.05,25.82,26.01,0.92,3.67,238387
20/07/2020,25.2,25.22,25.06,25.09,-0.05,-0.2,166103
17/07/2020,25.11,25.17,25.09,25.14,0.02,0.08,168535
16/07/2020,25.18,25.19,25.08,25.12,-0.22,-0.87,214808
15/07/2020,25.43,25.43,25.26,25.34,-0.04,-0.16,282992
14/07/2020,25.46,25.47,25.33,25.38,-0.54,-2.08,258950
13/07/2020,25.94,25.97,25.84,25.92,0.39,1.53,256202
10/07/2020,25.59,25.63,25.46,25.53,0.22,0.87,282714
09/07/2020,25.33,25.35,25.27,25.31,0.19,0.76,192094
08/07/2020,25.18,25.23,25.11,25.12,-0.09,-0.36,165653
07/07/2020,25.26,25.29,25.16,25.21,0.29,1.16,317006
06/07/2020,24.81,25,24.75,24.92,0.12,0.48,276795
03/07/2020,24.8,24.8,24.73,24.8,0.14,0.57,139903
02/07/2020,24.97,24.97,24.57,24.66,0.35,1.44,127454
01/07/2020,24.68,24.68,24.27,24.31,-0.42,-1.7,206603
30/06/2020,24.7,24.8,24.7,24.73,0.47,1.94,166146
29/06/2020,24.37,24.46,24.26,24.26,-0.67,-2.69,278600
26/06/2020,24.92,25,24.91,24.93,0.21,0.85,146443
25/06/2020,24.89,24.89,24.66,24.72,-0.31,-1.24,209574
24/06/2020,24.93,25.08,24.92,25.03,0.14,0.56,196749
23/06/2020,24.91,24.95,24.7,24.89,0.2,0.81,211844
22/06/2020,24.7,24.8,24.64,24.69,-0.16,-0.64,148438
19/06/2020,24.85,24.86,24.78,24.85,0.23,0.93,227964
18/06/2020,24.61,24.62,24.49,24.62,0,0,257250
17/06/2020,24.59,24.66,24.59,24.62,0.38,1.57,277324
16/06/2020,24.06,24.28,24.06,24.24,0.71,3.02,268689
15/06/2020,23.76,23.86,23.53,23.53,-0.5,-2.08,419419
12/06/2020,24.06,24.15,23.96,24.03,-0.49,-2,689576
11/06/2020,24.47,24.61,24.47,24.52,0.21,0.86,450039
10/06/2020,24.45,24.49,24.29,24.31,0.25,1.04,269950
09/06/2020,23.89,24.07,23.87,24.06,0.53,2.25,398078
05/06/2020,23.57,23.62,23.52,23.53,-0.27,-1.13,247423
04/06/2020,23.8,23.87,23.77,23.8,0.06,0.25,342500
03/06/2020,23.79,23.79,23.55,23.74,-0.25,-1.04,426793
02/06/2020,24.29,24.29,23.9,23.99,-0.1,-0.42,314488
01/06/2020,24.25,24.29,24.09,24.09,0,0,241561
29/05/2020,24.13,24.2,24.08,24.09,-0.15,-0.62,184890
28/05/2020,24.23,24.3,24.13,24.24,-0.01,-0.04,303923
27/05/2020,24.03,24.3,24,24.25,-0.56,-2.26,559277
26/05/2020,24.69,24.81,24.66,24.81,0.17,0.69,514238
25/05/2020,24.54,24.64,24.51,24.64,0.5,2.07,301108
22/05/2020,24.34,24.34,24.12,24.14,-0.32,-1.31,370807
21/05/2020,24.47,24.53,24.43,24.46,0.23,0.95,348994
20/05/2020,24.22,24.31,24.17,24.23,-0.08,-0.33,171909
