Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,2.19,2.23,2.14,2.21,0.07,3.27,5661605
29/01/2021,2.18,2.25,2.14,2.14,0,0,5052835
28/01/2021,2.24,2.25,2.14,2.14,-0.13,-5.73,3593048
27/01/2021,2.27,2.32,2.255,2.27,0,0,3742835
25/01/2021,2.19,2.31,2.17,2.27,0.1,4.61,5691770
22/01/2021,2.19,2.22,2.16,2.17,-0.02,-0.91,2928880
21/01/2021,2.19,2.22,2.17,2.19,0.02,0.92,3432849
20/01/2021,2.11,2.19,2.11,2.17,0.05,2.36,3986512
19/01/2021,2.07,2.12,2.07,2.12,0.05,2.42,3760873
18/01/2021,2.11,2.15,2.07,2.07,-0.03,-1.43,2818189
15/01/2021,2.15,2.18,2.09,2.1,-0.05,-2.33,2862234
14/01/2021,2.13,2.18,2.12,2.15,0.03,1.42,2297671
13/01/2021,2.09,2.14,2.05,2.12,0.05,2.42,3355632
12/01/2021,2.03,2.1,2.03,2.07,0.07,3.5,5508250
11/01/2021,2.14,2.15,2,2,-0.15,-6.98,8683933
08/01/2021,2.18,2.2,2.13,2.15,0,0,3800395
07/01/2021,2.22,2.24,2.14,2.15,-0.06,-2.71,4841674
06/01/2021,2.28,2.31,2.21,2.21,-0.09,-3.91,2485281
05/01/2021,2.26,2.34,2.24,2.3,0.03,1.32,3119984
04/01/2021,2.22,2.3,2.2,2.27,0.05,2.25,3182937
31/12/2020,2.24,2.26,2.21,2.22,-0.02,-0.89,1805733
30/12/2020,2.22,2.24,2.19,2.24,-0.01,-0.44,2425290
29/12/2020,2.16,2.25,2.16,2.25,0.09,4.17,2660831
24/12/2020,2.16,2.18,2.15,2.16,0,0,2171488
23/12/2020,2.19,2.22,2.14,2.16,0.01,0.47,3448273
22/12/2020,2.24,2.24,2.14,2.15,-0.09,-4.02,4680478
21/12/2020,2.29,2.34,2.23,2.24,-0.1,-4.27,2374127
18/12/2020,2.31,2.34,2.26,2.34,0.01,0.43,7047876
17/12/2020,2.24,2.34,2.24,2.33,0.09,4.02,4485735
16/12/2020,2.22,2.27,2.16,2.24,0.02,0.9,4999747
15/12/2020,2.24,2.28,2.2,2.22,-0.03,-1.33,3531396
14/12/2020,2.17,2.26,2.14,2.25,0.08,3.69,3507384
11/12/2020,2.12,2.19,2.12,2.17,0.05,2.36,2633038
10/12/2020,2.19,2.19,2.11,2.12,-0.07,-3.2,4986867
09/12/2020,2.16,2.22,2.15,2.19,0.03,1.39,3359477
08/12/2020,2.21,2.21,2.15,2.16,-0.03,-1.37,3258622
07/12/2020,2.24,2.29,2.18,2.19,-0.03,-1.35,4018959
04/12/2020,2.21,2.25,2.2,2.22,0.01,0.45,2252775
03/12/2020,2.21,2.24,2.18,2.21,0.01,0.45,3198931
02/12/2020,2.34,2.36,2.17,2.2,-0.14,-5.98,9501196
01/12/2020,2.27,2.34,2.27,2.34,0.07,3.08,4002043
30/11/2020,2.25,2.3,2.23,2.27,0.04,1.79,3922133
27/11/2020,2.24,2.27,2.21,2.23,-0.01,-0.45,2624570
26/11/2020,2.24,2.28,2.23,2.24,0,0,2940899
25/11/2020,2.32,2.33,2.24,2.24,-0.08,-3.45,5263665
24/11/2020,2.35,2.37,2.29,2.32,-0.02,-0.85,3698637
23/11/2020,2.39,2.4,2.33,2.34,-0.04,-1.68,2643950
20/11/2020,2.36,2.44,2.36,2.38,0,0,2332336
19/11/2020,2.37,2.39,2.34,2.38,0,0,3373154
18/11/2020,2.37,2.41,2.32,2.38,0.02,0.85,3077772
17/11/2020,2.42,2.42,2.33,2.36,-0.04,-1.67,3295501
16/11/2020,2.4,2.42,2.39,2.4,0.01,0.42,304169
13/11/2020,2.4,2.41,2.32,2.39,-0.01,-0.42,3986792
12/11/2020,2.54,2.56,2.38,2.4,-0.08,-3.23,5049288
11/11/2020,2.5,2.51,2.43,2.48,0.02,0.81,4171092
10/11/2020,2.7,2.7,2.45,2.46,-0.2,-7.52,5332507
09/11/2020,2.46,2.66,2.44,2.66,0.2,8.13,5622485
06/11/2020,2.45,2.49,2.43,2.46,0.03,1.23,3104379
05/11/2020,2.48,2.49,2.395,2.43,-0.03,-1.22,4944889
04/11/2020,2.35,2.48,2.34,2.46,0.13,5.58,3942148
03/11/2020,2.28,2.36,2.28,2.33,0.08,3.56,3557115
02/11/2020,2.29,2.33,2.25,2.25,-0.05,-2.17,3298219
30/10/2020,2.45,2.45,2.29,2.3,-0.1,-4.17,4097701
29/10/2020,2.35,2.42,2.32,2.4,-0.04,-1.64,3708738
28/10/2020,2.36,2.44,2.36,2.44,0.09,3.83,2981891
27/10/2020,2.41,2.42,2.34,2.35,-0.11,-4.47,4455434
26/10/2020,2.52,2.56,2.44,2.46,-0.06,-2.38,4927764
23/10/2020,2.54,2.57,2.51,2.52,-0.02,-0.79,2255032
22/10/2020,2.55,2.56,2.48,2.54,-0.02,-0.78,2442736
21/10/2020,2.58,2.6,2.55,2.56,-0.02,-0.78,2246193
20/10/2020,2.57,2.61,2.545,2.58,-0.01,-0.39,1807425
19/10/2020,2.58,2.61,2.55,2.59,0.01,0.39,1841304
16/10/2020,2.53,2.58,2.51,2.58,0.05,1.98,2327044
15/10/2020,2.7,2.71,2.51,2.53,-0.16,-5.95,5384258
14/10/2020,2.5,2.72,2.48,2.69,0.21,8.47,6119378
13/10/2020,2.55,2.57,2.46,2.48,-0.05,-1.98,3378252
12/10/2020,2.46,2.55,2.46,2.53,0.06,2.43,2966029
09/10/2020,2.52,2.55,2.45,2.47,-0.02,-0.8,3212308
08/10/2020,2.45,2.53,2.44,2.49,0.06,2.47,4354458
07/10/2020,2.41,2.49,2.41,2.43,0,0,3734364
06/10/2020,2.4,2.43,2.35,2.43,0.04,1.67,4033697
05/10/2020,2.35,2.39,2.32,2.39,0.07,3.02,2598624
02/10/2020,2.33,2.4,2.31,2.32,0.01,0.43,4894627
01/10/2020,2.38,2.41,2.31,2.31,-0.06,-2.53,3792735
30/09/2020,2.35,2.41,2.34,2.37,0,0,4634739
29/09/2020,2.38,2.41,2.33,2.37,0.03,1.28,6531890
28/09/2020,2.25,2.37,2.25,2.34,0.11,4.93,6452457
25/09/2020,2.27,2.29,2.21,2.23,-0.03,-1.33,8226275
24/09/2020,2.3,2.34,2.26,2.26,-0.1,-4.24,6180631
23/09/2020,2.32,2.38,2.32,2.36,0.08,3.51,5884704
22/09/2020,2.27,2.33,2.265,2.28,-0.01,-0.44,4491852
21/09/2020,2.32,2.33,2.28,2.29,-0.05,-2.14,4385423
18/09/2020,2.38,2.39,2.29,2.34,-0.02,-0.85,6139036
17/09/2020,2.48,2.5,2.35,2.36,-0.11,-4.45,7855245
16/09/2020,2.39,2.54,2.36,2.47,0.12,5.11,9579985
15/09/2020,2.32,2.39,2.3,2.35,0.05,2.17,8990712
14/09/2020,2.52,2.54,2.28,2.3,-0.16,-6.5,14586093
11/09/2020,2.51,2.64,2.45,2.46,-0.43,-14.88,28667638
09/09/2020,2.9,2.96,2.86,2.89,-0.11,-3.67,5101831
08/09/2020,2.96,3.01,2.93,3,0.08,2.74,3500732
07/09/2020,2.9,3,2.86,2.92,0.01,0.34,3702351
04/09/2020,2.95,3.01,2.87,2.91,-0.17,-5.52,7700476
03/09/2020,3.12,3.16,3.05,3.08,-0.03,-0.96,3027023
02/09/2020,3.06,3.19,3.04,3.11,0.07,2.3,6324548
01/09/2020,3.06,3.1,3.02,3.04,-0.04,-1.3,4009717
31/08/2020,3.09,3.14,3.07,3.08,0,0,2603073
28/08/2020,3.08,3.14,3.03,3.08,0,0,4541417
27/08/2020,3.1,3.14,3.03,3.08,0.03,0.98,3965852
26/08/2020,3.17,3.17,3.03,3.05,-0.12,-3.79,7516060
25/08/2020,3.15,3.22,3.04,3.17,0.13,4.28,10478376
24/08/2020,2.75,3.04,2.73,3.04,0.35,13.01,14271711
21/08/2020,2.5,2.7,2.48,2.69,0.25,10.25,8939743
20/08/2020,2.42,2.53,2.36,2.44,0.07,2.95,8798351
19/08/2020,2.75,2.75,2.28,2.37,-0.31,-11.57,21326048
18/08/2020,2.55,2.7,2.535,2.68,0.17,6.77,6019209
17/08/2020,2.53,2.57,2.46,2.51,0.01,0.4,4816931
14/08/2020,2.41,2.52,2.41,2.5,0.1,4.17,4306486
13/08/2020,2.45,2.51,2.38,2.4,-0.01,-0.41,3987245
12/08/2020,2.43,2.47,2.38,2.41,-0.01,-0.41,2799161
11/08/2020,2.46,2.47,2.38,2.42,-0.04,-1.63,2083596
10/08/2020,2.35,2.5,2.335,2.46,0.13,5.58,4022949
07/08/2020,2.35,2.41,2.31,2.33,0.01,0.43,3633585
06/08/2020,2.41,2.42,2.31,2.32,-0.07,-2.93,3408595
05/08/2020,2.39,2.43,2.34,2.39,0,0,2666563
04/08/2020,2.35,2.47,2.345,2.39,0.1,4.37,4625879
03/08/2020,2.26,2.31,2.21,2.29,0.01,0.44,3461573
31/07/2020,2.32,2.325,2.26,2.28,-0.05,-2.15,1616356
30/07/2020,2.3,2.345,2.28,2.33,0.08,3.56,1750866
29/07/2020,2.28,2.32,2.22,2.25,-0.01,-0.44,2726098
28/07/2020,2.38,2.42,2.26,2.26,-0.1,-4.24,3131248
27/07/2020,2.32,2.38,2.31,2.36,0.02,0.85,1595420
24/07/2020,2.35,2.38,2.3,2.34,-0.06,-2.5,2927353
23/07/2020,2.49,2.49,2.35,2.4,-0.09,-3.61,3591192
22/07/2020,2.45,2.54,2.4,2.49,0,0,3464887
21/07/2020,2.29,2.5,2.28,2.49,0.25,11.16,6742809
20/07/2020,2.22,2.27,2.17,2.24,0,0,3728666
17/07/2020,2.28,2.285,2.19,2.24,-0.05,-2.18,2416219
16/07/2020,2.33,2.355,2.25,2.29,0.02,0.88,2855554
15/07/2020,2.23,2.29,2.21,2.27,0.09,4.13,3402990
14/07/2020,2.26,2.29,2.16,2.18,-0.15,-6.44,3761175
13/07/2020,2.37,2.39,2.25,2.33,-0.01,-0.43,4962761
10/07/2020,2.42,2.45,2.31,2.34,-0.08,-3.31,4025928
09/07/2020,2.4,2.46,2.4,2.42,0.02,0.83,2587895
08/07/2020,2.45,2.48,2.39,2.4,-0.06,-2.44,3163045
07/07/2020,2.52,2.52,2.455,2.46,-0.02,-0.81,4240383
06/07/2020,2.48,2.51,2.44,2.48,-0.01,-0.4,2457929
03/07/2020,2.5,2.55,2.4,2.49,0.04,1.63,6285648
02/07/2020,2.39,2.48,2.32,2.45,0.11,4.7,6662943
01/07/2020,2.28,2.36,2.24,2.34,0.09,4,5447384
30/06/2020,2.22,2.31,2.15,2.25,0.07,3.21,5605107
29/06/2020,2.09,2.22,2.06,2.18,0.06,2.83,5413140
26/06/2020,2.12,2.15,2.08,2.12,0.04,1.92,2571763
25/06/2020,2.15,2.185,2.06,2.08,-0.12,-5.45,4175805
24/06/2020,2.11,2.21,2.08,2.2,0.09,4.27,4702812
23/06/2020,2.18,2.21,2.07,2.11,-0.03,-1.4,3617318
22/06/2020,2.21,2.22,2.12,2.14,-0.08,-3.6,2045915
19/06/2020,2.2,2.26,2.19,2.22,0.04,1.83,3639114
18/06/2020,2.21,2.23,2.12,2.18,-0.04,-1.8,3296972
17/06/2020,2.26,2.29,2.2,2.22,-0.01,-0.45,3135976
16/06/2020,2.16,2.29,2.16,2.23,0.17,8.25,5587220
15/06/2020,2.12,2.22,2.02,2.06,-0.04,-1.9,5386594
12/06/2020,2.03,2.15,1.97,2.1,-0.09,-4.11,8071632
11/06/2020,2.35,2.38,2.16,2.19,-0.13,-5.6,6673969
10/06/2020,2.2,2.43,2.2,2.32,0.1,4.5,9294646
09/06/2020,2.24,2.26,2.18,2.22,0,0,5075232
05/06/2020,2.19,2.22,2.15,2.22,0.01,0.45,3148497
04/06/2020,2.24,2.26,2.16,2.21,0,0,4086501
03/06/2020,2.25,2.26,2.19,2.21,0,0,4139288
02/06/2020,2.21,2.265,2.18,2.21,0.02,0.91,4311595
01/06/2020,2.29,2.31,2.17,2.19,-0.1,-4.37,6079998
29/05/2020,2.26,2.31,2.18,2.29,0.05,2.23,5152518
28/05/2020,2.14,2.35,2.12,2.24,0.32,16.67,11909081
27/05/2020,1.905,1.96,1.84,1.92,-0.005,-0.26,5813568
26/05/2020,1.97,1.985,1.905,1.925,-0.015,-0.77,4707316
25/05/2020,1.965,2.01,1.905,1.94,0.005,0.26,4457821
22/05/2020,1.855,2.03,1.845,1.935,0.08,4.31,9458980
21/05/2020,1.89,1.925,1.815,1.855,0,0,7067921
20/05/2020,1.685,1.875,1.665,1.855,0.16,9.44,9681216
19/05/2020,1.61,1.705,1.56,1.695,0.14,9,6989820
18/05/2020,1.6,1.6,1.535,1.555,-0.03,-1.89,4086368
15/05/2020,1.565,1.585,1.505,1.585,0.065,4.28,4986289
14/05/2020,1.59,1.61,1.515,1.52,-0.115,-7.03,5409331
13/05/2020,1.59,1.64,1.545,1.635,-0.005,-0.3,4526045
12/05/2020,1.71,1.715,1.615,1.64,-0.065,-3.81,4058967
11/05/2020,1.675,1.73,1.655,1.705,0.05,3.02,4203613
08/05/2020,1.715,1.76,1.64,1.655,-0.015,-0.9,6045276
07/05/2020,1.7,1.72,1.625,1.67,0.01,0.6,6099943
06/05/2020,1.53,1.6625,1.515,1.66,0.145,9.57,7963527
05/05/2020,1.45,1.515,1.425,1.515,0.1,7.07,5692197
