Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,2.39,2.485,2.32,2.46,0.05,2.07,2903748
29/01/2021,2.42,2.5,2.38,2.41,0.04,1.69,5377433
28/01/2021,2.4,2.44,2.36,2.37,-0.06,-2.47,3308693
27/01/2021,2.46,2.47,2.43,2.43,0.02,0.83,3176590
25/01/2021,2.46,2.46,2.4,2.41,-0.06,-2.43,2411273
22/01/2021,2.41,2.48,2.37,2.47,0.07,2.92,6742866
21/01/2021,2.43,2.44,2.37,2.4,-0.03,-1.23,2825829
20/01/2021,2.32,2.43,2.31,2.43,0.08,3.4,4328473
19/01/2021,2.29,2.35,2.29,2.35,0.06,2.62,2209294
18/01/2021,2.32,2.36,2.28,2.29,-0.07,-2.97,3943855
15/01/2021,2.32,2.38,2.31,2.36,0,0,2879835
14/01/2021,2.3,2.36,2.29,2.36,0.03,1.29,2895734
13/01/2021,2.34,2.38,2.3,2.33,-0.01,-0.43,4858092
12/01/2021,2.3,2.35,2.275,2.34,0.07,3.08,3557206
11/01/2021,2.32,2.34,2.27,2.27,-0.09,-3.81,2744762
08/01/2021,2.36,2.38,2.34,2.36,0,0,4435113
07/01/2021,2.32,2.38,2.31,2.36,0.05,2.16,5321214
06/01/2021,2.32,2.35,2.29,2.31,-0.06,-2.53,7005197
05/01/2021,2.31,2.37,2.31,2.37,0.05,2.16,5106871
04/01/2021,2.31,2.33,2.3,2.32,0,0,2175717
31/12/2020,2.37,2.39,2.32,2.32,-0.04,-1.69,1370859
30/12/2020,2.34,2.37,2.31,2.36,0,0,3966155
29/12/2020,2.36,2.37,2.34,2.36,0.01,0.43,3143075
24/12/2020,2.31,2.38,2.31,2.35,0.03,1.29,2175097
23/12/2020,2.31,2.33,2.29,2.32,0.03,1.31,5094489
22/12/2020,2.32,2.35,2.27,2.29,-0.04,-1.72,3732941
21/12/2020,2.3,2.36,2.28,2.33,-0.02,-0.85,4058665
18/12/2020,2.44,2.46,2.33,2.35,-0.08,-3.29,8706081
17/12/2020,2.46,2.47,2.4,2.43,0.08,3.4,10458642
16/12/2020,2.3,2.39,2.26,2.35,0.07,3.07,8083171
15/12/2020,2.26,2.33,2.25,2.28,-0.02,-0.87,8078365
14/12/2020,2.38,2.39,2.28,2.3,-0.07,-2.95,5635891
11/12/2020,2.4,2.45,2.35,2.37,-0.08,-3.27,4178131
10/12/2020,2.45,2.48,2.43,2.45,-0.03,-1.21,6377233
09/12/2020,2.44,2.5,2.435,2.48,0.03,1.22,3082218
08/12/2020,2.45,2.47,2.44,2.45,0.01,0.41,5060526
07/12/2020,2.42,2.465,2.42,2.44,0.02,0.83,3729671
04/12/2020,2.44,2.48,2.42,2.42,-0.03,-1.22,4297198
03/12/2020,2.42,2.48,2.395,2.45,0.04,1.66,7285040
02/12/2020,2.39,2.42,2.34,2.41,0.06,2.55,4929779
01/12/2020,2.33,2.43,2.32,2.35,0.05,2.17,6143783
30/11/2020,2.31,2.37,2.3,2.3,-0.01,-0.43,6619453
27/11/2020,2.34,2.36,2.27,2.31,-0.05,-2.12,4337374
26/11/2020,2.39,2.43,2.33,2.36,-0.04,-1.67,14514180
25/11/2020,2.4,2.43,2.33,2.4,0,0,9775170
24/11/2020,2.34,2.4,2.31,2.4,0.03,1.27,6851527
23/11/2020,2.38,2.41,2.345,2.37,0,0,5688522
20/11/2020,2.37,2.39,2.33,2.37,0,0,4167969
19/11/2020,2.4,2.41,2.35,2.37,0.01,0.42,7235329
18/11/2020,2.38,2.44,2.33,2.36,-0.01,-0.42,9706016
17/11/2020,2.41,2.42,2.36,2.37,-0.05,-2.07,15531893
16/11/2020,2.42,2.44,2.37,2.42,-0.02,-0.82,1267480
13/11/2020,2.49,2.5,2.41,2.44,-0.04,-1.61,8157067
12/11/2020,2.42,2.58,2.41,2.48,0.12,5.08,8493352
11/11/2020,2.35,2.425,2.31,2.36,-0.04,-1.67,7571786
10/11/2020,2.39,2.43,2.35,2.4,0.06,2.56,6769822
09/11/2020,2.3,2.36,2.3,2.34,0.05,2.18,5386562
06/11/2020,2.36,2.39,2.27,2.29,-0.07,-2.97,12091983
05/11/2020,2.27,2.36,2.255,2.36,0.09,3.96,7148983
04/11/2020,2.12,2.28,2.12,2.27,0.1,4.61,6647945
03/11/2020,2.13,2.205,2.13,2.17,0.04,1.88,5866587
02/11/2020,2.09,2.14,2.07,2.13,0.05,2.4,6597005
30/10/2020,2.14,2.17,2.05,2.08,-0.05,-2.35,5543445
29/10/2020,2.14,2.14,2.09,2.13,-0.02,-0.93,15960216
28/10/2020,2.11,2.16,2.11,2.15,0.01,0.47,3299023
27/10/2020,2.11,2.15,2.09,2.14,0,0,4080898
26/10/2020,2.13,2.16,2.1,2.14,-0.01,-0.47,4866571
23/10/2020,2.17,2.18,2.12,2.15,-0.02,-0.92,9409385
22/10/2020,2.13,2.18,2.12,2.17,-0.01,-0.46,7652623
21/10/2020,2.16,2.18,2.12,2.18,0.04,1.87,11461817
20/10/2020,2.06,2.15,2.06,2.14,0.03,1.42,7383386
19/10/2020,2.08,2.13,2.05,2.11,0,0,4382559
16/10/2020,2.12,2.14,2.09,2.11,-0.01,-0.47,13319167
15/10/2020,2.05,2.12,2.02,2.12,0.09,4.43,13525972
14/10/2020,1.98,2.04,1.965,2.03,0.04,2.01,5997990
13/10/2020,1.975,2,1.94,1.99,0.04,2.05,4865996
12/10/2020,1.945,1.98,1.93,1.95,0.005,0.26,6324938
09/10/2020,1.92,1.96,1.895,1.945,0.03,1.57,5580854
08/10/2020,1.88,1.915,1.865,1.915,0.05,2.68,5142614
07/10/2020,1.84,1.88,1.815,1.865,0.03,1.63,5020813
06/10/2020,1.77,1.845,1.7625,1.835,0.065,3.67,7245714
05/10/2020,1.755,1.785,1.737,1.77,0.04,2.31,2081938
02/10/2020,1.77,1.78,1.71,1.73,-0.06,-3.35,5945849
01/10/2020,1.735,1.795,1.73,1.79,0.045,2.58,5179256
30/09/2020,1.755,1.7925,1.73,1.745,0.02,1.16,7655831
29/09/2020,1.72,1.77,1.705,1.725,0.005,0.29,6605057
28/09/2020,1.69,1.74,1.685,1.72,0.02,1.18,5984608
25/09/2020,1.695,1.715,1.68,1.7,0.005,0.29,2321131
24/09/2020,1.675,1.72,1.665,1.695,-0.025,-1.45,4655114
23/09/2020,1.695,1.72,1.68,1.72,0.04,2.38,7804973
22/09/2020,1.64,1.7,1.64,1.68,0,0,9733276
21/09/2020,1.66,1.69,1.645,1.68,0.03,1.82,7215681
18/09/2020,1.67,1.685,1.632,1.65,-0.02,-1.2,5724152
17/09/2020,1.69,1.71,1.665,1.67,-0.035,-2.05,7768690
16/09/2020,1.715,1.725,1.665,1.705,0.005,0.29,10171805
15/09/2020,1.7,1.725,1.677,1.7,0,0,5976764
14/09/2020,1.7,1.715,1.675,1.7,0.01,0.59,4360355
11/09/2020,1.665,1.705,1.64,1.69,-0.005,-0.29,3429570
10/09/2020,1.665,1.695,1.64,1.695,0.045,2.73,5236185
09/09/2020,1.615,1.65,1.605,1.65,-0.04,-2.37,6361057
08/09/2020,1.66,1.705,1.64,1.69,0.05,3.05,8976544
07/09/2020,1.61,1.645,1.6,1.64,-0.005,-0.3,6001045
