Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
08/10/2019,7.07,7.08,6.84,6.87,-0.19,-2.69,1250028
09/10/2019,6.68,6.8,6.67,6.76,-0.11,-1.6,2010417
10/10/2019,6.76,6.855,6.72,6.74,-0.02,-0.3,871129
11/10/2019,6.8,6.88,6.775,6.86,0.12,1.78,802275
14/10/2019,6.87,6.94,6.75,6.76,-0.1,-1.46,1095918
15/10/2019,6.77,6.93,6.75,6.84,0.08,1.18,1057723
16/10/2019,6.91,6.98,6.86,6.89,0.05,0.73,1637924
17/10/2019,6.89,6.93,6.78,6.85,-0.04,-0.58,2378919
18/10/2019,6.84,6.955,6.82,6.92,0.07,1.02,2157588
21/10/2019,6.83,6.93,6.82,6.92,0,0,744458
22/10/2019,6.89,7.02,6.89,6.96,0.04,0.58,1196163
23/10/2019,6.87,7.075,6.86,7.06,0.1,1.44,1216646
24/10/2019,7.08,7.1,6.92,6.96,-0.1,-1.42,1324716
25/10/2019,7.01,7.05,6.93,6.95,-0.01,-0.14,1187237
28/10/2019,6.99,7.02,6.87,6.89,-0.06,-0.86,322780
29/10/2019,6.97,7.02,6.91,6.98,0.09,1.31,738578
30/10/2019,6.97,7.03,6.805,6.93,-0.05,-0.72,1285537
31/10/2019,6.98,7.03,6.9,7.01,0.08,1.15,1007964
01/11/2019,6.92,6.98,6.85,6.93,-0.08,-1.14,1424351
04/11/2019,6.96,7.12,6.95,7.02,0.09,1.3,1201907
05/11/2019,7.04,7.1,6.95,6.96,-0.06,-0.85,747989
06/11/2019,6.74,6.86,6.63,6.81,-0.15,-2.16,2423911
07/11/2019,6.77,6.92,6.75,6.9,0.09,1.32,1533960
08/11/2019,6.92,6.92,6.73,6.79,-0.11,-1.59,1066545
11/11/2019,6.81,6.95,6.81,6.95,0.16,2.36,696734
12/11/2019,6.97,7.04,6.89,6.9,-0.05,-0.72,524930
13/11/2019,6.96,6.97,6.79,6.81,-0.09,-1.3,1063117
14/11/2019,6.75,6.91,6.75,6.87,0.06,0.88,446567
15/11/2019,6.9,6.96,6.85,6.91,0.04,0.58,542626
18/11/2019,6.84,6.89,6.75,6.77,-0.14,-2.03,381943
19/11/2019,6.77,6.84,6.71,6.82,0.05,0.74,772183
20/11/2019,6.71,6.78,6.61,6.64,-0.18,-2.64,1056137
21/11/2019,6.63,6.64,6.52,6.63,-0.01,-0.15,878035
22/11/2019,6.69,6.71,6.6,6.66,0.03,0.45,418214
25/11/2019,6.62,6.75,6.61,6.64,-0.02,-0.3,584953
26/11/2019,6.68,6.71,6.58,6.65,0.01,0.15,1318732
27/11/2019,6.65,6.82,6.64,6.8,0.15,2.26,747788
28/11/2019,6.66,6.73,6.62,6.71,-0.09,-1.32,1482592
29/11/2019,6.71,6.82,6.69,6.75,0.04,0.6,549447
02/12/2019,6.73,6.78,6.68,6.71,-0.04,-0.59,605317
03/12/2019,6.64,6.65,6.54,6.54,-0.17,-2.53,1704220
04/12/2019,6.47,6.5,6.39,6.47,-0.07,-1.07,1739841
05/12/2019,6.51,6.58,6.4,6.53,0.06,0.93,909215
06/12/2019,6.6,6.71,6.6,6.67,0.14,2.14,798891
09/12/2019,6.62,6.76,6.62,6.75,0.08,1.2,943060
10/12/2019,6.66,6.71,6.555,6.63,-0.12,-1.78,811846
11/12/2019,6.7,6.75,6.61,6.73,0.1,1.51,873025
12/12/2019,6.68,6.73,6.56,6.61,-0.12,-1.78,985486
13/12/2019,6.62,6.72,6.61,6.7,0.09,1.36,612952
16/12/2019,6.74,6.95,6.73,6.91,0.21,3.13,1594540
17/12/2019,6.91,6.97,6.855,6.87,-0.04,-0.58,681255
18/12/2019,6.8,6.92,6.77,6.82,-0.05,-0.73,1034396
19/12/2019,6.8,6.81,6.64,6.65,-0.17,-2.49,1795841
20/12/2019,6.64,6.72,6.62,6.65,0,0,1756204
23/12/2019,6.64,6.69,6.57,6.64,-0.01,-0.15,639545
24/12/2019,6.62,6.64,6.48,6.51,-0.13,-1.96,599377
27/12/2019,6.52,6.63,6.52,6.62,0.11,1.69,434959
30/12/2019,6.6,6.62,6.49,6.57,-0.05,-0.76,399309
31/12/2019,6.47,6.49,6.27,6.27,-0.3,-4.57,847352
02/01/2020,6.3,6.44,6.26,6.4,0.13,2.07,989976
03/01/2020,6.44,6.52,6.38,6.41,0.01,0.16,655720
06/01/2020,6.31,6.395,6.3,6.37,-0.04,-0.62,595308
07/01/2020,6.35,6.44,6.35,6.42,0.05,0.78,770155
08/01/2020,6.4,6.4,6.19,6.35,-0.07,-1.09,870956
09/01/2020,6.4,6.48,6.36,6.41,0.06,0.94,730500
10/01/2020,6.46,6.52,6.39,6.42,0.01,0.16,650447
13/01/2020,6.4,6.4,6.305,6.34,-0.08,-1.25,434910
14/01/2020,6.35,6.43,6.33,6.43,0.09,1.42,1601275
15/01/2020,6.4,6.52,6.4,6.46,0.03,0.47,1216438
16/01/2020,6.56,6.56,6.48,6.53,0.07,1.08,1516582
17/01/2020,6.55,6.62,6.54,6.54,0.01,0.15,1139647
20/01/2020,5.57,5.76,5.44,5.71,-0.83,-12.69,4407241
21/01/2020,5.74,5.74,5.56,5.62,-0.09,-1.58,2356830
22/01/2020,5.58,5.66,5.56,5.58,-0.04,-0.71,2668670
23/01/2020,5.5,5.52,5.42,5.46,-0.12,-2.15,2032426
24/01/2020,5.5,5.54,5.46,5.47,0.01,0.18,1175766
28/01/2020,5.43,5.49,5.38,5.4,-0.07,-1.28,1519340
29/01/2020,5.38,5.45,5.37,5.41,0.01,0.19,1777870
30/01/2020,5.41,5.42,5.325,5.39,-0.02,-0.37,1685897
31/01/2020,5.43,5.47,5.36,5.41,0.02,0.37,2559761
03/02/2020,5.34,5.375,5.31,5.32,-0.09,-1.66,2321459
04/02/2020,5.37,5.4,5.35,5.37,0.05,0.94,2236095
05/02/2020,5.4,5.41,5.3,5.39,0.02,0.37,4373782
06/02/2020,5.41,5.44,5.36,5.44,0.05,0.93,2246958
07/02/2020,5.45,5.45,5.36,5.43,-0.01,-0.18,2922051
10/02/2020,5.44,5.44,5.34,5.38,-0.05,-0.92,1690829
11/02/2020,5.47,5.47,5.37,5.38,0,0,1577852
12/02/2020,5.36,5.42,5.36,5.4,0.02,0.37,1696353
13/02/2020,5.43,5.48,5.36,5.41,0.01,0.19,1817338
14/02/2020,5.36,5.39,5.29,5.31,-0.1,-1.85,1601020
17/02/2020,5.29,5.325,5.24,5.3,-0.01,-0.19,1128879
18/02/2020,5.26,5.33,5.23,5.24,-0.06,-1.13,973191
19/02/2020,5.2,5.3,5.2,5.3,0.06,1.15,2459667
20/02/2020,5.25,5.3,5.19,5.22,-0.08,-1.51,1793099
21/02/2020,5.2,5.35,5.2,5.33,0.11,2.11,1898958
24/02/2020,5.18,5.21,4.85,4.95,-0.38,-7.13,6432542
