Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,1.89,1.93,1.875,1.915,0.005,0.26,2434546
29/01/2021,1.925,1.935,1.892,1.91,0.02,1.06,2551951
28/01/2021,1.88,1.9,1.855,1.89,-0.03,-1.56,4811399
27/01/2021,1.94,1.96,1.88,1.92,-0.02,-1.03,4632284
25/01/2021,1.96,1.96,1.925,1.94,0.005,0.26,1729758
22/01/2021,1.94,1.957,1.92,1.935,-0.015,-0.77,2282956
21/01/2021,1.96,1.965,1.935,1.95,0.02,1.04,4439218
20/01/2021,1.9,1.942,1.9,1.93,0.005,0.26,2991814
19/01/2021,1.92,1.93,1.91,1.925,0.025,1.32,2354745
18/01/2021,1.92,1.925,1.895,1.9,-0.015,-0.78,2307330
15/01/2021,1.92,1.925,1.907,1.915,0.005,0.26,3008459
14/01/2021,1.905,1.92,1.895,1.91,0.03,1.6,2403827
13/01/2021,1.855,1.88,1.845,1.88,0.01,0.53,5162180
12/01/2021,1.88,1.885,1.8525,1.87,-0.01,-0.53,3316767
11/01/2021,1.88,1.895,1.87,1.88,-0.005,-0.27,2485273
08/01/2021,1.94,1.95,1.8775,1.885,0.015,0.8,2717824
07/01/2021,1.905,1.905,1.87,1.87,-0.015,-0.8,2663493
06/01/2021,1.895,1.905,1.872,1.885,-0.03,-1.57,3553500
05/01/2021,1.89,1.925,1.89,1.915,-0.015,-0.78,3083268
04/01/2021,1.93,1.945,1.92,1.93,0.02,1.05,2978783
31/12/2020,2.08,2.08,1.91,1.91,-0.05,-2.55,2896725
30/12/2020,1.94,1.96,1.905,1.96,0.005,0.26,2910868
29/12/2020,1.98,1.995,1.945,1.955,-0.005,-0.26,2300230
24/12/2020,1.94,1.975,1.94,1.96,0.005,0.26,2661578
23/12/2020,1.965,1.985,1.932,1.955,0.01,0.51,5017461
22/12/2020,1.96,1.965,1.932,1.945,-0.005,-0.26,5355412
21/12/2020,1.965,1.975,1.94,1.95,-0.02,-1.02,3565046
18/12/2020,1.985,1.99,1.945,1.97,-0.02,-1.01,7171172
17/12/2020,1.99,2.02,1.98,1.99,-0.005,-0.25,4740346
16/12/2020,2.02,2.04,1.995,1.995,-0.015,-0.75,3902487
15/12/2020,2.01,2.03,2,2.01,0,0,3319190
14/12/2020,2.05,2.05,2.01,2.01,-0.03,-1.47,3179940
11/12/2020,2.06,2.08,2.03,2.04,-0.01,-0.49,9590740
10/12/2020,2.03,2.06,2.03,2.05,0.02,0.99,10549741
09/12/2020,1.98,2.06,1.98,2.03,0.06,3.05,9539458
08/12/2020,1.93,1.982,1.9225,1.97,0.035,1.81,4855393
07/12/2020,1.935,1.955,1.925,1.935,0.025,1.31,3509486
04/12/2020,1.905,1.9375,1.905,1.91,0.005,0.26,2339043
03/12/2020,1.915,1.93,1.885,1.905,-0.01,-0.52,4339607
02/12/2020,1.94,1.945,1.9,1.915,-0.035,-1.79,4633650
01/12/2020,1.915,1.967,1.91,1.95,0.035,1.83,7862392
30/11/2020,1.905,1.925,1.9,1.915,0.015,0.79,4958306
27/11/2020,1.895,1.905,1.88,1.9,0.01,0.53,5517007
26/11/2020,1.89,1.9,1.88,1.89,-0.01,-0.53,3031350
25/11/2020,1.87,1.9,1.865,1.9,0.03,1.6,4713740
24/11/2020,1.885,1.895,1.865,1.87,-0.015,-0.8,5526945
23/11/2020,1.865,1.885,1.86,1.885,0.025,1.34,2990350
20/11/2020,1.84,1.88,1.835,1.86,0.01,0.54,3989629
19/11/2020,1.82,1.85,1.81,1.85,0.01,0.54,4479831
18/11/2020,1.88,1.88,1.84,1.84,-0.015,-0.81,4456878
17/11/2020,1.885,1.895,1.85,1.855,-0.025,-1.33,4355941
16/11/2020,1.885,1.91,1.86,1.88,0.035,1.9,562452
13/11/2020,1.87,1.875,1.835,1.845,-0.04,-2.12,4524414
12/11/2020,1.89,1.9,1.87,1.885,0.02,1.07,4518910
11/11/2020,1.86,1.895,1.855,1.865,0.04,2.19,6606948
10/11/2020,1.88,1.89,1.805,1.825,-0.035,-1.88,6612531
09/11/2020,1.865,1.885,1.855,1.86,0.01,0.54,3147399
06/11/2020,1.83,1.855,1.805,1.85,0.015,0.82,5832740
05/11/2020,1.84,1.855,1.825,1.835,0,0,3890446
04/11/2020,1.8,1.845,1.785,1.835,0.01,0.55,5953154
03/11/2020,1.83,1.845,1.82,1.825,0.02,1.11,4556328
02/11/2020,1.815,1.815,1.775,1.805,0,0,5003106
30/10/2020,1.81,1.825,1.795,1.805,0.005,0.28,4595878
29/10/2020,1.805,1.82,1.79,1.8,-0.015,-0.83,5582204
28/10/2020,1.82,1.835,1.81,1.815,-0.025,-1.36,17503100
27/10/2020,1.85,1.86,1.83,1.84,-0.02,-1.08,3804581
26/10/2020,1.88,1.88,1.855,1.86,-0.025,-1.33,4018395
23/10/2020,1.87,1.885,1.86,1.885,0.005,0.27,2548890
22/10/2020,1.87,1.89,1.86,1.88,-0.005,-0.27,3540269
21/10/2020,1.885,1.905,1.885,1.885,-0.005,-0.26,2533116
20/10/2020,1.86,1.9,1.86,1.89,0.01,0.53,1972399
19/10/2020,1.87,1.89,1.862,1.88,0.015,0.8,3069011
16/10/2020,1.895,1.915,1.865,1.865,-0.035,-1.84,2620314
15/10/2020,1.885,1.905,1.87,1.9,0.01,0.53,9371187
14/10/2020,1.89,1.905,1.87,1.89,-0.005,-0.26,1502076
13/10/2020,1.89,1.905,1.875,1.895,0.025,1.34,3369199
12/10/2020,1.855,1.87,1.845,1.87,0.01,0.54,2010560
09/10/2020,1.85,1.865,1.84,1.86,0.01,0.54,4330635
08/10/2020,1.86,1.87,1.84,1.85,-0.02,-1.07,4292835
07/10/2020,1.895,1.905,1.87,1.87,-0.01,-0.53,3766740
06/10/2020,1.895,1.905,1.87,1.88,-0.01,-0.53,1992994
05/10/2020,1.875,1.92,1.875,1.89,0.04,2.16,2057577
02/10/2020,1.835,1.88,1.835,1.85,0.005,0.27,3492207
01/10/2020,1.815,1.85,1.815,1.845,0.03,1.65,3110524
30/09/2020,1.835,1.835,1.807,1.815,-0.045,-2.42,11806883
29/09/2020,1.89,1.905,1.85,1.86,-0.03,-1.59,3771759
28/09/2020,1.88,1.8925,1.87,1.89,0.01,0.53,5099635
