Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,12.78,12.98,12.57,12.97,0.12,0.93,5793351
29/01/2021,12.9,12.96,12.73,12.85,0.11,0.86,5641766
28/01/2021,12.95,13.05,12.63,12.74,-0.52,-3.92,6370737
27/01/2021,13.14,13.35,13.01,13.26,0.03,0.23,6314192
25/01/2021,13.44,13.52,13.085,13.23,-0.2,-1.49,6957403
22/01/2021,13.58,14.08,13.43,13.43,-0.19,-1.4,11251652
21/01/2021,13.75,13.76,13.47,13.62,0.21,1.57,14007889
20/01/2021,13.31,13.53,13.005,13.41,0.11,0.83,10688881
19/01/2021,12.96,13.67,12.85,13.3,0.44,3.42,17028425
18/01/2021,12.54,13.07,12.53,12.86,0.14,1.1,10081719
15/01/2021,12.77,12.83,12.52,12.72,-0.12,-0.93,11103335
14/01/2021,12.81,13.16,12.7,12.84,-0.22,-1.68,7964651
13/01/2021,12.77,13.1,12.63,13.06,0.26,2.03,6791479
12/01/2021,12.74,12.81,12.52,12.8,0.02,0.16,6719978
11/01/2021,12.53,12.84,12.43,12.78,-0.4,-3.03,5921540
08/01/2021,13.34,13.47,13.12,13.18,-0.13,-0.98,2068537
07/01/2021,13.4,13.5,13.17,13.31,-0.13,-0.97,3560072
06/01/2021,13.8,13.82,13.39,13.44,-0.3,-2.18,3859608
05/01/2021,13.64,13.84,13.57,13.74,0.45,3.39,4937541
04/01/2021,12.84,13.335,12.82,13.29,0.6,4.73,5331946
31/12/2020,12.69,12.85,12.61,12.69,0.15,1.2,1725796
30/12/2020,12.5,12.54,12.29,12.54,0.01,0.08,1873183
29/12/2020,12.5,12.69,12.45,12.53,0.04,0.32,1640051
24/12/2020,12.58,12.64,12.45,12.49,-0.03,-0.24,982667
23/12/2020,12.25,12.61,12.17,12.52,0.03,0.24,2468739
22/12/2020,12.61,12.73,12.38,12.49,-0.44,-3.4,3922610
21/12/2020,12.62,13,12.57,12.93,0.09,0.7,2712136
18/12/2020,12.81,13,12.69,12.84,0.27,2.15,7055565
17/12/2020,12.28,12.62,12.26,12.57,0.38,3.12,4496776
16/12/2020,12.14,12.29,12.03,12.19,0.48,4.1,3940219
15/12/2020,12.05,12.1,11.71,11.71,-0.46,-3.78,3952165
14/12/2020,12.32,12.48,12.13,12.17,-0.22,-1.78,2419176
11/12/2020,12.25,12.44,12.2,12.39,0.12,0.98,2938832
10/12/2020,12.75,12.75,12.18,12.27,-0.73,-5.62,5877571
09/12/2020,13.1,13.27,12.94,13,-0.03,-0.23,3593378
08/12/2020,13.12,13.2,12.83,13.03,0.25,1.96,4175201
07/12/2020,12.9,12.99,12.75,12.78,-0.06,-0.47,3421857
04/12/2020,12.99,13.1,12.72,12.84,-0.14,-1.08,3064500
03/12/2020,13.16,13.31,12.86,12.98,-0.03,-0.23,4287284
02/12/2020,13.21,13.3,12.92,13.01,0.15,1.17,3776064
01/12/2020,12.75,12.98,12.66,12.86,0.25,1.98,3819732
30/11/2020,12.7,12.77,12.51,12.61,-0.24,-1.87,5724752
27/11/2020,12.81,12.98,12.77,12.85,-0.04,-0.31,3835986
26/11/2020,12.75,12.99,12.63,12.89,0.37,2.96,5353687
25/11/2020,12.38,12.65,12.18,12.52,-0.2,-1.57,5987039
24/11/2020,13.56,13.56,12.67,12.72,-1.24,-8.88,7606840
23/11/2020,14.1,14.2,13.88,13.96,-0.07,-0.5,2414108
20/11/2020,14.1,14.18,13.88,14.03,-0.11,-0.78,3682678
19/11/2020,14.11,14.33,14.06,14.14,-0.26,-1.81,3875397
18/11/2020,14.48,14.69,14.31,14.4,-0.05,-0.35,3051340
17/11/2020,15.09,15.17,14.4,14.45,-0.74,-4.87,8120898
16/11/2020,15.2,15.24,15.12,15.19,0.08,0.53,143125
