Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,4.8,4.93,4.72,4.89,0.04,0.82,1373672
29/01/2021,4.75,4.93,4.75,4.85,0.1,2.11,1755494
28/01/2021,4.6,4.81,4.6,4.75,0.09,1.93,2391229
27/01/2021,4.6,4.68,4.56,4.66,0.02,0.43,1428119
25/01/2021,4.73,4.75,4.61,4.64,-0.1,-2.11,594410
22/01/2021,4.7,4.77,4.7,4.74,-0.01,-0.21,784883
21/01/2021,4.73,4.79,4.65,4.75,0.07,1.5,1772629
20/01/2021,4.58,4.72,4.56,4.68,0.13,2.86,1637164
19/01/2021,4.27,4.63,4.26,4.55,0.35,8.33,3524609
18/01/2021,4.16,4.21,4.115,4.2,0,0,793028
15/01/2021,4.12,4.24,4.1,4.2,0.08,1.94,2220609
14/01/2021,4.04,4.17,4.04,4.12,0.07,1.73,1539593
13/01/2021,4.12,4.14,4.03,4.05,0.01,0.25,1355592
12/01/2021,4.08,4.135,4.03,4.04,-0.03,-0.74,2686863
11/01/2021,4.08,4.13,4.025,4.07,-0.01,-0.25,1687156
08/01/2021,4.08,4.15,4.05,4.08,0.01,0.25,1483618
07/01/2021,4.05,4.11,4.03,4.07,0.08,2.01,1213565
06/01/2021,4.01,4.09,3.945,3.99,-0.05,-1.24,1918599
05/01/2021,4.07,4.08,4.025,4.04,-0.09,-2.18,968395
04/01/2021,4.12,4.14,4.07,4.13,0.03,0.73,707404
31/12/2020,4.27,4.28,4.1,4.1,-0.16,-3.76,517071
30/12/2020,4.19,4.26,4.135,4.26,0.04,0.95,669876
29/12/2020,4.22,4.23,4.18,4.22,0.06,1.44,550927
24/12/2020,4.17,4.21,4.135,4.16,-0.01,-0.24,366803
23/12/2020,4.16,4.21,4.11,4.17,-0.01,-0.24,1184959
22/12/2020,4.25,4.26,4.15,4.18,-0.13,-3.02,1144391
21/12/2020,4.29,4.33,4.18,4.31,-0.03,-0.69,1507814
18/12/2020,4.19,4.35,4.12,4.34,0.2,4.83,2001523
17/12/2020,4.15,4.19,4.12,4.14,0,0,1229644
16/12/2020,4.22,4.23,4.13,4.14,-0.03,-0.72,1051461
15/12/2020,4.22,4.26,4.16,4.17,-0.06,-1.42,1354814
