Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,17.06,17.24,16.78,17.07,-0.19,-1.1,362229
29/01/2021,17.2,17.65,17.11,17.26,0.39,2.31,295335
28/01/2021,17.65,17.855,16.8,16.87,-1.05,-5.86,495863
27/01/2021,18.69,18.71,17.87,17.92,-0.57,-3.08,477004
25/01/2021,17.8,18.52,17.8,18.49,0.74,4.17,283571
22/01/2021,17.72,17.94,17.36,17.75,0.02,0.11,1077972
21/01/2021,16.78,18.05,16.64,17.73,1.86,11.72,1204109
20/01/2021,15.1,15.99,15,15.87,0.84,5.59,667309
19/01/2021,14.88,15.1,14.88,15.03,0.17,1.14,155874
18/01/2021,14.7,15.07,14.5,14.86,0.13,0.88,217441
15/01/2021,14.85,14.98,14.72,14.73,-0.38,-2.51,323207
14/01/2021,14.94,15.4,14.77,15.11,0.04,0.27,432562
13/01/2021,14.2,15.26,14.2,15.07,0.57,3.93,684420
12/01/2021,14.44,14.79,14.42,14.5,-0.51,-3.4,678704
11/01/2021,15.29,15.61,14.95,15.01,-0.55,-3.53,317010
08/01/2021,15.58,15.78,15.37,15.56,-0.09,-0.58,455346
07/01/2021,16.18,16.21,15.48,15.65,-0.22,-1.39,276213
06/01/2021,15.77,16.09,15.7,15.87,-0.18,-1.12,300459
05/01/2021,16,16.31,15.8,16.05,-0.3,-1.83,370236
04/01/2021,15.7,16.48,15.7,16.35,0.41,2.57,291719
31/12/2020,15.86,16.03,15.73,15.94,0.08,0.5,157239
30/12/2020,15.75,15.94,15.65,15.86,-0.07,-0.44,249104
29/12/2020,16,16,15.85,15.93,0.08,0.5,177227
24/12/2020,16.35,16.37,15.78,15.85,-0.53,-3.24,146262
23/12/2020,16.65,16.74,16.26,16.38,-0.06,-0.36,164838
22/12/2020,15.96,16.56,15.94,16.44,0.46,2.88,296300
21/12/2020,16.32,16.4,15.55,15.98,-0.59,-3.56,528616
18/12/2020,17.04,17.08,16.51,16.57,-0.46,-2.7,356054
17/12/2020,16.25,17.17,16.16,17.03,1.09,6.84,606751
16/12/2020,16.07,16.15,15.81,15.94,0.01,0.06,425494
15/12/2020,15.8,16.26,15.66,15.93,0.07,0.44,219427
14/12/2020,15.9,16.28,15.86,15.86,-0.11,-0.69,208539
11/12/2020,15.89,16.33,15.89,15.97,-0.09,-0.56,276931
10/12/2020,16,16.38,15.95,16.06,0,0,285707
09/12/2020,16.17,16.35,15.93,16.06,-0.11,-0.68,376929
08/12/2020,16.44,16.57,16.11,16.17,-0.34,-2.06,265052
07/12/2020,16.72,16.86,16.495,16.51,0.1,0.61,244134
04/12/2020,16.56,16.9,16.33,16.41,0.05,0.31,415895
03/12/2020,16.13,16.42,16,16.36,0.23,1.43,334188
02/12/2020,16.58,16.75,16.13,16.13,-0.4,-2.42,472903
01/12/2020,16.7,16.82,16.5,16.53,-0.3,-1.78,468704
30/11/2020,16.35,16.83,16.3,16.83,0.53,3.25,659418
27/11/2020,16.51,16.51,16.2,16.3,-0.03,-0.18,366474
26/11/2020,16,16.55,15.93,16.33,0.48,3.03,731280
25/11/2020,16.91,17.07,15.74,15.85,-1,-5.93,1124141
24/11/2020,17.23,17.3,16.59,16.85,0.02,0.12,434295
23/11/2020,16.84,17.2,16.69,16.83,0.08,0.48,404418
20/11/2020,16.54,16.84,16.45,16.75,0.01,0.06,245658
19/11/2020,16.4,16.82,16.27,16.74,0.43,2.64,1627566
18/11/2020,16.24,16.43,16.24,16.31,0.01,0.06,631173
17/11/2020,17.19,17.25,16.05,16.3,-0.96,-5.56,822457
16/11/2020,17.3,17.38,17.11,17.26,0.2,1.17,26770
13/11/2020,16.98,17.25,16.85,17.06,0.18,1.07,386866
12/11/2020,17.27,17.45,16.72,16.88,-0.22,-1.29,1215311
11/11/2020,17,17.3,16.69,17.1,0.17,1,651300
10/11/2020,18.07,18.14,16.88,16.93,-0.9,-5.05,699742
09/11/2020,17.6,17.87,17.36,17.83,0.21,1.19,395474
06/11/2020,17.96,18.2,17.5,17.62,0.19,1.09,338809
05/11/2020,17.16,17.71,17.06,17.43,0.27,1.57,511497
04/11/2020,17.23,17.39,16.65,17.16,-0.29,-1.66,523736
03/11/2020,17.06,17.61,16.9,17.45,0.36,2.11,509436
02/11/2020,17.29,17.54,17.02,17.09,-0.19,-1.1,703211
30/10/2020,17.78,17.88,17.28,17.28,-0.51,-2.87,417764
29/10/2020,17.65,18,17.43,17.79,-0.13,-0.73,691857
28/10/2020,17.02,18.03,16.8,17.92,0.64,3.7,722077
27/10/2020,17.4,17.57,17.04,17.28,-0.32,-1.82,1179509
26/10/2020,17.99,18.29,17.53,17.6,-0.29,-1.62,796903
23/10/2020,18.42,18.5,17.73,17.89,-0.46,-2.51,450289
22/10/2020,17.91,18.47,17.81,18.35,0.24,1.33,840683
21/10/2020,18.59,18.67,18.03,18.11,-0.1,-0.55,658007
20/10/2020,17.95,18.42,17.89,18.21,-0.08,-0.44,789482
19/10/2020,18.32,18.67,18.21,18.29,0.25,1.39,625089
16/10/2020,17.91,18.25,17.87,18.04,0.13,0.73,936046
15/10/2020,18.23,18.32,17.87,17.91,-0.15,-0.83,909070
14/10/2020,17.77,18.31,17.71,18.06,0.27,1.52,745198
13/10/2020,18.01,18.2,17.67,17.79,-0.1,-0.56,934101
12/10/2020,17.95,18.09,17.51,17.89,-0.02,-0.11,658210
09/10/2020,17.55,18.17,17.55,17.91,0.64,3.71,831848
08/10/2020,17.24,17.42,16.44,17.27,1.32,8.28,1031136
07/10/2020,15.59,16,15.49,15.95,0.35,2.24,659001
06/10/2020,15.68,15.7,15.37,15.6,-0.08,-0.51,334166
05/10/2020,15.76,15.99,15.54,15.68,0.27,1.75,335259
02/10/2020,15.78,15.79,15.29,15.41,-0.09,-0.58,412053
01/10/2020,15.39,15.66,15.26,15.5,0.32,2.11,342576
30/09/2020,15.15,15.39,15.01,15.18,-0.16,-1.04,620074
29/09/2020,15.09,15.38,14.98,15.34,0.43,2.88,495189
28/09/2020,14.75,15.13,14.65,14.91,0.07,0.47,697689
25/09/2020,14.66,14.93,14.42,14.84,0,0,713507
24/09/2020,14.69,15.2,14.63,14.84,0.03,0.2,716741
23/09/2020,14.8,15.1,14.72,14.81,0.16,1.09,930050
22/09/2020,14.2,14.77,14.19,14.65,0.11,0.76,832869
21/09/2020,15.35,15.35,14.36,14.54,-0.72,-4.72,614938
18/09/2020,15.39,15.39,14.78,15.26,0.05,0.33,1230933
17/09/2020,15.47,15.56,15.07,15.21,0.03,0.2,723834
16/09/2020,14.51,15.31,14.51,15.18,0.78,5.42,841079
15/09/2020,13.9,14.55,13.85,14.4,0.39,2.78,582625
14/09/2020,14.6,14.67,13.87,14.01,-0.45,-3.11,430685
11/09/2020,14.39,14.81,14.05,14.46,0.02,0.14,428895
10/09/2020,14.13,14.69,14.13,14.44,0.49,3.51,1033622
09/09/2020,13.72,14.14,13.71,13.95,-0.31,-2.17,449981
08/09/2020,14.24,14.48,14.23,14.26,0.08,0.56,598681
07/09/2020,13.9,14.21,13.81,14.18,-0.06,-0.42,333182
04/09/2020,14.3,14.59,14.13,14.24,-0.68,-4.56,566922
03/09/2020,15,15.03,14.41,14.92,0.22,1.5,948532
02/09/2020,14.7,15.18,14.61,14.7,0.33,2.3,820642
01/09/2020,13.78,14.49,13.78,14.37,0.37,2.64,611783
31/08/2020,13.7,14.23,13.56,14,0.2,1.45,535181
28/08/2020,13.8,13.86,13.65,13.8,-0.09,-0.65,385245
27/08/2020,13.75,14.22,13.7,13.89,0.2,1.46,1829722
26/08/2020,13.75,13.99,13.57,13.69,-0.02,-0.15,860857
25/08/2020,14.03,14.33,13.35,13.71,-0.3,-2.14,1395326
24/08/2020,13.8,14.19,13.8,14.01,0.28,2.04,6772833
21/08/2020,14.24,14.34,13.73,13.73,-0.51,-3.58,643003
20/08/2020,14.01,14.52,14,14.24,0.02,0.14,1369309
19/08/2020,14.13,14.41,13.97,14.22,0.12,0.85,956289
18/08/2020,13.95,14.67,13.33,14.1,1.1,8.46,1705145
17/08/2020,12.96,13.1,12.79,13,0.19,1.48,477513
14/08/2020,12.67,12.98,12.51,12.81,0.14,1.1,460676
13/08/2020,12.3,12.87,12.15,12.67,0.34,2.76,919503
12/08/2020,13.2,13.2,12.04,12.33,-0.87,-6.59,965944
11/08/2020,12.74,13.44,12.58,13.2,0.4,3.12,1383970
10/08/2020,12.6,12.96,12.35,12.8,0.2,1.59,469506
07/08/2020,12.68,12.78,12.49,12.6,-0.18,-1.41,396034
06/08/2020,13.04,13.23,12.69,12.78,-0.15,-1.16,812223
05/08/2020,12.67,13.1,12.66,12.93,0.08,0.62,1109484
04/08/2020,13.32,13.38,12.69,12.85,0.2,1.58,831619
03/08/2020,12.01,12.76,12.01,12.65,0.64,5.33,1206662
31/07/2020,12.62,12.63,11.94,12.01,-0.66,-5.21,561431
30/07/2020,12.44,12.92,12.44,12.67,0.23,1.85,459091
29/07/2020,12.57,12.7,12.26,12.44,-0.16,-1.27,741483
28/07/2020,12.49,12.78,12.37,12.6,0.42,3.45,640666
27/07/2020,12.44,12.8,11.93,12.18,0.23,1.92,637231
24/07/2020,11.65,12.12,11.65,11.95,0.05,0.42,606487
23/07/2020,11.7,12.07,11.7,11.9,0.22,1.88,509030
22/07/2020,11.41,11.81,11.41,11.68,0.03,0.26,656021
21/07/2020,11.21,11.85,11.12,11.65,-0.02,-0.17,1049526
20/07/2020,11.95,11.98,11.5,11.67,-0.03,-0.26,553333
17/07/2020,11.79,12.15,11.67,11.7,0.05,0.43,1312694
16/07/2020,11.31,11.85,11.165,11.65,0.34,3.01,868728
15/07/2020,11.72,11.72,11.17,11.31,0.03,0.27,1251178
14/07/2020,11.32,11.4,11.17,11.28,0.06,0.53,603843
13/07/2020,10.77,11.37,10.73,11.22,0.52,4.86,1006329
10/07/2020,10.76,10.76,10.29,10.7,0.57,5.63,5086676
09/07/2020,9.57,10.2,9.56,10.13,0.85,9.16,1095505
08/07/2020,9.2,9.57,9.17,9.28,0.04,0.43,732462
07/07/2020,9.11,9.47,9.11,9.24,0.15,1.65,623161
06/07/2020,9.15,9.31,9.05,9.09,0.05,0.55,363300
03/07/2020,9.35,9.37,8.8,9.04,-0.44,-4.64,2383429
02/07/2020,9.3,9.69,9.3,9.48,0.33,3.61,536196
01/07/2020,9.21,9.49,9.08,9.15,0.18,2.01,434465
30/06/2020,9.15,9.15,8.77,8.97,0.08,0.9,434469
29/06/2020,9.25,9.25,8.86,8.89,-0.31,-3.37,441896
26/06/2020,9.13,9.34,9.01,9.2,0.23,2.56,504998
25/06/2020,9.02,9.21,8.83,8.97,-0.06,-0.66,548672
24/06/2020,9.09,9.29,8.85,9.03,0.06,0.67,470239
23/06/2020,9.18,9.29,8.87,8.97,-0.08,-0.88,575926
22/06/2020,9.19,9.19,8.92,9.05,0.02,0.22,761428
19/06/2020,8.48,9.07,8.36,9.03,0.75,9.06,1253603
18/06/2020,8.35,8.35,8.08,8.28,-0.05,-0.6,1280063
17/06/2020,8.15,8.4,8.09,8.33,0.22,2.71,495142
16/06/2020,8.34,8.34,8.03,8.11,0.18,2.27,360038
15/06/2020,8,8.05,7.91,7.93,-0.1,-1.25,739040
12/06/2020,8,8.2,7.91,8.03,-0.07,-0.86,365843
11/06/2020,8.09,8.25,8.06,8.1,-0.16,-1.94,574264
10/06/2020,8.17,8.345,8.01,8.26,0.09,1.1,949788
09/06/2020,8.72,8.91,8.1,8.17,-0.43,-5,1024757
05/06/2020,8.56,8.65,8.48,8.6,0,0,348289
04/06/2020,8.54,8.74,8.53,8.6,0.1,1.18,559222
03/06/2020,8.5,8.76,8.3,8.5,-0.01,-0.12,425179
02/06/2020,8.42,8.69,8.26,8.51,0.32,3.91,567967
01/06/2020,8.25,8.34,8.1,8.19,-0.1,-1.21,293465
29/05/2020,8.14,8.5,8.14,8.29,0.16,1.97,406445
28/05/2020,8.48,8.56,8.08,8.13,-0.21,-2.52,545100
27/05/2020,8.09,8.45,8.07,8.34,0.35,4.38,466779
26/05/2020,8.02,8.13,7.83,7.99,0.06,0.76,730476
25/05/2020,7.87,7.95,7.8,7.93,0.21,2.72,313570
22/05/2020,7.7,7.96,7.58,7.72,-0.05,-0.64,461353
21/05/2020,7.82,7.97,7.66,7.77,-0.12,-1.52,364013
20/05/2020,7.6,7.95,7.59,7.89,0.23,3,361542
19/05/2020,7.6,7.7,7.53,7.66,0.11,1.46,374828
18/05/2020,7.7,7.8,7.49,7.55,-0.05,-0.66,559166
15/05/2020,7.43,7.64,7.37,7.6,0.17,2.29,151563
14/05/2020,7.7,7.7,7.39,7.43,-0.3,-3.88,403095
13/05/2020,7.33,7.8,7.28,7.73,-0.03,-0.39,369081
12/05/2020,7.95,8,7.62,7.76,-0.11,-1.4,324435
11/05/2020,7.82,8.09,7.76,7.87,0.07,0.9,697139
08/05/2020,7.88,7.88,7.7,7.8,0.19,2.5,695142
07/05/2020,7.42,7.7,7.31,7.61,0.28,3.82,1104910
06/05/2020,7.31,7.57,7.2,7.33,-0.16,-2.14,432763
05/05/2020,7.21,7.57,7.21,7.49,-0.04,-0.53,681418
04/05/2020,7.12,7.56,7.12,7.53,0.22,3.01,572564
01/05/2020,7.43,7.51,7.31,7.31,-0.28,-3.69,526161
30/04/2020,8.01,8.1,7.51,7.59,-0.37,-4.65,448718
29/04/2020,7.77,7.96,7.65,7.96,0.25,3.24,366355
28/04/2020,7.63,7.77,7.57,7.71,0.08,1.05,232281
27/04/2020,7.12,7.67,7.12,7.63,0.21,2.83,233025
24/04/2020,7.19,7.64,7.13,7.42,0.16,2.2,612068
23/04/2020,7.5,7.66,7.13,7.26,-0.14,-1.89,812494
22/04/2020,7.43,7.79,7.29,7.4,-0.1,-1.33,741050
21/04/2020,7.2,7.56,7.2,7.5,0.07,0.94,556857
20/04/2020,7.6,7.93,7.355,7.43,-0.15,-1.98,822323
17/04/2020,7.95,8.1,7.54,7.58,-0.39,-4.89,495746
16/04/2020,7.78,8.04,7.61,7.97,0.1,1.27,719652
15/04/2020,7.7,7.95,7.26,7.87,0.08,1.03,780921
14/04/2020,7.39,7.93,7.22,7.79,0.15,1.96,724657
09/04/2020,7.46,7.89,7.46,7.64,0.32,4.37,1772086
