Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,24.44,24.99,24.4,24.99,0.69,2.84,154630
29/01/2021,24.81,24.81,24.26,24.3,-0.35,-1.42,112333
28/01/2021,24.55,24.82,24.28,24.65,0.73,3.05,252329
27/01/2021,24.16,24.47,23.92,23.92,0.47,2,210462
25/01/2021,24.3,24.3,23.45,23.45,-0.64,-2.66,81073
22/01/2021,23.87,24.16,23.87,24.09,-0.02,-0.08,198715
21/01/2021,23.94,24.18,23.76,24.11,0.31,1.3,397922
20/01/2021,23.84,23.93,23.71,23.8,0.13,0.55,494325
19/01/2021,23.8,23.8,23.59,23.67,0.12,0.51,130577
18/01/2021,23.52,23.75,23.44,23.55,0.17,0.73,433280
15/01/2021,23.3,23.55,23.3,23.38,0.21,0.91,301195
14/01/2021,23.21,23.28,22.98,23.17,-0.01,-0.04,192447
13/01/2021,23.16,23.35,23.04,23.18,-0.52,-2.19,188537
12/01/2021,23.7,23.83,23.56,23.7,0.4,1.72,155850
11/01/2021,23.28,23.5,23.19,23.3,-0.33,-1.4,273560
08/01/2021,23.42,23.68,23.18,23.63,-0.37,-1.54,156054
07/01/2021,23.85,24.28,23.85,24,0.98,4.26,500750
06/01/2021,23.01,23.22,22.88,23.02,-0.15,-0.65,347709
05/01/2021,23.11,23.4,23.08,23.17,0.01,0.04,328928
04/01/2021,23.27,23.27,22.98,23.16,0.02,0.09,32688
31/12/2020,23.14,23.3,22.95,23.14,-0.07,-0.3,104218
30/12/2020,23.2,23.42,23.02,23.21,-0.34,-1.44,188919
29/12/2020,23.7,23.7,23.47,23.55,0.6,2.61,218431
24/12/2020,23.12,23.12,22.88,22.95,0.07,0.31,100531
23/12/2020,23.22,23.26,22.88,22.88,-0.02,-0.09,158471
22/12/2020,22.95,23.22,22.85,22.9,0.13,0.57,295295
21/12/2020,22.79,22.92,22.58,22.77,-0.07,-0.31,88703
18/12/2020,23.32,23.32,22.84,22.84,-0.53,-2.27,357124
17/12/2020,23.32,23.54,23.19,23.37,-0.34,-1.43,171584
16/12/2020,23.85,23.85,23.57,23.71,0.44,1.89,435872
15/12/2020,23.36,23.59,23.25,23.27,-0.24,-1.02,138110
14/12/2020,23.7,23.97,23.49,23.51,-0.54,-2.25,136710
11/12/2020,23.83,24.28,23.83,24.05,-0.19,-0.78,187787
10/12/2020,24.42,24.535,24.13,24.24,-0.44,-1.78,256316
09/12/2020,24.79,24.83,24.575,24.68,-0.12,-0.48,116359
08/12/2020,24.7,25.01,24.7,24.8,-0.04,-0.16,98149
07/12/2020,24.83,25.06,24.67,24.84,0.04,0.16,183057
04/12/2020,24.72,24.91,24.7,24.8,0.18,0.73,157809
03/12/2020,24.79,24.89,24.57,24.62,0.15,0.61,124392
02/12/2020,24.6,24.75,24.34,24.47,-0.13,-0.53,135870
01/12/2020,24.13,24.65,24.1,24.6,0.52,2.16,138669
30/11/2020,24.43,24.48,24.08,24.08,-0.48,-1.95,219586
27/11/2020,24.84,24.84,24.34,24.56,-0.2,-0.81,112351
26/11/2020,24.8,25.27,24.51,24.76,-0.15,-0.6,218812
25/11/2020,24.34,25.02,24.34,24.91,0.39,1.59,115775
24/11/2020,24.46,24.64,24.32,24.52,0.52,2.17,225822
23/11/2020,23.82,24.17,23.81,24,0.1,0.42,83579
20/11/2020,23.95,24.13,23.88,23.9,-0.05,-0.21,169523
