Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,11.5,11.63,11.31,11.63,0.03,0.26,2609990
29/01/2021,11.66,11.88,11.6,11.6,0.1,0.87,2699016
28/01/2021,11.65,11.77,11.33,11.5,-0.43,-3.6,2475203
27/01/2021,12,12,11.81,11.93,0.12,1.02,1285572
25/01/2021,11.82,11.85,11.61,11.81,0,0,1218027
22/01/2021,11.95,11.99,11.81,11.81,-0.12,-1.01,1012991
21/01/2021,12.1,12.22,11.88,11.93,-0.03,-0.25,1728520
20/01/2021,11.74,12.055,11.645,11.96,0.26,2.22,1823958
19/01/2021,11.56,11.79,11.55,11.7,0.22,1.92,1075989
18/01/2021,11.43,11.61,11.3,11.48,0,0,1728646
15/01/2021,11.76,11.86,11.47,11.48,-0.38,-3.2,1594806
14/01/2021,11.74,11.94,11.66,11.86,0.27,2.33,1407716
13/01/2021,12.01,12.04,11.59,11.59,-0.48,-3.98,1696263
12/01/2021,11.93,12.26,11.87,12.07,0.11,0.92,2278946
11/01/2021,12.2,12.2,11.92,11.96,-0.25,-2.05,1823707
08/01/2021,12,12.26,11.93,12.21,0.34,2.86,1831656
07/01/2021,11.8,11.94,11.75,11.87,0.07,0.59,1869816
06/01/2021,12.19,12.22,11.75,11.8,-0.49,-3.99,2267184
05/01/2021,12.31,12.43,12.21,12.29,-0.08,-0.65,1269008
04/01/2021,12.23,12.37,12.17,12.37,0.14,1.14,977524
31/12/2020,12.28,12.305,12.195,12.23,0,0,466483
30/12/2020,12.29,12.33,12.17,12.23,-0.17,-1.37,929151
29/12/2020,12.25,12.4,12.2,12.4,0.2,1.64,873157
24/12/2020,12.35,12.35,12.16,12.2,-0.12,-0.97,497273
23/12/2020,12.35,12.51,12.28,12.32,0.09,0.74,759742
22/12/2020,12.21,12.28,12.14,12.23,-0.08,-0.65,1967262
21/12/2020,12.02,12.31,12.02,12.31,0.1,0.82,1698910
18/12/2020,12.37,12.49,12.135,12.21,-0.04,-0.33,3636579
17/12/2020,11.92,12.3,11.9,12.25,0.32,2.68,2236673
16/12/2020,11.57,11.99,11.49,11.93,0.5,4.37,3369599
15/12/2020,11.8,11.82,11.32,11.43,-0.37,-3.14,2813718
14/12/2020,11.92,11.94,11.75,11.8,-0.05,-0.42,1701696
11/12/2020,11.92,11.94,11.75,11.85,-0.04,-0.34,1666949
10/12/2020,11.76,11.96,11.66,11.89,0.13,1.11,3231070
09/12/2020,11.54,11.76,11.46,11.76,0.41,3.61,2585053
08/12/2020,11.38,11.52,11.34,11.35,0.03,0.27,2738446
07/12/2020,11.78,11.78,11.32,11.32,-0.38,-3.25,2844758
04/12/2020,11.74,11.86,11.59,11.7,0.2,1.74,2731919
