Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,3.93,3.98,3.82,3.89,-0.06,-1.52,588904
29/01/2021,4.02,4.02,3.9,3.95,0.02,0.51,1158785
28/01/2021,4.01,4.03,3.88,3.93,-0.12,-2.96,788157
27/01/2021,4.12,4.12,4.02,4.05,-0.07,-1.7,755236
25/01/2021,4.09,4.19,4.03,4.12,0.13,3.26,1385529
22/01/2021,3.98,4.03,3.96,3.99,-0.01,-0.25,524333
21/01/2021,3.98,4.03,3.97,4,0.03,0.76,588815
20/01/2021,4.01,4.08,3.97,3.97,-0.1,-2.46,590073
19/01/2021,4.02,4.07,3.99,4.07,0.06,1.5,504889
18/01/2021,4.1,4.11,3.97,4.01,-0.06,-1.47,749178
15/01/2021,4.14,4.22,4.065,4.07,-0.14,-3.33,749279
14/01/2021,4.2,4.21,4.13,4.21,0.01,0.24,675644
13/01/2021,4.14,4.2,4.11,4.2,0.01,0.24,575803
12/01/2021,4.15,4.31,4.11,4.19,0.03,0.72,778750
11/01/2021,4.32,4.32,4.16,4.16,-0.23,-5.24,514509
08/01/2021,4.38,4.455,4.345,4.39,-0.04,-0.9,476915
07/01/2021,4.54,4.54,4.425,4.43,-0.02,-0.45,386398
06/01/2021,4.56,4.56,4.38,4.45,-0.11,-2.41,1078271
05/01/2021,4.39,4.62,4.38,4.56,0.13,2.93,1119530
04/01/2021,4.35,4.43,4.305,4.43,0.13,3.02,659538
31/12/2020,4.2,4.32,4.17,4.3,0.11,2.63,502056
30/12/2020,4.1,4.2,4.02,4.19,0.07,1.7,796442
29/12/2020,3.96,4.12,3.92,4.12,0.24,6.19,820289
24/12/2020,3.9,3.94,3.865,3.88,0.04,1.04,220219
23/12/2020,3.8,3.89,3.8,3.84,0.06,1.59,574218
22/12/2020,3.88,3.88,3.74,3.78,-0.17,-4.3,950014
21/12/2020,3.98,4,3.915,3.95,-0.02,-0.5,625740
18/12/2020,4.06,4.08,3.9,3.97,-0.12,-2.93,1141328
17/12/2020,4.04,4.09,3.975,4.09,0.06,1.49,967765
16/12/2020,4.09,4.1,4.02,4.03,-0.02,-0.49,674230
