Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,2.49,2.545,2.46,2.52,0.01,0.4,3075167
29/01/2021,2.47,2.595,2.46,2.51,0.08,3.29,4428777
28/01/2021,2.43,2.47,2.43,2.43,-0.03,-1.22,3330631
27/01/2021,2.48,2.5,2.45,2.46,-0.05,-1.99,3540234
25/01/2021,2.56,2.57,2.51,2.51,-0.04,-1.57,1256287
22/01/2021,2.52,2.57,2.515,2.55,0,0,2231752
21/01/2021,2.55,2.55,2.53,2.55,0.02,0.79,3059408
20/01/2021,2.5,2.54,2.495,2.53,0.02,0.8,2022313
19/01/2021,2.51,2.54,2.495,2.51,0,0,4374754
18/01/2021,2.51,2.53,2.49,2.51,-0.02,-0.79,1743740
15/01/2021,2.52,2.55,2.51,2.53,0,0,3965538
14/01/2021,2.52,2.56,2.5,2.53,-0.05,-1.94,3063990
13/01/2021,2.61,2.65,2.55,2.58,-0.02,-0.77,3412661
12/01/2021,2.6,2.67,2.6,2.6,0,0,2533595
11/01/2021,2.64,2.665,2.59,2.6,-0.06,-2.26,2283902
08/01/2021,2.67,2.7,2.65,2.66,-0.01,-0.37,2927293
07/01/2021,2.66,2.71,2.66,2.67,0.01,0.38,3962742
06/01/2021,2.68,2.72,2.65,2.66,-0.04,-1.48,2132416
05/01/2021,2.68,2.73,2.67,2.7,-0.01,-0.37,1874513
04/01/2021,2.74,2.74,2.7,2.71,0.01,0.37,1341161
31/12/2020,2.75,2.76,2.7,2.7,-0.05,-1.82,1327534
30/12/2020,2.7,2.76,2.7,2.75,0.04,1.48,1227665
29/12/2020,2.72,2.73,2.7,2.71,0.02,0.74,866458
24/12/2020,2.72,2.72,2.69,2.69,-0.02,-0.74,828475
23/12/2020,2.71,2.74,2.695,2.71,0,0,1259176
22/12/2020,2.75,2.77,2.69,2.71,-0.07,-2.52,2269089
21/12/2020,2.74,2.79,2.73,2.78,0.01,0.36,3744259
18/12/2020,2.73,2.77,2.705,2.77,0.01,0.36,9201150
17/12/2020,2.68,2.76,2.66,2.76,0.1,3.76,6258409
16/12/2020,2.67,2.69,2.64,2.66,-0.03,-1.12,3075281
15/12/2020,2.67,2.695,2.66,2.69,0.01,0.37,2247257
14/12/2020,2.68,2.71,2.65,2.68,0.01,0.37,2828737
11/12/2020,2.63,2.69,2.61,2.67,0.01,0.38,4395649
10/12/2020,2.68,2.71,2.66,2.66,-0.03,-1.12,2828659
09/12/2020,2.69,2.72,2.68,2.69,0.02,0.75,2216688
08/12/2020,2.66,2.69,2.66,2.67,-0.01,-0.37,3517916
07/12/2020,2.7,2.73,2.66,2.68,-0.01,-0.37,1544273
04/12/2020,2.65,2.715,2.64,2.69,0.03,1.13,3343247
03/12/2020,2.63,2.71,2.63,2.66,0.01,0.38,3841419
02/12/2020,2.65,2.66,2.62,2.65,-0.02,-0.75,4271683
01/12/2020,2.64,2.68,2.64,2.67,0.02,0.75,3323505
30/11/2020,2.72,2.73,2.62,2.65,-0.07,-2.57,6794947
27/11/2020,2.75,2.75,2.7,2.72,-0.02,-0.73,2443730
26/11/2020,2.77,2.78,2.74,2.74,-0.02,-0.72,2039299
25/11/2020,2.75,2.77,2.705,2.76,0.03,1.1,7584612
24/11/2020,2.77,2.78,2.72,2.73,-0.01,-0.36,4167157
23/11/2020,2.78,2.79,2.72,2.74,-0.04,-1.44,4071491
20/11/2020,2.75,2.8,2.75,2.78,0,0,2823274
19/11/2020,2.79,2.79,2.75,2.78,0,0,4942626
18/11/2020,2.76,2.79,2.725,2.78,0.02,0.72,3350333
17/11/2020,2.79,2.795,2.72,2.76,0,0,5475952
16/11/2020,2.75,2.77,2.74,2.76,0.04,1.47,132182
13/11/2020,2.73,2.76,2.7,2.72,-0.04,-1.45,4004276
12/11/2020,2.79,2.8,2.73,2.76,-0.03,-1.08,2649832
11/11/2020,2.8,2.825,2.76,2.79,0,0,5571799
10/11/2020,2.75,2.8,2.75,2.79,0.07,2.57,6029700
09/11/2020,2.66,2.725,2.65,2.72,0.05,1.87,3984349
06/11/2020,2.71,2.71,2.64,2.67,-0.01,-0.37,4134864
05/11/2020,2.62,2.68,2.6,2.68,0.05,1.9,4104508
04/11/2020,2.63,2.68,2.6,2.63,-0.02,-0.75,4412885
03/11/2020,2.57,2.705,2.56,2.65,0.07,2.71,7111484
02/11/2020,2.58,2.6,2.54,2.58,0,0,4990411
30/10/2020,2.59,2.61,2.57,2.58,-0.06,-2.27,4821348
29/10/2020,2.65,2.665,2.62,2.64,-0.05,-1.86,4058755
28/10/2020,2.67,2.71,2.66,2.69,-0.01,-0.37,3885027
27/10/2020,2.76,2.79,2.67,2.7,-0.04,-1.46,5110918
26/10/2020,2.75,2.775,2.71,2.74,0,0,7399783
23/10/2020,2.7,2.76,2.675,2.74,0.05,1.86,3414915
22/10/2020,2.71,2.73,2.66,2.69,-0.02,-0.74,8927279
21/10/2020,2.54,2.74,2.49,2.71,0.2,7.97,10215341
20/10/2020,2.53,2.54,2.49,2.51,-0.04,-1.57,3823706
19/10/2020,2.55,2.57,2.53,2.55,0,0,2803382
16/10/2020,2.55,2.57,2.52,2.55,-0.01,-0.39,4039878
15/10/2020,2.5,2.57,2.48,2.56,0.07,2.81,3727518
14/10/2020,2.49,2.52,2.46,2.49,-0.01,-0.4,5076451
13/10/2020,2.55,2.55,2.5,2.5,-0.02,-0.79,3724741
12/10/2020,2.51,2.535,2.5,2.52,-0.01,-0.4,2992801
09/10/2020,2.49,2.56,2.48,2.53,0.06,2.43,5390742
08/10/2020,2.45,2.49,2.44,2.47,0.03,1.23,6221191
07/10/2020,2.42,2.45,2.41,2.44,0.01,0.41,2555802
06/10/2020,2.44,2.46,2.42,2.43,0,0,2905105
05/10/2020,2.44,2.46,2.41,2.43,0.03,1.25,1870185
02/10/2020,2.44,2.44,2.38,2.4,-0.05,-2.04,5161611
01/10/2020,2.4,2.48,2.39,2.45,0.05,2.08,6950361
30/09/2020,2.39,2.44,2.36,2.4,-0.02,-0.83,6348771
29/09/2020,2.44,2.45,2.39,2.42,0,0,2636266
28/09/2020,2.42,2.43,2.41,2.42,0.01,0.41,3885536
25/09/2020,2.41,2.425,2.39,2.41,-0.01,-0.41,3127996
24/09/2020,2.44,2.46,2.4,2.42,-0.05,-2.02,3087669
23/09/2020,2.42,2.48,2.41,2.47,0.07,2.92,7696830
22/09/2020,2.37,2.42,2.36,2.4,-0.01,-0.41,5999405
21/09/2020,2.4,2.41,2.36,2.41,0.02,0.84,5038591
18/09/2020,2.42,2.42,2.33,2.39,-0.02,-0.83,13156224
17/09/2020,2.36,2.42,2.35,2.41,0.07,2.99,5014897
16/09/2020,2.33,2.36,2.31,2.34,0.01,0.43,5934451
15/09/2020,2.33,2.35,2.31,2.33,-0.01,-0.43,4245332
14/09/2020,2.3,2.345,2.28,2.34,0.07,3.08,3825635
11/09/2020,2.25,2.29,2.24,2.27,0,0,3977500
10/09/2020,2.25,2.27,2.24,2.27,0.04,1.79,3687457
09/09/2020,2.23,2.24,2.19,2.23,-0.05,-2.19,6258100
08/09/2020,2.25,2.28,2.25,2.28,0.02,0.88,3391174
07/09/2020,2.25,2.28,2.23,2.26,-0.08,-3.42,3251483
04/09/2020,2.34,2.36,2.3,2.34,-0.04,-1.68,4300607
03/09/2020,2.36,2.4,2.345,2.38,0.04,1.71,6876124
02/09/2020,2.28,2.35,2.27,2.34,0.08,3.54,3145503
01/09/2020,2.22,2.28,2.205,2.26,0.02,0.89,5372713
31/08/2020,2.26,2.27,2.22,2.24,-0.04,-1.75,4124726
28/08/2020,2.26,2.29,2.24,2.28,0.03,1.33,4208229
27/08/2020,2.31,2.32,2.25,2.25,-0.05,-2.17,3882850
26/08/2020,2.32,2.32,2.26,2.3,0,0,4245228
25/08/2020,2.35,2.37,2.3,2.3,-0.02,-0.86,4562318
24/08/2020,2.33,2.36,2.31,2.32,-0.02,-0.85,3071269
21/08/2020,2.41,2.41,2.33,2.34,-0.04,-1.68,4187540
20/08/2020,2.35,2.405,2.25,2.38,-0.01,-0.42,6239901
19/08/2020,2.34,2.39,2.32,2.39,0.03,1.27,3526276
18/08/2020,2.39,2.4,2.33,2.36,-0.02,-0.84,3020502
17/08/2020,2.33,2.405,2.32,2.38,0.03,1.28,5923158
14/08/2020,2.32,2.35,2.3,2.35,0.03,1.29,3060474
13/08/2020,2.43,2.43,2.3,2.32,-0.06,-2.52,5286567
12/08/2020,2.37,2.38,2.34,2.38,0.02,0.85,2315750
11/08/2020,2.33,2.36,2.33,2.36,0.03,1.29,3149479
10/08/2020,2.33,2.355,2.32,2.33,0,0,3179656
07/08/2020,2.31,2.34,2.31,2.33,0,0,2213737
06/08/2020,2.32,2.34,2.3,2.33,-0.01,-0.43,3380430
05/08/2020,2.32,2.35,2.29,2.34,0.01,0.43,2802024
04/08/2020,2.38,2.38,2.33,2.33,-0.01,-0.43,4060439
03/08/2020,2.3,2.35,2.27,2.34,0.04,1.74,3744320
31/07/2020,2.3,2.31,2.235,2.3,-0.03,-1.29,5357956
30/07/2020,2.32,2.35,2.32,2.33,0.02,0.87,2737354
29/07/2020,2.35,2.365,2.31,2.31,-0.06,-2.53,3844732
28/07/2020,2.32,2.42,2.315,2.37,0.06,2.6,8351431
27/07/2020,2.35,2.37,2.3,2.31,-0.06,-2.53,4929849
24/07/2020,2.4,2.42,2.35,2.37,-0.03,-1.25,3280953
23/07/2020,2.43,2.45,2.4,2.4,-0.04,-1.64,4291428
22/07/2020,2.44,2.46,2.42,2.44,-0.01,-0.41,4601794
21/07/2020,2.44,2.45,2.41,2.45,0.03,1.24,3883118
20/07/2020,2.46,2.46,2.41,2.42,-0.04,-1.63,1611837
17/07/2020,2.43,2.47,2.43,2.46,0.04,1.65,5173068
16/07/2020,2.43,2.465,2.41,2.42,0,0,4154511
15/07/2020,2.52,2.52,2.41,2.42,-0.05,-2.02,6936738
14/07/2020,2.52,2.52,2.44,2.47,-0.05,-1.98,5198268
13/07/2020,2.54,2.54,2.49,2.52,0.03,1.2,2852909
10/07/2020,2.5,2.52,2.46,2.49,-0.01,-0.4,2430091
09/07/2020,2.52,2.53,2.49,2.5,0.01,0.4,5444757
08/07/2020,2.52,2.58,2.48,2.49,-0.02,-0.8,5480494
07/07/2020,2.55,2.58,2.5,2.51,-0.04,-1.57,5738606
06/07/2020,2.53,2.59,2.52,2.55,0.01,0.39,3470772
03/07/2020,2.53,2.58,2.52,2.54,0.03,1.2,9414434
02/07/2020,2.52,2.55,2.47,2.51,0.03,1.21,8236072
01/07/2020,2.53,2.56,2.47,2.48,-0.06,-2.36,5841715
30/06/2020,2.53,2.59,2.48,2.54,0.33,14.93,3832063
22/06/2020,2.28,2.28,2.19,2.21,-0.1,-4.33,15675522
19/06/2020,2.25,2.34,2.23,2.31,-0.43,-15.69,23621853
18/06/2020,2.73,2.76,2.69,2.74,0.01,0.37,11961512
17/06/2020,2.73,2.75,2.66,2.73,0.04,1.49,10528672
16/06/2020,2.65,2.72,2.61,2.69,0.12,4.67,11474015
15/06/2020,2.65,2.7,2.56,2.57,-0.06,-2.28,7405274
12/06/2020,2.64,2.66,2.61,2.63,-0.03,-1.13,5724123
11/06/2020,2.74,2.75,2.66,2.66,-0.11,-3.97,6459579
10/06/2020,2.73,2.815,2.71,2.77,0.03,1.09,8599746
09/06/2020,2.78,2.81,2.72,2.74,0,0,6190877
05/06/2020,2.72,2.76,2.72,2.74,0.01,0.37,4557934
04/06/2020,2.76,2.77,2.7,2.73,-0.02,-0.73,7426997
03/06/2020,2.73,2.76,2.71,2.75,0.03,1.1,5920660
02/06/2020,2.7,2.73,2.67,2.72,0.04,1.49,6010567
01/06/2020,2.66,2.7,2.63,2.68,0.03,1.13,7503093
29/05/2020,2.64,2.68,2.63,2.65,0.01,0.38,13302848
28/05/2020,2.56,2.67,2.56,2.64,0.1,3.94,8409889
27/05/2020,2.49,2.56,2.49,2.54,0.04,1.6,10538855
26/05/2020,2.57,2.57,2.48,2.5,-0.03,-1.19,7771710
25/05/2020,2.6,2.62,2.5,2.53,0,0,5448665
22/05/2020,2.59,2.61,2.53,2.53,-0.06,-2.32,2774066
21/05/2020,2.62,2.63,2.565,2.59,0,0,4024310
20/05/2020,2.53,2.6,2.52,2.59,0.02,0.78,4461529
19/05/2020,2.67,2.67,2.54,2.57,-0.01,-0.39,5440935
18/05/2020,2.58,2.62,2.55,2.58,0.01,0.39,6695078
15/05/2020,2.5,2.57,2.49,2.57,0.12,4.9,11477296
14/05/2020,2.47,2.49,2.43,2.45,-0.01,-0.41,5107167
13/05/2020,2.43,2.48,2.41,2.46,0.01,0.41,6292987
12/05/2020,2.48,2.5,2.43,2.45,0.01,0.41,6802041
11/05/2020,2.41,2.46,2.36,2.44,0.05,2.09,16325745
