Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,4.72,4.87,4.63,4.85,0.11,2.32,9622044
29/01/2021,4.9,4.93,4.72,4.74,-0.1,-2.07,10673261
28/01/2021,4.85,4.89,4.755,4.84,-0.04,-0.82,8679265
27/01/2021,4.97,4.98,4.88,4.88,-0.13,-2.59,9391101
25/01/2021,5.08,5.1,5,5.01,-0.1,-1.96,6159358
22/01/2021,5.13,5.15,5.08,5.11,-0.12,-2.29,15710951
21/01/2021,5.17,5.25,5.09,5.23,0.06,1.16,12104957
20/01/2021,5.09,5.19,5.09,5.17,0.09,1.77,5038062
19/01/2021,5.12,5.14,5.07,5.08,0.01,0.2,5492733
18/01/2021,5.07,5.12,5.02,5.07,-0.06,-1.17,4475346
15/01/2021,5.17,5.235,5.13,5.13,-0.02,-0.39,6547929
14/01/2021,5.13,5.175,5.09,5.15,-0.01,-0.19,6333939
13/01/2021,5.04,5.19,5.04,5.16,0.15,2.99,8482958
12/01/2021,5.16,5.16,5,5.01,-0.1,-1.96,8176211
11/01/2021,5.17,5.25,5.1,5.11,-0.01,-0.2,9342840
08/01/2021,5.08,5.16,5.04,5.12,0.06,1.19,7513867
07/01/2021,4.94,5.085,4.93,5.06,0.17,3.48,11538678
06/01/2021,4.85,4.92,4.83,4.89,0.1,2.09,7751797
05/01/2021,4.76,4.815,4.72,4.79,-0.04,-0.83,4415801
04/01/2021,4.78,4.84,4.75,4.83,0.07,1.47,3320838
31/12/2020,4.84,4.86,4.76,4.76,-0.09,-1.86,4750900
30/12/2020,4.86,4.87,4.79,4.85,-0.01,-0.21,5092390
29/12/2020,4.89,4.92,4.845,4.86,0.03,0.62,2928177
24/12/2020,4.85,4.92,4.83,4.83,0.04,0.84,2534770
23/12/2020,4.7,4.82,4.685,4.79,0.08,1.7,4830794
22/12/2020,4.78,4.79,4.69,4.71,-0.1,-2.08,5977330
21/12/2020,4.85,4.89,4.805,4.81,-0.09,-1.84,8831864
18/12/2020,4.97,4.98,4.86,4.9,-0.07,-1.41,12331496
17/12/2020,4.9,4.975,4.85,4.97,0.04,0.81,8893420
16/12/2020,5.02,5.03,4.93,4.93,-0.02,-0.4,5598473
15/12/2020,5.01,5.03,4.92,4.95,-0.1,-1.98,6889256
14/12/2020,5.05,5.08,5,5.05,0.01,0.2,4295611
11/12/2020,5.09,5.16,5.02,5.04,-0.03,-0.59,9268049
10/12/2020,5.11,5.11,5.03,5.07,-0.07,-1.36,6956707
09/12/2020,5.21,5.22,5.11,5.14,-0.05,-0.96,6272828
08/12/2020,5.23,5.24,5.15,5.19,-0.08,-1.52,6387880
07/12/2020,5.22,5.31,5.22,5.27,0.05,0.96,5826369
04/12/2020,5.19,5.25,5.17,5.22,0.04,0.77,3783232
03/12/2020,5.19,5.22,5.14,5.18,0.09,1.77,5657493
02/12/2020,5.17,5.17,5.08,5.09,-0.09,-1.74,7011958
01/12/2020,5.16,5.19,5.095,5.18,0,0,8389441
30/11/2020,5.24,5.285,5.17,5.18,-0.01,-0.19,13936253
27/11/2020,5.32,5.33,5.17,5.19,-0.12,-2.26,10139102
26/11/2020,5.35,5.37,5.28,5.31,0.06,1.14,9303464
25/11/2020,5.28,5.38,5.25,5.25,0.2,3.96,15679609
24/11/2020,4.91,5.06,4.91,5.05,0.25,5.21,10172977
23/11/2020,4.72,4.81,4.71,4.8,0.13,2.78,6062290
20/11/2020,4.76,4.77,4.65,4.67,-0.09,-1.89,6946782
19/11/2020,4.75,4.77,4.7,4.76,-0.03,-0.63,6727595
18/11/2020,4.91,4.92,4.75,4.79,-0.09,-1.84,11183515
17/11/2020,4.88,4.96,4.85,4.88,0.14,2.95,13820204
16/11/2020,4.75,4.77,4.71,4.74,0.08,1.72,194157
13/11/2020,4.65,4.67,4.55,4.66,-0.05,-1.06,9416798
12/11/2020,4.84,4.84,4.68,4.71,-0.1,-2.08,12088850
11/11/2020,4.76,4.86,4.75,4.81,0.12,2.56,14235880
10/11/2020,4.6,4.72,4.6,4.69,0.36,8.31,16006898
09/11/2020,4.29,4.37,4.27,4.33,0.05,1.17,5420515
06/11/2020,4.25,4.29,4.2,4.28,0.07,1.66,4730643
05/11/2020,4.28,4.3,4.18,4.21,-0.04,-0.94,4480821
04/11/2020,4.26,4.28,4.145,4.25,-0.03,-0.7,7052532
03/11/2020,4.09,4.31,4.08,4.28,0.27,6.73,9728757
02/11/2020,4.09,4.1,4,4.01,0.01,0.25,5969280
30/10/2020,4.07,4.1,3.99,4,-0.02,-0.5,10766276
29/10/2020,4.16,4.16,4.01,4.02,-0.18,-4.29,9644408
28/10/2020,4.2,4.23,4.14,4.2,-0.06,-1.41,6095620
27/10/2020,4.32,4.33,4.245,4.26,-0.1,-2.29,6947162
26/10/2020,4.37,4.42,4.35,4.36,0,0,6213137
23/10/2020,4.42,4.44,4.33,4.36,0.01,0.23,10614904
22/10/2020,4.43,4.44,4.33,4.35,-0.15,-3.33,7848733
21/10/2020,4.47,4.54,4.47,4.5,0.04,0.9,17690909
20/10/2020,4.5,4.54,4.45,4.46,-0.08,-1.76,9283171
19/10/2020,4.57,4.59,4.47,4.54,0,0,7884838
16/10/2020,4.6,4.63,4.54,4.54,0,0,7554072
15/10/2020,4.4,4.59,4.39,4.54,0.18,4.13,9102352
14/10/2020,4.35,4.38,4.31,4.36,-0.02,-0.46,7725733
13/10/2020,4.38,4.43,4.36,4.38,0.01,0.23,6216450
12/10/2020,4.39,4.42,4.34,4.37,-0.07,-1.58,6378862
09/10/2020,4.5,4.54,4.41,4.44,-0.03,-0.67,9985214
08/10/2020,4.55,4.55,4.44,4.47,-0.05,-1.11,6291495
07/10/2020,4.52,4.54,4.43,4.52,0.05,1.12,6370967
06/10/2020,4.47,4.49,4.43,4.47,0.08,1.82,7637497
05/10/2020,4.34,4.46,4.34,4.39,0.13,3.05,5499618
02/10/2020,4.34,4.38,4.25,4.26,-0.14,-3.18,10035606
01/10/2020,4.31,4.45,4.31,4.4,0.1,2.33,9099003
30/09/2020,4.47,4.49,4.3,4.3,-0.22,-4.87,13434299
29/09/2020,4.59,4.64,4.5,4.52,-0.02,-0.44,3475388
28/09/2020,4.52,4.615,4.49,4.54,0.03,0.67,4987432
25/09/2020,4.48,4.54,4.45,4.51,0.04,0.89,13024150
24/09/2020,4.5,4.52,4.43,4.47,-0.13,-2.83,11539252
23/09/2020,4.54,4.6,4.51,4.6,0.11,2.45,9525173
22/09/2020,4.51,4.56,4.46,4.49,-0.07,-1.54,7670222
21/09/2020,4.53,4.59,4.49,4.56,0.03,0.66,10735725
18/09/2020,4.63,4.64,4.53,4.53,-0.06,-1.31,11926762
17/09/2020,4.61,4.66,4.58,4.59,-0.05,-1.08,10059877
16/09/2020,4.62,4.665,4.6,4.64,0.02,0.43,10457256
15/09/2020,4.73,4.75,4.6,4.62,-0.09,-1.91,14018745
14/09/2020,4.71,4.76,4.68,4.71,0.02,0.43,6927959
