Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,15.16,15.59,15.1,15.41,0.15,0.98,1137823
29/01/2021,15.23,15.67,15.01,15.26,0.09,0.59,1526169
28/01/2021,15.17,15.33,15.01,15.17,-0.36,-2.32,1326585
27/01/2021,15.82,15.86,15.39,15.53,-0.28,-1.77,1636282
25/01/2021,15.9,15.9,15.68,15.81,-0.05,-0.32,831614
22/01/2021,15.62,15.89,15.45,15.86,0.05,0.32,1380578
21/01/2021,15.6,15.89,15.58,15.81,0.32,2.07,1282879
20/01/2021,15.3,15.56,14.8,15.49,0.22,1.44,1569141
19/01/2021,14.76,15.37,14.76,15.27,0.52,3.53,1312798
18/01/2021,14.51,14.79,14.45,14.75,0.13,0.89,858338
15/01/2021,14.67,14.85,14.58,14.62,0.03,0.21,1614151
14/01/2021,14.5,14.75,14.38,14.59,-0.02,-0.14,1339489
13/01/2021,14.85,14.93,14.55,14.61,-0.28,-1.88,1551222
12/01/2021,15.2,15.34,14.89,14.89,-0.36,-2.36,1151893
11/01/2021,15.4,15.48,15.19,15.25,-0.17,-1.1,961733
08/01/2021,15.4,15.45,15.265,15.42,0.11,0.72,836162
07/01/2021,15,15.41,14.88,15.31,0.6,4.08,1239026
06/01/2021,14.95,15.04,14.615,14.71,-0.24,-1.61,1070299
05/01/2021,15.1,15.215,14.91,14.95,-0.26,-1.71,1051239
04/01/2021,15.15,15.26,15.07,15.21,0.06,0.4,358728
31/12/2020,15.41,15.47,15.15,15.15,-0.27,-1.75,455278
30/12/2020,15.36,15.47,15.27,15.42,0,0,519376
29/12/2020,15.6,15.63,15.36,15.42,-0.13,-0.84,549160
24/12/2020,15.71,15.77,15.55,15.55,-0.06,-0.38,217505
23/12/2020,15.58,15.71,15.46,15.61,0.22,1.43,934898
22/12/2020,15.56,15.605,15.27,15.39,-0.16,-1.03,2148848
21/12/2020,15.5,15.63,15.455,15.55,0.03,0.19,1071689
18/12/2020,15.74,15.74,15.52,15.52,-0.17,-1.08,2002522
17/12/2020,15.49,15.76,15.46,15.69,0.15,0.97,1245457
16/12/2020,15.75,15.83,15.53,15.54,-0.06,-0.38,930814
15/12/2020,15.63,15.72,15.52,15.6,0.04,0.26,1287561
14/12/2020,15.58,15.66,15.46,15.56,-0.03,-0.19,1996219
11/12/2020,15.84,15.84,15.49,15.59,-0.26,-1.64,2381290
10/12/2020,16.25,16.25,15.85,15.85,-0.39,-2.4,1878540
09/12/2020,16.09,16.38,16.02,16.24,0.16,1,1352356
08/12/2020,16.22,16.29,16.05,16.08,-0.13,-0.8,1575199
07/12/2020,16.34,16.615,16.085,16.21,0.09,0.56,1196778
04/12/2020,16.15,16.25,16.08,16.12,-0.01,-0.06,1257846
03/12/2020,16.17,16.41,16.12,16.13,-0.17,-1.04,1480198
02/12/2020,16.36,16.42,16.21,16.3,-0.09,-0.55,1654989
01/12/2020,16.12,16.51,16.07,16.39,0.24,1.49,1557819
30/11/2020,16.83,16.87,16.11,16.15,-0.73,-4.32,2285853
27/11/2020,17.17,17.24,16.76,16.88,-0.36,-2.09,812361
26/11/2020,17.33,17.5,17.155,17.24,-0.04,-0.23,1401948
25/11/2020,17.33,17.61,17.24,17.28,0.04,0.23,2145873
24/11/2020,16.69,17.24,16.63,17.24,0.78,4.74,1938067
23/11/2020,16.35,16.73,16.19,16.46,0.18,1.11,2086868
20/11/2020,15.9,16.45,15.66,16.28,-0.69,-4.07,2795504
19/11/2020,17,17.05,16.82,16.97,-0.05,-0.29,1260768
18/11/2020,16.99,17.09,16.85,17.02,0.1,0.59,973676
17/11/2020,16.67,16.94,16.65,16.92,0.315,1.9,1409020
16/11/2020,16.6,16.64,16.56,16.605,0.195,1.19,17063
13/11/2020,16.45,16.52,16.27,16.41,-0.16,-0.97,990021
12/11/2020,16.92,17.02,16.365,16.57,-0.35,-2.07,1124049
11/11/2020,16.85,17.15,16.79,16.92,0.36,2.17,1578094
10/11/2020,16.55,16.705,16.36,16.56,0.56,3.5,1191709
09/11/2020,15.79,16.125,15.785,16,0.3,1.91,676392
06/11/2020,15.7,15.77,15.445,15.7,0.22,1.42,692767
05/11/2020,15.42,15.52,15.32,15.48,0,0,681464
04/11/2020,15.42,15.64,15.33,15.48,-0.07,-0.45,741217
03/11/2020,15.01,15.62,14.95,15.55,0.49,3.25,1099556
02/11/2020,15.2,15.32,14.97,15.06,-0.2,-1.31,1390281
30/10/2020,15.52,15.54,15.24,15.26,-0.21,-1.36,1909063
29/10/2020,15.59,15.62,15.39,15.47,-0.23,-1.46,947897
28/10/2020,15.57,15.75,15.52,15.7,0.04,0.26,921014
27/10/2020,16.04,16.09,15.53,15.66,-0.5,-3.09,1718185
26/10/2020,15.98,16.325,15.98,16.16,0.16,1,659167
23/10/2020,16.03,16.24,15.98,16,-0.07,-0.44,897448
22/10/2020,16.24,16.3,16.03,16.07,-0.43,-2.61,1297596
21/10/2020,16.46,16.59,16.4,16.5,0.02,0.12,765053
20/10/2020,16.65,16.73,16.4,16.48,-0.31,-1.85,1119843
19/10/2020,16.6,16.85,16.49,16.79,0.39,2.38,655880
16/10/2020,16.5,16.51,16.23,16.4,-0.15,-0.91,1421841
15/10/2020,16.5,16.67,16.38,16.55,0.12,0.73,2344961
14/10/2020,16.25,16.61,16.24,16.43,-0.07,-0.42,1991232
13/10/2020,16.2,16.64,16.16,16.5,0.39,2.42,1763967
12/10/2020,16.45,16.58,15.79,16.11,-0.54,-3.24,2548689
09/10/2020,16.73,16.77,16.5,16.65,-0.05,-0.3,1531179
08/10/2020,16.59,16.72,16.38,16.7,0.28,1.71,1622207
07/10/2020,16.08,16.56,16.04,16.42,0.44,2.75,1693069
06/10/2020,16.01,16.14,15.93,15.98,0.01,0.06,837686
05/10/2020,15.89,16.13,15.82,15.97,0.42,2.7,645211
02/10/2020,15.5,15.78,15.5,15.55,-0.07,-0.45,1421146
01/10/2020,15.45,15.775,15.45,15.62,0.19,1.23,940530
30/09/2020,15.84,15.86,15.41,15.43,-0.55,-3.44,2423312
29/09/2020,16.23,16.3,15.89,15.98,-0.22,-1.36,1284359
28/09/2020,16.37,16.4,16.14,16.2,-0.2,-1.22,1053277
25/09/2020,16.29,16.43,16.23,16.4,0.24,1.49,1168408
24/09/2020,15.88,16.24,15.84,16.16,0.06,0.37,1262406
23/09/2020,15.92,16.21,15.875,16.1,0.31,1.96,1885347
22/09/2020,15.85,16.06,15.73,15.79,-0.28,-1.74,1939952
21/09/2020,16.02,16.37,15.97,16.07,-0.19,-1.17,2007053
18/09/2020,16.79,16.945,16.24,16.26,-0.43,-2.58,3206176
17/09/2020,16.89,17.09,16.62,16.69,-0.33,-1.94,1723065
16/09/2020,16.88,17.2,16.88,17.02,0.15,0.89,1415297
15/09/2020,17.2,17.29,16.69,16.87,-0.35,-2.03,2080828
14/09/2020,17.36,17.41,17.12,17.22,0.23,1.35,631267
11/09/2020,16.86,17.16,16.86,16.99,-0.09,-0.53,1107594
10/09/2020,17.25,17.36,16.935,17.08,0.1,0.59,2523545
09/09/2020,16.92,17.1,16.84,16.98,-0.4,-2.3,965747
08/09/2020,17.3,17.42,17.175,17.38,0.13,0.75,909521
07/09/2020,16.9,17.26,16.8,17.25,0.21,1.23,809657
04/09/2020,17.08,17.32,16.85,17.04,-0.53,-3.02,1414652
03/09/2020,17.61,17.7,17.45,17.57,0.17,0.98,873437
02/09/2020,17.28,17.55,17.23,17.4,0.5,2.96,1485355
01/09/2020,16.86,17.06,16.71,16.9,-0.48,-2.76,2594101
31/08/2020,17.33,17.46,17.3,17.38,-0.02,-0.11,1869004
28/08/2020,17.3,17.5,17.24,17.4,-0.17,-0.97,993228
27/08/2020,18,18.03,17.48,17.57,-0.36,-2.01,1493897
26/08/2020,18.1,18.13,17.77,17.93,-0.36,-1.97,962683
25/08/2020,18.5,18.5,18.195,18.29,0.19,1.05,970427
24/08/2020,17.71,18.17,17.71,18.1,0.12,0.67,850032
21/08/2020,17.98,18.17,17.92,17.98,0.05,0.28,1210721
20/08/2020,17.88,17.98,17.59,17.93,-0.26,-1.43,1345460
19/08/2020,18.09,18.19,17.93,18.19,0.01,0.06,1572655
18/08/2020,18.43,18.62,18.08,18.18,0.05,0.28,1136766
17/08/2020,18.14,18.19,17.87,18.13,-0.13,-0.71,1393613
14/08/2020,18.1,18.34,17.94,18.26,0.3,1.67,1236873
13/08/2020,18.1,18.1,17.81,17.96,-0.05,-0.28,1557004
12/08/2020,17.93,18.04,17.74,18.01,0.26,1.46,1045550
11/08/2020,17.97,18.14,17.64,17.75,-0.09,-0.5,1544173
10/08/2020,17.58,17.93,17.3,17.84,0.39,2.23,1757418
07/08/2020,17.36,17.49,17.27,17.45,-0.08,-0.46,653947
06/08/2020,17.31,17.53,17.16,17.53,0.46,2.69,1300269
05/08/2020,17.3,17.41,16.99,17.07,-0.24,-1.39,2789501
04/08/2020,17.45,17.6,17.29,17.31,0.18,1.05,1942175
03/08/2020,17.09,17.28,17.02,17.13,-0.16,-0.93,2343824
31/07/2020,17.22,17.4,17.12,17.29,-0.2,-1.14,2570479
30/07/2020,17.29,17.56,17.27,17.49,0.22,1.27,2789770
29/07/2020,17.36,17.52,17.14,17.27,-0.22,-1.26,1974769
28/07/2020,17.68,17.74,17.41,17.49,-0.11,-0.62,1573678
27/07/2020,17.24,17.6,17.17,17.6,0.26,1.5,1492658
24/07/2020,16.96,17.34,16.84,17.34,0.33,1.94,1059058
23/07/2020,16.61,17.07,16.54,17.01,0.44,2.66,1406771
22/07/2020,17.09,17.245,16.54,16.57,-0.55,-3.21,2490462
21/07/2020,17.09,17.405,16.94,17.12,0.05,0.29,3160842
20/07/2020,16.95,17.13,16.82,17.07,0.24,1.43,1843058
17/07/2020,16.77,16.83,16.46,16.83,0.26,1.57,1159279
16/07/2020,16.71,16.79,16.35,16.57,0.01,0.06,1374865
15/07/2020,16.35,16.56,16.2,16.56,0.43,2.67,1436146
14/07/2020,16.2,16.28,15.93,16.13,-0.08,-0.49,1492124
13/07/2020,16.32,16.38,16.045,16.21,0.06,0.37,1288523
10/07/2020,16.46,16.46,16.03,16.15,-0.3,-1.82,1598900
09/07/2020,16.15,16.47,16.01,16.45,0.58,3.65,7630275
08/07/2020,16,16.21,15.86,15.87,-0.13,-0.81,4677745
07/07/2020,16.48,16.5,16,16,-0.19,-1.17,1769407
06/07/2020,16.52,16.61,16.19,16.19,-0.4,-2.41,935466
03/07/2020,16.75,16.885,16.44,16.59,-0.05,-0.3,604963
02/07/2020,16.64,16.73,16.33,16.64,0.1,0.6,701809
01/07/2020,16.64,16.76,16.36,16.54,-0.1,-0.6,665987
30/06/2020,16.54,16.92,16.47,16.64,0.48,2.97,1445892
29/06/2020,16.2,16.36,16,16.16,-0.21,-1.28,751371
26/06/2020,16.33,16.49,16.2,16.37,0.06,0.37,1148219
25/06/2020,16.5,16.7,16.31,16.31,-0.41,-2.45,1630785
24/06/2020,16.96,16.98,16.58,16.72,-0.22,-1.3,1520304
23/06/2020,17.08,17.14,16.77,16.94,-0.08,-0.47,1127841
22/06/2020,16.73,17.23,16.68,17.02,0,0,933969
19/06/2020,17.31,17.58,17.02,17.02,-0.01,-0.06,2538303
18/06/2020,17.05,17.17,16.76,17.03,-0.09,-0.53,2624085
