Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,3.8,3.9,3.72,3.87,-0.01,-0.26,9234895
29/01/2021,3.98,4,3.85,3.88,-0.12,-3,10388284
28/01/2021,4,4.055,3.86,4,-0.16,-3.85,12447136
27/01/2021,4.29,4.31,4.14,4.16,-0.14,-3.26,9944532
25/01/2021,4.35,4.36,4.27,4.3,-0.05,-1.15,4625631
22/01/2021,4.37,4.39,4.31,4.35,-0.09,-2.03,7975745
21/01/2021,4.48,4.49,4.39,4.44,-0.01,-0.22,6860931
20/01/2021,4.45,4.47,4.41,4.45,0.07,1.6,7898913
19/01/2021,4.36,4.42,4.29,4.38,0.07,1.62,7381776
18/01/2021,4.32,4.34,4.245,4.31,-0.1,-2.27,8329347
15/01/2021,4.48,4.58,4.35,4.41,0.01,0.23,13611823
14/01/2021,4.4,4.44,4.32,4.4,-0.04,-0.9,9219661
13/01/2021,4.3,4.49,4.28,4.44,0.26,6.22,15709738
12/01/2021,4.3,4.33,4.18,4.18,-0.05,-1.18,8549665
11/01/2021,4.31,4.395,4.21,4.23,-0.04,-0.94,11235823
08/01/2021,4.25,4.29,4.19,4.27,0.11,2.64,20516764
07/01/2021,4,4.18,3.99,4.16,0.27,6.94,19702427
06/01/2021,3.8,3.92,3.79,3.89,0.21,5.71,18049677
05/01/2021,3.68,3.71,3.65,3.68,-0.09,-2.39,8299148
04/01/2021,3.67,3.785,3.64,3.77,0.06,1.62,10183593
31/12/2020,3.67,3.74,3.64,3.71,0.05,1.37,6272439
30/12/2020,3.57,3.66,3.56,3.66,0.05,1.39,5849272
29/12/2020,3.56,3.63,3.54,3.61,0.05,1.4,6054151
24/12/2020,3.54,3.58,3.53,3.56,0.07,2.01,2919637
23/12/2020,3.43,3.52,3.43,3.49,0.01,0.29,6108664
22/12/2020,3.5,3.53,3.44,3.48,-0.11,-3.06,11026665
21/12/2020,3.53,3.62,3.48,3.59,0,0,18101065
18/12/2020,3.68,3.69,3.525,3.59,-0.09,-2.45,29157200
17/12/2020,3.64,3.68,3.61,3.68,0.05,1.38,12313649
16/12/2020,3.72,3.73,3.61,3.63,-0.03,-0.82,7662169
15/12/2020,3.7,3.71,3.64,3.66,-0.09,-2.4,8246753
14/12/2020,3.74,3.785,3.68,3.75,0.02,0.54,6518733
11/12/2020,3.79,3.83,3.72,3.73,0,0,8505575
10/12/2020,3.72,3.73,3.68,3.73,-0.02,-0.53,7000338
09/12/2020,3.78,3.79,3.73,3.75,0,0,5520844
08/12/2020,3.75,3.75,3.69,3.75,-0.06,-1.57,7598302
07/12/2020,3.8,3.86,3.755,3.81,0.06,1.6,7040294
04/12/2020,3.75,3.79,3.73,3.75,0.01,0.27,6896175
03/12/2020,3.77,3.79,3.72,3.74,0.04,1.08,8978143
02/12/2020,3.65,3.72,3.62,3.7,0.03,0.82,12535559
01/12/2020,3.63,3.68,3.59,3.67,0.03,0.82,10030394
30/11/2020,3.65,3.71,3.62,3.64,-0.01,-0.27,14851784
27/11/2020,3.73,3.73,3.62,3.65,-0.14,-3.69,11440559
26/11/2020,3.82,3.86,3.75,3.79,-0.03,-0.79,10676620
25/11/2020,3.91,3.94,3.8,3.82,0.02,0.53,16910798
24/11/2020,3.84,3.87,3.75,3.8,0.09,2.43,17126202
23/11/2020,3.55,3.72,3.55,3.71,0.17,4.8,15357585
20/11/2020,3.64,3.68,3.35,3.54,-0.19,-5.09,34114932
19/11/2020,3.77,3.8,3.7,3.73,-0.09,-2.36,15365138
18/11/2020,3.98,3.99,3.76,3.82,-0.1,-2.55,16134008
17/11/2020,3.91,3.98,3.88,3.92,0.19,5.09,28522738
16/11/2020,3.73,3.77,3.73,3.73,0.07,1.91,571302
13/11/2020,3.47,3.69,3.45,3.66,0.11,3.1,20922095
12/11/2020,3.55,3.59,3.47,3.55,-0.01,-0.28,17899550
11/11/2020,3.32,3.57,3.32,3.56,0.25,7.55,26838988
10/11/2020,3.2,3.45,3.18,3.31,0.47,16.55,39444667
09/11/2020,2.8,2.85,2.78,2.84,0.03,1.07,9578963
06/11/2020,2.8,2.83,2.78,2.81,0.03,1.08,9827719
05/11/2020,2.84,2.86,2.76,2.78,-0.04,-1.42,8879515
04/11/2020,2.75,2.88,2.71,2.82,0.09,3.3,18778666
03/11/2020,2.6,2.76,2.6,2.73,0.19,7.48,10480729
02/11/2020,2.59,2.61,2.52,2.54,-0.03,-1.17,10214454
30/10/2020,2.63,2.66,2.56,2.57,-0.03,-1.15,13100445
29/10/2020,2.68,2.68,2.585,2.6,-0.14,-5.11,16311414
28/10/2020,2.81,2.82,2.74,2.74,-0.08,-2.84,8150463
27/10/2020,2.87,2.875,2.8,2.82,-0.1,-3.42,10662134
26/10/2020,2.87,2.95,2.86,2.92,0.02,0.69,6240990
23/10/2020,2.9,2.94,2.87,2.9,0.06,2.11,8524039
22/10/2020,2.87,2.89,2.8,2.84,-0.11,-3.73,11293782
21/10/2020,2.85,2.965,2.835,2.95,0.1,3.51,13755734
20/10/2020,2.87,2.88,2.83,2.85,-0.01,-0.35,5594842
19/10/2020,2.86,2.9,2.85,2.86,0.02,0.7,6568276
16/10/2020,2.93,2.955,2.84,2.84,-0.09,-3.07,6367954
15/10/2020,2.85,2.96,2.835,2.93,0.11,3.9,9386864
14/10/2020,2.85,2.85,2.805,2.82,-0.05,-1.74,6212660
13/10/2020,2.83,2.885,2.81,2.87,0.02,0.7,5850649
12/10/2020,2.84,2.86,2.81,2.85,-0.04,-1.38,7601790
09/10/2020,2.88,2.91,2.85,2.89,0.07,2.48,9502542
08/10/2020,2.86,2.88,2.81,2.82,-0.03,-1.05,7120364
07/10/2020,2.8,2.86,2.76,2.85,0.06,2.15,10040821
06/10/2020,2.8,2.84,2.77,2.79,0.08,2.95,15084895
05/10/2020,2.6,2.73,2.58,2.71,0.19,7.54,8820065
02/10/2020,2.64,2.65,2.5,2.52,-0.16,-5.97,16580205
01/10/2020,2.64,2.7,2.64,2.68,0.04,1.52,6738692
30/09/2020,2.75,2.76,2.64,2.64,-0.15,-5.38,13039233
29/09/2020,2.79,2.81,2.77,2.79,0.04,1.45,5326211
28/09/2020,2.77,2.81,2.75,2.75,-0.03,-1.08,5781402
25/09/2020,2.76,2.78,2.72,2.78,0.05,1.83,7026277
24/09/2020,2.76,2.78,2.72,2.73,-0.11,-3.87,8778068
23/09/2020,2.8,2.84,2.77,2.84,0.06,2.16,8119761
22/09/2020,2.79,2.8,2.75,2.78,-0.05,-1.77,9132242
21/09/2020,2.81,2.85,2.8,2.83,0.01,0.35,20063670
18/09/2020,2.87,2.88,2.82,2.82,-0.01,-0.35,12190647
17/09/2020,2.87,2.91,2.82,2.83,-0.02,-0.7,11105702
16/09/2020,2.85,2.87,2.81,2.85,0.03,1.06,11227176
15/09/2020,2.94,2.95,2.81,2.82,-0.1,-3.42,15145665
14/09/2020,2.88,2.93,2.87,2.92,0.07,2.46,6277474
11/09/2020,2.9,2.92,2.85,2.85,-0.11,-3.72,11226177
10/09/2020,3.02,3.04,2.95,2.96,0,0,10055073
09/09/2020,3.09,3.09,2.96,2.96,-0.25,-7.79,20166361
08/09/2020,3.17,3.23,3.16,3.21,0.07,2.23,6195681
07/09/2020,3.09,3.16,3.04,3.14,0.03,0.96,8271125
04/09/2020,3.15,3.15,3.09,3.11,-0.11,-3.42,24307908
03/09/2020,3.21,3.23,3.19,3.22,-0.03,-0.92,10401110
02/09/2020,3.26,3.26,3.18,3.25,0.03,0.93,11396859
01/09/2020,3.2,3.24,3.15,3.22,-0.05,-1.53,11751655
31/08/2020,3.14,3.28,3.14,3.27,0.13,4.14,12956895
28/08/2020,3.15,3.195,3.11,3.14,-0.02,-0.63,14659376
27/08/2020,3.1,3.17,3.01,3.16,0.09,2.93,16478225
26/08/2020,3.05,3.11,3,3.07,0.05,1.66,13291742
25/08/2020,3.05,3.09,3.02,3.02,0.02,0.67,10327258
24/08/2020,3,3.015,2.96,3,-0.02,-0.66,7118559
21/08/2020,2.98,3.02,2.97,3.02,0.03,1,16145525
20/08/2020,3.05,3.07,2.96,2.99,-0.1,-3.24,11790209
19/08/2020,3.08,3.09,3.03,3.09,-0.03,-0.96,5886286
18/08/2020,3.1,3.12,3.04,3.12,0.03,0.97,9759957
17/08/2020,3.11,3.13,3.05,3.09,-0.05,-1.59,10072118
14/08/2020,3.16,3.16,3.1,3.14,-0.05,-1.57,8314237
13/08/2020,3.1,3.2,3.08,3.19,0.12,3.91,19349853
12/08/2020,3.05,3.08,3.015,3.07,0.01,0.33,13402129
11/08/2020,3.1,3.13,3.055,3.06,0,0,10763832
10/08/2020,3.06,3.1,3.03,3.06,0.02,0.66,6476635
07/08/2020,3.03,3.11,3.02,3.04,-0.03,-0.98,8639480
06/08/2020,3.03,3.08,3.02,3.07,0.09,3.02,10314570
05/08/2020,3.01,3.03,2.96,2.98,-0.03,-1,8423609
04/08/2020,3.01,3.02,2.94,3.01,0.08,2.73,8698521
03/08/2020,2.88,2.93,2.83,2.93,0.01,0.34,9362088
31/07/2020,2.97,2.985,2.88,2.92,-0.1,-3.31,18326155
30/07/2020,3.05,3.06,2.98,3.02,0.02,0.67,13502821
29/07/2020,3.06,3.13,2.99,3,-0.06,-1.96,9658641
28/07/2020,3.12,3.17,3.05,3.06,-0.05,-1.61,7516105
27/07/2020,3.1,3.11,3.06,3.11,-0.03,-0.96,7169915
24/07/2020,3.18,3.2,3.11,3.14,-0.11,-3.38,10792170
23/07/2020,3.14,3.25,3.14,3.25,0.12,3.83,9966535
22/07/2020,3.19,3.28,3.12,3.13,-0.01,-0.32,13391911
21/07/2020,3.05,3.14,3,3.14,0.13,4.32,13201210
20/07/2020,3.07,3.08,2.98,3.01,-0.08,-2.59,7103171
17/07/2020,3.14,3.14,3.06,3.09,-0.05,-1.59,6611625
16/07/2020,3.15,3.15,3.1,3.14,0.04,1.29,14216774
15/07/2020,3.07,3.15,3.05,3.1,0.11,3.68,19542073
14/07/2020,2.89,3,2.885,2.99,0.05,1.7,14505014
13/07/2020,3.06,3.06,2.86,2.94,-0.06,-2,18144627
10/07/2020,3.05,3.07,2.96,3,-0.13,-4.15,14709972
09/07/2020,3.11,3.18,3.07,3.13,0.08,2.62,23970176
08/07/2020,3.11,3.15,3.04,3.05,-0.1,-3.17,11422838
07/07/2020,3.2,3.23,3.13,3.15,-0.04,-1.25,8399084
06/07/2020,3.2,3.25,3.14,3.19,-0.02,-0.62,8186202
03/07/2020,3.33,3.38,3.17,3.21,-0.07,-2.13,10003885
02/07/2020,3.25,3.29,3.18,3.28,0.09,2.82,9836410
01/07/2020,3.19,3.235,3.13,3.19,0.02,0.63,7447855
30/06/2020,3.09,3.23,3.08,3.17,0.15,4.97,14487383
29/06/2020,3.02,3.06,2.96,3.02,-0.1,-3.21,13170237
26/06/2020,3.12,3.15,3.035,3.12,0.06,1.96,19585460
25/06/2020,3.18,3.19,3.05,3.06,-0.23,-6.99,19875417
24/06/2020,3.38,3.41,3.28,3.29,-0.11,-3.24,11935572
23/06/2020,3.46,3.48,3.29,3.4,-0.02,-0.58,18523920
22/06/2020,3.42,3.47,3.37,3.42,-0.05,-1.44,15266777
19/06/2020,3.54,3.57,3.45,3.47,0,0,27790508
18/06/2020,3.41,3.5,3.35,3.47,0.04,1.17,14164589
17/06/2020,3.46,3.46,3.33,3.43,0.01,0.29,19567288
16/06/2020,3.34,3.45,3.26,3.42,0.27,8.57,21878031
15/06/2020,3.31,3.42,3.15,3.15,-0.14,-4.26,20596479
12/06/2020,3.26,3.35,3.14,3.29,-0.2,-5.73,23491697
11/06/2020,3.66,3.67,3.48,3.49,-0.23,-6.18,24482601
10/06/2020,3.66,3.76,3.6,3.72,-0.01,-0.27,18233271
09/06/2020,3.72,3.85,3.69,3.73,0.15,4.19,21315746
05/06/2020,3.5,3.62,3.49,3.58,0.08,2.29,16184945
04/06/2020,3.65,3.68,3.46,3.5,-0.12,-3.31,20677081
03/06/2020,3.55,3.64,3.52,3.62,0.18,5.23,22375148
02/06/2020,3.51,3.53,3.42,3.44,-0.11,-3.1,16036308
01/06/2020,3.44,3.57,3.35,3.55,0.07,2.01,13928877
29/05/2020,3.43,3.48,3.35,3.48,0.05,1.46,30032597
28/05/2020,3.42,3.5,3.38,3.43,-0.04,-1.15,18604561
27/05/2020,3.49,3.54,3.36,3.47,0,0,16297261
26/05/2020,3.38,3.53,3.38,3.47,0.13,3.89,16313706
25/05/2020,3.29,3.34,3.26,3.34,0.12,3.73,10250334
22/05/2020,3.32,3.36,3.19,3.22,-0.09,-2.72,12587311
21/05/2020,3.38,3.44,3.29,3.31,0.02,0.61,16076788
20/05/2020,3.21,3.29,3.15,3.29,0.07,2.17,16560064
19/05/2020,3.26,3.4,3.2,3.22,0.22,7.33,36499073
18/05/2020,2.92,3.09,2.92,3,0.16,5.63,22672048
15/05/2020,2.83,2.91,2.82,2.84,0.09,3.27,11840229
14/05/2020,2.77,2.82,2.73,2.75,-0.08,-2.83,12045939
13/05/2020,2.74,2.84,2.71,2.83,0.04,1.43,16020859
12/05/2020,2.92,2.92,2.76,2.79,-0.13,-4.45,12571494
11/05/2020,2.92,3,2.9,2.92,0.05,1.74,16876943
08/05/2020,2.91,2.97,2.86,2.87,0,0,13430812
07/05/2020,2.9,2.92,2.85,2.87,-0.08,-2.71,18927094
06/05/2020,3.07,3.09,2.91,2.95,-0.01,-0.34,15166813
05/05/2020,2.92,2.99,2.9,2.96,0.09,3.14,15664457
04/05/2020,2.77,2.88,2.71,2.87,0.04,1.41,18563648
01/05/2020,2.98,2.98,2.8,2.83,-0.22,-7.21,27930707
