Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,18.5,19.27,18.35,19.07,0.42,2.25,2771153
29/01/2021,19.28,20,18.48,18.65,0.15,0.81,2545966
28/01/2021,18.17,18.56,18.1,18.5,-0.64,-3.34,2100878
27/01/2021,19.88,19.91,18.97,19.14,-1.17,-5.76,1733503
25/01/2021,20.2,20.35,20.03,20.31,0.11,0.54,907759
22/01/2021,20.5,20.6,20,20.2,-0.35,-1.7,2138652
21/01/2021,20.08,20.55,20.04,20.55,0.57,2.85,1759032
20/01/2021,20.15,20.21,19.865,19.98,-0.12,-0.6,816277
19/01/2021,19.93,20.16,19.81,20.1,0.17,0.85,883970
18/01/2021,20.18,20.2,19.84,19.93,-0.39,-1.92,1513603
15/01/2021,20.06,20.48,20.05,20.32,0.36,1.8,1466082
14/01/2021,20.15,20.24,19.65,19.96,-0.5,-2.44,1359015
13/01/2021,20.6,20.9,20.26,20.46,0.24,1.19,1487601
12/01/2021,20.71,21,20.22,20.22,-0.81,-3.85,1608417
11/01/2021,20.7,21.23,20.64,21.03,0.01,0.05,1717642
08/01/2021,21.2,21.2,20.72,21.02,0.25,1.2,1189242
07/01/2021,19.98,20.85,19.83,20.77,1.22,6.24,2527132
06/01/2021,19.75,20,19.475,19.55,-0.27,-1.36,1209364
05/01/2021,19.4,19.93,19.25,19.82,0.46,2.38,1593303
04/01/2021,19.1,19.38,18.94,19.36,0.48,2.54,2105426
31/12/2020,18.99,19.2,18.86,18.88,0.03,0.16,511161
30/12/2020,18.55,18.87,18.38,18.85,0.06,0.32,1114055
29/12/2020,18.75,19.01,18.685,18.79,0.12,0.64,1028010
24/12/2020,18.92,19.05,18.57,18.67,-0.07,-0.37,513654
23/12/2020,18.87,19.01,18.47,18.74,-0.37,-1.94,986150
22/12/2020,19.65,19.65,19.05,19.11,-0.63,-3.19,812158
21/12/2020,19.03,19.76,19.03,19.74,0.57,2.97,1429065
18/12/2020,19.07,19.3,18.85,19.17,0,0,4047228
17/12/2020,18.86,19.24,18.73,19.17,0.52,2.79,2110200
16/12/2020,18.57,18.75,18.255,18.65,0.33,1.8,1762211
15/12/2020,18.5,18.58,18.25,18.32,-0.4,-2.14,1908090
14/12/2020,18.75,18.88,18.59,18.72,-0.01,-0.05,1318067
11/12/2020,18.49,19.01,18.465,18.73,0.13,0.7,3193217
10/12/2020,18.58,18.78,18.41,18.6,-0.27,-1.43,3322781
09/12/2020,19,19.04,18.74,18.87,-0.07,-0.37,1437026
08/12/2020,19.31,19.41,18.73,18.94,-0.35,-1.81,2662531
07/12/2020,19.53,19.53,19.15,19.29,0.54,2.88,2245576
04/12/2020,18.14,18.8,17.92,18.75,0.72,3.99,2719697
03/12/2020,17.15,18.08,17.08,18.03,1.1,6.5,3078487
02/12/2020,16.88,17.18,16.84,16.93,0.33,1.99,2108418
01/12/2020,16.5,16.76,16.4,16.6,0.28,1.72,1685684
30/11/2020,16.37,16.5,16.31,16.32,0.01,0.06,2339137
27/11/2020,16.15,16.4,16.01,16.31,0.18,1.12,1269725
26/11/2020,16.15,16.37,15.96,16.13,0.21,1.32,2277610
25/11/2020,15.76,16.07,15.53,15.92,0.32,2.05,2382620
24/11/2020,15.36,15.67,15.31,15.6,0.35,2.3,1542177
23/11/2020,15.02,15.34,15.02,15.25,0.44,2.97,1580936
20/11/2020,14.57,14.91,14.49,14.81,0.23,1.58,1615493
19/11/2020,14.94,14.96,14.58,14.58,-0.26,-1.75,1379825
18/11/2020,15,15.06,14.7,14.84,-0.56,-3.64,2178732
17/11/2020,15.12,15.51,15.12,15.4,0.44,2.94,1868498
16/11/2020,14.97,15.04,14.92,14.96,0.11,0.74,100364
13/11/2020,14.89,15.01,14.75,14.85,0.02,0.13,1474444
12/11/2020,14.62,15,14.62,14.83,0.16,1.09,1110977
11/11/2020,15.15,15.15,14.6,14.67,-0.38,-2.52,1911660
10/11/2020,15.75,15.75,15,15.05,-0.3,-1.95,1347887
09/11/2020,15.1,15.37,15.1,15.35,0.28,1.86,1260356
06/11/2020,15.1,15.22,14.97,15.07,0.2,1.34,1288209
05/11/2020,14.63,14.99,14.57,14.87,0.14,0.95,2041611
04/11/2020,14.66,14.945,14.61,14.73,0.05,0.34,1469683
03/11/2020,14.58,14.73,14.39,14.68,0.13,0.89,2230393
02/11/2020,14.75,14.82,14.44,14.55,-0.31,-2.09,1793584
30/10/2020,14.97,15.07,14.77,14.86,-0.19,-1.26,1496570
29/10/2020,15.17,15.18,14.97,15.05,-0.34,-2.21,805795
28/10/2020,15.43,15.55,15.28,15.39,-0.07,-0.45,957452
27/10/2020,15.68,15.8,15.38,15.46,-0.42,-2.64,1748591
26/10/2020,15.92,16.12,15.86,15.88,0.07,0.44,1172474
23/10/2020,16.12,16.5,15.77,15.81,-0.16,-1,1942764
22/10/2020,15.4,15.98,15.13,15.97,0.8,5.27,2811553
21/10/2020,14.87,15.24,14.82,15.17,0.42,2.85,1347546
20/10/2020,15.23,15.23,14.66,14.75,-0.41,-2.7,2563211
19/10/2020,15.08,15.21,14.89,15.16,0.24,1.61,1741589
16/10/2020,14.8,15.08,14.8,14.92,0.12,0.81,1470202
15/10/2020,14.74,14.95,14.73,14.8,0.09,0.61,1440191
14/10/2020,14.59,14.81,14.53,14.71,0.07,0.48,1059289
13/10/2020,14.75,14.81,14.41,14.64,-0.04,-0.27,1320030
12/10/2020,14.71,14.76,14.6,14.68,0.12,0.82,1833592
09/10/2020,14.5,14.63,14.36,14.56,0.12,0.83,2684028
08/10/2020,14.37,14.57,14.27,14.44,0.32,2.27,1660603
07/10/2020,13.98,14.18,13.74,14.12,0.01,0.07,1492796
06/10/2020,13.98,14.12,13.845,14.11,0.21,1.51,1162093
