Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,6.15,6.23,6.035,6.15,-0.03,-0.49,860589
29/01/2021,6.25,6.39,6.15,6.18,0.02,0.32,910633
28/01/2021,6.23,6.25,6,6.16,-0.15,-2.38,2297258
27/01/2021,6.41,6.43,6.31,6.31,-0.11,-1.71,957673
25/01/2021,6.52,6.52,6.39,6.42,-0.08,-1.23,693127
22/01/2021,6.6,6.6,6.46,6.5,-0.11,-1.66,687098
21/01/2021,6.56,6.66,6.545,6.61,0.01,0.15,919889
20/01/2021,6.64,6.67,6.54,6.6,-0.08,-1.2,1018382
19/01/2021,6.7,6.74,6.6,6.68,0.02,0.3,742668
18/01/2021,6.48,6.7,6.44,6.66,0.18,2.78,1100206
15/01/2021,6.59,6.615,6.44,6.48,-0.2,-2.99,1830861
14/01/2021,6.67,6.75,6.6,6.68,-0.05,-0.74,1083671
13/01/2021,6.77,6.89,6.61,6.73,-0.04,-0.59,1939115
12/01/2021,6.67,6.905,6.67,6.77,0.14,2.11,2397453
11/01/2021,6.55,6.675,6.55,6.63,0.03,0.45,1110517
08/01/2021,6.44,6.62,6.44,6.6,0.03,0.46,1186195
07/01/2021,6.46,6.58,6.41,6.57,0.19,2.98,1040226
06/01/2021,6.41,6.54,6.34,6.38,-0.12,-1.85,759379
05/01/2021,6.55,6.61,6.47,6.5,-0.06,-0.91,1037000
04/01/2021,6.61,6.65,6.55,6.56,0.03,0.46,514007
31/12/2020,6.61,6.66,6.53,6.53,-0.1,-1.51,379476
30/12/2020,6.7,6.73,6.57,6.63,-0.06,-0.9,501751
29/12/2020,6.74,6.77,6.67,6.69,0.05,0.75,407631
24/12/2020,6.73,6.745,6.64,6.64,-0.04,-0.6,259879
23/12/2020,6.64,6.74,6.64,6.68,0.09,1.37,628010
22/12/2020,6.64,6.75,6.53,6.59,-0.07,-1.05,808260
21/12/2020,6.65,6.72,6.61,6.66,-0.04,-0.6,706607
18/12/2020,6.84,6.84,6.66,6.7,-0.13,-1.9,971595
17/12/2020,6.82,6.85,6.68,6.83,0.06,0.89,1917137
16/12/2020,6.77,6.865,6.74,6.77,0.08,1.2,1186859
15/12/2020,6.61,6.76,6.6,6.69,-0.03,-0.45,1610702
14/12/2020,6.61,6.83,6.61,6.72,0.11,1.66,1277525
11/12/2020,6.8,6.82,6.57,6.61,-0.26,-3.78,1685880
10/12/2020,6.93,7.005,6.83,6.87,-0.13,-1.86,1081382
09/12/2020,7.01,7.07,6.87,7,-0.03,-0.43,1293977
08/12/2020,7.2,7.25,6.97,7.03,-0.24,-3.3,1791318
07/12/2020,7.27,7.38,7.22,7.27,0.07,0.97,3196954
04/12/2020,7.1,7.28,7.06,7.2,0.18,2.56,2826913
03/12/2020,7,7.13,6.92,7.02,-0.19,-2.64,3492891
02/12/2020,7.29,7.32,7.15,7.21,0.02,0.28,3464588
01/12/2020,7.04,7.26,6.98,7.19,0.18,2.57,3412931
30/11/2020,7.08,7.2,7.01,7.01,0.04,0.57,2941590
27/11/2020,6.9,7,6.83,6.97,0.11,1.6,2033722
26/11/2020,6.64,6.92,6.61,6.86,0.27,4.1,2363429
25/11/2020,6.47,6.67,6.45,6.59,0.21,3.29,2776197
24/11/2020,6.21,6.41,6.21,6.38,0.18,2.9,1607314
23/11/2020,6.2,6.28,6.16,6.2,0.06,0.98,1373509
20/11/2020,6.12,6.24,6.11,6.14,0.02,0.33,2319054
19/11/2020,6.14,6.18,6.09,6.12,0,0,3804008
18/11/2020,6.04,6.17,6.02,6.12,0.1,1.66,4133445
17/11/2020,6.18,6.18,6,6.02,-0.08,-1.31,3368348
16/11/2020,6.05,6.1,6.03,6.1,0.16,2.69,125868
13/11/2020,6,6.12,5.91,5.94,-0.08,-1.33,2586845
12/11/2020,6.46,6.53,5.96,6.02,-0.35,-5.49,5183238
11/11/2020,6.4,6.48,6.16,6.37,0.08,1.27,5229615
10/11/2020,6.29,6.38,6.22,6.29,0.25,4.14,6072711
