Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,42.5,42.81,41.34,42.81,-0.03,-0.07,315438
29/01/2021,41.8,43.35,41.09,42.84,1.64,3.98,318804
28/01/2021,42.99,43.9,40.83,41.2,-2.58,-5.89,748985
27/01/2021,41.54,43.855,41.54,43.78,2.65,6.44,511403
25/01/2021,40.47,41.19,39.11,41.13,0.63,1.56,350716
22/01/2021,40,40.69,38.505,40.5,-0.02,-0.05,556614
21/01/2021,41.35,41.95,40.24,40.52,-1.45,-3.45,563571
20/01/2021,43.88,43.99,41.63,41.97,-1.93,-4.4,387752
19/01/2021,43.05,43.95,42.765,43.9,1.5,3.54,917600
18/01/2021,39.15,43.08,39.02,42.4,4.21,11.02,751119
15/01/2021,37.38,39.62,37.37,38.19,1.66,4.54,858788
14/01/2021,33.2,36.62,33.01,36.53,4.76,14.98,557520
13/01/2021,31.6,31.82,31.19,31.77,-0.04,-0.13,209975
12/01/2021,32.08,32.38,31.49,31.81,-0.01,-0.03,135173
11/01/2021,32.68,32.98,31.57,31.82,-0.8,-2.45,230743
08/01/2021,32.59,32.95,32.32,32.62,0.33,1.02,118563
07/01/2021,33.53,33.6,32.28,32.29,-0.68,-2.06,231729
06/01/2021,33.71,33.91,32.6,32.97,-1.03,-3.03,298838
05/01/2021,34.85,34.95,33.89,34,-1.12,-3.19,397325
04/01/2021,34.96,35.68,34.82,35.12,0.96,2.81,259854
31/12/2020,34.55,34.76,33.84,34.16,-0.39,-1.13,174190
30/12/2020,35,35.1,34.12,34.55,-0.57,-1.62,245443
29/12/2020,34.65,35.12,34.3,35.12,0.55,1.59,284553
24/12/2020,34.84,34.84,34.3,34.57,0.01,0.03,83569
23/12/2020,34.04,34.83,34.01,34.56,0.85,2.52,494458
22/12/2020,33.75,33.91,33.32,33.71,0.09,0.27,256358
21/12/2020,32.78,33.85,32.78,33.62,0.62,1.88,285067
18/12/2020,32.49,33.16,32.16,33,0.85,2.64,448135
17/12/2020,32.56,32.87,31.31,32.15,1.03,3.31,423455
16/12/2020,31.19,31.22,30.64,31.12,0.39,1.27,218515
15/12/2020,31.34,31.34,30.32,30.73,0.13,0.42,274975
14/12/2020,30.3,30.75,29.99,30.6,0.17,0.56,207775
11/12/2020,30.21,30.84,30.08,30.43,-0.13,-0.43,234230
10/12/2020,30.84,31.22,30,30.56,-0.49,-1.58,267694
09/12/2020,30.66,31.36,30.66,31.05,0.43,1.4,260606
08/12/2020,30.14,30.87,30.14,30.62,0.53,1.76,258572
07/12/2020,30.06,30.64,29.96,30.09,0.09,0.3,226561
