Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,21.54,22.37,21.475,22.2,-0.23,-1.03,219195
29/01/2021,22.99,23.03,22.3,22.43,-0.07,-0.31,270536
28/01/2021,22.43,22.59,21.93,22.5,-0.26,-1.14,324289
27/01/2021,23.3,23.3,22.6,22.76,-0.39,-1.68,316451
25/01/2021,22.75,23.34,22.56,23.15,0.29,1.27,160405
22/01/2021,23.21,23.32,22.65,22.86,-0.19,-0.82,412002
21/01/2021,23.23,23.47,22.85,23.05,0.05,0.22,594110
20/01/2021,22.61,23.22,22.53,23,-0.46,-1.96,627578
19/01/2021,23.96,24.04,23.2,23.46,-0.29,-1.22,420569
18/01/2021,24.07,24.29,23.46,23.75,-0.56,-2.3,489232
15/01/2021,24.3,24.53,24.1,24.31,-0.07,-0.29,329889
14/01/2021,25.2,25.35,24.38,24.38,-0.97,-3.83,394858
13/01/2021,25,26.7,25,25.35,2.86,12.72,1072944
12/01/2021,23.35,23.35,22.43,22.49,-0.43,-1.88,265960
11/01/2021,22.88,23.49,22.45,22.92,-0.37,-1.59,323937
08/01/2021,22.92,23.34,22.91,23.29,0.29,1.26,129637
07/01/2021,22.45,23.23,22.45,23,0.39,1.72,558485
06/01/2021,23.01,23.22,22.49,22.61,-1.09,-4.6,263449
05/01/2021,23.7,23.94,23.51,23.7,-0.3,-1.25,265649
04/01/2021,23.55,24.05,23.55,24,0.49,2.08,348986
31/12/2020,23.52,23.8,23.41,23.51,-0.22,-0.93,110610
30/12/2020,23.2,23.83,23.2,23.73,0.18,0.76,206649
29/12/2020,23.89,23.89,23.34,23.55,0.15,0.64,112134
24/12/2020,24.23,24.23,23.4,23.4,-0.16,-0.68,87269
23/12/2020,23.09,23.68,23.05,23.56,0.56,2.43,213340
22/12/2020,23.37,23.49,22.9,23,-0.24,-1.03,270299
21/12/2020,23,23.28,22.745,23.24,-0.17,-0.73,191141
18/12/2020,24.07,24.24,23.33,23.41,-0.59,-2.46,575671
17/12/2020,23.99,24.2,23.81,24,0.19,0.8,442466
16/12/2020,23.21,23.89,23.1,23.81,0.81,3.52,453876
15/12/2020,23.08,23.17,22.87,23,-0.21,-0.9,512141
14/12/2020,22.5,23.32,22.465,23.21,0.78,3.48,339037
11/12/2020,22.74,22.9,22.31,22.43,-0.6,-2.61,491160
10/12/2020,22.9,23.16,22.82,23.03,-0.18,-0.78,424364
09/12/2020,23,23.24,22.9,23.21,0.2,0.87,178570
08/12/2020,22.98,23.14,22.86,23.01,-0.02,-0.09,177094
07/12/2020,23.48,23.48,22.82,23.03,0.03,0.13,247310
04/12/2020,22.79,23.135,22.66,23,0.17,0.74,311622
03/12/2020,22.89,23.02,22.57,22.83,-0.08,-0.35,255685
02/12/2020,22.85,23.01,22.7,22.91,-0.09,-0.39,184430
01/12/2020,22.98,23.17,22.59,23,0.3,1.32,289199
30/11/2020,23.24,23.38,22.62,22.7,-0.19,-0.83,475680
27/11/2020,23.17,23.235,22.89,22.89,-0.11,-0.48,130736
26/11/2020,22.88,23.18,22.85,23,0.26,1.14,674160
25/11/2020,22.76,23.01,22.57,22.74,-0.01,-0.04,581587
24/11/2020,22.21,22.78,22.11,22.75,0.58,2.62,339816
23/11/2020,22.13,22.34,21.94,22.17,-0.07,-0.31,206324
20/11/2020,22,22.38,21.91,22.24,-0.1,-0.45,105600
19/11/2020,22.22,22.42,21.99,22.34,0.57,2.62,461389
18/11/2020,21.95,22.09,21.73,21.77,-0.15,-0.68,482350
17/11/2020,22.17,22.31,21.62,21.92,-0.13,-0.59,762352
16/11/2020,21.85,22.15,21.66,22.05,0.2,0.92,26462
13/11/2020,22,22.17,21.45,21.85,-0.23,-1.04,389547
12/11/2020,22.03,22.24,21.48,22.08,0.18,0.82,373737
11/11/2020,21.44,21.93,21.01,21.9,0.58,2.72,731406
10/11/2020,23,23.23,21.105,21.32,-1.45,-6.37,718388
09/11/2020,22.48,22.88,22.38,22.77,0.45,2.02,232462
06/11/2020,22.82,22.96,22.18,22.32,-0.4,-1.76,258393
05/11/2020,22.29,22.92,22.2,22.72,0.44,1.97,477321
04/11/2020,21.85,22.48,21.68,22.28,0.42,1.92,256448
03/11/2020,21.46,22.06,21.27,21.86,0.73,3.45,239412
02/11/2020,21.28,21.38,20.8,21.13,-0.22,-1.03,281575
30/10/2020,22.09,22.15,21.31,21.35,-0.84,-3.79,256383
29/10/2020,21.97,22.35,21.74,22.19,0.16,0.73,323758
28/10/2020,21.37,22.14,21.31,22.03,0.26,1.19,342643
27/10/2020,21.7,21.91,21.56,21.77,-0.11,-0.5,353891
26/10/2020,22.4,22.945,21.82,21.88,-0.67,-2.97,314338
23/10/2020,22.58,22.82,22.2,22.55,-0.48,-2.08,319585
22/10/2020,22.78,23.13,22.65,23.03,0.04,0.17,258961
21/10/2020,23.29,23.4,22.87,22.99,-0.41,-1.75,244489
20/10/2020,23.39,23.48,23.26,23.4,-0.14,-0.59,181355
19/10/2020,23.65,23.81,23.51,23.54,-0.12,-0.51,255902
16/10/2020,23.48,23.68,23.42,23.66,0.24,1.02,197732
15/10/2020,23.98,23.98,23.42,23.42,-0.12,-0.51,371108
