Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,2.61,2.67,2.52,2.67,0.04,1.52,4900230
29/01/2021,2.63,2.715,2.62,2.63,0.03,1.15,3122765
28/01/2021,2.59,2.61,2.53,2.6,-0.06,-2.26,6482842
27/01/2021,2.68,2.68,2.62,2.66,0,0,2549068
25/01/2021,2.65,2.69,2.61,2.66,0.03,1.14,2462792
22/01/2021,2.69,2.69,2.61,2.63,0.01,0.38,4514568
21/01/2021,2.67,2.71,2.6,2.62,-0.04,-1.5,5378270
20/01/2021,2.6,2.69,2.59,2.66,0.18,7.26,6499225
19/01/2021,2.47,2.54,2.43,2.48,0.01,0.4,5433564
18/01/2021,2.59,2.64,2.43,2.47,-0.07,-2.76,6866057
15/01/2021,2.77,2.78,2.52,2.54,-0.23,-8.3,8565784
14/01/2021,2.73,2.89,2.72,2.77,0.09,3.36,8850599
13/01/2021,2.97,2.97,2.66,2.68,-0.27,-9.15,10771056
12/01/2021,3.1,3.24,2.91,2.95,-0.44,-12.98,13701035
11/01/2021,3.48,3.53,3.36,3.39,-0.14,-3.97,3120652
08/01/2021,3.53,3.575,3.44,3.53,-0.01,-0.28,3605961
07/01/2021,3.7,3.73,3.5,3.54,-0.14,-3.8,5385078
06/01/2021,3.86,3.9,3.64,3.68,-0.25,-6.36,4461615
05/01/2021,3.89,3.965,3.89,3.93,0,0,1350404
04/01/2021,3.88,3.94,3.84,3.93,0.05,1.29,1893836
31/12/2020,3.95,3.98,3.88,3.88,-0.08,-2.02,880188
30/12/2020,3.95,3.98,3.91,3.96,-0.05,-1.25,1418509
29/12/2020,3.95,4.065,3.94,4.01,0.06,1.52,2279519
24/12/2020,3.99,3.99,3.92,3.95,-0.04,-1,978116
23/12/2020,3.89,4.03,3.87,3.99,0.15,3.91,2935842
22/12/2020,3.89,3.9,3.77,3.84,-0.06,-1.54,3410578
21/12/2020,3.9,4.08,3.87,3.9,0,0,5103097
18/12/2020,4,4,3.89,3.9,-0.11,-2.74,3119694
17/12/2020,3.98,4.04,3.94,4.01,0.12,3.08,4315447
16/12/2020,3.84,3.96,3.83,3.89,0.07,1.83,3450145
15/12/2020,3.84,3.85,3.76,3.82,-0.02,-0.52,2971442
14/12/2020,3.78,3.85,3.74,3.84,0.06,1.59,2831227
11/12/2020,3.64,3.81,3.61,3.78,0.06,1.61,2245353
10/12/2020,3.8,3.8,3.64,3.72,-0.13,-3.38,6243601
09/12/2020,3.82,3.89,3.76,3.85,0.05,1.32,4171959
08/12/2020,3.63,3.8,3.57,3.8,0.15,4.11,3455962
07/12/2020,3.63,3.85,3.585,3.65,0.09,2.53,8351680
04/12/2020,3.36,3.61,3.35,3.56,0.2,5.95,5817833
03/12/2020,3.45,3.46,3.24,3.36,-0.08,-2.33,4714010
02/12/2020,3.4,3.48,3.34,3.44,0.06,1.78,6753006
01/12/2020,3.25,3.455,3.225,3.38,0.17,5.3,9964344
30/11/2020,3.11,3.24,3.11,3.21,0.12,3.88,4365960
27/11/2020,3.1,3.17,3.07,3.09,-0.02,-0.64,1731245
26/11/2020,3.1,3.17,3.09,3.11,0.01,0.32,2369194
25/11/2020,3.08,3.12,3.04,3.1,0.01,0.32,2546936
24/11/2020,3.1,3.12,3.02,3.09,0.02,0.65,3067062
23/11/2020,3.04,3.09,3.01,3.07,0.07,2.33,2460031
20/11/2020,3.03,3.06,2.98,3,-0.03,-0.99,1691199
19/11/2020,2.95,3.06,2.89,3.03,0.09,3.06,4747386
18/11/2020,2.85,2.99,2.85,2.94,0.09,3.16,3423533
17/11/2020,2.92,2.92,2.8,2.85,-0.11,-3.72,4738931
16/11/2020,2.99,3,2.95,2.96,-0.08,-2.63,682962
13/11/2020,2.8,3.08,2.76,3.04,0.24,8.57,8688652
12/11/2020,2.72,2.81,2.7,2.8,0.1,3.7,2888248
11/11/2020,2.71,2.74,2.67,2.7,-0.02,-0.74,2254413
10/11/2020,2.78,2.84,2.7,2.72,-0.05,-1.81,3174221
09/11/2020,2.74,2.795,2.73,2.77,0.04,1.47,2055671
06/11/2020,2.8,2.82,2.7,2.73,-0.06,-2.15,2172358
05/11/2020,2.7,2.8,2.67,2.79,0.12,4.49,3086615
04/11/2020,2.54,2.67,2.54,2.67,0.12,4.71,2234091
03/11/2020,2.51,2.56,2.51,2.55,0.07,2.82,1441002
