Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,0.79,0.79,0.745,0.775,-0.02,-2.52,1622718
29/01/2021,0.8,0.82,0.775,0.795,-0.02,-2.45,2155601
28/01/2021,0.8,0.82,0.78,0.815,0,0,4672152
27/01/2021,0.77,0.82,0.77,0.815,0.05,6.54,4627362
25/01/2021,0.76,0.782,0.76,0.765,0.015,2,5712869
22/01/2021,0.695,0.76,0.69,0.75,0.06,8.7,7566012
21/01/2021,0.655,0.695,0.645,0.69,0.035,5.34,5016755
20/01/2021,0.64,0.665,0.635,0.655,0.025,3.97,1365543
19/01/2021,0.635,0.65,0.62,0.63,-0.005,-0.79,801201
18/01/2021,0.65,0.65,0.625,0.635,-0.025,-3.79,1035941
15/01/2021,0.67,0.675,0.645,0.66,-0.025,-3.65,1294100
14/01/2021,0.685,0.695,0.66,0.685,-0.02,-2.84,1592384
13/01/2021,0.62,0.705,0.62,0.705,0.095,15.57,5385157
12/01/2021,0.625,0.63,0.605,0.61,-0.02,-3.17,733982
11/01/2021,0.615,0.635,0.615,0.63,0.015,2.44,975353
08/01/2021,0.625,0.63,0.6,0.615,-0.02,-3.15,1132979
07/01/2021,0.66,0.66,0.615,0.635,-0.02,-3.05,1179401
06/01/2021,0.655,0.665,0.645,0.655,0,0,1231245
05/01/2021,0.65,0.655,0.645,0.655,0,0,812787
04/01/2021,0.66,0.66,0.645,0.655,-0.005,-0.76,759205
31/12/2020,0.66,0.66,0.65,0.66,0,0,377002
30/12/2020,0.65,0.66,0.64,0.66,0.005,0.76,1334553
29/12/2020,0.65,0.667,0.645,0.655,0,0,2222432
24/12/2020,0.66,0.665,0.645,0.655,-0.005,-0.76,693537
23/12/2020,0.65,0.665,0.64,0.66,0.015,2.33,912942
22/12/2020,0.64,0.645,0.615,0.645,0.005,0.78,758612
21/12/2020,0.63,0.65,0.615,0.64,0.01,1.59,1469378
18/12/2020,0.65,0.65,0.615,0.63,-0.01,-1.56,1419389
17/12/2020,0.64,0.66,0.64,0.64,0,0,619931
16/12/2020,0.655,0.665,0.64,0.64,-0.02,-3.03,1086712
15/12/2020,0.67,0.675,0.655,0.66,-0.01,-1.49,699017
14/12/2020,0.675,0.68,0.665,0.67,-0.01,-1.47,834087
11/12/2020,0.675,0.68,0.66,0.68,0.005,0.74,573069
10/12/2020,0.69,0.69,0.66,0.675,-0.02,-2.88,1413332
09/12/2020,0.71,0.72,0.685,0.695,-0.02,-2.8,1682498
08/12/2020,0.715,0.72,0.705,0.715,0,0,541472
07/12/2020,0.715,0.725,0.71,0.715,0.005,0.7,1510130
04/12/2020,0.72,0.72,0.7,0.71,0,0,2013758
03/12/2020,0.715,0.73,0.7,0.71,-0.005,-0.7,2308991
02/12/2020,0.7,0.715,0.7,0.715,0.015,2.14,1491090
01/12/2020,0.695,0.71,0.69,0.7,0.005,0.72,1693721
30/11/2020,0.7,0.725,0.685,0.695,0.015,2.21,2095519
27/11/2020,0.695,0.715,0.68,0.68,0,0,2386330
26/11/2020,0.665,0.685,0.65,0.68,0.015,2.26,1399257
25/11/2020,0.665,0.67,0.645,0.665,0.015,2.31,1040102
24/11/2020,0.66,0.675,0.65,0.65,-0.01,-1.52,1347244
23/11/2020,0.64,0.675,0.64,0.66,0.01,1.54,859404
20/11/2020,0.66,0.66,0.6,0.65,-0.01,-1.52,3937841
19/11/2020,0.66,0.695,0.66,0.66,0,0,1668230
18/11/2020,0.67,0.675,0.655,0.66,-0.01,-1.49,1007679
17/11/2020,0.68,0.68,0.65,0.67,-0.005,-0.74,1514982
16/11/2020,0.68,0.685,0.675,0.675,0.005,0.75,123089
13/11/2020,0.65,0.675,0.65,0.67,-0.005,-0.74,598068
12/11/2020,0.67,0.68,0.65,0.675,0.02,3.05,926602
11/11/2020,0.645,0.68,0.645,0.655,-0.01,-1.5,1285801
10/11/2020,0.69,0.695,0.645,0.665,-0.01,-1.48,1980267
09/11/2020,0.695,0.73,0.665,0.675,-0.015,-2.17,3382139
06/11/2020,0.69,0.7,0.68,0.69,0,0,1325483
05/11/2020,0.695,0.7,0.68,0.69,0,0,1106341
04/11/2020,0.69,0.7,0.665,0.69,0.01,1.47,1062370
03/11/2020,0.65,0.69,0.65,0.68,0.045,7.09,1524005
02/11/2020,0.65,0.665,0.63,0.635,-0.015,-2.31,2427395
30/10/2020,0.7,0.7,0.65,0.65,-0.04,-5.8,1612087
29/10/2020,0.65,0.71,0.65,0.69,-0.01,-1.43,2848809
28/10/2020,0.66,0.7,0.65,0.7,0.015,2.19,2157826
27/10/2020,0.65,0.685,0.63,0.685,0.015,2.24,3749716
26/10/2020,0.73,0.74,0.665,0.67,-0.045,-6.29,4110521
23/10/2020,0.71,0.73,0.705,0.715,0.005,0.7,3587238
22/10/2020,0.66,0.725,0.64,0.71,0.035,5.19,5472869
21/10/2020,0.59,0.675,0.5875,0.675,0.115,20.54,7925349
20/10/2020,0.58,0.58,0.555,0.56,-0.025,-4.27,2588844
19/10/2020,0.585,0.59,0.58,0.585,-0.005,-0.85,3094769
16/10/2020,0.59,0.6,0.585,0.59,-0.01,-1.67,1661391
15/10/2020,0.595,0.61,0.59,0.6,0.015,2.56,2028551
14/10/2020,0.575,0.595,0.57,0.585,0.01,1.74,674637
13/10/2020,0.585,0.605,0.575,0.575,-0.005,-0.86,2108002
12/10/2020,0.59,0.59,0.575,0.58,-0.005,-0.85,569650
09/10/2020,0.58,0.59,0.57,0.585,0.005,0.86,1425058
08/10/2020,0.55,0.585,0.55,0.58,0.04,7.41,5092248
07/10/2020,0.54,0.545,0.53,0.54,-0.005,-0.92,1047444
06/10/2020,0.53,0.55,0.53,0.545,0.005,0.93,1414721
05/10/2020,0.535,0.545,0.53,0.54,0.01,1.89,423977
02/10/2020,0.545,0.55,0.53,0.53,-0.015,-2.75,1602821
01/10/2020,0.525,0.545,0.52,0.545,0.015,2.83,723615
30/09/2020,0.535,0.535,0.52,0.53,0,0,529056
