Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,32,32.28,31.2,31.91,-0.36,-1.12,165063
29/01/2021,32.5,33.05,32.02,32.27,0.21,0.66,262861
28/01/2021,32.88,32.88,31.915,32.06,-1.13,-3.4,228423
27/01/2021,33.71,34.05,32.99,33.19,-0.48,-1.43,229674
25/01/2021,34.08,34.1,33.28,33.67,-0.49,-1.43,169112
22/01/2021,35.55,35.62,34.14,34.16,-1.73,-4.82,248524
21/01/2021,35.4,35.89,35.36,35.89,0.46,1.3,107660
20/01/2021,35.46,35.73,35.18,35.43,-0.22,-0.62,173761
19/01/2021,35.29,35.97,35.29,35.65,0.27,0.76,125173
18/01/2021,35.52,36.01,35.27,35.38,-0.14,-0.39,101305
15/01/2021,35.62,36.28,35.52,35.52,-0.45,-1.25,135691
14/01/2021,36.14,36.4,35.8,35.97,-0.28,-0.77,100078
13/01/2021,35.91,36.45,35.6,36.25,0.03,0.08,165857
12/01/2021,36,36.665,36,36.22,0.22,0.61,160901
11/01/2021,36.04,36.52,35.85,36,-0.39,-1.07,123602
08/01/2021,36.4,36.99,36.16,36.39,0.18,0.5,367763
07/01/2021,35.75,36.43,35.57,36.21,1.21,3.46,287205
06/01/2021,34.5,35.13,34.4,35,0.2,0.57,165326
05/01/2021,34.56,35.14,34.56,34.8,-0.35,-1,125034
04/01/2021,34.65,35.21,34.65,35.15,0.39,1.12,95748
31/12/2020,34.95,35.21,34.76,34.76,-0.25,-0.71,54418
30/12/2020,35.27,35.37,34.8,35.01,-0.3,-0.85,86981
29/12/2020,35.09,35.43,34.97,35.31,0.27,0.77,62822
24/12/2020,35.68,35.68,35.04,35.04,0.1,0.29,47689
23/12/2020,34.72,35.32,34.72,34.94,0.42,1.22,116118
22/12/2020,34.86,34.91,34.295,34.52,-0.75,-2.13,228936
21/12/2020,34.85,35.51,34.79,35.27,0.42,1.21,205816
18/12/2020,35.28,35.28,34.58,34.85,-0.73,-2.05,338911
17/12/2020,34.8,35.76,34.78,35.58,0.81,2.33,257416
16/12/2020,35.1,35.11,34.6,34.77,0,0,158286
15/12/2020,34.74,35.05,34.58,34.77,-0.06,-0.17,215717
14/12/2020,34.72,35.23,34.5,34.83,0.01,0.03,305014
11/12/2020,35.68,35.89,34.52,34.82,-1.2,-3.33,324721
10/12/2020,34.46,36.43,34.32,36.02,1.98,5.82,495623
09/12/2020,34.1,34.26,33.73,34.04,-0.07,-0.21,187580
08/12/2020,34.02,34.32,33.94,34.11,-0.39,-1.13,186215
07/12/2020,34.3,34.91,34.2,34.5,0.2,0.58,190229
04/12/2020,33.78,34.37,33.75,34.3,0.2,0.59,210695
03/12/2020,34.03,34.49,33.78,34.1,0.12,0.35,198046
02/12/2020,34.33,34.4,33.72,33.98,-0.03,-0.09,223215
01/12/2020,33.38,34.45,33.02,34.01,0.54,1.61,300882
30/11/2020,33.91,34.26,33.435,33.47,-0.27,-0.8,293238
27/11/2020,33.79,33.92,32.94,33.74,-0.24,-0.71,214940
26/11/2020,33.81,34.18,33.61,33.98,0.12,0.35,175345
25/11/2020,33.36,34.14,32.9,33.86,0.91,2.76,294117
24/11/2020,31.99,33.3,31.87,32.95,1.09,3.42,417039
23/11/2020,31.68,32.04,31.25,31.86,0.06,0.19,182439
20/11/2020,32.55,32.56,31.76,31.8,-0.68,-2.09,233823
19/11/2020,30.07,32.48,30.01,32.48,2.3,7.62,516481
18/11/2020,30.49,30.49,29.92,30.18,-0.26,-0.85,217924
17/11/2020,29.41,30.54,29.41,30.44,1.19,4.07,323949
16/11/2020,29,29.38,28.92,29.25,0.16,0.55,14831
13/11/2020,29.48,29.58,28.65,29.09,-0.41,-1.39,216486
12/11/2020,30.27,30.28,29.385,29.5,-0.79,-2.61,205633
11/11/2020,30.91,31.24,30.04,30.29,-0.01,-0.03,363922
10/11/2020,30,30.82,29.31,30.3,2.02,7.14,436125
09/11/2020,27.97,28.4,27.79,28.28,0.61,2.2,156835
06/11/2020,28.04,28.24,27.48,27.67,-0.01,-0.04,239106
05/11/2020,27.98,28.08,27.36,27.68,-0.31,-1.11,323696
04/11/2020,28,28.39,27.42,27.99,0.17,0.61,161009
03/11/2020,27.1,28.05,27.06,27.82,0.79,2.92,170286
02/11/2020,27.43,27.47,27,27.03,-0.17,-0.62,156157
30/10/2020,27.48,27.56,27.2,27.2,-0.37,-1.34,246612
29/10/2020,27.65,27.71,27.35,27.57,-0.3,-1.08,241665
28/10/2020,27.95,28.22,27.49,27.87,-0.19,-0.68,247988
27/10/2020,28.8,28.85,28.06,28.06,-1.07,-3.67,402819
26/10/2020,29.2,29.6,29.13,29.13,-0.2,-0.68,152493
23/10/2020,29.81,29.9,29.13,29.33,-0.48,-1.61,242063
22/10/2020,29.79,30.01,29.35,29.81,-0.12,-0.4,240740
21/10/2020,29.96,30.44,29.86,29.93,0.03,0.1,236924
20/10/2020,30.2,30.65,29.74,29.9,-0.62,-2.03,342102
19/10/2020,30.55,30.64,30.13,30.52,0.23,0.76,226861
16/10/2020,30.05,30.44,29.86,30.29,0.48,1.61,287338
