Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,1.29,1.35,1.25,1.34,0.04,3.08,2438717
29/01/2021,1.33,1.3475,1.29,1.3,-0.025,-1.89,2650644
28/01/2021,1.32,1.34,1.29,1.325,-0.03,-2.21,3003020
27/01/2021,1.4,1.405,1.34,1.355,-0.045,-3.21,2852964
25/01/2021,1.425,1.425,1.38,1.4,-0.01,-0.71,1234132
22/01/2021,1.445,1.49,1.405,1.41,0.01,0.71,2362448
21/01/2021,1.415,1.42,1.38,1.4,0,0,1425770
20/01/2021,1.355,1.41,1.355,1.4,0.035,2.56,2323390
19/01/2021,1.35,1.375,1.34,1.365,0.02,1.49,1083489
18/01/2021,1.36,1.38,1.325,1.345,-0.015,-1.1,1356650
15/01/2021,1.33,1.3825,1.325,1.36,0.025,1.87,1384570
14/01/2021,1.36,1.36,1.325,1.335,-0.015,-1.11,1090314
13/01/2021,1.345,1.385,1.335,1.35,0.01,0.75,1606982
12/01/2021,1.365,1.38,1.34,1.34,-0.025,-1.83,2164288
11/01/2021,1.395,1.41,1.355,1.365,-0.035,-2.5,2243206
08/01/2021,1.46,1.465,1.39,1.4,-0.055,-3.78,3423650
07/01/2021,1.42,1.48,1.41,1.455,0.055,3.93,4006594
06/01/2021,1.4,1.445,1.38,1.4,0,0,3075848
05/01/2021,1.39,1.405,1.375,1.4,-0.005,-0.36,1299998
04/01/2021,1.39,1.415,1.365,1.405,0.035,2.55,1976323
31/12/2020,1.38,1.41,1.37,1.37,-0.01,-0.72,981233
30/12/2020,1.365,1.395,1.35,1.38,-0.005,-0.36,1721795
29/12/2020,1.4,1.415,1.37,1.385,0.005,0.36,1345104
24/12/2020,1.36,1.405,1.35,1.38,0.035,2.6,1253946
23/12/2020,1.355,1.36,1.32,1.345,0,0,1590880
22/12/2020,1.385,1.395,1.335,1.345,-0.055,-3.93,1355954
21/12/2020,1.38,1.415,1.37,1.4,0.005,0.36,1471617
18/12/2020,1.39,1.42,1.36,1.395,0.015,1.09,3335419
17/12/2020,1.345,1.465,1.325,1.38,0.08,6.15,7966230
