Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,1.19,1.22,1.16,1.215,0.035,2.97,6610283
29/01/2021,1.195,1.2,1.17,1.18,0.005,0.43,7819718
28/01/2021,1.205,1.23,1.165,1.175,-0.065,-5.24,12282589
27/01/2021,1.27,1.27,1.215,1.24,-0.03,-2.36,10065787
25/01/2021,1.27,1.27,1.2325,1.27,0.01,0.79,8528543
22/01/2021,1.25,1.3125,1.25,1.26,-0.015,-1.18,8705243
21/01/2021,1.295,1.32,1.265,1.275,0.04,3.24,15317330
20/01/2021,1.2,1.25,1.175,1.235,0.05,4.22,10405237
19/01/2021,1.18,1.2,1.15,1.185,0.015,1.28,8787623
18/01/2021,1.2,1.2,1.167,1.17,-0.02,-1.68,7388977
15/01/2021,1.195,1.2,1.175,1.19,-0.01,-0.83,6894862
14/01/2021,1.19,1.24,1.17,1.2,-0.01,-0.83,13639622
13/01/2021,1.19,1.215,1.18,1.21,0.025,2.11,6016410
12/01/2021,1.19,1.2,1.172,1.185,-0.01,-0.84,5631298
11/01/2021,1.21,1.22,1.18,1.195,-0.105,-8.08,18174136
08/01/2021,1.325,1.34,1.29,1.3,-0.035,-2.62,4306282
07/01/2021,1.34,1.35,1.315,1.335,-0.015,-1.11,9993833
06/01/2021,1.395,1.395,1.335,1.35,-0.03,-2.17,15331104
05/01/2021,1.36,1.425,1.355,1.38,0.04,2.99,15958364
04/01/2021,1.32,1.35,1.3,1.34,0.04,3.08,6740451
31/12/2020,1.27,1.305,1.265,1.3,0.035,2.77,4404230
30/12/2020,1.24,1.27,1.22,1.265,0,0,6233805
29/12/2020,1.255,1.275,1.235,1.265,0.02,1.61,4605677
24/12/2020,1.25,1.272,1.242,1.245,0,0,2775845
23/12/2020,1.24,1.255,1.205,1.245,-0.01,-0.8,6861088
22/12/2020,1.28,1.295,1.235,1.255,-0.065,-4.92,10152290
21/12/2020,1.275,1.325,1.255,1.32,0.015,1.15,8921876
18/12/2020,1.345,1.345,1.3,1.305,0.01,0.77,23730641
17/12/2020,1.285,1.305,1.25,1.295,0.075,6.15,17002130
16/12/2020,1.175,1.245,1.16,1.22,0.08,7.02,14610010
