Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
03/02/2021,4.75,4.8,4.7,4.7,0.03,0.64,9102087
02/02/2021,4.55,4.69,4.54,4.67,0.15,3.32,9867493
01/02/2021,4.48,4.58,4.43,4.52,0.02,0.44,12453810
29/01/2021,4.64,4.75,4.49,4.5,-0.05,-1.1,16031363
28/01/2021,4.6,4.64,4.51,4.55,-0.08,-1.73,12246226
27/01/2021,4.76,4.77,4.63,4.63,-0.14,-2.94,10899210
25/01/2021,4.85,4.85,4.76,4.77,-0.08,-1.65,6040313
22/01/2021,4.8,4.875,4.79,4.85,0,0,9762089
21/01/2021,4.85,4.86,4.805,4.85,0.03,0.62,7018648
20/01/2021,4.86,4.87,4.78,4.82,-0.06,-1.23,6754759
19/01/2021,4.83,4.92,4.805,4.88,0.07,1.46,7218326
18/01/2021,4.86,4.87,4.79,4.81,-0.07,-1.43,7533299
15/01/2021,4.85,4.94,4.82,4.88,0.08,1.67,8889304
14/01/2021,4.8,4.83,4.73,4.8,0,0,7025980
13/01/2021,4.83,4.88,4.73,4.8,-0.03,-0.62,8853575
12/01/2021,4.91,4.93,4.83,4.83,-0.08,-1.63,6699966
11/01/2021,4.93,4.95,4.885,4.91,-0.01,-0.2,5425191
08/01/2021,4.89,4.98,4.87,4.92,0.01,0.2,7737664
07/01/2021,4.85,4.95,4.83,4.91,0.1,2.08,10294864
06/01/2021,4.85,4.9,4.8,4.81,-0.03,-0.62,10263261
05/01/2021,4.84,4.865,4.8,4.84,-0.07,-1.43,9604540
04/01/2021,4.85,4.93,4.81,4.91,0.06,1.24,7653961
31/12/2020,4.92,4.95,4.85,4.85,-0.11,-2.22,5848346
30/12/2020,4.95,4.98,4.91,4.96,0,0,5081055
29/12/2020,4.95,5.01,4.94,4.96,0.07,1.43,5942237
24/12/2020,5.03,5.04,4.89,4.89,-0.02,-0.41,4765895
23/12/2020,4.8,4.95,4.8,4.91,0.11,2.29,8924306
22/12/2020,4.83,4.86,4.78,4.8,-0.09,-1.84,16267589
21/12/2020,4.72,4.92,4.61,4.89,-0.03,-0.61,14520390
18/12/2020,4.98,4.98,4.78,4.92,-0.18,-3.53,27709545
17/12/2020,5.07,5.1,4.98,5.1,0.01,0.2,12343388
16/12/2020,5.08,5.17,5.08,5.09,0.04,0.79,9514652
15/12/2020,5.05,5.07,5,5.05,-0.02,-0.39,8103551
14/12/2020,5.1,5.13,5.005,5.07,-0.03,-0.59,16102721
11/12/2020,5.15,5.16,5.06,5.1,-0.06,-1.16,12927722
10/12/2020,5.32,5.33,5.15,5.16,-0.2,-3.73,22055281
09/12/2020,5.4,5.43,5.35,5.36,-0.04,-0.74,6618941
08/12/2020,5.47,5.47,5.38,5.4,-0.09,-1.64,9543964
07/12/2020,5.34,5.49,5.33,5.49,0.22,4.17,16465040
04/12/2020,5.47,5.485,5.265,5.27,-0.22,-4.01,23399596
03/12/2020,5.57,5.58,5.46,5.49,-0.06,-1.08,14304300
02/12/2020,5.5,5.56,5.42,5.55,0.08,1.46,16580577
01/12/2020,5.37,5.52,5.29,5.47,0.09,1.67,17172568
30/11/2020,5.6,5.61,5.355,5.38,-0.14,-2.54,26300386
27/11/2020,5.53,5.54,5.42,5.52,-0.01,-0.18,9085092
26/11/2020,5.69,5.69,5.5,5.53,-0.13,-2.3,13531922
25/11/2020,5.73,5.79,5.66,5.66,0.09,1.62,29163406
24/11/2020,5.47,5.62,5.47,5.57,0.21,3.92,17951922
23/11/2020,5.32,5.43,5.32,5.36,0.09,1.71,14067791
20/11/2020,5.24,5.32,5.21,5.27,0.02,0.38,10925363
19/11/2020,5.22,5.27,5.2,5.25,0.04,0.77,7165691
18/11/2020,5.27,5.29,5.2,5.21,-0.06,-1.14,10481340
17/11/2020,5.26,5.31,5.21,5.27,0.07,1.35,24237062
16/11/2020,5.17,5.2,5.15,5.2,0.09,1.76,579568
13/11/2020,5.01,5.13,4.94,5.11,0.04,0.79,18950714
12/11/2020,5.14,5.14,5.04,5.07,-0.07,-1.36,16125708
11/11/2020,5.1,5.17,5.08,5.14,0.07,1.38,18320278
10/11/2020,5.2,5.31,5.05,5.07,0.39,8.33,46845319
09/11/2020,4.57,4.68,4.53,4.68,0.13,2.86,12142943
06/11/2020,4.6,4.62,4.48,4.55,-0.01,-0.22,8719395
