Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,8,8.15,7.88,8.07,0.04,0.5,3427832
29/01/2021,8.24,8.26,8.03,8.03,-0.11,-1.35,4424648
28/01/2021,8.2,8.25,8.08,8.14,-0.17,-2.05,3886567
27/01/2021,8.36,8.45,8.275,8.31,-0.08,-0.95,3468603
25/01/2021,8.46,8.5,8.34,8.39,-0.06,-0.71,2577377
22/01/2021,8.42,8.57,8.42,8.45,0.01,0.12,4372642
21/01/2021,8.35,8.49,8.32,8.44,0.14,1.69,3460317
20/01/2021,8.25,8.36,8.23,8.3,0.12,1.47,4577042
19/01/2021,8.15,8.52,8.14,8.18,0.1,1.24,9226630
18/01/2021,8.44,8.45,8.07,8.08,-0.49,-5.72,11613997
15/01/2021,8.71,8.82,8.57,8.57,-0.16,-1.83,3544211
14/01/2021,8.75,8.785,8.63,8.73,0.01,0.11,3545418
13/01/2021,8.62,8.77,8.6,8.72,0.14,1.63,6244961
12/01/2021,8.51,8.62,8.47,8.58,0.11,1.3,7171029
11/01/2021,8.53,8.65,8.42,8.47,-0.09,-1.05,4203897
08/01/2021,8.52,8.6,8.47,8.56,0,0,4082626
07/01/2021,8.53,8.6,8.43,8.56,0.22,2.64,10747663
06/01/2021,8.31,8.4,8.27,8.34,0.01,0.12,6530816
05/01/2021,8.5,8.51,8.32,8.33,-0.22,-2.57,6458899
04/01/2021,8.54,8.61,8.54,8.55,0.02,0.23,3378626
31/12/2020,8.69,8.71,8.53,8.53,-0.16,-1.84,4190592
30/12/2020,8.78,8.8,8.62,8.69,-0.12,-1.36,4455642
29/12/2020,8.94,8.95,8.77,8.81,-0.05,-0.56,2931950
24/12/2020,8.91,8.95,8.83,8.86,0.06,0.68,2718796
23/12/2020,8.74,8.87,8.74,8.8,0.1,1.15,6750614
22/12/2020,8.68,8.79,8.66,8.7,-0.05,-0.57,5306466
21/12/2020,8.7,8.77,8.61,8.75,0.04,0.46,8801390
