Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,2.8,2.87,2.79,2.84,-0.01,-0.35,3930149
29/01/2021,2.87,2.9,2.83,2.85,0.03,1.06,2895987
28/01/2021,2.85,2.875,2.79,2.82,-0.08,-2.76,6076205
27/01/2021,2.95,2.95,2.9,2.9,-0.02,-0.68,4432369
25/01/2021,2.97,2.97,2.91,2.92,-0.04,-1.35,1764726
22/01/2021,2.97,3,2.96,2.96,-0.01,-0.34,3530730
21/01/2021,2.97,2.98,2.95,2.97,0.02,0.68,3449809
20/01/2021,2.89,2.96,2.86,2.95,0,0,4818890
19/01/2021,2.96,2.975,2.94,2.95,0.02,0.68,2317422
18/01/2021,2.92,2.965,2.91,2.93,-0.02,-0.68,2377427
15/01/2021,2.95,2.99,2.94,2.95,0.01,0.34,3574282
14/01/2021,2.97,2.97,2.92,2.94,-0.01,-0.34,3569615
13/01/2021,2.91,2.97,2.9,2.95,0.01,0.34,3185602
12/01/2021,2.99,3,2.94,2.94,-0.02,-0.68,6045792
11/01/2021,2.96,3.01,2.95,2.96,-0.02,-0.67,3615301
08/01/2021,2.98,2.99,2.93,2.98,0.02,0.68,2453232
07/01/2021,2.96,2.97,2.91,2.96,0.05,1.72,4442622
06/01/2021,2.95,2.96,2.895,2.91,-0.06,-2.02,4655488
05/01/2021,2.93,2.97,2.93,2.97,-0.02,-0.67,3161692
04/01/2021,2.95,2.99,2.95,2.99,0.05,1.7,3266586
31/12/2020,2.96,2.99,2.94,2.94,-0.04,-1.34,2648936
30/12/2020,2.97,2.98,2.935,2.98,-0.01,-0.33,3917115
29/12/2020,2.98,3,2.98,2.99,0.02,0.67,1607112
24/12/2020,3,3,2.95,2.97,-0.02,-0.67,1923022
23/12/2020,2.95,2.995,2.925,2.99,0.07,2.4,4841724
22/12/2020,2.92,2.95,2.9,2.92,-0.03,-1.02,2964930
21/12/2020,2.88,2.96,2.88,2.95,0.03,1.03,2962689
18/12/2020,2.96,2.96,2.9,2.92,-0.01,-0.34,6836962
17/12/2020,2.9,2.94,2.89,2.93,0.04,1.38,4400830
16/12/2020,2.93,2.94,2.88,2.89,-0.01,-0.34,3630113
15/12/2020,2.84,2.92,2.84,2.9,0.05,1.75,4600186
14/12/2020,2.89,2.93,2.82,2.85,-0.04,-1.38,4687785
11/12/2020,2.88,2.91,2.87,2.89,-0.01,-0.34,5505854
10/12/2020,2.92,2.935,2.9,2.9,-0.03,-1.02,5460755
09/12/2020,2.93,2.96,2.92,2.93,0.01,0.34,2936881
08/12/2020,2.97,2.97,2.9,2.92,-0.05,-1.68,6302215
07/12/2020,2.92,2.98,2.92,2.97,0.09,3.12,5691917
04/12/2020,2.94,2.97,2.88,2.88,-0.07,-2.37,4718847
03/12/2020,2.93,2.97,2.91,2.95,0.03,1.03,5186306
02/12/2020,2.93,2.95,2.89,2.92,0.01,0.34,4128263
01/12/2020,2.88,2.98,2.88,2.91,0.05,1.75,6578905
30/11/2020,2.98,3,2.86,2.86,-0.1,-3.38,6527368
27/11/2020,2.99,3,2.94,2.96,-0.02,-0.67,2752467
26/11/2020,3.05,3.08,2.97,2.98,-0.06,-1.97,5826310
25/11/2020,3.01,3.065,3.01,3.04,0.05,1.67,7638019
24/11/2020,2.98,2.995,2.935,2.99,0.04,1.36,5351710
23/11/2020,2.96,2.98,2.92,2.95,0,0,4616934
20/11/2020,2.91,2.96,2.9,2.95,0.02,0.68,2675257
19/11/2020,2.94,3.01,2.91,2.93,-0.05,-1.68,7598154
18/11/2020,3.03,3.04,2.92,2.98,-0.03,-1,7019917
17/11/2020,3.03,3.04,2.97,3.01,0.02,0.67,4724186
16/11/2020,3.04,3.05,2.99,2.99,-0.01,-0.33,87326
13/11/2020,2.95,3.03,2.94,3,0.02,0.67,4589772
12/11/2020,2.97,2.98,2.94,2.98,0.01,0.34,3872349
11/11/2020,3.01,3.04,2.95,2.97,0.01,0.34,4942962
10/11/2020,3.1,3.13,2.93,2.96,0.03,1.02,11176747
09/11/2020,2.88,2.93,2.86,2.93,0.06,2.09,2333803
06/11/2020,2.83,2.89,2.82,2.87,0.04,1.41,3494443
05/11/2020,2.82,2.84,2.79,2.83,0.03,1.07,5606472
04/11/2020,2.68,2.83,2.68,2.8,0.09,3.32,5710731
03/11/2020,2.64,2.73,2.64,2.71,0.09,3.44,2733229
02/11/2020,2.64,2.65,2.58,2.62,-0.03,-1.13,5034224
30/10/2020,2.68,2.69,2.62,2.65,-0.03,-1.12,4053286
29/10/2020,2.69,2.7,2.66,2.68,-0.04,-1.47,2568184
28/10/2020,2.69,2.75,2.66,2.72,0.02,0.74,3691157
27/10/2020,2.74,2.75,2.7,2.7,-0.06,-2.17,3099137
26/10/2020,2.85,2.85,2.76,2.76,-0.05,-1.78,8828886
23/10/2020,2.86,2.87,2.75,2.81,-0.04,-1.4,5489301
22/10/2020,2.74,2.88,2.725,2.85,0.06,2.15,7135941
21/10/2020,2.81,2.82,2.78,2.79,0,0,3415288
20/10/2020,2.8,2.83,2.775,2.79,-0.03,-1.06,4858022
19/10/2020,2.79,2.84,2.77,2.82,0.06,2.17,2989060
16/10/2020,2.8,2.8,2.75,2.76,-0.04,-1.43,3839398
15/10/2020,2.78,2.82,2.77,2.8,0.04,1.45,4896699
14/10/2020,2.75,2.79,2.73,2.76,-0.01,-0.36,5491658
13/10/2020,2.79,2.79,2.75,2.77,0.01,0.36,4036425
12/10/2020,2.74,2.78,2.7,2.76,0.01,0.36,7348967
09/10/2020,2.64,2.77,2.625,2.75,0.13,4.96,9101782
08/10/2020,2.62,2.645,2.6,2.62,0.02,0.77,10184314
07/10/2020,2.6,2.62,2.58,2.6,0,0,7173619
06/10/2020,2.61,2.62,2.565,2.6,0.01,0.39,6996056
05/10/2020,2.63,2.63,2.57,2.59,0.03,1.17,6315368
02/10/2020,2.59,2.63,2.55,2.56,0,0,13068467
01/10/2020,2.51,2.59,2.5,2.56,0.05,1.99,7419150
30/09/2020,2.54,2.55,2.485,2.51,-0.05,-1.95,11719460
29/09/2020,2.57,2.59,2.55,2.56,0.01,0.39,5026722
28/09/2020,2.57,2.59,2.54,2.55,-0.01,-0.39,4913356
25/09/2020,2.57,2.58,2.51,2.56,0,0,4698380
24/09/2020,2.56,2.59,2.53,2.56,-0.04,-1.54,4955184
