Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,146.1,146.75,142.72,145.08,-1.6,-1.09,198346
29/01/2021,146.76,150.91,146.68,146.68,1.52,1.05,231270
28/01/2021,145.7,146.49,144.02,145.16,-1.34,-0.91,238599
27/01/2021,144.98,147.47,144.66,146.5,2.15,1.49,260560
25/01/2021,142.66,145,142.66,144.35,1.56,1.09,110442
22/01/2021,143,145.61,142.31,142.79,0.15,0.11,495885
21/01/2021,145.28,145.465,142.13,142.64,-1.16,-0.81,374849
20/01/2021,140.79,144.3,140.5,143.8,1.28,0.9,252230
19/01/2021,144.66,144.99,142.3,142.52,-1.98,-1.37,126413
18/01/2021,141.99,144.62,141.51,144.5,2.76,1.95,161061
15/01/2021,141.64,142.9,141.64,141.74,-1.61,-1.12,201473
14/01/2021,145,146.65,142.35,143.35,-1.41,-0.97,170842
13/01/2021,142.81,145.59,142.6,144.76,0.98,0.68,212717
12/01/2021,145.37,147.025,143.24,143.78,-2.1,-1.44,140010
11/01/2021,146.26,147.86,145.5,145.88,-2.34,-1.58,152910
08/01/2021,147.25,148.94,145.7,148.22,2.77,1.9,173569
07/01/2021,150.32,151.79,145.15,145.45,-3.55,-2.38,260047
06/01/2021,153.79,154.97,148.1,149,-5.33,-3.45,213641
05/01/2021,153.57,154.82,153.01,154.33,0.09,0.06,187480
04/01/2021,149.95,154.58,149.95,154.24,5.38,3.61,233262
31/12/2020,149.56,151.1,148.73,148.86,-0.21,-0.14,112670
30/12/2020,149.83,150.53,148.41,149.07,-1.16,-0.77,117683
29/12/2020,150.41,150.645,148.79,150.23,0.81,0.54,82924
24/12/2020,151.4,151.92,149.42,149.42,-0.37,-0.25,66927
23/12/2020,147.15,150.13,147.15,149.79,3.49,2.39,230332
22/12/2020,145.5,149.31,145.5,146.3,0.78,0.54,157404
21/12/2020,145.88,147.08,144.67,145.52,-1.83,-1.24,212902
18/12/2020,148,150.27,147.35,147.35,-1.24,-0.83,319045
17/12/2020,146.8,148.85,146.5,148.59,1.68,1.14,256859
16/12/2020,147.5,149.47,146.56,146.91,1.39,0.96,210653
15/12/2020,143,147,142.695,145.52,1.78,1.24,167966
14/12/2020,144.32,146.24,143.74,143.74,0.6,0.42,194040
11/12/2020,143,145.85,142.39,143.14,-1.02,-0.71,245723
10/12/2020,147.1,147.52,143.84,144.16,-4.06,-2.74,316242
09/12/2020,146.23,149.06,146,148.22,2.02,1.38,374253
08/12/2020,143.25,146.21,143.25,146.2,2.08,1.44,201791
07/12/2020,145.83,146.14,143.62,144.12,-0.62,-0.43,144069
04/12/2020,144.1,146.8,143.06,144.74,-0.69,-0.47,97097
03/12/2020,146.69,147.88,144.74,145.43,0.36,0.25,195360
02/12/2020,145.96,146.03,144.19,145.07,0.32,0.22,202323
01/12/2020,145.2,146.72,144.49,144.75,-0.49,-0.34,263374
30/11/2020,143,145.48,142.4,145.24,3.87,2.74,389632
27/11/2020,143.35,143.92,141.37,141.37,-1.27,-0.89,209429
26/11/2020,142.97,144.44,142.5,142.64,0.59,0.42,116552
25/11/2020,142.01,143.55,141.63,142.05,0.33,0.23,151071
24/11/2020,140.66,143.26,140.51,141.72,1.08,0.77,190532
23/11/2020,141.86,142.39,139.77,140.64,0.13,0.09,88581
20/11/2020,139.65,143.07,139.65,140.51,-0.04,-0.03,167811
19/11/2020,140.15,141.08,139.39,140.55,-0.21,-0.15,179800
18/11/2020,142.98,143.88,140.02,140.76,1.35,0.97,218459
17/11/2020,140.03,141.38,135,139.41,-0.76,-0.54,309313
16/11/2020,141.26,141.39,139.82,140.17,2,1.45,8365
13/11/2020,138.6,138.94,135.62,138.17,-0.5,-0.36,246730
12/11/2020,138.37,140.34,137.62,138.67,1.86,1.36,279871
11/11/2020,132.48,137.49,132.04,136.81,3.91,2.94,229829
10/11/2020,141.84,142.28,132.08,132.9,-6.6,-4.73,325951
09/11/2020,135.5,140.3,135.2,139.5,11.61,9.08,341852
06/11/2020,130.34,132.14,127.67,127.89,-0.58,-0.45,303334
05/11/2020,125.89,128.76,125.51,128.47,3.27,2.61,188308
04/11/2020,119.86,125.5,119.86,125.2,4.57,3.79,185849
03/11/2020,119.12,121.645,119.12,120.63,0.96,0.8,204327
02/11/2020,119.19,120.06,117.32,119.67,1.4,1.18,230638
30/10/2020,122,122.84,118.27,118.27,-4.59,-3.74,212638
29/10/2020,123.67,124.83,122.39,122.86,-1.48,-1.19,222619
28/10/2020,123.49,125.3,123.11,124.34,0.32,0.26,150225
27/10/2020,124.37,125.05,122.95,124.02,-2.15,-1.7,253376
26/10/2020,125.99,127.66,124.54,126.17,0.13,0.1,198318
23/10/2020,126.53,127.11,125.59,126.04,0.58,0.46,259947
22/10/2020,122,126.29,121.4,125.46,1.75,1.41,273094
21/10/2020,123.71,124.4,122.7,123.71,0.34,0.28,268009
20/10/2020,121.92,124.47,121.48,123.37,0.72,0.59,206726
19/10/2020,122.39,123.27,121.825,122.65,1.15,0.95,100829
16/10/2020,123.67,123.67,121.24,121.5,-1.11,-0.91,129258
15/10/2020,124.99,124.99,122.2,122.61,-0.79,-0.64,247661
14/10/2020,121.08,124.46,120.63,123.4,2.6,2.15,244544
13/10/2020,121.68,121.68,119.5,120.8,1.06,0.89,167883
12/10/2020,119,119.96,117.29,119.74,0.11,0.09,162447
09/10/2020,121.74,121.74,118.85,119.63,0.06,0.05,406948
08/10/2020,118.18,120.22,116.95,119.57,1.92,1.63,253726
07/10/2020,114.68,118.04,113.75,117.65,2.85,2.48,169132
06/10/2020,114.73,115.59,113.78,114.8,0.54,0.47,174303
05/10/2020,116.09,116.52,113.04,114.26,1.1,0.97,119163
02/10/2020,113.1,115.25,112.64,113.16,0.7,0.62,202067
01/10/2020,110.32,113.6,109.29,112.46,2.49,2.26,282470
30/09/2020,109.51,111.34,108.9,109.97,-0.9,-0.81,305879
29/09/2020,108.96,111.35,108.11,110.87,2.09,1.92,203307
28/09/2020,110.44,112.15,108.78,108.78,-1.67,-1.51,156999
25/09/2020,110.12,111.86,109.68,110.45,0.42,0.38,197840
24/09/2020,110.07,111.59,107.46,110.03,-4.16,-3.64,211354
23/09/2020,110.48,114.69,110.25,114.19,5.34,4.91,300770
22/09/2020,106.73,109.59,106.69,108.85,1.05,0.97,300724
21/09/2020,108.72,109.35,107.15,107.8,-0.92,-0.85,586780
18/09/2020,110.28,111.04,108.36,108.72,-2.39,-2.15,349094
17/09/2020,113.19,113.19,110.29,111.11,-2.09,-1.85,252759
16/09/2020,111.88,113.525,111.77,113.2,3.01,2.73,259770
15/09/2020,110.78,111.66,109.8,110.19,-0.18,-0.16,294029
14/09/2020,111.28,111.98,109.35,110.37,-0.38,-0.34,197024
11/09/2020,109.21,111.4,109.15,110.75,-0.2,-0.18,171027
10/09/2020,110.79,113.99,110.18,110.95,1.04,0.95,217654
09/09/2020,110.01,111.26,108.62,109.91,-3,-2.66,285450
08/09/2020,113.48,113.95,112.09,112.91,0.1,0.09,174158
07/09/2020,110.75,113.13,110.61,112.81,0,0,170539
04/09/2020,114.78,115.99,112.44,112.81,-5.38,-4.55,232631
03/09/2020,121.2,121.89,117.22,118.19,-1.24,-1.04,275527
02/09/2020,119,120.45,118.27,119.43,3.53,3.05,258860
01/09/2020,112.92,116.78,112.92,115.9,1.73,1.52,268758
31/08/2020,114.79,116.7,114.17,114.17,-1.27,-1.1,195994
28/08/2020,116.72,117.45,115.14,115.44,-4.19,-3.5,562662
27/08/2020,119.4,120.83,117.59,119.63,0.82,0.69,335779
26/08/2020,119.52,120.8,118.03,118.81,-0.21,-0.18,289043
25/08/2020,119.93,120.94,117.8,119.02,0.89,0.75,236447
24/08/2020,116.44,118.13,116.09,118.13,0.77,0.66,565804
21/08/2020,119.18,121,116.53,117.36,0.17,0.15,309264
20/08/2020,117.75,118.08,116.585,117.19,-1.49,-1.26,275705
19/08/2020,115.78,118.89,115.78,118.68,1.6,1.37,251673
18/08/2020,116.14,117.19,116.06,117.08,2.24,1.95,225770
17/08/2020,115.25,115.67,114.17,114.84,-1.16,-1,164932
14/08/2020,117.48,117.87,115.53,116,0.02,0.02,178110
13/08/2020,114.15,116.21,112.97,115.98,2.52,2.22,226071
12/08/2020,117.55,119.18,112.84,113.46,-3.77,-3.22,371956
11/08/2020,114.94,117.54,114.03,117.23,2.57,2.24,230450
