Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
10/10/2019,10.5,10.77,10.3,10.3,-0.2,-1.9,112424
11/10/2019,10.36,10.56,10.36,10.55,0.25,2.43,291450
14/10/2019,10.8,10.8,10.34,10.35,-0.2,-1.9,100846
15/10/2019,10.35,10.4,10.22,10.26,-0.09,-0.87,171219
16/10/2019,10.39,10.47,10.32,10.36,0.1,0.97,50535
17/10/2019,10.35,10.35,10.11,10.17,-0.19,-1.83,121685
18/10/2019,10.2,10.23,10,10,-0.17,-1.67,132611
21/10/2019,10,10.1,9.95,10.1,0.1,1,302822
22/10/2019,10.09,10.17,10,10.09,-0.01,-0.1,64919
23/10/2019,10.05,10.17,9.99,10.04,-0.05,-0.5,194717
24/10/2019,10.01,10.07,9.98,10,-0.04,-0.4,321243
25/10/2019,10,10.13,9.96,9.99,-0.01,-0.1,177921
28/10/2019,9.96,9.99,9.87,9.9,-0.09,-0.9,654248
29/10/2019,9.95,10,9.88,9.9,0,0,72260
30/10/2019,9.9,10.15,9.86,9.92,0.02,0.2,424296
31/10/2019,9.91,10.4,9.91,10.37,0.45,4.54,1593502
01/11/2019,10.39,10.39,10.13,10.16,-0.21,-2.03,67260
04/11/2019,10.34,10.35,10.11,10.23,0.07,0.69,48653
05/11/2019,10.19,10.4,10.16,10.4,0.17,1.66,66159
06/11/2019,10.4,10.57,10.35,10.53,0.13,1.25,70608
07/11/2019,10.66,10.66,10.41,10.51,-0.02,-0.19,63759
08/11/2019,10.48,10.58,10.44,10.5,-0.01,-0.1,50146
11/11/2019,10.58,10.6,10.41,10.46,-0.04,-0.38,65020
12/11/2019,10.4,10.56,10.4,10.52,0.06,0.57,350290
13/11/2019,10.55,10.64,10.46,10.5,-0.02,-0.19,278750
14/11/2019,10.5,10.6,10.26,10.35,-0.15,-1.43,89243
15/11/2019,10.27,10.49,10.265,10.4,0.05,0.48,46570
18/11/2019,10.27,10.55,10.27,10.52,0.12,1.15,43602
19/11/2019,10.5,10.52,10.33,10.42,-0.1,-0.95,49878
20/11/2019,10.5,10.59,10.4,10.45,0.03,0.29,133992
21/11/2019,10.45,10.46,10.35,10.38,-0.07,-0.67,51246
22/11/2019,10.42,10.52,10.36,10.41,0.03,0.29,20552
25/11/2019,10.4,10.47,10.31,10.32,-0.09,-0.86,23668
26/11/2019,10.21,10.42,10.21,10.3,-0.02,-0.19,48940
27/11/2019,10.29,10.4,10.23,10.29,-0.01,-0.1,154943
28/11/2019,10.34,10.49,10.28,10.45,0.16,1.55,35961
29/11/2019,10.4,10.52,10.3,10.32,-0.13,-1.24,26845
02/12/2019,10.37,10.6,10.365,10.6,0.28,2.71,72114
