Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
29/01/2021,15.95,16.35,15.77,16.01,0.24,1.52,797813
28/01/2021,16.04,16.2,15.44,15.77,-0.73,-4.42,1344765
27/01/2021,16.8,16.96,16.4,16.5,-0.48,-2.83,1177129
25/01/2021,16.6,17.36,16.24,16.98,0.19,1.13,709499
22/01/2021,16.5,16.81,16.45,16.79,0.43,2.63,1761747
21/01/2021,16.61,16.61,16.27,16.36,-0.1,-0.61,680593
20/01/2021,16.12,16.63,16.12,16.46,0.19,1.17,933489
19/01/2021,16.3,16.47,16.17,16.27,0.11,0.68,374058
18/01/2021,16.1,16.3,15.97,16.16,-0.12,-0.74,636892
15/01/2021,16.08,16.38,16.02,16.28,-0.04,-0.25,742356
14/01/2021,16.11,16.5,16.11,16.32,-0.08,-0.49,611330
13/01/2021,15.85,16.7,15.67,16.4,0.11,0.68,1544135
12/01/2021,16.12,16.41,16.01,16.29,0.31,1.94,1692209
11/01/2021,16.02,16.38,15.93,15.98,-0.23,-1.42,890687
08/01/2021,15.98,16.39,15.55,16.21,0.23,1.44,940860
07/01/2021,15.87,16.01,15.54,15.98,0.44,2.83,2463079
06/01/2021,15.35,15.77,15.34,15.54,-0.02,-0.13,1144239
05/01/2021,14.9,15.68,14.9,15.56,0.29,1.9,950221
04/01/2021,15.05,15.3,14.985,15.27,0.47,3.18,792536
31/12/2020,14.82,15.04,14.78,14.8,-0.18,-1.2,217974
30/12/2020,14.75,14.98,14.73,14.98,0,0,510555
29/12/2020,15.02,15.1,14.94,14.98,0.14,0.94,470774
24/12/2020,14.75,15.03,14.25,14.84,-0.21,-1.4,437610
23/12/2020,14.92,15.23,14.77,15.05,0.2,1.35,1332013
22/12/2020,15,15,14.7,14.85,-0.15,-1,691618
21/12/2020,15.2,15.63,14.93,15,-0.65,-4.15,2290138
18/12/2020,16.48,16.74,15.48,15.65,-0.85,-5.15,18507626
17/12/2020,15.85,16.62,15.6,16.5,0.48,3,2254584
16/12/2020,15.8,16.26,15.56,16.02,0.24,1.52,2602967
15/12/2020,15.83,15.93,15.245,15.78,0.33,2.14,2188942
