Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
10/10/2019,0.056,0.056,0.055,0.055,-0.001,-1.79,485668
11/10/2019,0.055,0.056,0.055,0.055,0,0,597888
14/10/2019,0.056,0.057,0.055,0.055,0,0,1219678
15/10/2019,0.055,0.055,0.054,0.054,-0.001,-1.82,994293
16/10/2019,0.055,0.055,0.053,0.054,0,0,2295751
17/10/2019,0.054,0.054,0.05,0.05,-0.004,-7.41,4019743
18/10/2019,0.049,0.05,0.049,0.049,-0.001,-2,1077266
21/10/2019,0.05,0.05,0.049,0.05,0.001,2.04,469728
22/10/2019,0.05,0.05,0.048,0.048,-0.002,-4,608256
23/10/2019,0.048,0.048,0.045,0.045,-0.003,-6.25,921422
24/10/2019,0.045,0.045,0.043,0.044,-0.001,-2.22,1191213
25/10/2019,0.044,0.046,0.044,0.046,0.002,4.55,724385
28/10/2019,0.048,0.053,0.045,0.048,0.002,4.35,1200962
29/10/2019,0.048,0.049,0.047,0.047,-0.001,-2.08,306784
30/10/2019,0.049,0.049,0.048,0.048,0.001,2.13,250959
31/10/2019,0.049,0.052,0.049,0.05,0.002,4.17,594625
01/11/2019,0.05,0.05,0.05,0.05,0,0,40000
04/11/2019,0.051,0.051,0.049,0.05,0,0,287429
05/11/2019,0.05,0.051,0.05,0.051,0.001,2,384455
06/11/2019,0.051,0.053,0.051,0.052,0.001,1.96,304543
07/11/2019,0.052,0.053,0.052,0.053,0.001,1.92,1025286
08/11/2019,0.053,0.053,0.052,0.052,-0.001,-1.89,229584
11/11/2019,0.053,0.055,0.052,0.055,0.003,5.77,639452
12/11/2019,0.055,0.055,0.053,0.054,-0.001,-1.82,233135
13/11/2019,0.054,0.054,0.053,0.054,0,0,83586
14/11/2019,0.054,0.054,0.051,0.051,-0.003,-5.56,1061735
15/11/2019,0.051,0.051,0.051,0.051,0,0,90000
18/11/2019,0.053,0.053,0.053,0.053,0.002,3.92,80000
19/11/2019,0.05,0.05,0.05,0.05,-0.003,-5.66,86046
20/11/2019,0.053,0.053,0.049,0.049,-0.001,-2,178059
21/11/2019,0.05,0.05,0.049,0.049,0,0,124335
22/11/2019,0.05,0.052,0.048,0.049,0,0,885716
25/11/2019,0.048,0.048,0.047,0.048,-0.001,-2.04,187982
26/11/2019,0.049,0.049,0.047,0.048,0,0,261920
27/11/2019,0.05,0.05,0.048,0.048,0,0,93452
28/11/2019,0.049,0.049,0.047,0.047,-0.001,-2.08,100334
29/11/2019,0.049,0.049,0.046,0.047,0,0,825712
02/12/2019,0.046,0.047,0.046,0.046,-0.001,-2.13,364307
03/12/2019,0.046,0.046,0.044,0.044,-0.002,-4.35,1230835
04/12/2019,0.044,0.044,0.044,0.044,0,0,92009
05/12/2019,0.045,0.045,0.044,0.044,0,0,240820
06/12/2019,0.044,0.045,0.044,0.044,0,0,816102
09/12/2019,0.045,0.045,0.043,0.043,-0.001,-2.27,843250
10/12/2019,0.043,0.044,0.04,0.041,-0.002,-4.65,1030777
11/12/2019,0.041,0.042,0.04,0.041,0,0,618321
12/12/2019,0.04,0.04,0.039,0.039,-0.002,-4.88,2532848
13/12/2019,0.04,0.041,0.039,0.041,0.002,5.13,578503
16/12/2019,0.04,0.04,0.039,0.04,-0.001,-2.44,287882
17/12/2019,0.041,0.044,0.04,0.04,0,0,301425
18/12/2019,0.04,0.044,0.04,0.044,0.004,10,859347
19/12/2019,0.043,0.043,0.041,0.043,-0.001,-2.27,251455
20/12/2019,0.043,0.045,0.043,0.045,0.002,4.65,419382
23/12/2019,0.047,0.05,0.047,0.05,0.005,11.11,486448
24/12/2019,0.045,0.045,0.042,0.043,-0.007,-14,1684977
27/12/2019,0.044,0.048,0.044,0.048,0.005,11.63,391653
30/12/2019,0.048,0.048,0.044,0.048,0,0,213157
31/12/2019,0.047,0.047,0.046,0.046,-0.002,-4.17,224899
02/01/2020,0.047,0.048,0.046,0.046,0,0,140625
03/01/2020,0.046,0.046,0.046,0.046,0,0,290000
06/01/2020,0.046,0.048,0.046,0.048,0.002,4.35,414774
07/01/2020,0.047,0.048,0.046,0.047,-0.001,-2.08,316701
08/01/2020,0.046,0.047,0.046,0.046,-0.001,-2.13,37281
09/01/2020,0.045,0.047,0.045,0.047,0.001,2.17,25817
10/01/2020,0.046,0.046,0.043,0.044,-0.003,-6.38,367369
