Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
29/01/2021,0.041,0.044,0.04,0.041,0.001,2.5,11925029
28/01/2021,0.04,0.04,0.038,0.04,0,0,1985454
27/01/2021,0.039,0.04,0.036,0.04,0,0,7201916
25/01/2021,0.042,0.042,0.039,0.04,-0.002,-4.76,4818069
22/01/2021,0.042,0.042,0.04,0.042,0.001,2.44,6615997
21/01/2021,0.041,0.042,0.039,0.041,0,0,9859312
20/01/2021,0.038,0.041,0.038,0.041,0.004,10.81,4467001
19/01/2021,0.037,0.038,0.036,0.037,0,0,2377130
18/01/2021,0.037,0.038,0.037,0.037,0,0,370737
15/01/2021,0.038,0.038,0.037,0.037,-0.001,-2.63,106028
14/01/2021,0.038,0.039,0.037,0.038,0,0,646399
13/01/2021,0.039,0.039,0.037,0.038,-0.001,-2.56,802495
12/01/2021,0.038,0.039,0.038,0.039,0,0,942671
11/01/2021,0.04,0.04,0.038,0.039,0,0,560251
08/01/2021,0.038,0.039,0.037,0.039,0.001,2.63,232739
07/01/2021,0.039,0.04,0.038,0.038,0,0,445490
06/01/2021,0.039,0.04,0.038,0.038,-0.001,-2.56,1360168
05/01/2021,0.039,0.039,0.038,0.039,0,0,260782
04/01/2021,0.039,0.04,0.039,0.039,0.001,2.63,1069241
31/12/2020,0.038,0.038,0.038,0.038,0.001,2.7,50000
30/12/2020,0.038,0.038,0.036,0.037,-0.002,-5.13,1216317
29/12/2020,0.039,0.039,0.038,0.039,0,0,1196923
24/12/2020,0.039,0.039,0.039,0.039,0,0,114313
23/12/2020,0.039,0.039,0.038,0.039,0,0,167895
22/12/2020,0.039,0.039,0.039,0.039,0,0,63330
21/12/2020,0.039,0.039,0.039,0.039,-0.001,-2.5,19170
18/12/2020,0.039,0.04,0.039,0.04,0.001,2.56,300339
17/12/2020,0.04,0.04,0.039,0.039,0,0,220722
16/12/2020,0.039,0.04,0.039,0.039,-0.001,-2.5,377578
15/12/2020,0.04,0.04,0.039,0.04,-0.001,-2.44,404000
14/12/2020,0.041,0.041,0.039,0.041,0.001,2.5,550417
11/12/2020,0.04,0.041,0.04,0.04,-0.001,-2.44,332473
10/12/2020,0.04,0.041,0.04,0.041,0,0,192297
09/12/2020,0.041,0.041,0.041,0.041,0,0,279104
08/12/2020,0.041,0.041,0.04,0.041,0.001,2.5,227470
07/12/2020,0.04,0.04,0.04,0.04,0,0,290000
04/12/2020,0.04,0.04,0.04,0.04,0,0,330000
03/12/2020,0.04,0.041,0.039,0.04,0,0,349169
02/12/2020,0.04,0.042,0.04,0.04,0,0,713764
01/12/2020,0.042,0.042,0.04,0.04,0,0,251155
30/11/2020,0.039,0.042,0.039,0.04,0.001,2.56,724955
27/11/2020,0.041,0.041,0.039,0.039,-0.001,-2.5,957723
26/11/2020,0.041,0.041,0.04,0.04,-0.001,-2.44,1583730
25/11/2020,0.041,0.042,0.04,0.041,0,0,737485
24/11/2020,0.042,0.042,0.04,0.041,0,0,645757
23/11/2020,0.041,0.041,0.041,0.041,-0.001,-2.38,1336972
20/11/2020,0.044,0.044,0.042,0.042,-0.001,-2.33,317845
19/11/2020,0.041,0.043,0.041,0.043,0.001,2.38,310235
18/11/2020,0.043,0.044,0.041,0.042,-0.001,-2.33,2015196
17/11/2020,0.044,0.045,0.043,0.043,0,0,633040
16/11/2020,0.043,0.043,0.043,0.043,0,0,138900
13/11/2020,0.045,0.045,0.042,0.043,-0.001,-2.27,893245
12/11/2020,0.044,0.045,0.044,0.044,-0.001,-2.22,252500
11/11/2020,0.044,0.045,0.044,0.045,0.001,2.27,105000
10/11/2020,0.043,0.047,0.043,0.044,0.002,4.76,1076627
09/11/2020,0.043,0.044,0.042,0.042,0.001,2.44,475974
06/11/2020,0.043,0.043,0.04,0.041,-0.001,-2.38,691169
05/11/2020,0.042,0.042,0.042,0.042,0.001,2.44,664
04/11/2020,0.042,0.042,0.041,0.041,-0.001,-2.38,191296
03/11/2020,0.042,0.043,0.042,0.042,-0.001,-2.33,136920
02/11/2020,0.044,0.044,0.043,0.043,0.001,2.38,107030
30/10/2020,0.043,0.044,0.042,0.042,-0.001,-2.33,56363
29/10/2020,0.044,0.044,0.043,0.043,0.001,2.38,3740286
28/10/2020,0.042,0.044,0.042,0.042,0,0,316068
27/10/2020,0.045,0.045,0.042,0.042,-0.003,-6.67,2189328
26/10/2020,0.045,0.045,0.044,0.045,0,0,1035711
23/10/2020,0.045,0.045,0.045,0.045,0.001,2.27,35000
22/10/2020,0.045,0.046,0.044,0.044,0,0,475406
21/10/2020,0.045,0.045,0.043,0.044,-0.001,-2.22,1200219
20/10/2020,0.047,0.048,0.045,0.045,-0.003,-6.25,2125945
19/10/2020,0.045,0.048,0.044,0.048,0.003,6.67,4675558
16/10/2020,0.044,0.045,0.044,0.045,0.001,2.27,164676
15/10/2020,0.045,0.045,0.043,0.044,0,0,873709
14/10/2020,0.045,0.045,0.044,0.044,0,0,824555
13/10/2020,0.043,0.044,0.043,0.044,0.001,2.33,545269
12/10/2020,0.044,0.044,0.043,0.043,0,0,915087
09/10/2020,0.044,0.045,0.042,0.043,0,0,3786434
08/10/2020,0.046,0.046,0.043,0.043,-0.002,-4.44,1348820
07/10/2020,0.045,0.045,0.044,0.045,0.001,2.27,830782
06/10/2020,0.042,0.046,0.041,0.044,0.004,10,5963257
05/10/2020,0.038,0.04,0.038,0.04,0.002,5.26,669807
02/10/2020,0.04,0.041,0.038,0.038,-0.002,-5,864978
01/10/2020,0.041,0.042,0.039,0.04,0,0,1789706
30/09/2020,0.041,0.047,0.04,0.04,-0.001,-2.44,5097049
29/09/2020,0.04,0.041,0.038,0.041,0.002,5.13,858213
28/09/2020,0.04,0.04,0.038,0.039,-0.001,-2.5,704816
25/09/2020,0.04,0.04,0.04,0.04,0,0,12500
24/09/2020,0.04,0.04,0.04,0.04,0,0,179704
23/09/2020,0.04,0.043,0.04,0.04,0.001,2.56,1615932
22/09/2020,0.04,0.04,0.037,0.039,0,0,732368
21/09/2020,0.04,0.04,0.039,0.039,0,0,35000
18/09/2020,0.038,0.039,0.038,0.039,0.002,5.41,171838
17/09/2020,0.037,0.038,0.037,0.037,0,0,709499
16/09/2020,0.037,0.037,0.037,0.037,0.001,2.78,174027
15/09/2020,0.035,0.036,0.035,0.036,-0.001,-2.7,261441
14/09/2020,0.036,0.037,0.035,0.037,0.001,2.78,390227
11/09/2020,0.036,0.036,0.035,0.036,0,0,425832
10/09/2020,0.036,0.036,0.035,0.036,0,0,255000
09/09/2020,0.036,0.036,0.036,0.036,-0.001,-2.7,456845
08/09/2020,0.036,0.037,0.036,0.037,0,0,718593
07/09/2020,0.037,0.037,0.036,0.037,0,0,315628
04/09/2020,0.037,0.038,0.036,0.037,0,0,539999
03/09/2020,0.036,0.037,0.036,0.037,0.001,2.78,824280
02/09/2020,0.039,0.04,0.036,0.036,-0.002,-5.26,2023247
01/09/2020,0.041,0.041,0.038,0.038,-0.004,-9.52,1995591
31/08/2020,0.04,0.046,0.04,0.042,0.002,5,3658749
28/08/2020,0.042,0.042,0.04,0.04,-0.002,-4.76,1069734
27/08/2020,0.042,0.042,0.042,0.042,0.001,2.44,299166
26/08/2020,0.041,0.041,0.04,0.041,0.001,2.5,1263574
25/08/2020,0.038,0.04,0.038,0.04,0.003,8.11,3415472
24/08/2020,0.037,0.037,0.036,0.037,0,0,686129
21/08/2020,0.037,0.037,0.036,0.037,0.002,5.71,174902
20/08/2020,0.034,0.036,0.034,0.035,0,0,1196238
19/08/2020,0.034,0.035,0.033,0.035,0.001,2.94,266143
18/08/2020,0.035,0.036,0.034,0.034,-0.001,-2.86,242223
17/08/2020,0.035,0.037,0.035,0.035,-0.002,-5.41,381427
14/08/2020,0.035,0.037,0.035,0.037,0.002,5.71,46786
13/08/2020,0.037,0.037,0.035,0.035,-0.001,-2.78,128506
12/08/2020,0.037,0.037,0.035,0.036,-0.001,-2.7,834178
11/08/2020,0.037,0.037,0.037,0.037,0.001,2.78,25000
10/08/2020,0.036,0.037,0.036,0.036,0,0,748464
07/08/2020,0.036,0.036,0.035,0.036,-0.001,-2.7,443289
05/08/2020,0.037,0.037,0.037,0.037,0.001,2.78,177027
04/08/2020,0.037,0.037,0.036,0.036,0,0,374420
03/08/2020,0.036,0.036,0.036,0.036,-0.002,-5.26,499000
31/07/2020,0.038,0.038,0.038,0.038,0,0,16000
