Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
14/10/2019,67,67.1,66.31,66.46,-0.19,-0.29,428607
15/10/2019,66.46,66.76,66.11,66.69,0.23,0.35,320466
16/10/2019,67.39,68.83,67.18,68.54,1.85,2.77,740271
17/10/2019,69.11,69.11,68.39,68.87,0.33,0.48,1073216
18/10/2019,68.43,69.03,68.36,68.98,0.11,0.16,1372840
21/10/2019,68.52,68.81,67.69,68.31,-0.67,-0.97,637107
22/10/2019,68.49,68.56,67.96,68.51,0.2,0.29,483004
23/10/2019,68.3,68.83,67.79,68.77,0.26,0.38,1167596
24/10/2019,69,69.36,68.79,69.08,0.31,0.45,483838
25/10/2019,69.57,69.62,68.95,69.1,0.02,0.03,651286
28/10/2019,69.3,69.38,68.55,68.83,-0.27,-0.39,373006
29/10/2019,69.28,70.58,69,70.09,1.26,1.83,793043
30/10/2019,69.25,69.92,69.2,69.28,-0.81,-1.16,417601
31/10/2019,69.04,69.46,68.25,68.49,-0.79,-1.14,712574
01/11/2019,69.03,69.46,68.71,69.46,0.97,1.42,485122
04/11/2019,70,70.3,68.99,69.28,-0.18,-0.26,372984
05/11/2019,70.11,70.27,69.25,70.11,0.83,1.2,266242
06/11/2019,70.32,71.22,70.11,70.32,0.21,0.3,704142
07/11/2019,70.72,71.81,70.57,71.81,1.49,2.12,476265
08/11/2019,71.8,72.205,71.49,71.65,-0.16,-0.22,446596
11/11/2019,71.53,72.8,71.52,72.8,1.15,1.61,352001
12/11/2019,72.8,73,72.46,72.86,0.06,0.08,254084
13/11/2019,72.94,73.13,71.11,71.23,-1.63,-2.24,488229
14/11/2019,71.26,72.58,71.2,72.41,1.18,1.66,390767
15/11/2019,72.97,73.2,72.5,73.14,0.73,1.01,307344
18/11/2019,73.2,73.53,72.595,72.96,-0.18,-0.25,195983
19/11/2019,72.8,73.7,72.23,73.64,0.68,0.93,669827
20/11/2019,73.07,73.4,72.18,72.35,-1.29,-1.75,935597
21/11/2019,72.03,72.27,71.09,71.58,-0.77,-1.06,631710
22/11/2019,71.62,72.48,71.62,72.47,0.89,1.24,335846
