Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
29/01/2021,63.23,63.67,62.67,62.97,0.29,0.46,653576
28/01/2021,62.25,63.08,61.89,62.68,-0.76,-1.2,589759
27/01/2021,63.06,63.68,62.85,63.44,0.11,0.17,527656
25/01/2021,62.77,63.76,62.77,63.33,0.63,1,312992
22/01/2021,64.1,64.48,62.44,62.7,-1.1,-1.72,624571
21/01/2021,63.83,64.27,63.54,63.8,0.79,1.25,869960
20/01/2021,62.14,63.5,61.77,63.01,0.87,1.4,727148
19/01/2021,62.7,62.7,61.86,62.14,0.22,0.36,504726
18/01/2021,61.51,63.25,61.46,61.92,2.54,4.28,634018
15/01/2021,59.8,59.8,59.15,59.38,-0.16,-0.27,414530
14/01/2021,58.95,59.66,58.61,59.54,0.83,1.41,333851
13/01/2021,59.3,59.71,58.63,58.71,-0.73,-1.23,551827
12/01/2021,60.26,60.77,59.44,59.44,-0.76,-1.26,534588
11/01/2021,60.78,61.68,59.96,60.2,-0.58,-0.95,413441
08/01/2021,59.95,60.97,59.9,60.78,0.86,1.44,419600
07/01/2021,60.48,60.75,59.465,59.92,-0.3,-0.5,546840
06/01/2021,61.14,61.28,60.06,60.22,-1.56,-2.53,583465
05/01/2021,62.06,62.36,61.62,61.78,-0.87,-1.39,517840
04/01/2021,62.22,62.84,62.21,62.65,0.47,0.76,238228
31/12/2020,63.72,63.72,62.18,62.18,-1.54,-2.42,211005
30/12/2020,63.65,64.2,63.4,63.72,-0.56,-0.87,314241
29/12/2020,64.55,65,63.65,64.28,-0.1,-0.16,245881
24/12/2020,64.93,64.93,64.18,64.38,0.18,0.28,113228
23/12/2020,63.8,64.46,63.42,64.2,1.08,1.71,535958
22/12/2020,62.55,63.78,62.37,63.12,0.62,0.99,506396
21/12/2020,62.6,63.035,62.1,62.5,-0.14,-0.22,392779
18/12/2020,64.62,64.67,62.49,62.64,-1.77,-2.75,978826
17/12/2020,63.39,64.67,63.22,64.41,1.25,1.98,576096
16/12/2020,63.94,63.96,63.145,63.16,-0.24,-0.38,481068
15/12/2020,63,63.89,63,63.4,0.4,0.63,468453
14/12/2020,63.2,63.84,63,63,-0.24,-0.38,444804
11/12/2020,63.85,63.97,62.96,63.24,-0.95,-1.48,656287
10/12/2020,65.46,65.46,63.96,64.19,-1.25,-1.91,611052
09/12/2020,64.7,65.44,64.4,65.44,1.64,2.57,852841
08/12/2020,63.5,64.15,63.18,63.8,0.1,0.16,496525
07/12/2020,63.86,63.96,63.3,63.7,0.24,0.38,338593
04/12/2020,63.5,63.97,63.3,63.46,-0.16,-0.25,422240
03/12/2020,64.78,64.81,63.62,63.62,-1.16,-1.79,536760
02/12/2020,64.97,64.97,64.13,64.78,0.33,0.51,598316
01/12/2020,63.95,65.48,63.74,64.45,1.4,2.22,608351
30/11/2020,64.25,64.34,62.77,63.05,-0.63,-0.99,1140540
27/11/2020,63.9,64.77,63.405,63.68,-0.1,-0.16,543646
26/11/2020,64.34,64.63,63.71,63.78,-0.89,-1.38,585132
