Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,109.29,111.94,109.215,111.27,0.96,0.87,1309544
29/01/2021,114.63,114.7,109.14,110.31,-3.39,-2.98,1898599
28/01/2021,115.11,115.63,113.065,113.7,-3.35,-2.86,1583773
27/01/2021,118.21,119,116.6,117.05,-4.72,-3.88,1683365
25/01/2021,119.52,121.925,119.52,121.77,2.45,2.05,836647
22/01/2021,121.03,121.31,119.1,119.32,-2.56,-2.1,2726125
21/01/2021,120.82,121.95,119.83,121.88,2.08,1.74,1609595
20/01/2021,119.82,120.62,119.22,119.8,0.17,0.14,883933
19/01/2021,118.73,120.2,117.72,119.63,0.84,0.71,916789
18/01/2021,118.4,118.91,117.04,118.79,-1.73,-1.44,898266
15/01/2021,121.7,122.07,120.31,120.52,0.86,0.72,1228364
14/01/2021,120.9,121,117.54,119.66,-1.08,-0.89,1184170
13/01/2021,122.18,123.57,120.55,120.74,-0.67,-0.55,1257169
12/01/2021,122.62,123.545,121.27,121.41,-0.99,-0.81,913326
11/01/2021,124.02,124.11,121.95,122.4,-1.61,-1.3,1095127
08/01/2021,126.69,127,123.12,124.01,-1.65,-1.31,1679916
07/01/2021,118.7,126.18,118.64,125.66,9.91,8.56,2557913
06/01/2021,118.23,118.26,115.1,115.75,-2.04,-1.73,1136065
05/01/2021,117.32,118.23,116.67,117.79,2.43,2.11,1253525
04/01/2021,114.5,115.6,114.09,115.36,1.53,1.34,710096
31/12/2020,115.79,116.08,113.83,113.83,-1.95,-1.68,453368
30/12/2020,114.57,115.78,114.57,115.78,0.5,0.43,683917
29/12/2020,116.13,116.25,114.61,115.28,-0.07,-0.06,638697
24/12/2020,116.25,116.38,114.81,115.35,0.5,0.44,412690
23/12/2020,115,115.82,114.24,114.85,-0.56,-0.49,1542409
22/12/2020,117.47,117.97,115.1,115.41,-3.19,-2.69,1374368
21/12/2020,117.55,118.6,115.97,118.6,1.07,0.91,1320558
18/12/2020,115.62,118,115.49,117.53,1.09,0.94,4316193
17/12/2020,114.47,116.44,114.31,116.44,2.07,1.81,1910594
16/12/2020,114.25,114.99,113.84,114.37,1.95,1.73,1279500
15/12/2020,113,113.92,111.76,112.42,-1.52,-1.33,1750031
14/12/2020,116.2,116.3,113.63,113.94,-2.06,-1.78,1478228
11/12/2020,116,117.125,115.46,116,0.61,0.53,2745887
10/12/2020,115.45,115.79,114.7,115.39,-0.05,-0.04,1704546
