Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
02/02/2021,26.46,26.6,26.24,26.35,-0.28,-1.05,2016681
01/02/2021,26.44,26.695,26.06,26.63,-0.59,-2.17,1565817
29/01/2021,27.7,27.99,27.21,27.22,-0.2,-0.73,922142
28/01/2021,27.51,27.68,27.17,27.42,-1.16,-4.06,1163616
27/01/2021,28.72,29.16,28.58,28.58,0.68,2.44,1478712
25/01/2021,27.8,27.96,27.73,27.9,0,0,386125
22/01/2021,27.73,27.93,27.73,27.9,-0.02,-0.07,487477
21/01/2021,28.08,28.2,27.84,27.92,-0.03,-0.11,649232
20/01/2021,27.8,28.12,27.8,27.95,0.46,1.67,725347
19/01/2021,27.68,27.7,27.47,27.49,0.12,0.44,535835
18/01/2021,27.17,27.57,27.17,27.37,0.59,2.2,797867
15/01/2021,27.6,27.6,26.78,26.78,-1.31,-4.66,641537
14/01/2021,27.85,28.14,27.83,28.09,0.19,0.68,446328
13/01/2021,27.99,28.09,27.65,27.9,-0.46,-1.62,550950
12/01/2021,28.5,28.63,28.35,28.36,0.04,0.14,813089
11/01/2021,28,28.41,28,28.32,0.9,3.28,779116
08/01/2021,27.35,27.55,27.19,27.42,0.42,1.56,1285735
07/01/2021,27.26,27.29,26.95,27,-0.1,-0.37,889093
06/01/2021,27.48,27.58,27.05,27.1,-0.49,-1.78,800989
05/01/2021,27.42,27.68,27.42,27.59,0.09,0.33,484579
04/01/2021,27.29,27.55,27.23,27.5,0.27,0.99,663457
31/12/2020,27.56,27.58,27.23,27.23,-0.44,-1.59,216104
30/12/2020,27.8,27.82,27.51,27.67,-0.24,-0.86,250087
29/12/2020,28,28.07,27.8,27.91,0.11,0.4,154231
24/12/2020,28.19,28.2,27.8,27.8,-0.34,-1.21,156687
23/12/2020,28.22,28.34,28.06,28.14,0.06,0.21,397284
22/12/2020,28.05,28.23,27.82,28.08,-0.49,-1.72,821921
21/12/2020,28.49,28.795,28.47,28.57,0.32,1.13,634232
18/12/2020,28.28,28.38,28.05,28.25,0.34,1.22,884291
17/12/2020,27.77,27.99,27.65,27.91,0.26,0.94,757627
16/12/2020,27.63,28.08,27.57,27.65,0.24,0.88,907518
15/12/2020,27.2,27.55,27.13,27.41,0.21,0.77,1015403
14/12/2020,27.25,27.4,27.01,27.2,-0.15,-0.55,652941
11/12/2020,27.63,27.65,27.35,27.35,-0.86,-3.05,1868351
10/12/2020,28.25,28.41,28.11,28.21,-0.37,-1.29,613960
09/12/2020,28.5,28.82,28.47,28.58,0.37,1.31,902435
08/12/2020,28.11,28.28,28.105,28.21,0.14,0.5,798138
07/12/2020,28.07,28.2,27.99,28.07,0.2,0.72,897600
04/12/2020,27.75,27.88,27.68,27.87,-0.26,-0.92,1025658
03/12/2020,28.1,28.24,28.01,28.13,-0.14,-0.5,888165
02/12/2020,28.52,28.57,28.07,28.27,-0.27,-0.95,1719651
01/12/2020,28.6,28.72,28.45,28.54,0.28,0.99,733724
30/11/2020,28.28,28.59,28.07,28.26,0.26,0.93,860971
27/11/2020,28.04,28.11,27.93,28,-0.03,-0.11,570049
26/11/2020,28.2,28.58,27.8,28.03,0.02,0.07,1117733
25/11/2020,28.03,28.19,27.89,28.01,-0.71,-2.47,1040190
24/11/2020,28.8,28.8,28.5,28.72,-0.09,-0.31,1166871
23/11/2020,28.95,28.96,28.76,28.81,0.02,0.07,342276
20/11/2020,28.95,29.05,28.75,28.79,-0.08,-0.28,1235304
19/11/2020,29.11,29.11,28.75,28.87,-0.39,-1.33,1079302
18/11/2020,29.3,29.49,29.19,29.26,0.06,0.21,1083105
17/11/2020,29.4,29.43,29.07,29.2,-0.4,-1.35,1780926
16/11/2020,29.48,29.66,29.44,29.6,0.1,0.34,24634
13/11/2020,29.62,29.7,29.285,29.5,-0.07,-0.24,576205
12/11/2020,29.4,29.8,29.4,29.57,0.4,1.37,965773
11/11/2020,29.2,29.33,29.01,29.17,-0.32,-1.09,1223311
10/11/2020,30,30.08,28.91,29.49,-0.23,-0.77,1941168
09/11/2020,29.48,29.92,29.46,29.72,0.54,1.85,727011
06/11/2020,29.48,29.48,29.03,29.18,-0.32,-1.08,926750
05/11/2020,29.15,29.5,29.02,29.5,1.01,3.55,1231771
04/11/2020,28.05,28.57,27.96,28.49,0.53,1.9,973243
03/11/2020,27.8,27.98,27.62,27.96,0.49,1.78,1084455
02/11/2020,27.42,27.68,27.28,27.47,-0.45,-1.61,1711858
30/10/2020,27.3,28.085,27.11,27.92,2.41,9.45,2510756
29/10/2020,25.51,25.78,25.34,25.51,-0.47,-1.81,1358206
28/10/2020,25.76,26.22,25.76,25.98,0.88,3.51,1803667
27/10/2020,25.3,25.35,24.9,25.1,-0.41,-1.61,1133508
26/10/2020,25.69,25.86,25.46,25.51,-0.23,-0.89,829583
23/10/2020,25.56,25.81,25.56,25.74,0.38,1.5,792527
22/10/2020,25.07,25.55,25.02,25.36,0.05,0.2,1554313
21/10/2020,25.4,25.44,25.24,25.31,-0.18,-0.71,728537
20/10/2020,25.45,25.67,25.3,25.49,-0.25,-0.97,1106001
19/10/2020,25.7,25.91,25.605,25.74,0.37,1.46,1359002
16/10/2020,25.25,25.49,25.22,25.37,0.25,1,962868
15/10/2020,25.1,25.21,24.97,25.12,0.19,0.76,1288160
14/10/2020,24.85,25.12,24.85,24.93,0.1,0.4,1077815
13/10/2020,24.7,25.07,24.64,24.83,0.2,0.81,1006357
12/10/2020,24.25,24.7,24.25,24.63,0.52,2.16,1021976
09/10/2020,24.1,24.29,24.03,24.11,-0.21,-0.86,768895
08/10/2020,24.02,24.5,23.91,24.32,0.57,2.4,1238572
07/10/2020,23.6,23.87,23.54,23.75,0.15,0.64,734685
06/10/2020,23.72,23.78,23.6,23.6,0,0,493910
05/10/2020,23.49,23.66,23.4,23.6,0.25,1.07,397524
02/10/2020,23.55,23.62,23.21,23.35,-0.7,-2.91,1345268
01/10/2020,23.81,24.18,23.76,24.05,0.16,0.67,767834
30/09/2020,24.1,24.28,23.88,23.89,-0.33,-1.36,899401
29/09/2020,24.24,24.34,24.17,24.22,0.32,1.34,880378
28/09/2020,24.1,24.32,23.9,23.9,0.11,0.46,564881
25/09/2020,23.95,23.95,23.67,23.79,-0.12,-0.5,692869
24/09/2020,23.9,23.98,23.76,23.91,-0.45,-1.85,731912
23/09/2020,24.04,24.44,23.88,24.36,0.48,2.01,1281901
22/09/2020,23.64,23.96,23.6,23.88,0.73,3.15,1514019
21/09/2020,23.38,23.51,23.1,23.15,-0.22,-0.94,1293083
18/09/2020,23.75,23.8,23.37,23.37,-0.55,-2.3,3353090
17/09/2020,24.06,24.11,23.83,23.92,-0.3,-1.24,1751927
16/09/2020,24.16,24.33,24.06,24.22,0.28,1.17,1446538
15/09/2020,23.82,24.05,23.8,23.94,0.26,1.1,2111116
14/09/2020,23.91,23.91,23.58,23.68,-0.08,-0.34,1070332
11/09/2020,23.57,23.83,23.53,23.76,-0.2,-0.83,849668
10/09/2020,24.34,24.34,23.84,23.96,0.1,0.42,1048146
09/09/2020,23.6,23.91,23.5,23.86,0.01,0.04,1563716
08/09/2020,24.16,24.2,23.74,23.85,0.18,0.76,851496
07/09/2020,23.72,23.88,23.54,23.67,-0.4,-1.66,1261664
04/09/2020,24.35,24.47,23.95,24.07,-1.38,-5.42,2179971
03/09/2020,25.1,25.45,24.99,25.45,0.78,3.16,1737206
02/09/2020,24.5,24.77,24.37,24.67,0.34,1.4,1651685
01/09/2020,24.25,24.54,24.22,24.33,-0.03,-0.12,1600079
31/08/2020,24.55,24.59,24.32,24.36,-0.4,-1.62,1103779
28/08/2020,24.89,24.9,24.57,24.76,-0.22,-0.88,2457816
27/08/2020,24.9,25.115,24.8,24.98,0.01,0.04,1445439
26/08/2020,24.81,25.13,24.78,24.97,0.14,0.56,1401150
25/08/2020,24.76,24.955,24.67,24.83,-0.46,-1.82,2238877
24/08/2020,25,25.43,24.97,25.29,0.26,1.04,947699
21/08/2020,25.25,25.28,25.03,25.03,-0.42,-1.65,1039167
20/08/2020,25.5,25.65,25.38,25.45,-0.25,-0.97,1401534
19/08/2020,25.5,25.73,25.36,25.7,0.14,0.55,1873523
18/08/2020,25.35,25.855,25.16,25.56,0.95,3.86,2076571
17/08/2020,24.7,24.77,24.59,24.61,-0.39,-1.56,1860889
14/08/2020,24.9,25.13,24.82,25,0.48,1.96,1439469
13/08/2020,24.75,24.75,24.4,24.52,0.04,0.16,2213954
12/08/2020,24.48,24.49,24.25,24.48,-0.12,-0.49,2262983
11/08/2020,24.65,24.9,24.46,24.6,-0.02,-0.08,2791668
10/08/2020,24.43,24.77,24.28,24.62,-0.44,-1.76,4874616
07/08/2020,24.59,25.72,24.16,25.06,-0.82,-3.17,6032404
06/08/2020,27.26,27.26,25.56,25.88,-2.07,-7.41,5885763
05/08/2020,28.39,28.48,27.875,27.95,-0.84,-2.92,1278357
04/08/2020,28.65,29.07,28.52,28.79,0.28,0.98,1139093
03/08/2020,28.12,28.61,28.12,28.51,0.23,0.81,842976
31/07/2020,28.31,28.6,28.09,28.28,-0.22,-0.77,782135
30/07/2020,28.47,28.67,28.34,28.5,0.12,0.42,660944
29/07/2020,28.3,28.485,28.23,28.38,-0.22,-0.77,963299
28/07/2020,29,29.13,28.4,28.6,-0.05,-0.17,920537
27/07/2020,28.33,28.76,28.33,28.65,0.02,0.07,654106
24/07/2020,28.5,28.68,28.46,28.63,0,0,844388
23/07/2020,28.58,28.73,28.39,28.63,0.09,0.32,768203
22/07/2020,28.86,28.86,28.49,28.54,-0.73,-2.49,706370
21/07/2020,28.9,29.3,28.87,29.27,0.84,2.95,801912
20/07/2020,28.26,28.47,28.25,28.43,0.45,1.61,656444
17/07/2020,28.28,28.3,27.7,27.98,-0.19,-0.67,579080
16/07/2020,28.15,28.36,28.01,28.17,0.16,0.57,1431504
15/07/2020,27.88,28.06,27.82,28.01,0.67,2.45,907547
14/07/2020,27.18,27.51,27.12,27.34,-0.27,-0.98,743989
13/07/2020,27.85,27.88,27.44,27.61,-0.25,-0.9,817515
10/07/2020,27.71,27.94,27.71,27.86,0.28,1.02,730126
09/07/2020,27.58,27.79,27.52,27.58,0.34,1.25,963629
08/07/2020,27.5,27.73,27.18,27.24,-0.31,-1.13,1411450
07/07/2020,27.71,27.85,27.38,27.55,-0.06,-0.22,1290425
06/07/2020,28.09,28.09,27.61,27.61,-0.54,-1.92,639885
03/07/2020,27.8,28.21,27.72,28.15,0.44,1.59,893938
02/07/2020,27.56,27.8,27.53,27.71,0.56,2.06,928737
01/07/2020,27.57,27.66,27.05,27.15,-0.39,-1.42,1335572
30/06/2020,27.59,27.69,27.25,27.54,0.51,1.89,1506826
29/06/2020,27.09,27.31,26.93,27.03,-0.13,-0.48,939749
26/06/2020,26.84,27.28,26.77,27.16,0.61,2.3,1471055
25/06/2020,26.3,26.73,26.3,26.55,0.07,0.26,1401792
24/06/2020,26.35,26.48,26.19,26.48,0.29,1.11,1765678
23/06/2020,25.98,26.19,25.77,26.19,0.39,1.51,1185303
22/06/2020,25.21,25.85,25.09,25.8,0.52,2.06,2185458
19/06/2020,25.3,25.42,25.01,25.28,0.22,0.88,5748111
18/06/2020,24.98,25.085,24.78,25.06,0.44,1.79,2859927
17/06/2020,24.31,24.83,24.3,24.62,0.76,3.19,2861802
16/06/2020,23.55,23.98,23.42,23.86,0.83,3.6,1776391
15/06/2020,23.12,23.44,23.03,23.03,-0.33,-1.41,1444195
12/06/2020,23.35,23.47,23.22,23.36,-0.23,-0.97,1401155
11/06/2020,23.69,23.92,23.47,23.59,0.49,2.12,1705074
10/06/2020,23.15,23.36,23.1,23.1,0.14,0.61,1016210
09/06/2020,23.14,23.27,22.89,22.96,-0.1,-0.43,2238868
05/06/2020,23.23,23.23,23.03,23.06,-0.68,-2.86,1629204
04/06/2020,23.56,23.84,23.42,23.74,0.55,2.37,1956692
03/06/2020,23.37,23.43,23.03,23.19,-0.4,-1.7,2035283
02/06/2020,23.6,23.74,23.39,23.59,-0.17,-0.72,1245744
01/06/2020,23.67,23.83,23.61,23.76,0.04,0.17,1134667
29/05/2020,23.78,23.98,23.72,23.72,0.35,1.5,1374834
28/05/2020,23.5,23.56,23.29,23.37,-0.77,-3.19,2600418
27/05/2020,24.2,24.41,24.02,24.14,-0.9,-3.59,2325831
26/05/2020,25.1,25.16,24.83,25.04,0.14,0.56,1732934
25/05/2020,24.68,24.9,24.52,24.9,0.72,2.98,1366455
22/05/2020,24.46,24.55,24.11,24.18,-0.3,-1.23,1449857
21/05/2020,24.7,24.85,24.48,24.48,-0.29,-1.17,1203242
20/05/2020,24.99,24.99,24.705,24.77,-0.61,-2.4,1587240
19/05/2020,25.85,25.85,25.185,25.38,-0.1,-0.39,1228675
18/05/2020,25.49,25.61,25.28,25.48,0.22,0.87,1029367
15/05/2020,25.19,25.28,25,25.26,-0.04,-0.16,636084
14/05/2020,25.62,25.71,25.2,25.3,-0.6,-2.32,1210011
13/05/2020,25.64,26.01,25.585,25.9,-0.14,-0.54,1363198
12/05/2020,25.9,26.18,25.77,26.04,1.28,5.17,1753676
11/05/2020,24.88,24.97,24.5,24.76,-0.05,-0.2,1282857
08/05/2020,24.79,24.85,24.67,24.81,-0.14,-0.56,973470
