Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
10/10/2019,19.55,19.67,19.495,19.65,0.17,0.87,907528
11/10/2019,19.32,19.39,19.22,19.3,-0.35,-1.78,1426421
14/10/2019,19.2,19.205,19.02,19.13,-0.17,-0.88,2023493
15/10/2019,19.11,19.33,19.08,19.15,0.02,0.1,1599942
16/10/2019,19.32,19.73,19.26,19.69,0.54,2.82,2182333
17/10/2019,19.54,19.595,19.42,19.42,-0.27,-1.37,1656420
18/10/2019,19.18,19.28,19.07,19.26,-0.16,-0.82,1440579
21/10/2019,19.2,19.24,19.12,19.16,-0.1,-0.52,1159677
22/10/2019,19.14,19.14,18.975,19.01,-0.15,-0.78,1275163
23/10/2019,18.5,18.555,18.4,18.5,-0.51,-2.68,1519805
24/10/2019,18.57,18.625,18.49,18.6,0.1,0.54,755091
25/10/2019,20.46,21.45,20.09,20.65,2.05,11.02,3082088
28/10/2019,21.07,21.24,21.04,21.1,0.45,2.18,1023551
29/10/2019,21.3,21.31,21.185,21.2,0.1,0.47,744723
30/10/2019,21.16,21.34,21.08,21.23,0.03,0.14,927505
31/10/2019,21.37,21.46,21.23,21.26,0.03,0.14,620771
01/11/2019,21.42,21.555,21.41,21.54,0.28,1.32,954287
04/11/2019,21.55,21.59,21.4,21.45,-0.09,-0.42,1015549
05/11/2019,21.68,21.74,21.435,21.47,0.02,0.09,515044
06/11/2019,21.05,21.05,20.655,20.72,-0.75,-3.49,4141212
07/11/2019,20.93,21.05,20.8,20.96,0.24,1.16,1245908
08/11/2019,20.64,20.71,20.56,20.71,-0.25,-1.19,1415561
11/11/2019,21.01,21.1,20.99,21.07,0.36,1.74,867427
12/11/2019,21.04,21.06,20.91,21.01,-0.06,-0.28,634894
13/11/2019,21.08,21.16,21.04,21.04,0.03,0.14,1148998
14/11/2019,21.2,21.51,21.195,21.46,0.42,2,817874
15/11/2019,21.54,21.56,21.36,21.44,-0.02,-0.09,913541
18/11/2019,21.5,21.59,21.46,21.5,0.06,0.28,1247227
