Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,1.55,1.585,1.505,1.575,0.045,2.94,8481378
29/01/2021,1.54,1.5625,1.5,1.53,0.055,3.73,9824163
28/01/2021,1.55,1.56,1.47,1.475,-0.045,-2.96,10266699
27/01/2021,1.555,1.585,1.475,1.52,-0.025,-1.62,8397956
25/01/2021,1.55,1.56,1.517,1.545,-0.005,-0.32,4445290
22/01/2021,1.59,1.61,1.545,1.55,-0.045,-2.82,5486420
21/01/2021,1.61,1.62,1.565,1.595,0.005,0.31,7566739
20/01/2021,1.56,1.595,1.52,1.59,0.035,2.25,7086052
19/01/2021,1.55,1.595,1.525,1.555,0.01,0.65,7135535
18/01/2021,1.54,1.57,1.53,1.545,-0.01,-0.64,4968994
15/01/2021,1.58,1.585,1.545,1.555,-0.02,-1.27,4775706
14/01/2021,1.595,1.612,1.56,1.575,-0.04,-2.48,6099646
13/01/2021,1.6,1.625,1.595,1.615,0.005,0.31,5215649
12/01/2021,1.585,1.62,1.56,1.61,0.02,1.26,10299591
11/01/2021,1.65,1.66,1.575,1.59,-0.115,-6.74,12718965
08/01/2021,1.755,1.78,1.7,1.705,-0.055,-3.12,4984927
07/01/2021,1.755,1.795,1.725,1.76,-0.01,-0.56,6955375
06/01/2021,1.85,1.85,1.75,1.77,-0.07,-3.8,10960687
05/01/2021,1.85,1.915,1.812,1.84,0.065,3.66,16833223
04/01/2021,1.705,1.785,1.7,1.775,0.09,5.34,7976398
31/12/2020,1.645,1.705,1.645,1.685,0.06,3.69,4636562
30/12/2020,1.615,1.6275,1.57,1.625,-0.025,-1.52,8218535
29/12/2020,1.64,1.655,1.62,1.65,0.01,0.61,4597242
24/12/2020,1.62,1.645,1.595,1.64,0.04,2.5,2125142
23/12/2020,1.63,1.635,1.56,1.6,-0.055,-3.32,7720774
22/12/2020,1.735,1.735,1.625,1.655,-0.105,-5.97,10979278
21/12/2020,1.7,1.78,1.7,1.76,0.07,4.14,7150233
18/12/2020,1.74,1.76,1.69,1.69,-0.025,-1.46,8879152
17/12/2020,1.7,1.73,1.675,1.715,0.025,1.48,8008919
16/12/2020,1.7,1.7,1.675,1.69,0.05,3.05,5556210
15/12/2020,1.64,1.6575,1.62,1.64,-0.035,-2.09,5297587
14/12/2020,1.695,1.695,1.645,1.675,-0.025,-1.47,4735435
11/12/2020,1.63,1.72,1.605,1.7,0.075,4.62,11626479
10/12/2020,1.725,1.725,1.62,1.625,-0.15,-8.45,9606529
09/12/2020,1.815,1.825,1.765,1.775,-0.04,-2.2,6707894
08/12/2020,1.79,1.835,1.77,1.815,0.08,4.61,5394837
07/12/2020,1.755,1.795,1.735,1.735,-0.015,-0.86,3188444
04/12/2020,1.79,1.79,1.74,1.75,-0.055,-3.05,7111216
03/12/2020,1.8,1.8225,1.765,1.805,0.035,1.98,8513212
02/12/2020,1.81,1.815,1.73,1.77,0.04,2.31,11513650
01/12/2020,1.69,1.765,1.69,1.73,0.045,2.67,8681475
30/11/2020,1.725,1.725,1.65,1.685,-0.045,-2.6,8098868
27/11/2020,1.73,1.74,1.705,1.73,0,0,3204097
26/11/2020,1.715,1.74,1.68,1.73,0.03,1.76,4118437
25/11/2020,1.6,1.72,1.575,1.7,0.05,3.03,10371208
24/11/2020,1.695,1.71,1.625,1.65,-0.12,-6.78,9530739
23/11/2020,1.81,1.82,1.755,1.77,-0.025,-1.39,4840339
20/11/2020,1.82,1.825,1.785,1.795,-0.035,-1.91,4699230
19/11/2020,1.8,1.855,1.79,1.83,0.015,0.83,5170748
18/11/2020,1.82,1.87,1.81,1.815,-0.005,-0.27,5370123
17/11/2020,1.93,1.93,1.82,1.82,-0.107,-5.55,8307601
16/11/2020,1.95,1.95,1.925,1.927,0.012,0.63,468431
13/11/2020,1.875,1.945,1.87,1.915,0.07,3.79,9281393
12/11/2020,1.91,1.92,1.835,1.845,-0.075,-3.91,12209482
11/11/2020,2.04,2.06,1.91,1.92,-0.11,-5.42,15362443
10/11/2020,2.09,2.14,2.015,2.03,-0.31,-13.25,9228781
09/11/2020,2.25,2.35,2.24,2.34,0.11,4.93,6906953
06/11/2020,2.15,2.235,2.135,2.23,0.17,8.25,6708450
05/11/2020,2.01,2.06,1.982,2.06,0.02,0.98,5502526
04/11/2020,2.02,2.075,2.01,2.04,-0.02,-0.97,3890982
03/11/2020,1.985,2.08,1.985,2.06,0.105,5.37,3766531
02/11/2020,1.91,1.96,1.9,1.955,0.025,1.3,5258401
30/10/2020,1.97,1.97,1.91,1.93,-0.03,-1.53,6612762
29/10/2020,1.96,1.985,1.92,1.96,-0.1,-4.85,7373142
28/10/2020,1.935,2.07,1.935,2.06,0.145,7.57,6304077
27/10/2020,1.96,1.97,1.89,1.915,-0.05,-2.54,7792070
