Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,3.64,3.69,3.56,3.66,0.03,0.83,3605485
29/01/2021,3.6,3.665,3.56,3.63,0.1,2.83,3730242
28/01/2021,3.64,3.65,3.51,3.53,-0.14,-3.81,4759549
27/01/2021,3.68,3.73,3.61,3.67,0.03,0.82,3795306
25/01/2021,3.71,3.71,3.625,3.64,-0.06,-1.62,3244167
22/01/2021,3.75,3.81,3.7,3.7,-0.08,-2.12,5003720
21/01/2021,3.78,3.8,3.735,3.78,0.07,1.89,3477265
20/01/2021,3.7,3.725,3.63,3.71,0.02,0.54,3059085
19/01/2021,3.7,3.755,3.62,3.69,-0.01,-0.27,3752263
18/01/2021,3.69,3.765,3.68,3.7,0.01,0.27,2316035
15/01/2021,3.73,3.74,3.66,3.69,-0.03,-0.81,2685319
14/01/2021,3.79,3.79,3.69,3.72,-0.08,-2.11,2701942
13/01/2021,3.78,3.82,3.75,3.8,0.03,0.8,3426455
12/01/2021,3.78,3.79,3.72,3.77,0.04,1.07,3151522
11/01/2021,3.73,3.79,3.66,3.73,-0.06,-1.58,5121209
08/01/2021,3.88,3.91,3.78,3.79,-0.06,-1.56,2947162
07/01/2021,3.9,3.92,3.83,3.85,-0.03,-0.77,4106407
06/01/2021,3.92,3.94,3.85,3.88,-0.02,-0.51,3382349
05/01/2021,3.94,3.97,3.87,3.9,0.03,0.78,4250197
04/01/2021,3.77,3.89,3.75,3.87,0.13,3.48,3118894
31/12/2020,3.78,3.78,3.71,3.74,0.02,0.54,1600214
30/12/2020,3.7,3.72,3.63,3.72,0.01,0.27,1987027
29/12/2020,3.72,3.735,3.665,3.71,0.01,0.27,2066180
24/12/2020,3.75,3.75,3.68,3.7,-0.01,-0.27,1790090
23/12/2020,3.71,3.73,3.65,3.71,-0.01,-0.27,3373121
22/12/2020,3.89,3.89,3.71,3.72,-0.17,-4.37,4037098
21/12/2020,3.87,3.915,3.855,3.89,0.02,0.52,4123409
18/12/2020,3.84,3.89,3.81,3.87,0.12,3.2,8037857
17/12/2020,3.76,3.78,3.71,3.75,-0.01,-0.27,4378791
16/12/2020,3.75,3.82,3.735,3.76,0.07,1.9,4172148
15/12/2020,3.74,3.76,3.66,3.69,-0.04,-1.07,3356478
14/12/2020,3.74,3.8,3.69,3.73,0.02,0.54,3379492
11/12/2020,3.66,3.74,3.61,3.71,0.04,1.09,4710209
10/12/2020,3.7,3.72,3.64,3.67,-0.12,-3.17,4461559
09/12/2020,3.82,3.87,3.78,3.79,-0.04,-1.04,3345259
08/12/2020,3.91,3.93,3.78,3.83,0.01,0.26,4653553
07/12/2020,3.79,3.88,3.79,3.82,0.05,1.33,3403219
04/12/2020,3.94,3.96,3.73,3.77,-0.17,-4.31,7064106
03/12/2020,3.96,3.97,3.91,3.94,0.03,0.77,5678714
02/12/2020,4.04,4.04,3.89,3.91,0,0,4638003
01/12/2020,3.75,3.94,3.73,3.91,0.22,5.96,5205556
30/11/2020,3.82,3.83,3.69,3.69,-0.16,-4.16,5884955
27/11/2020,3.87,3.88,3.82,3.85,0.02,0.52,2719172
26/11/2020,3.8,3.865,3.75,3.83,0.08,2.13,3383398
25/11/2020,3.62,3.78,3.59,3.75,0.11,3.02,6832640
24/11/2020,3.83,3.83,3.64,3.64,-0.22,-5.7,5595015
23/11/2020,3.9,3.92,3.84,3.86,0.01,0.26,1998594
20/11/2020,3.84,3.88,3.79,3.85,-0.02,-0.52,5296356
19/11/2020,3.8,3.92,3.79,3.87,0.02,0.52,7210050
18/11/2020,3.87,3.93,3.83,3.85,-0.02,-0.52,5550443
17/11/2020,4.05,4.05,3.87,3.87,-0.22,-5.38,6632150
16/11/2020,4.1,4.1,4.07,4.09,0.02,0.49,237901
