Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,0.7,0.71,0.68,0.705,0.015,2.17,7894486
29/01/2021,0.705,0.71,0.69,0.69,0,0,6944395
28/01/2021,0.7,0.7,0.68,0.69,-0.025,-3.5,10428372
27/01/2021,0.72,0.73,0.705,0.715,0.015,2.14,7059408
25/01/2021,0.71,0.71,0.7,0.7,-0.01,-1.41,3285804
22/01/2021,0.715,0.73,0.707,0.71,-0.005,-0.7,6711421
21/01/2021,0.725,0.735,0.705,0.715,0.01,1.42,6650782
20/01/2021,0.695,0.71,0.685,0.705,0.01,1.44,6866724
19/01/2021,0.68,0.7,0.67,0.695,0.015,2.21,8489649
18/01/2021,0.7,0.71,0.68,0.68,-0.025,-3.55,13027903
15/01/2021,0.755,0.77,0.69,0.705,-0.06,-7.84,36830455
14/01/2021,0.775,0.775,0.755,0.765,-0.02,-2.55,9558405
13/01/2021,0.79,0.7925,0.77,0.785,-0.005,-0.63,8067048
12/01/2021,0.78,0.7925,0.775,0.79,0.01,1.28,6384292
11/01/2021,0.785,0.792,0.77,0.78,-0.05,-6.02,9208893
08/01/2021,0.835,0.84,0.825,0.83,-0.005,-0.6,5212206
07/01/2021,0.825,0.845,0.82,0.835,0,0,5660915
06/01/2021,0.86,0.86,0.835,0.835,-0.02,-2.34,7639533
05/01/2021,0.86,0.87,0.85,0.855,0.02,2.4,11286084
04/01/2021,0.81,0.84,0.8,0.835,0.04,5.03,9525059
31/12/2020,0.79,0.8125,0.785,0.795,0.005,0.63,6807167
30/12/2020,0.78,0.79,0.765,0.79,0.005,0.64,5610240
29/12/2020,0.775,0.785,0.765,0.785,0.015,1.95,5100987
24/12/2020,0.77,0.785,0.76,0.77,0.005,0.65,2715793
23/12/2020,0.78,0.79,0.765,0.765,-0.03,-3.77,6584946
22/12/2020,0.82,0.82,0.795,0.795,-0.03,-3.64,6351156
21/12/2020,0.82,0.837,0.815,0.825,0,0,5756743
18/12/2020,0.85,0.855,0.82,0.825,-0.01,-1.2,13312488
17/12/2020,0.815,0.84,0.795,0.835,0.035,4.38,15766017
16/12/2020,0.775,0.805,0.77,0.8,0.075,10.34,22763174
15/12/2020,0.73,0.735,0.715,0.725,-0.005,-0.68,5820486
14/12/2020,0.74,0.74,0.725,0.73,-0.005,-0.68,5744731
11/12/2020,0.73,0.74,0.73,0.735,0,0,5281995
10/12/2020,0.74,0.74,0.73,0.735,-0.015,-2,5191218
09/12/2020,0.77,0.775,0.745,0.75,-0.02,-2.6,8704279
08/12/2020,0.78,0.79,0.765,0.77,0.01,1.32,7530074
07/12/2020,0.77,0.79,0.755,0.76,-0.005,-0.65,7505734
04/12/2020,0.785,0.795,0.765,0.765,-0.025,-3.16,7489599
03/12/2020,0.795,0.8,0.78,0.79,-0.005,-0.63,6961897
02/12/2020,0.79,0.81,0.785,0.795,0.015,1.92,11305058
01/12/2020,0.755,0.78,0.752,0.78,0.02,2.63,11594922
30/11/2020,0.785,0.785,0.755,0.76,-0.03,-3.8,11478542
