Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,4.24,4.31,4.2,4.21,-0.06,-1.41,3025807
29/01/2021,4.36,4.37,4.25,4.27,-0.06,-1.39,2580739
28/01/2021,4.45,4.58,4.26,4.33,-0.04,-0.92,4585888
27/01/2021,4.59,4.59,4.32,4.37,0.27,6.59,5579953
25/01/2021,4.14,4.14,3.98,4.1,-0.04,-0.97,1833768
22/01/2021,4.05,4.145,4.025,4.14,0.11,2.73,1995656
21/01/2021,4.08,4.08,3.97,4.03,0.03,0.75,2497171
20/01/2021,3.9,4.03,3.88,4,0.05,1.27,2283469
19/01/2021,3.89,3.95,3.85,3.95,0.12,3.13,2048342
18/01/2021,3.83,3.89,3.81,3.83,0.02,0.52,1525189
15/01/2021,3.81,3.9,3.8,3.81,-0.02,-0.52,1799461
14/01/2021,3.83,3.89,3.76,3.83,-0.05,-1.29,2614292
13/01/2021,3.85,3.98,3.85,3.88,0.04,1.04,3234299
12/01/2021,3.92,3.97,3.84,3.84,-0.1,-2.54,5123488
11/01/2021,3.9,3.97,3.9,3.94,-0.04,-1.01,2543489
08/01/2021,3.93,3.98,3.9,3.98,-0.02,-0.5,1834962
07/01/2021,4.09,4.14,3.94,4,0.05,1.27,3915608
06/01/2021,4.01,4.06,3.94,3.95,-0.19,-4.59,3658071
05/01/2021,4.04,4.17,3.96,4.14,-0.05,-1.19,3249511
04/01/2021,4.11,4.19,4.075,4.19,0.14,3.46,1093860
31/12/2020,4.14,4.175,4.05,4.05,-0.11,-2.64,623197
30/12/2020,4.07,4.17,4.04,4.16,0.07,1.71,1749940
29/12/2020,4.16,4.21,4.08,4.09,-0.07,-1.68,1453080
24/12/2020,4.14,4.21,4.14,4.16,-0.01,-0.24,741463
23/12/2020,4.15,4.24,4.14,4.17,0.03,0.72,1113655
22/12/2020,4.19,4.22,4.11,4.14,-0.12,-2.82,3999915
21/12/2020,4.27,4.36,4.23,4.26,-0.08,-1.84,1821536
18/12/2020,4.44,4.46,4.34,4.34,-0.1,-2.25,2708872
17/12/2020,4.3,4.49,4.29,4.44,0.12,2.78,3521864
