Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,2.54,2.67,2.47,2.64,0.1,3.94,31470214
29/01/2021,2.62,2.63,2.51,2.54,-0.04,-1.55,19950087
28/01/2021,2.54,2.61,2.52,2.58,-0.07,-2.64,23512090
27/01/2021,2.71,2.72,2.63,2.65,-0.1,-3.64,30970914
25/01/2021,2.78,2.78,2.71,2.75,-0.02,-0.72,17896136
22/01/2021,2.67,2.79,2.66,2.77,0.11,4.14,42748649
21/01/2021,2.67,2.68,2.61,2.66,-0.01,-0.37,21498839
20/01/2021,2.63,2.68,2.62,2.67,0.04,1.52,13697738
19/01/2021,2.59,2.66,2.58,2.63,0.04,1.54,12465371
18/01/2021,2.63,2.64,2.57,2.59,-0.09,-3.36,16202363
15/01/2021,2.72,2.75,2.675,2.68,-0.03,-1.11,23800438
14/01/2021,2.67,2.72,2.63,2.71,0,0,38072637
13/01/2021,2.62,2.71,2.61,2.71,0.1,3.83,22097374
12/01/2021,2.58,2.63,2.57,2.61,0.01,0.38,17511532
11/01/2021,2.6,2.63,2.57,2.6,0.03,1.17,20434188
08/01/2021,2.62,2.62,2.55,2.57,-0.05,-1.91,17082207
07/01/2021,2.5,2.64,2.49,2.62,0.14,5.65,29875726
06/01/2021,2.5,2.52,2.455,2.48,-0.02,-0.8,15252348
05/01/2021,2.53,2.54,2.48,2.5,0,0,17143092
04/01/2021,2.49,2.51,2.45,2.5,0.03,1.21,13802055
31/12/2020,2.49,2.52,2.47,2.47,-0.03,-1.2,11827219
30/12/2020,2.48,2.51,2.44,2.5,-0.01,-0.4,13196301
29/12/2020,2.56,2.56,2.49,2.51,-0.01,-0.4,7223943
24/12/2020,2.51,2.57,2.51,2.52,0.03,1.2,9358173
23/12/2020,2.49,2.515,2.46,2.49,-0.02,-0.8,11244744
22/12/2020,2.53,2.545,2.5,2.51,-0.05,-1.95,10423384
21/12/2020,2.55,2.59,2.53,2.56,-0.01,-0.39,15948874
18/12/2020,2.58,2.61,2.55,2.57,-0.06,-2.28,36904200
17/12/2020,2.61,2.635,2.58,2.63,0.03,1.15,22581968
16/12/2020,2.6,2.61,2.575,2.6,0.04,1.56,17927836
15/12/2020,2.58,2.58,2.54,2.56,-0.04,-1.54,15975804
14/12/2020,2.58,2.64,2.55,2.6,0.03,1.17,25902049
11/12/2020,2.57,2.6,2.54,2.57,-0.04,-1.53,28991195
10/12/2020,2.61,2.645,2.59,2.61,-0.01,-0.38,22036429
09/12/2020,2.6,2.64,2.6,2.62,0.03,1.16,22797334
08/12/2020,2.6,2.61,2.56,2.59,-0.01,-0.38,17337752
07/12/2020,2.66,2.67,2.57,2.6,-0.01,-0.38,22441128
04/12/2020,2.52,2.62,2.52,2.61,0.07,2.76,29884844
