Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,4.83,4.9,4.74,4.9,0.03,0.62,7944437
29/01/2021,4.82,4.88,4.81,4.87,0.07,1.46,6811794
28/01/2021,4.86,4.91,4.77,4.8,-0.2,-4,10106601
27/01/2021,4.99,5.05,4.9,5,0.03,0.6,9056701
25/01/2021,5.11,5.11,4.93,4.97,-0.1,-1.97,12237095
22/01/2021,5.15,5.3,5.07,5.07,-0.07,-1.36,15926148
21/01/2021,5.14,5.19,5.08,5.14,0.1,1.98,30803520
20/01/2021,5.02,5.1,4.9,5.04,0.02,0.4,23999146
19/01/2021,4.88,5.15,4.86,5.02,0.19,3.93,40279406
18/01/2021,4.77,4.93,4.74,4.83,0.02,0.42,24781253
15/01/2021,4.79,4.86,4.71,4.81,-0.01,-0.21,24608614
14/01/2021,4.84,4.96,4.78,4.82,-0.12,-2.43,16812073
13/01/2021,4.76,4.95,4.75,4.94,0.14,2.92,13686901
12/01/2021,4.75,4.82,4.71,4.8,-0.01,-0.21,14669839
11/01/2021,4.69,4.83,4.675,4.81,-0.19,-3.8,10145565
08/01/2021,5.03,5.1,4.95,5,0,0,3142419
07/01/2021,5,5.09,4.97,5,-0.1,-1.96,3938183
06/01/2021,5.11,5.19,5.05,5.1,-0.09,-1.73,5876806
05/01/2021,5.2,5.23,5.13,5.19,0.15,2.98,8049543
04/01/2021,4.85,5.04,4.84,5.04,0.29,6.11,9145527
31/12/2020,4.8,4.85,4.75,4.75,0,0,2764657
30/12/2020,4.72,4.75,4.62,4.75,0.01,0.21,2925377
29/12/2020,4.79,4.8,4.68,4.74,-0.01,-0.21,3006085
24/12/2020,4.77,4.77,4.69,4.75,0.03,0.64,2253508
23/12/2020,4.65,4.76,4.59,4.72,0.01,0.21,5084737
22/12/2020,4.8,4.8,4.66,4.71,-0.15,-3.09,7149758
21/12/2020,4.75,4.89,4.73,4.86,0.05,1.04,5236275
18/12/2020,4.79,4.88,4.75,4.81,0.13,2.78,11644886
17/12/2020,4.63,4.73,4.62,4.68,0.09,1.96,5761392
16/12/2020,4.6,4.61,4.51,4.59,0.18,4.08,7990151
15/12/2020,4.52,4.55,4.41,4.41,-0.12,-2.65,5331228
14/12/2020,4.66,4.67,4.53,4.53,-0.13,-2.79,6919465
11/12/2020,4.59,4.68,4.57,4.66,0.07,1.53,5954219
