Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,2.21,2.24,2.165,2.24,0.03,1.36,5220046
29/01/2021,2.22,2.23,2.17,2.21,0.03,1.38,6349779
28/01/2021,2.25,2.25,2.17,2.18,-0.09,-3.96,6840555
27/01/2021,2.3,2.31,2.24,2.27,0,0,4644727
25/01/2021,2.29,2.3,2.24,2.27,-0.01,-0.44,4680088
22/01/2021,2.36,2.36,2.27,2.28,-0.08,-3.39,4585306
21/01/2021,2.36,2.39,2.34,2.36,0.04,1.72,5655596
20/01/2021,2.28,2.32,2.24,2.32,0.07,3.11,5257042
19/01/2021,2.21,2.28,2.2,2.25,0.03,1.35,4305394
18/01/2021,2.23,2.24,2.2,2.22,-0.01,-0.45,5128414
15/01/2021,2.24,2.25,2.21,2.23,-0.01,-0.45,4097050
14/01/2021,2.27,2.29,2.215,2.24,-0.06,-2.61,11107476
13/01/2021,2.3,2.32,2.27,2.3,-0.01,-0.43,6826017
12/01/2021,2.32,2.34,2.28,2.31,-0.01,-0.43,6549256
11/01/2021,2.32,2.34,2.28,2.32,-0.07,-2.93,6989905
08/01/2021,2.44,2.47,2.39,2.39,-0.05,-2.05,3224635
07/01/2021,2.42,2.46,2.4,2.44,-0.02,-0.81,4727519
06/01/2021,2.51,2.52,2.44,2.46,-0.05,-1.99,3884817
05/01/2021,2.52,2.56,2.5,2.51,0.04,1.62,6480565
04/01/2021,2.39,2.48,2.38,2.47,0.11,4.66,5379552
31/12/2020,2.38,2.42,2.36,2.36,0.01,0.43,3596257
30/12/2020,2.35,2.36,2.31,2.35,-0.01,-0.42,3716124
29/12/2020,2.36,2.39,2.33,2.36,0,0,3351869
24/12/2020,2.36,2.38,2.33,2.36,0.02,0.85,2475191
23/12/2020,2.32,2.37,2.29,2.34,0,0,4588738
22/12/2020,2.45,2.45,2.335,2.34,-0.13,-5.26,8162906
21/12/2020,2.44,2.48,2.42,2.47,0.03,1.23,7129860
18/12/2020,2.5,2.51,2.44,2.44,-0.04,-1.61,9491146
17/12/2020,2.48,2.5,2.46,2.48,0,0,7485491
16/12/2020,2.51,2.54,2.47,2.48,0.03,1.22,15039766
15/12/2020,2.46,2.49,2.43,2.45,-0.02,-0.81,3767524
14/12/2020,2.49,2.52,2.47,2.47,-0.03,-1.2,2821405
11/12/2020,2.46,2.5,2.46,2.5,0.04,1.63,5120445
10/12/2020,2.5,2.5,2.45,2.46,-0.08,-3.15,4532461
09/12/2020,2.61,2.61,2.53,2.54,-0.07,-2.68,3200436
08/12/2020,2.65,2.66,2.58,2.61,0.05,1.95,6610279
07/12/2020,2.52,2.57,2.52,2.56,0.04,1.59,4777830
04/12/2020,2.59,2.61,2.51,2.52,-0.08,-3.08,5019782
03/12/2020,2.59,2.65,2.57,2.6,0.01,0.39,6626173
02/12/2020,2.57,2.61,2.55,2.59,0.08,3.19,8513113
01/12/2020,2.48,2.53,2.48,2.51,0.06,2.45,7185918
30/11/2020,2.51,2.51,2.45,2.45,-0.08,-3.16,7788614
27/11/2020,2.54,2.54,2.49,2.53,0,0,2755336
26/11/2020,2.52,2.54,2.5,2.53,0.04,1.61,8815211
25/11/2020,2.41,2.53,2.4,2.49,0.05,2.05,9415777
24/11/2020,2.49,2.49,2.415,2.44,-0.11,-4.31,9123093
23/11/2020,2.62,2.62,2.54,2.55,-0.04,-1.54,5654026
20/11/2020,2.55,2.61,2.53,2.59,0.01,0.39,6513546
19/11/2020,2.58,2.62,2.56,2.58,-0.02,-0.77,7751166
18/11/2020,2.61,2.64,2.59,2.6,-0.01,-0.38,8165339
17/11/2020,2.73,2.73,2.6,2.61,-0.125,-4.57,10324263
16/11/2020,2.74,2.75,2.73,2.735,0.005,0.18,203321
13/11/2020,2.68,2.76,2.68,2.73,0.08,3.02,7328191
12/11/2020,2.7,2.7,2.63,2.65,-0.06,-2.21,8028756
11/11/2020,2.78,2.79,2.69,2.71,-0.04,-1.45,6698927
10/11/2020,2.77,2.8,2.72,2.75,-0.2,-6.78,8343325
09/11/2020,2.9,2.97,2.9,2.95,0.1,3.51,7333049
06/11/2020,2.76,2.87,2.76,2.85,0.2,7.55,7166342
05/11/2020,2.65,2.66,2.6,2.65,0,0,3889456
04/11/2020,2.73,2.75,2.635,2.65,-0.09,-3.28,6318999
03/11/2020,2.71,2.76,2.705,2.74,0.08,3.01,3976730
02/11/2020,2.66,2.7,2.63,2.66,0.01,0.38,4048778
30/10/2020,2.6,2.695,2.59,2.65,0.03,1.15,6191127
29/10/2020,2.62,2.65,2.59,2.62,-0.11,-4.03,3778175
28/10/2020,2.67,2.74,2.67,2.73,0.07,2.63,3440779
27/10/2020,2.72,2.73,2.64,2.66,-0.09,-3.27,4690113
26/10/2020,2.82,2.83,2.73,2.75,-0.09,-3.17,5102585
23/10/2020,2.89,2.89,2.82,2.84,-0.06,-2.07,3297400
22/10/2020,2.91,2.95,2.89,2.9,-0.02,-0.68,6159170
