Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,2.7,2.73,2.67,2.69,-0.04,-1.47,28492415
29/01/2021,2.84,2.86,2.7,2.73,-0.1,-3.53,44045116
28/01/2021,2.79,2.88,2.78,2.83,0.01,0.35,20181458
27/01/2021,2.87,2.89,2.8,2.82,-0.04,-1.4,17817417
25/01/2021,2.87,2.89,2.84,2.86,0,0,13925339
22/01/2021,2.81,2.86,2.79,2.86,0.01,0.35,17572728
21/01/2021,2.89,2.895,2.8,2.85,-0.02,-0.7,16836944
20/01/2021,2.87,2.91,2.85,2.87,-0.05,-1.71,15714303
19/01/2021,2.93,2.96,2.89,2.92,0.02,0.69,16737622
18/01/2021,2.91,2.92,2.86,2.9,-0.02,-0.68,13744241
15/01/2021,2.77,2.92,2.77,2.92,0.14,5.04,32478149
14/01/2021,2.77,2.81,2.73,2.78,0.04,1.46,29279837
13/01/2021,2.73,2.75,2.69,2.74,0,0,15973094
12/01/2021,2.81,2.83,2.74,2.74,-0.06,-2.14,14136778
11/01/2021,2.83,2.84,2.785,2.8,-0.03,-1.06,7651856
08/01/2021,2.88,2.89,2.815,2.83,-0.03,-1.05,11335498
07/01/2021,2.85,2.89,2.84,2.86,0.03,1.06,20727636
06/01/2021,2.76,2.84,2.76,2.83,0.05,1.8,24222524
05/01/2021,2.71,2.79,2.71,2.78,0,0,20767391
04/01/2021,2.78,2.81,2.76,2.78,0,0,13697970
31/12/2020,2.88,2.88,2.78,2.78,-0.09,-3.14,11138644
30/12/2020,2.85,2.87,2.81,2.87,0.02,0.7,15845771
29/12/2020,2.85,2.875,2.83,2.85,0.03,1.06,9809567
24/12/2020,2.77,2.85,2.76,2.82,0.03,1.08,8874098
23/12/2020,2.76,2.81,2.71,2.79,0.06,2.2,12484866
22/12/2020,2.66,2.73,2.64,2.73,0.07,2.63,20943253
21/12/2020,2.65,2.69,2.625,2.66,-0.05,-1.85,26150351
18/12/2020,2.78,2.79,2.7,2.71,-0.07,-2.52,31724011
17/12/2020,2.84,2.85,2.75,2.78,-0.06,-2.11,22862164
16/12/2020,2.85,2.87,2.83,2.84,0.03,1.07,12677747
15/12/2020,2.79,2.84,2.78,2.81,0.02,0.72,9027729
14/12/2020,2.78,2.8,2.76,2.79,0.02,0.72,17530308
11/12/2020,2.79,2.81,2.76,2.77,-0.05,-1.77,24705857
10/12/2020,2.85,2.86,2.82,2.82,-0.06,-2.08,34968262
09/12/2020,2.95,2.96,2.87,2.88,-0.06,-2.04,19668773
08/12/2020,2.94,2.97,2.92,2.94,0,0,20102784
07/12/2020,2.94,2.96,2.9,2.94,0.04,1.38,20050436
04/12/2020,2.91,2.94,2.86,2.9,0.03,1.05,21197203
03/12/2020,2.84,2.9,2.84,2.87,0.02,0.7,18779530
02/12/2020,2.87,2.88,2.8,2.85,0.01,0.35,20833657
01/12/2020,2.81,2.85,2.79,2.84,0.04,1.43,30245768
30/11/2020,2.9,2.915,2.79,2.8,-0.08,-2.78,38268810
27/11/2020,2.86,2.91,2.85,2.88,0,0,10652816
26/11/2020,2.93,2.95,2.87,2.88,-0.05,-1.71,15879339
25/11/2020,2.85,2.95,2.85,2.93,0.1,3.53,38558032
24/11/2020,2.78,2.84,2.74,2.83,0.06,2.17,19861486
23/11/2020,2.81,2.81,2.76,2.77,-0.01,-0.36,11778126
20/11/2020,2.8,2.83,2.77,2.78,0,0,24761224
19/11/2020,2.76,2.8,2.75,2.78,-0.06,-2.11,31386041
18/11/2020,2.86,2.86,2.78,2.84,0,0,38422870
17/11/2020,2.78,2.86,2.77,2.84,0.13,4.8,44146345
16/11/2020,2.68,2.74,2.68,2.71,0.07,2.65,1169138
13/11/2020,2.61,2.67,2.6,2.64,-0.04,-1.49,23998892
12/11/2020,2.76,2.76,2.66,2.68,-0.08,-2.9,25071952
11/11/2020,2.77,2.82,2.73,2.76,0,0,36173820
10/11/2020,2.75,3.13,2.695,2.76,0.35,14.52,69827483
09/11/2020,2.41,2.44,2.4,2.41,0.01,0.42,17428917
06/11/2020,2.4,2.41,2.345,2.4,0.02,0.84,22331847
05/11/2020,2.38,2.4,2.34,2.38,0.05,2.15,32263009
04/11/2020,2.28,2.35,2.27,2.33,0.05,2.19,29127897
03/11/2020,2.17,2.28,2.17,2.28,0.13,6.05,27781180
02/11/2020,2.12,2.17,2.11,2.15,0.05,2.38,13991942
30/10/2020,2.15,2.175,2.1,2.1,-0.06,-2.78,24551316
29/10/2020,2.16,2.17,2.12,2.16,-0.03,-1.37,19167971
28/10/2020,2.17,2.2,2.14,2.19,-0.02,-0.9,31812294
27/10/2020,2.23,2.23,2.2,2.21,-0.05,-2.21,23139053
26/10/2020,2.25,2.3,2.24,2.26,-0.01,-0.44,42658283
23/10/2020,2.23,2.27,2.21,2.27,0.04,1.79,20099858
22/10/2020,2.25,2.27,2.21,2.23,-0.07,-3.04,24940901
21/10/2020,2.24,2.31,2.22,2.3,0.07,3.14,33689150
20/10/2020,2.23,2.25,2.22,2.23,-0.03,-1.33,15336439
19/10/2020,2.24,2.27,2.215,2.26,0.05,2.26,12561889
16/10/2020,2.28,2.29,2.205,2.21,-0.08,-3.49,29684885
15/10/2020,2.27,2.3,2.24,2.29,0.03,1.33,16233795
14/10/2020,2.31,2.32,2.26,2.26,-0.08,-3.42,13529139
13/10/2020,2.34,2.35,2.31,2.34,0.02,0.86,19184288
12/10/2020,2.29,2.33,2.27,2.32,0.02,0.87,14004216
09/10/2020,2.32,2.33,2.28,2.3,-0.01,-0.43,15778755
08/10/2020,2.3,2.32,2.26,2.31,0,0,20307352
07/10/2020,2.29,2.32,2.27,2.31,0.01,0.43,16142491
06/10/2020,2.3,2.32,2.24,2.3,0,0,19340432
05/10/2020,2.25,2.335,2.25,2.3,0.09,4.07,11879787
02/10/2020,2.23,2.27,2.19,2.21,-0.05,-2.21,15147679
01/10/2020,2.19,2.28,2.18,2.26,0.06,2.73,25888284
30/09/2020,2.24,2.25,2.19,2.2,-0.08,-3.51,33073257
29/09/2020,2.28,2.32,2.27,2.28,0.02,0.88,23898279
28/09/2020,2.21,2.27,2.19,2.26,0.06,2.73,14786574
25/09/2020,2.19,2.22,2.17,2.2,0.02,0.92,21759556
24/09/2020,2.13,2.2,2.11,2.18,0,0,26263852
23/09/2020,2.15,2.18,2.13,2.18,0.05,2.35,23811694
22/09/2020,2.15,2.16,2.11,2.13,-0.07,-3.18,41001094
21/09/2020,2.22,2.24,2.17,2.2,-0.07,-3.08,31931532
18/09/2020,2.31,2.31,2.25,2.27,-0.05,-2.16,54622161
17/09/2020,2.35,2.36,2.3,2.32,0.05,2.2,49461462
16/09/2020,2.23,2.28,2.21,2.27,0.06,2.71,36323720
15/09/2020,2.13,2.22,2.11,2.21,0.11,5.24,31258043
14/09/2020,2.12,2.13,2.09,2.1,0,0,18364503
11/09/2020,2.1,2.125,2.08,2.1,-0.04,-1.87,22829944
10/09/2020,2.21,2.215,2.115,2.14,-0.04,-1.83,38099319
09/09/2020,2.22,2.24,2.18,2.18,-0.09,-3.96,41542997
08/09/2020,2.23,2.28,2.21,2.27,0.09,4.13,31721713
07/09/2020,2.15,2.19,2.12,2.18,0,0,21831164
04/09/2020,2.19,2.21,2.16,2.18,-0.09,-3.96,36789879
03/09/2020,2.25,2.31,2.23,2.27,0.03,1.34,32540065
02/09/2020,2.23,2.24,2.19,2.24,0.02,0.9,28775125
01/09/2020,2.2,2.25,2.18,2.22,-0.04,-1.77,55101349
31/08/2020,2.14,2.26,2.14,2.26,0.12,5.61,73407347
28/08/2020,2.03,2.14,2.03,2.14,0.08,3.88,39956045
27/08/2020,2.05,2.07,2.035,2.06,-0.03,-1.44,22139875
26/08/2020,2.1,2.11,2.02,2.09,-0.02,-0.95,22962329
25/08/2020,2.11,2.16,2.08,2.11,0.09,4.46,40189737
24/08/2020,2.05,2.08,2,2.02,-0.04,-1.94,25004803
21/08/2020,2.01,2.06,2,2.06,0.07,3.52,24958969
20/08/2020,2,2.02,1.975,1.99,0,0,25256474
19/08/2020,2.06,2.08,1.99,1.99,-0.1,-4.78,32780061
18/08/2020,2.06,2.09,2.05,2.09,0,0,17363148
17/08/2020,2.07,2.1,2.04,2.09,0.01,0.48,18479503
14/08/2020,2.1,2.1,2.065,2.08,-0.05,-2.35,19707936
13/08/2020,2.14,2.14,2.08,2.13,0.01,0.47,23451443
12/08/2020,2.1,2.12,2.07,2.12,0.04,1.92,25687889
11/08/2020,1.985,2.09,1.975,2.08,0.095,4.79,29163609
10/08/2020,1.945,1.995,1.94,1.985,0.065,3.39,20483699
07/08/2020,1.91,1.93,1.905,1.92,0,0,20921891
06/08/2020,1.96,1.975,1.88,1.92,-0.045,-2.29,51956162
05/08/2020,2.02,2.08,1.955,1.965,-0.055,-2.72,23947793
04/08/2020,1.95,2.03,1.94,2.02,0.095,4.94,33918465
03/08/2020,1.99,2.03,1.9,1.925,-0.115,-5.64,40722394
31/07/2020,2.01,2.05,1.975,2.04,0.02,0.99,25695491
30/07/2020,2.09,2.095,2,2.02,-0.07,-3.35,41367648
29/07/2020,2.11,2.12,2.08,2.09,0,0,17975518
28/07/2020,2.15,2.15,2.08,2.09,-0.05,-2.34,20473081
27/07/2020,2.1,2.14,2.09,2.14,0.03,1.42,11959842
24/07/2020,2.14,2.15,2.09,2.11,-0.06,-2.76,12341990
23/07/2020,2.11,2.18,2.105,2.17,0.08,3.83,16288930
22/07/2020,2.14,2.18,2.09,2.09,-0.08,-3.69,18968650
21/07/2020,2.12,2.17,2.095,2.17,0.07,3.33,26503909
20/07/2020,2.14,2.14,2.085,2.1,-0.04,-1.87,13577856
17/07/2020,2.16,2.16,2.11,2.14,0,0,9496904
16/07/2020,2.2,2.21,2.12,2.14,-0.02,-0.93,19657061
15/07/2020,2.15,2.205,2.14,2.16,0.01,0.47,21154379
14/07/2020,2.13,2.2,2.12,2.15,-0.01,-0.46,23965111
13/07/2020,2.17,2.22,2.12,2.16,0.04,1.89,21174845
10/07/2020,2.11,2.15,2.09,2.12,0,0,23725514
09/07/2020,2.13,2.16,2.12,2.12,0,0,23875784
08/07/2020,2.13,2.18,2.11,2.12,-0.03,-1.4,35685594
07/07/2020,2.28,2.32,2.08,2.15,-0.1,-4.44,31214785
06/07/2020,2.24,2.305,2.22,2.25,0,0,15422723
03/07/2020,2.36,2.36,2.23,2.25,-0.07,-3.02,20192522
02/07/2020,2.29,2.37,2.26,2.32,0.04,1.75,21382920
01/07/2020,2.17,2.3,2.15,2.28,0.11,5.07,28396018
30/06/2020,2.22,2.25,2.14,2.17,0.02,0.93,44395728
29/06/2020,2.13,2.17,2.09,2.15,-0.04,-1.83,30595239
26/06/2020,2.17,2.23,2.14,2.19,0.07,3.3,33790726
25/06/2020,2.18,2.19,2.1,2.12,-0.14,-6.19,33188930
24/06/2020,2.26,2.3,2.23,2.26,0,0,23882108
23/06/2020,2.2,2.27,2.15,2.26,0.07,3.2,29092968
22/06/2020,2.19,2.245,2.17,2.19,-0.02,-0.9,30534320
19/06/2020,2.33,2.35,2.21,2.21,-0.11,-4.74,82475398
18/06/2020,2.36,2.38,2.29,2.32,-0.06,-2.52,44957166
17/06/2020,2.33,2.38,2.25,2.38,0.07,3.03,52054678
16/06/2020,2.32,2.36,2.27,2.31,0.11,5,43252842
15/06/2020,2.31,2.35,2.19,2.2,-0.09,-3.93,38210310
12/06/2020,2.3,2.34,2.2,2.29,-0.11,-4.58,62250428
11/06/2020,2.5,2.53,2.395,2.4,-0.21,-8.05,69287070
10/06/2020,2.68,2.68,2.6,2.61,-0.12,-4.4,42178717
09/06/2020,2.62,2.77,2.62,2.73,0.22,8.76,58751626
05/06/2020,2.48,2.53,2.45,2.51,0.03,1.21,29618430
04/06/2020,2.49,2.53,2.445,2.48,0.06,2.48,37712232
03/06/2020,2.36,2.43,2.36,2.42,0.11,4.76,33793858
02/06/2020,2.19,2.33,2.16,2.31,0.12,5.48,57130607
01/06/2020,2.15,2.22,2.14,2.19,-0.06,-2.67,48861524
29/05/2020,2.36,2.37,2.23,2.25,-0.13,-5.46,97629466
28/05/2020,2.51,2.53,2.36,2.38,-0.09,-3.64,50852326
27/05/2020,2.48,2.54,2.37,2.47,0.02,0.82,38808078
26/05/2020,2.32,2.46,2.31,2.45,0.13,5.6,31877425
25/05/2020,2.29,2.32,2.23,2.32,0.08,3.57,33638800
22/05/2020,2.29,2.33,2.24,2.24,-0.03,-1.32,19170319
21/05/2020,2.28,2.29,2.19,2.27,0.01,0.44,34002900
20/05/2020,2.2,2.27,2.18,2.26,0.02,0.89,22884371
19/05/2020,2.22,2.27,2.19,2.24,0.16,7.69,51004089
18/05/2020,2.02,2.13,2.02,2.08,0.05,2.46,35325988
15/05/2020,2.06,2.08,1.99,2.03,0.01,0.5,46839640
14/05/2020,2.06,2.08,2.005,2.02,-0.1,-4.72,43804649
13/05/2020,2.13,2.17,2.08,2.12,-0.08,-3.64,36875792
12/05/2020,2.2,2.21,2.14,2.2,-0.08,-3.51,32831080
11/05/2020,2.26,2.32,2.25,2.28,0.08,3.64,34348200
08/05/2020,2.15,2.22,2.11,2.2,0.08,3.77,33296350
07/05/2020,2.1,2.13,2.07,2.12,-0.01,-0.47,25014729
06/05/2020,2.16,2.17,2.09,2.13,-0.05,-2.29,17513732
05/05/2020,2.12,2.22,2.12,2.18,0.07,3.32,27151400
04/05/2020,2.06,2.11,2.03,2.11,0.01,0.48,20478276
01/05/2020,2.25,2.26,2.09,2.1,-0.23,-9.87,41172764
30/04/2020,2.23,2.36,2.18,2.33,0.14,6.39,51617665
29/04/2020,2.1,2.19,2.08,2.19,0.08,3.79,32730368
28/04/2020,2.14,2.2,2.05,2.11,0.02,0.96,33108463
27/04/2020,2.02,2.16,2.015,2.09,0.08,3.98,21857733
24/04/2020,2.02,2.05,1.96,2.01,0,0,27336778
23/04/2020,2.07,2.095,1.975,2.01,-0.07,-3.37,32970654
22/04/2020,2.04,2.1,2,2.08,-0.02,-0.95,36364262
21/04/2020,2.15,2.18,2.07,2.1,-0.05,-2.33,46293291
20/04/2020,2.16,2.19,2.11,2.15,0,0,27090412
17/04/2020,2.18,2.31,2.11,2.15,0.09,4.37,52808034
16/04/2020,2.06,2.09,1.95,2.06,-0.07,-3.29,46701526
15/04/2020,2.11,2.16,2.03,2.13,0.06,2.9,39969320
14/04/2020,2.08,2.1,1.94,2.07,-0.01,-0.48,41498097
09/04/2020,1.95,2.08,1.91,2.08,0.2,10.64,46496112
08/04/2020,1.735,1.97,1.65,1.88,0.13,7.43,45065362
07/04/2020,1.74,1.88,1.702,1.75,0.065,3.86,50312893
06/04/2020,1.625,1.7,1.58,1.685,0.075,4.66,36891620
03/04/2020,1.71,1.71,1.585,1.61,-0.095,-5.57,39750253
02/04/2020,1.68,1.715,1.6,1.705,-0.055,-3.12,39299255
01/04/2020,1.7,1.785,1.68,1.76,0.195,12.46,45306734
