Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,2.32,2.41,2.3,2.38,0.05,2.15,2980704
29/01/2021,2.37,2.38,2.325,2.33,-0.02,-0.85,2413054
28/01/2021,2.32,2.35,2.28,2.35,-0.01,-0.42,3549104
27/01/2021,2.43,2.45,2.36,2.36,-0.04,-1.67,3183864
25/01/2021,2.41,2.43,2.39,2.4,0.01,0.42,1730879
22/01/2021,2.4,2.42,2.37,2.39,-0.01,-0.42,1711011
21/01/2021,2.43,2.43,2.37,2.4,0,0,2602688
20/01/2021,2.4,2.44,2.39,2.4,-0.05,-2.04,2705703
19/01/2021,2.42,2.46,2.405,2.45,0.05,2.08,2093331
18/01/2021,2.41,2.42,2.39,2.4,-0.01,-0.41,1564526
15/01/2021,2.38,2.44,2.38,2.41,0.01,0.42,1894479
14/01/2021,2.39,2.43,2.375,2.4,0.02,0.84,2002187
13/01/2021,2.38,2.4,2.33,2.38,0,0,3770449
12/01/2021,2.41,2.43,2.38,2.38,-0.05,-2.06,2432971
11/01/2021,2.44,2.465,2.41,2.43,-0.03,-1.22,1800143
08/01/2021,2.45,2.48,2.43,2.46,0,0,2057290
07/01/2021,2.5,2.5,2.43,2.46,-0.01,-0.4,2790450
06/01/2021,2.44,2.48,2.43,2.47,0,0,2609553
05/01/2021,2.45,2.47,2.43,2.47,-0.04,-1.59,3223818
04/01/2021,2.55,2.57,2.49,2.51,-0.01,-0.4,2585032
31/12/2020,2.58,2.59,2.52,2.52,-0.06,-2.33,1571896
30/12/2020,2.52,2.58,2.52,2.58,-0.04,-1.53,2227391
29/12/2020,2.62,2.63,2.59,2.62,0.04,1.55,1648554
24/12/2020,2.55,2.6,2.55,2.58,0.01,0.39,983385
23/12/2020,2.59,2.62,2.56,2.57,0.02,0.78,2256611
22/12/2020,2.51,2.565,2.51,2.55,0.03,1.19,3457846
21/12/2020,2.5,2.54,2.49,2.52,-0.03,-1.18,4179268
18/12/2020,2.62,2.64,2.54,2.55,-0.08,-3.04,6164499
17/12/2020,2.62,2.64,2.61,2.63,0.02,0.77,3355698
16/12/2020,2.7,2.7,2.6,2.61,-0.07,-2.61,4153871
15/12/2020,2.59,2.69,2.59,2.68,0.08,3.08,4902418
14/12/2020,2.58,2.64,2.58,2.6,0.03,1.17,3095380
11/12/2020,2.56,2.59,2.55,2.57,-0.02,-0.77,3209068
10/12/2020,2.55,2.61,2.54,2.59,0.03,1.17,4848741
09/12/2020,2.55,2.59,2.55,2.56,-0.01,-0.39,4812257
08/12/2020,2.56,2.6,2.55,2.57,0,0,4982901
07/12/2020,2.59,2.6,2.55,2.57,0.01,0.39,2396491
04/12/2020,2.56,2.59,2.55,2.56,0.01,0.39,3636420
03/12/2020,2.56,2.59,2.53,2.55,-0.05,-1.92,3750262
02/12/2020,2.59,2.6,2.55,2.6,0,0,3346888
01/12/2020,2.55,2.64,2.54,2.6,0.04,1.56,4777238
30/11/2020,2.61,2.61,2.545,2.56,-0.02,-0.78,4160829
27/11/2020,2.55,2.59,2.55,2.58,0.01,0.39,906945
