Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,3.98,4.03,3.93,4,0,0,1643052
29/01/2021,4.06,4.07,3.97,4,0.05,1.27,3020468
28/01/2021,3.99,4.01,3.925,3.95,-0.09,-2.23,1906285
27/01/2021,4.07,4.1,4.03,4.04,-0.03,-0.74,1963381
25/01/2021,4.07,4.08,4.04,4.07,0,0,1727720
22/01/2021,4.03,4.1,4.02,4.07,-0.01,-0.25,2127440
21/01/2021,4.07,4.11,4.055,4.08,0.01,0.25,1209916
20/01/2021,4.02,4.1,4.02,4.07,0.04,0.99,1110832
19/01/2021,4.04,4.04,4,4.03,0.03,0.75,981555
18/01/2021,3.96,4.01,3.95,4,0.02,0.5,1329467
15/01/2021,3.97,4.035,3.96,3.98,-0.02,-0.5,1390823
14/01/2021,3.99,4.04,3.98,4,0.01,0.25,1184152
13/01/2021,3.97,4.02,3.94,3.99,-0.02,-0.5,1888670
12/01/2021,4.01,4.04,3.99,4.01,0.02,0.5,1603871
11/01/2021,3.95,4.04,3.95,3.99,-0.05,-1.24,1214233
08/01/2021,4.04,4.04,4.005,4.04,0.01,0.25,1597402
07/01/2021,4.1,4.1,4.03,4.03,0.05,1.26,1673059
06/01/2021,3.93,3.995,3.93,3.98,-0.02,-0.5,1785418
05/01/2021,3.94,4.005,3.92,4,-0.04,-0.99,1735767
04/01/2021,4.01,4.06,3.99,4.04,0.05,1.25,1154555
31/12/2020,3.96,4.04,3.96,3.99,-0.04,-0.99,747582
30/12/2020,3.97,4.03,3.93,4.03,0.02,0.5,1651045
29/12/2020,4.03,4.04,3.97,4.01,0.02,0.5,1140223
24/12/2020,4.1,4.1,3.97,3.99,-0.08,-1.97,1048999
23/12/2020,4.01,4.11,3.98,4.07,0.07,1.75,2202234
22/12/2020,3.98,4.04,3.94,4,-0.03,-0.74,2291491
21/12/2020,3.94,4.04,3.935,4.03,0.05,1.26,2215214
18/12/2020,3.99,4.03,3.95,3.98,-0.03,-0.75,9388791
17/12/2020,3.93,4.04,3.93,4.01,0.11,2.82,3806744
16/12/2020,3.89,3.96,3.85,3.9,-0.01,-0.26,2481735
15/12/2020,3.85,3.96,3.85,3.91,0,0,2535373
14/12/2020,3.92,3.99,3.89,3.91,0.02,0.51,2198253
11/12/2020,3.91,3.93,3.86,3.89,-0.06,-1.52,1945782
10/12/2020,3.88,3.97,3.86,3.95,0.06,1.54,2232079
09/12/2020,3.87,3.94,3.85,3.89,0.04,1.04,3408501
08/12/2020,3.79,3.89,3.78,3.85,0.03,0.79,2343994
07/12/2020,3.88,3.88,3.785,3.82,-0.06,-1.55,2291306
04/12/2020,3.86,3.91,3.86,3.88,0.01,0.26,988321
03/12/2020,3.9,3.94,3.87,3.87,-0.04,-1.02,1249222
02/12/2020,3.86,3.95,3.855,3.91,-0.01,-0.26,2936063
01/12/2020,3.85,3.95,3.85,3.92,0.06,1.55,3076668
30/11/2020,3.93,3.93,3.85,3.86,-0.03,-0.77,2576032
27/11/2020,3.92,3.93,3.86,3.89,-0.1,-2.51,1880193
26/11/2020,3.92,4.02,3.91,3.99,0.08,2.05,2235443
25/11/2020,3.85,3.93,3.83,3.91,0.06,1.56,2400779
24/11/2020,3.86,3.88,3.81,3.85,-0.01,-0.26,1919570
23/11/2020,3.9,3.92,3.86,3.86,-0.04,-1.03,1327385
20/11/2020,3.92,3.95,3.88,3.9,-0.02,-0.51,2608513
19/11/2020,3.87,3.97,3.85,3.92,0.04,1.03,2366249
18/11/2020,3.86,3.94,3.83,3.88,0.07,1.84,4196351
17/11/2020,3.84,3.88,3.79,3.81,-0.05,-1.3,5283843
16/11/2020,3.83,3.86,3.83,3.86,0.03,0.78,154003
13/11/2020,3.8,3.85,3.8,3.83,0.02,0.52,2501122
12/11/2020,3.85,3.85,3.775,3.81,-0.06,-1.55,2408518
11/11/2020,3.83,3.87,3.775,3.87,0.07,1.84,2728243
10/11/2020,3.95,3.96,3.79,3.8,0.02,0.53,2599403
09/11/2020,3.77,3.78,3.73,3.78,0.06,1.61,2363229
06/11/2020,3.7,3.75,3.66,3.72,0.03,0.81,3038364
05/11/2020,3.64,3.73,3.62,3.69,0.04,1.1,2546795
04/11/2020,3.59,3.66,3.55,3.65,0.06,1.67,4457095
03/11/2020,3.52,3.6,3.52,3.59,0.04,1.13,2459514
02/11/2020,3.59,3.59,3.52,3.55,-0.01,-0.28,2434417
30/10/2020,3.6,3.6,3.54,3.56,-0.03,-0.84,4021769
29/10/2020,3.52,3.6,3.51,3.59,0.03,0.84,3834500
28/10/2020,3.62,3.64,3.545,3.56,0.18,5.33,4374512
27/10/2020,3.39,3.44,3.33,3.38,0,0,2343090
26/10/2020,3.37,3.415,3.36,3.38,0.02,0.6,1233438
23/10/2020,3.38,3.41,3.34,3.36,-0.05,-1.47,1113071
22/10/2020,3.39,3.41,3.32,3.41,-0.03,-0.87,2368748
21/10/2020,3.46,3.49,3.42,3.44,-0.02,-0.58,2122202
20/10/2020,3.46,3.55,3.43,3.46,0,0,3587940
19/10/2020,3.51,3.51,3.4,3.46,-0.03,-0.86,2493560
16/10/2020,3.56,3.56,3.46,3.49,-0.05,-1.41,1495132
15/10/2020,3.57,3.59,3.54,3.54,-0.02,-0.56,1969170
14/10/2020,3.49,3.57,3.48,3.56,0.06,1.71,2235486
13/10/2020,3.47,3.52,3.45,3.5,0.06,1.74,2221707
12/10/2020,3.4,3.45,3.4,3.44,0.05,1.47,1906449
09/10/2020,3.37,3.4,3.36,3.39,0.03,0.89,2476809
08/10/2020,3.34,3.4,3.32,3.36,0.02,0.6,2103742
07/10/2020,3.31,3.36,3.29,3.34,0.03,0.91,2447921
06/10/2020,3.31,3.33,3.22,3.31,0,0,2510370
05/10/2020,3.25,3.355,3.215,3.31,0.15,4.75,2477921
02/10/2020,3.18,3.23,3.14,3.16,-0.05,-1.56,3640826
01/10/2020,3.24,3.27,3.2,3.21,0.01,0.31,2072119
30/09/2020,3.23,3.26,3.19,3.2,-0.08,-2.44,3351169
29/09/2020,3.3,3.33,3.25,3.28,0,0,1408599
28/09/2020,3.27,3.31,3.27,3.28,-0.01,-0.3,1118150
25/09/2020,3.29,3.335,3.27,3.29,0,0,1563123
