Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
03/02/2021,29.13,29.81,29.13,29.61,0.93,3.24,1253713
02/02/2021,27.41,28.855,27.41,28.68,0.87,3.13,1038409
01/02/2021,28.28,28.4,27.4,27.81,-0.24,-0.86,1318146
29/01/2021,28.69,28.88,27.96,28.05,0.04,0.14,1023136
28/01/2021,27.71,28.34,27.71,28.01,-1.07,-3.68,1249447
27/01/2021,28.59,29.56,28.53,29.08,0.25,0.87,1182321
25/01/2021,28.65,28.88,28.52,28.83,0.36,1.26,364443
22/01/2021,28.91,29,28.425,28.47,-0.35,-1.21,3157694
21/01/2021,28.15,29.09,28.15,28.82,1.05,3.78,1780254
20/01/2021,27.5,27.99,27.5,27.77,-0.03,-0.11,864439
19/01/2021,27.82,28.065,27.68,27.8,0.11,0.4,578331
18/01/2021,27,27.8,27,27.69,0.59,2.18,585481
15/01/2021,27.08,27.36,26.82,27.1,-0.2,-0.73,761189
14/01/2021,27.22,27.82,27.14,27.3,-0.26,-0.94,1148776
13/01/2021,27.45,27.84,27.25,27.56,-0.15,-0.54,832130
12/01/2021,27.87,28.15,27.56,27.71,-0.16,-0.57,874358
11/01/2021,27.8,28.43,27.8,27.87,0.08,0.29,810652
08/01/2021,27.52,27.95,27.47,27.79,0,0,780320
07/01/2021,28.11,28.25,27.56,27.79,-0.44,-1.56,902009
06/01/2021,28.87,29.04,28.1,28.23,-0.91,-3.12,1085020
05/01/2021,29,29.35,28.96,29.14,-0.13,-0.44,668099
04/01/2021,28.75,29.27,28.71,29.27,0.74,2.59,1898552
31/12/2020,28.62,28.875,28.53,28.53,-0.17,-0.59,614127
30/12/2020,28.71,29.01,28.56,28.7,-0.11,-0.38,351749
29/12/2020,28.88,29.03,28.49,28.81,0.27,0.95,5665953
24/12/2020,28.8,28.87,28.37,28.54,-0.05,-0.17,286048
23/12/2020,28.44,28.77,28.33,28.59,0.33,1.17,794131
22/12/2020,28.51,28.79,28.13,28.26,-0.61,-2.11,984386
21/12/2020,28.72,29.04,28.36,28.87,0.02,0.07,1294091
18/12/2020,28.4,28.85,28.08,28.85,0.41,1.44,2342434
17/12/2020,27.96,28.46,27.86,28.44,0.94,3.42,1615983
16/12/2020,27.05,27.68,26.89,27.5,0.44,1.63,1388792
15/12/2020,26.4,27.11,26.32,27.06,0.37,1.39,1137187
14/12/2020,27.1,27.24,26.61,26.69,-0.07,-0.26,1007748
11/12/2020,26.71,27.07,26.695,26.76,-0.06,-0.22,1966943
10/12/2020,26.9,27.09,26.7,26.82,-0.39,-1.43,1169006
09/12/2020,26.79,27.36,26.61,27.21,0.51,1.91,1311565
08/12/2020,25.86,26.79,25.79,26.7,0.75,2.89,1229116
07/12/2020,26.3,26.38,25.77,25.95,-0.03,-0.12,809843
04/12/2020,25.92,26.3,25.71,25.98,0.06,0.23,1789286
03/12/2020,26.02,26.28,25.74,25.92,-0.31,-1.18,1445596
02/12/2020,26.5,26.5,26.01,26.23,-0.25,-0.94,1558724
01/12/2020,26.45,26.77,26.16,26.48,0.43,1.65,1374156
30/11/2020,26.46,26.59,25.98,26.05,-0.01,-0.04,2953738
27/11/2020,26.03,26.31,25.81,26.06,0.1,0.39,562308
26/11/2020,26.24,26.44,25.7,25.96,-0.22,-0.84,1289770
25/11/2020,26.31,26.5,26.05,26.18,0,0,1579914
24/11/2020,25.69,26.425,25.69,26.18,0.53,2.07,1412974
23/11/2020,25.51,25.82,25.34,25.65,0.1,0.39,2161476
20/11/2020,24.91,25.83,24.9,25.55,0.12,0.47,1658446
19/11/2020,25.53,26.45,25.15,25.43,-0.26,-1.01,2876105
18/11/2020,25.93,25.93,25.42,25.69,-0.12,-0.46,2341062
17/11/2020,25.88,26.07,25.5,25.81,0.37,1.45,2093584
16/11/2020,25.17,25.57,25.08,25.44,0.54,2.17,97063
13/11/2020,24.29,25.02,24.16,24.9,0.15,0.61,1342416
12/11/2020,24.91,25.07,24.62,24.75,-0.01,-0.04,1800597
11/11/2020,23.89,24.86,23.58,24.76,1,4.21,1858833
10/11/2020,23.72,24.17,23.52,23.76,0.56,2.41,1508285
09/11/2020,22.22,23.2,22.2,23.2,1.05,4.74,1412962
06/11/2020,22.5,22.745,22.01,22.15,-0.13,-0.58,963454
05/11/2020,22.33,22.86,22.14,22.28,0.38,1.74,2012475
04/11/2020,21.15,21.91,21.15,21.9,0.76,3.6,2296544
