Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,4.76,4.86,4.64,4.81,0.03,0.63,1145272
29/01/2021,4.97,4.975,4.73,4.78,0.02,0.42,851064
28/01/2021,4.87,4.87,4.64,4.76,-0.18,-3.64,1653402
27/01/2021,5.1,5.1,4.915,4.94,-0.17,-3.33,1141021
25/01/2021,5.06,5.155,4.98,5.11,0.05,0.99,841633
22/01/2021,5.11,5.14,5.025,5.06,-0.1,-1.94,638233
21/01/2021,5.2,5.22,5.09,5.16,0.02,0.39,795210
20/01/2021,5.1,5.155,5.05,5.14,0.07,1.38,1207178
19/01/2021,5.04,5.17,5,5.07,0.02,0.4,1230949
18/01/2021,5.2,5.28,5.02,5.05,-0.2,-3.81,1109972
15/01/2021,5.35,5.37,5.25,5.25,-0.07,-1.32,698109
14/01/2021,5.38,5.4,5.22,5.32,-0.1,-1.85,852815
13/01/2021,5.52,5.58,5.38,5.42,-0.03,-0.55,938974
12/01/2021,5.52,5.61,5.45,5.45,-0.07,-1.27,659231
11/01/2021,5.7,5.7,5.52,5.52,-0.16,-2.82,762401
08/01/2021,5.84,5.84,5.66,5.68,-0.12,-2.07,960875
07/01/2021,5.73,5.84,5.65,5.8,0.19,3.39,1794173
06/01/2021,5.66,5.67,5.52,5.61,-0.01,-0.18,1333952
05/01/2021,5.44,5.69,5.44,5.62,0.19,3.5,1605482
04/01/2021,5.44,5.44,5.34,5.43,0.08,1.5,578848
31/12/2020,5.43,5.45,5.35,5.35,-0.08,-1.47,315221
30/12/2020,5.34,5.43,5.27,5.43,0.08,1.5,586514
29/12/2020,5.36,5.43,5.325,5.35,0.03,0.56,506626
24/12/2020,5.35,5.37,5.31,5.32,0.03,0.57,267539
23/12/2020,5.4,5.44,5.26,5.29,-0.08,-1.49,634617
22/12/2020,5.43,5.45,5.35,5.37,-0.1,-1.83,1459002
21/12/2020,5.37,5.5,5.35,5.47,0.14,2.63,948663
18/12/2020,5.38,5.43,5.17,5.33,0.01,0.19,2718658
17/12/2020,5.25,5.34,5.2,5.32,0.06,1.14,1679826
16/12/2020,5.47,5.47,5.21,5.26,-0.1,-1.87,2053465
15/12/2020,5.52,5.52,5.33,5.36,-0.2,-3.6,935671
14/12/2020,5.56,5.64,5.515,5.56,-0.03,-0.54,968607
11/12/2020,5.74,5.8,5.53,5.59,-0.07,-1.24,1857690
10/12/2020,5.79,5.79,5.6,5.66,-0.14,-2.41,2170091
09/12/2020,5.98,5.98,5.74,5.8,-0.05,-0.85,1908996
08/12/2020,5.82,5.98,5.79,5.85,0.08,1.39,2484528
07/12/2020,5.8,5.95,5.68,5.77,0.06,1.05,2670951
04/12/2020,5.7,5.85,5.57,5.71,0.03,0.53,2233752
03/12/2020,5.46,5.91,5.45,5.68,0.28,5.19,4706245
02/12/2020,5,5.44,4.98,5.4,0.59,12.27,4741617
01/12/2020,4.46,5.08,4.455,4.81,0.43,9.82,6274508
30/11/2020,4.5,4.5,4.375,4.38,-0.06,-1.35,1525657
27/11/2020,4.41,4.51,4.39,4.44,0.05,1.14,705467
26/11/2020,4.44,4.47,4.34,4.39,-0.06,-1.35,1060203
25/11/2020,4.5,4.51,4.36,4.45,-0.01,-0.22,1542777
24/11/2020,4.44,4.51,4.44,4.46,0.03,0.68,1445117
23/11/2020,4.43,4.51,4.4,4.43,0.06,1.37,1384260
20/11/2020,4.24,4.4,4.23,4.37,0.17,4.05,1783520
19/11/2020,4.3,4.3,4.15,4.2,-0.13,-3,2511108
18/11/2020,4.49,4.51,4.31,4.33,-0.15,-3.35,1403803
17/11/2020,4.42,4.51,4.4,4.48,0.12,2.75,2316686
16/11/2020,4.32,4.37,4.31,4.36,0.09,2.11,121414
13/11/2020,4.28,4.3,4.22,4.27,0,0,1491623
12/11/2020,4.38,4.39,4.22,4.27,-0.11,-2.51,1152051
11/11/2020,4.42,4.45,4.33,4.38,0.01,0.23,1788754
10/11/2020,4.46,4.5,4.35,4.37,-0.03,-0.68,914969
09/11/2020,4.39,4.45,4.37,4.4,0.09,2.09,1057088
06/11/2020,4.32,4.35,4.26,4.31,0.07,1.65,810506
05/11/2020,4.23,4.24,4.16,4.24,-0.02,-0.47,848473
04/11/2020,4.21,4.3,4.17,4.26,0.13,3.15,2157187
03/11/2020,4.42,4.42,4.04,4.13,-0.31,-6.98,3910375
02/11/2020,4.42,4.52,4.395,4.44,0.02,0.45,1199831
30/10/2020,4.3,4.5,4.25,4.42,0.15,3.51,1452194
29/10/2020,4.2,4.31,4.13,4.27,-0.02,-0.47,1298594
28/10/2020,4.29,4.29,4.19,4.29,0.01,0.23,1028136
27/10/2020,4.41,4.42,4.255,4.28,-0.21,-4.68,1359773
26/10/2020,4.63,4.63,4.43,4.49,-0.03,-0.66,1415692
23/10/2020,4.63,4.65,4.44,4.52,-0.13,-2.8,1729232
22/10/2020,4.56,4.69,4.54,4.65,0.05,1.09,1183305
21/10/2020,4.46,4.63,4.42,4.6,0.2,4.55,1210266
20/10/2020,4.49,4.5,4.38,4.4,-0.1,-2.22,926397
19/10/2020,4.53,4.54,4.46,4.5,0.06,1.35,703174
16/10/2020,4.42,4.47,4.39,4.44,0.02,0.45,624034
15/10/2020,4.44,4.57,4.42,4.42,0.06,1.38,1411931
14/10/2020,4.36,4.42,4.34,4.36,-0.01,-0.23,794919
13/10/2020,4.36,4.39,4.29,4.37,0,0,468523
12/10/2020,4.43,4.45,4.34,4.37,-0.01,-0.23,490090
09/10/2020,4.39,4.42,4.3,4.38,0.04,0.92,940565
08/10/2020,4.33,4.48,4.33,4.34,0.09,2.12,985823
07/10/2020,4.24,4.26,4.14,4.25,0.04,0.95,830582
06/10/2020,4.15,4.27,4.15,4.21,0.08,1.94,639956
05/10/2020,4.09,4.2,4.08,4.13,0.16,4.03,867085
02/10/2020,4.06,4.1,3.97,3.97,-0.14,-3.41,1340476
01/10/2020,4.1,4.22,4.09,4.11,0.03,0.74,840712
30/09/2020,4.12,4.17,4.05,4.08,-0.11,-2.63,1403074
29/09/2020,4.19,4.23,4.15,4.19,0.01,0.24,1233787
28/09/2020,4.19,4.21,4.14,4.18,-0.03,-0.71,689029
25/09/2020,4.17,4.26,4.17,4.21,0.03,0.72,1053812
24/09/2020,4.1,4.21,4.09,4.18,-0.02,-0.48,932800
23/09/2020,4.21,4.28,4.15,4.2,0,0,1506217
22/09/2020,4.32,4.33,4.2,4.2,-0.2,-4.55,952077
21/09/2020,4.42,4.49,4.39,4.4,-0.03,-0.68,869867
18/09/2020,4.5,4.515,4.38,4.43,-0.07,-1.56,1593777
17/09/2020,4.62,4.62,4.5,4.5,-0.14,-3.02,784057
16/09/2020,4.68,4.7,4.52,4.64,-0.03,-0.64,1111892
15/09/2020,4.68,4.74,4.59,4.67,-0.01,-0.21,1316094
14/09/2020,4.51,4.69,4.51,4.68,0.11,2.41,1274868
11/09/2020,4.7,4.74,4.57,4.57,-0.19,-3.99,1565886
10/09/2020,4.79,4.83,4.73,4.76,0.06,1.28,1155378
09/09/2020,4.82,4.85,4.68,4.7,-0.14,-2.89,1175516
08/09/2020,4.85,4.92,4.81,4.84,0.03,0.62,692006
07/09/2020,4.79,4.85,4.73,4.81,0.12,2.56,698512
04/09/2020,4.68,4.74,4.67,4.69,-0.13,-2.7,884493
03/09/2020,4.75,4.88,4.75,4.82,0.06,1.26,942971
02/09/2020,4.68,4.785,4.65,4.76,0.13,2.81,1419055
01/09/2020,4.68,4.71,4.555,4.63,-0.04,-0.86,1184713
31/08/2020,4.67,4.75,4.65,4.67,0.03,0.65,1191099
28/08/2020,4.76,4.77,4.62,4.64,-0.19,-3.93,1391673
27/08/2020,4.87,4.98,4.745,4.83,-0.03,-0.62,1627095
26/08/2020,4.93,4.98,4.82,4.86,-0.12,-2.41,852929
25/08/2020,4.94,5.08,4.93,4.98,0.05,1.01,1254500
24/08/2020,4.8,5.03,4.8,4.93,0.07,1.44,1196881
21/08/2020,4.96,5.005,4.84,4.86,-0.14,-2.8,1341971
20/08/2020,4.9,5.07,4.89,5,0.1,2.04,939223
19/08/2020,4.97,5.02,4.9,4.9,-0.08,-1.61,719849
18/08/2020,5.01,5.065,4.905,4.98,0,0,1246137
17/08/2020,4.93,5.05,4.885,4.98,0,0,942275
14/08/2020,5.04,5.14,4.94,4.98,-0.06,-1.19,962338
13/08/2020,4.96,5.11,4.96,5.04,0.11,2.23,1290049
12/08/2020,5,5.06,4.86,4.93,-0.19,-3.71,1729764
11/08/2020,5.15,5.26,5.08,5.12,0.03,0.59,1279889
10/08/2020,5.16,5.18,5.03,5.09,-0.04,-0.78,2341795
07/08/2020,5.14,5.2,5.1,5.13,-0.05,-0.97,617388
