Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,12.2,12.45,12.05,12.37,0.14,1.14,1384463
29/01/2021,12.3,13.13,12.16,12.23,-0.48,-3.78,1726953
28/01/2021,12.74,12.9,12.4,12.71,-0.42,-3.2,1183981
27/01/2021,13.75,13.79,13.04,13.13,-0.63,-4.58,1225611
25/01/2021,13.7,13.85,13.69,13.76,0.06,0.44,548738
22/01/2021,13.75,13.8,13.54,13.7,-0.06,-0.44,1078772
21/01/2021,13.59,13.84,13.5,13.76,0.08,0.58,1170571
20/01/2021,13.9,14.06,13.57,13.68,0.21,1.56,994708
19/01/2021,13.61,13.75,13.18,13.47,0.03,0.22,874739
18/01/2021,13.7,13.735,13.27,13.44,-0.39,-2.82,562519
15/01/2021,13.82,13.97,13.72,13.83,-0.02,-0.14,733637
14/01/2021,13.86,14.06,13.65,13.85,-0.01,-0.07,912558
13/01/2021,14.16,14.38,13.75,13.86,-0.3,-2.12,1488998
12/01/2021,14.35,14.44,14.05,14.16,-0.11,-0.77,1268238
11/01/2021,14.23,14.5,14.02,14.27,0.08,0.56,897544
08/01/2021,14.27,14.48,13.95,14.19,0.05,0.35,1026066
07/01/2021,13.76,14.2,13.73,14.14,0.85,6.4,1264596
06/01/2021,13.4,13.685,13.2,13.29,-0.19,-1.41,1750835
05/01/2021,13.29,13.67,13.26,13.48,-0.07,-0.52,669654
04/01/2021,13.5,13.64,13.4,13.55,0.1,0.74,1123771
31/12/2020,13.52,13.79,13.45,13.45,0.13,0.98,1161625
30/12/2020,13.07,13.46,13.02,13.32,0.32,2.46,1729288
29/12/2020,12.91,13.11,12.9,13,0.2,1.56,634742
24/12/2020,12.5,12.83,12.46,12.8,0.3,2.4,526086
23/12/2020,12.52,12.59,12.42,12.5,-0.01,-0.08,322978
22/12/2020,12.47,12.69,12.46,12.51,-0.11,-0.87,561790
21/12/2020,12.62,12.88,12.47,12.62,0.04,0.32,883746
18/12/2020,12.4,12.74,12.22,12.58,-0.2,-1.56,1355516
17/12/2020,12.69,12.895,12.6,12.78,0.2,1.59,879486
16/12/2020,12.56,12.75,12.38,12.58,0.08,0.64,913853
15/12/2020,12.29,12.63,12.17,12.5,0.06,0.48,1049664
14/12/2020,12.83,12.85,12.37,12.44,-0.35,-2.74,760450
11/12/2020,12.55,13.01,12.55,12.79,0.14,1.11,740387
10/12/2020,12.68,12.91,12.58,12.65,-0.06,-0.47,1119314
09/12/2020,12.94,13.19,12.61,12.71,-0.29,-2.23,2369491
08/12/2020,12.87,13.08,12.85,13,0.15,1.17,2428306
07/12/2020,12.34,12.94,12.34,12.85,0.81,6.73,1920332
04/12/2020,11.65,12.095,11.55,12.04,0.39,3.35,1507166
03/12/2020,11.5,11.69,11.385,11.65,0.05,0.43,640794
02/12/2020,11.19,11.62,11.19,11.6,0.41,3.66,1697993
01/12/2020,11.2,11.26,10.93,11.19,-0.15,-1.32,742102
30/11/2020,11.43,11.45,11.23,11.34,0.05,0.44,1616508
27/11/2020,11.34,11.36,10.93,11.29,0.01,0.09,1246235
26/11/2020,11.14,11.33,11.07,11.28,0.15,1.35,1019969
25/11/2020,11.14,11.34,10.985,11.13,0.14,1.27,1578675
24/11/2020,10.99,11.23,10.9,10.99,0.31,2.9,1867416
23/11/2020,10.7,10.84,10.66,10.68,0.03,0.28,537366
20/11/2020,10.34,10.73,10.34,10.65,-0.04,-0.37,1641177
19/11/2020,10.61,10.82,10.49,10.69,-0.07,-0.65,1743823
18/11/2020,10.89,10.99,10.68,10.76,-0.09,-0.83,849258
17/11/2020,10.87,10.95,10.8,10.85,0,0,1046973
16/11/2020,10.84,10.92,10.75,10.85,0.24,2.26,63498
13/11/2020,10.65,10.7,10.37,10.61,-0.06,-0.56,506346
