Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,4.4,4.55,4.36,4.51,0.06,1.35,6702696
29/01/2021,4.46,4.525,4.44,4.45,-0.05,-1.11,7032693
28/01/2021,4.31,4.52,4.31,4.5,0.07,1.58,12097605
27/01/2021,4.49,4.51,4.41,4.43,-0.06,-1.34,11252778
25/01/2021,4.51,4.53,4.44,4.49,-0.05,-1.1,5802188
22/01/2021,4.38,4.57,4.38,4.54,0.12,2.71,10136403
21/01/2021,4.52,4.52,4.39,4.42,-0.04,-0.9,7280513
20/01/2021,4.37,4.52,4.35,4.46,0.17,3.96,9148896
19/01/2021,4.25,4.29,4.22,4.29,0.06,1.42,5346186
18/01/2021,4.32,4.33,4.22,4.23,-0.12,-2.76,6481222
15/01/2021,4.43,4.43,4.31,4.35,-0.03,-0.68,15378981
14/01/2021,4.22,4.42,4.205,4.38,0.21,5.04,16875985
13/01/2021,4.1,4.17,4.07,4.17,0.05,1.21,8264696
12/01/2021,4.14,4.165,4.11,4.12,-0.01,-0.24,5880444
11/01/2021,4.14,4.2,4.115,4.13,-0.01,-0.24,3632087
08/01/2021,4.19,4.22,4.11,4.14,-0.03,-0.72,7221591
07/01/2021,4.28,4.28,4.165,4.17,-0.06,-1.42,7037201
06/01/2021,4.28,4.4,4.18,4.23,0.01,0.24,7117890
05/01/2021,4.22,4.25,4.175,4.22,-0.06,-1.4,6769276
04/01/2021,4.23,4.29,4.23,4.28,0.1,2.39,5768696
31/12/2020,4.31,4.335,4.18,4.18,-0.16,-3.69,3703355
30/12/2020,4.36,4.36,4.255,4.34,-0.11,-2.47,5683059
29/12/2020,4.47,4.495,4.43,4.45,0.05,1.14,5421301
24/12/2020,4.3,4.4,4.3,4.4,0.09,2.09,3558990
23/12/2020,4.25,4.33,4.23,4.31,0.15,3.61,8144246
22/12/2020,4.21,4.22,4.125,4.16,-0.01,-0.24,6627674
21/12/2020,4.16,4.22,4.16,4.17,-0.07,-1.65,5061957
18/12/2020,4.42,4.435,4.24,4.24,-0.19,-4.29,12694727
17/12/2020,4.51,4.51,4.4,4.43,-0.06,-1.34,10344231
16/12/2020,4.52,4.55,4.48,4.49,0.04,0.9,6624837
15/12/2020,4.44,4.48,4.42,4.45,0.02,0.45,7700081
14/12/2020,4.42,4.47,4.39,4.43,0.06,1.37,7428195
11/12/2020,4.37,4.41,4.34,4.37,-0.02,-0.46,8725148
10/12/2020,4.29,4.41,4.29,4.39,0.07,1.62,13006881
09/12/2020,4.4,4.42,4.29,4.32,-0.09,-2.04,9812186
08/12/2020,4.44,4.47,4.4,4.41,-0.07,-1.56,9312717
07/12/2020,4.57,4.595,4.46,4.48,-0.05,-1.1,8676089
04/12/2020,4.5,4.56,4.49,4.53,0.03,0.67,5343219
03/12/2020,4.47,4.52,4.47,4.5,0.01,0.22,13500853
02/12/2020,4.59,4.6,4.47,4.49,-0.07,-1.54,9704636
01/12/2020,4.54,4.6,4.48,4.56,0.01,0.22,9683226
30/11/2020,4.69,4.71,4.55,4.55,-0.07,-1.52,18245750
27/11/2020,4.56,4.68,4.56,4.62,0.02,0.43,9377607
26/11/2020,4.61,4.72,4.59,4.6,0.04,0.88,9143571
25/11/2020,4.42,4.59,4.42,4.56,0.11,2.47,10571626
24/11/2020,4.5,4.51,4.435,4.45,-0.03,-0.67,7252825
23/11/2020,4.57,4.575,4.47,4.48,-0.05,-1.1,4623045
20/11/2020,4.5,4.57,4.49,4.53,0.03,0.67,7513165
19/11/2020,4.4,4.5,4.38,4.5,0.03,0.67,6983019
18/11/2020,4.49,4.55,4.47,4.47,-0.01,-0.22,12399810
17/11/2020,4.53,4.575,4.44,4.48,-0.04,-0.88,13927221
16/11/2020,4.47,4.53,4.46,4.52,0.12,2.73,457959
13/11/2020,4.3,4.43,4.29,4.4,-0.01,-0.23,9591325
12/11/2020,4.46,4.47,4.35,4.41,-0.01,-0.23,11100501
11/11/2020,4.44,4.51,4.38,4.42,0.05,1.14,15049271
10/11/2020,4.49,4.53,4.32,4.37,-0.02,-0.46,19497336
09/11/2020,4.44,4.455,4.355,4.39,0,0,9293802
06/11/2020,4.35,4.42,4.335,4.39,0.04,0.92,11161811
05/11/2020,4.24,4.38,4.18,4.35,0.14,3.33,11709711
04/11/2020,4.16,4.25,4.13,4.21,-0.01,-0.24,12276994
03/11/2020,4.09,4.26,4.07,4.22,0.23,5.76,11917864
02/11/2020,3.9,4,3.875,3.99,0.14,3.64,7213851
30/10/2020,3.95,3.97,3.83,3.85,-0.07,-1.79,9804825
29/10/2020,3.92,4,3.91,3.92,-0.07,-1.75,10630148
28/10/2020,3.95,4.03,3.92,3.99,-0.01,-0.25,8729277
27/10/2020,3.99,4.02,3.96,4,-0.04,-0.99,9432231
26/10/2020,3.98,4.05,3.975,4.04,0.04,1,5551095
23/10/2020,3.99,4.03,3.96,4,0.01,0.25,5949333
22/10/2020,3.96,4.03,3.95,3.99,-0.02,-0.5,8070694
21/10/2020,4.13,4.17,3.98,4.01,-0.07,-1.72,12966650
20/10/2020,4.14,4.16,4.07,4.08,-0.03,-0.73,10693249
19/10/2020,4.16,4.17,4.09,4.11,0.01,0.24,6462586
16/10/2020,4.12,4.16,4.07,4.1,-0.12,-2.84,21979690
15/10/2020,4.15,4.27,4.13,4.22,0.13,3.18,15545001
14/10/2020,4.07,4.11,4.06,4.09,-0.03,-0.73,8600931
13/10/2020,4.07,4.14,4.04,4.12,0.09,2.23,6983200
12/10/2020,4,4.04,3.99,4.03,-0.01,-0.25,8607248
09/10/2020,4.01,4.07,4.01,4.04,0.02,0.5,8951337
08/10/2020,4.02,4.04,3.97,4.02,-0.01,-0.25,11816971
07/10/2020,4.02,4.07,4.005,4.03,0,0,10692925
06/10/2020,4,4.06,3.94,4.03,-0.04,-0.98,8817044
05/10/2020,3.98,4.1,3.94,4.07,0.19,4.9,8153378
02/10/2020,3.92,3.97,3.86,3.88,-0.04,-1.02,12666364
01/10/2020,3.8,3.96,3.8,3.92,0.14,3.7,14634625
30/09/2020,3.8,3.81,3.75,3.78,-0.03,-0.79,14382502
29/09/2020,3.91,3.97,3.78,3.81,-0.05,-1.3,10081658
28/09/2020,3.7,3.88,3.69,3.86,0.15,4.04,10844259
25/09/2020,3.71,3.73,3.67,3.71,0.08,2.2,16466511
24/09/2020,3.62,3.65,3.59,3.63,-0.03,-0.82,14199041
23/09/2020,3.67,3.67,3.61,3.66,0.03,0.83,19197431
22/09/2020,3.63,3.64,3.56,3.63,0,0,14343690
21/09/2020,3.62,3.67,3.59,3.63,-0.01,-0.27,10633067
18/09/2020,3.7,3.72,3.62,3.64,-0.07,-1.89,17870210
17/09/2020,3.74,3.77,3.7,3.71,-0.02,-0.54,14932623
16/09/2020,3.75,3.765,3.69,3.73,-0.01,-0.27,15631901
15/09/2020,3.67,3.77,3.65,3.74,0.13,3.6,12184705
14/09/2020,3.65,3.66,3.6,3.61,0,0,8032227
11/09/2020,3.54,3.64,3.53,3.61,0,0,10180523
10/09/2020,3.66,3.71,3.57,3.61,-0.03,-0.82,12331836
09/09/2020,3.61,3.67,3.575,3.64,-0.07,-1.89,15873011
08/09/2020,3.66,3.74,3.66,3.71,0.08,2.2,11313290
07/09/2020,3.62,3.66,3.58,3.63,-0.04,-1.09,10655462
04/09/2020,3.71,3.73,3.65,3.67,-0.18,-4.68,12279988
03/09/2020,3.89,3.9,3.83,3.85,0,0,12415010
02/09/2020,3.83,3.865,3.78,3.85,0.03,0.79,9561813
01/09/2020,3.9,3.92,3.82,3.82,-0.14,-3.54,16943709
31/08/2020,3.94,3.99,3.9,3.96,0.06,1.54,13225497
28/08/2020,3.83,3.94,3.83,3.9,0.04,1.04,10371895
27/08/2020,3.91,3.93,3.84,3.86,-0.06,-1.53,15006608
26/08/2020,3.78,3.95,3.76,3.92,0.06,1.55,15748940
25/08/2020,3.69,3.89,3.67,3.86,0.23,6.34,23066214
24/08/2020,3.61,3.68,3.58,3.63,0.01,0.28,18427986
21/08/2020,3.49,3.63,3.48,3.62,0.12,3.43,8925615
20/08/2020,3.41,3.5,3.38,3.5,0.08,2.34,13871538
19/08/2020,3.42,3.505,3.38,3.42,-0.02,-0.58,10071922
18/08/2020,3.46,3.465,3.39,3.44,-0.01,-0.29,8571483
17/08/2020,3.45,3.48,3.42,3.45,-0.04,-1.15,7960007
14/08/2020,3.53,3.54,3.46,3.49,-0.06,-1.69,9119120
13/08/2020,3.55,3.57,3.5,3.55,0.03,0.85,12494012
12/08/2020,3.51,3.56,3.47,3.52,0.05,1.44,12298140
11/08/2020,3.36,3.52,3.36,3.47,0.12,3.58,11466405
10/08/2020,3.36,3.36,3.29,3.35,0.01,0.3,7722302
07/08/2020,3.38,3.38,3.3,3.34,-0.04,-1.18,6891717
06/08/2020,3.34,3.38,3.33,3.38,0.04,1.2,11193454
05/08/2020,3.36,3.44,3.3,3.34,0.01,0.3,12937240
04/08/2020,3.23,3.35,3.23,3.33,0.13,4.06,11447997
03/08/2020,3.16,3.235,3.12,3.2,0.01,0.31,8567321
31/07/2020,3.2,3.25,3.14,3.19,-0.03,-0.93,9053570
30/07/2020,3.29,3.31,3.2,3.22,-0.06,-1.83,8612664
29/07/2020,3.31,3.36,3.255,3.28,-0.03,-0.91,8267475
28/07/2020,3.3,3.39,3.27,3.31,0.03,0.91,10864725
27/07/2020,3.2,3.28,3.18,3.28,0.05,1.55,7860397
24/07/2020,3.32,3.32,3.19,3.23,-0.12,-3.58,9324757
23/07/2020,3.25,3.39,3.25,3.35,0.12,3.72,11347425
22/07/2020,3.21,3.295,3.2,3.23,-0.01,-0.31,10479515
21/07/2020,3.14,3.24,3.12,3.24,0.06,1.89,14018754
20/07/2020,3.22,3.23,3.16,3.18,-0.06,-1.85,9169155
17/07/2020,3.28,3.3,3.22,3.24,-0.03,-0.92,8466737
16/07/2020,3.36,3.36,3.27,3.27,-0.04,-1.21,12341181
15/07/2020,3.28,3.33,3.26,3.31,0.06,1.85,9300582
14/07/2020,3.27,3.32,3.21,3.25,-0.02,-0.61,8992876
13/07/2020,3.25,3.285,3.2,3.27,0.05,1.55,12084852
10/07/2020,3.32,3.34,3.18,3.22,-0.08,-2.42,8459131
09/07/2020,3.34,3.38,3.26,3.3,-0.01,-0.3,10056314
08/07/2020,3.35,3.4,3.3,3.31,-0.07,-2.07,12424834
07/07/2020,3.53,3.56,3.32,3.38,-0.1,-2.87,12300143
06/07/2020,3.48,3.56,3.45,3.48,0,0,9634016
03/07/2020,3.59,3.59,3.45,3.48,-0.05,-1.42,7465234
02/07/2020,3.52,3.58,3.44,3.53,0.07,2.02,16955584
01/07/2020,3.32,3.49,3.31,3.46,0.15,4.53,14888346
30/06/2020,3.45,3.5,3.3,3.31,-0.03,-0.9,21707998
29/06/2020,3.39,3.43,3.27,3.34,-0.21,-5.92,15228635
26/06/2020,3.52,3.6,3.52,3.55,0.1,2.9,16215988
25/06/2020,3.56,3.58,3.45,3.45,-0.17,-4.7,14726705
24/06/2020,3.59,3.66,3.565,3.62,0.01,0.28,19581092
23/06/2020,3.57,3.695,3.52,3.61,0.09,2.56,12364115
22/06/2020,3.54,3.605,3.48,3.52,-0.1,-2.76,15872418
19/06/2020,3.74,3.74,3.62,3.62,-0.08,-2.16,26399275
18/06/2020,3.76,3.79,3.645,3.7,-0.08,-2.12,26792255
17/06/2020,3.7,3.805,3.62,3.78,0.1,2.72,26613267
16/06/2020,3.59,3.73,3.58,3.68,0.18,5.14,18839719
15/06/2020,3.62,3.7,3.49,3.5,-0.11,-3.05,30176052
12/06/2020,3.56,3.68,3.49,3.61,-0.06,-1.63,20406050
11/06/2020,3.75,3.85,3.645,3.67,-0.24,-6.14,21696740
10/06/2020,3.97,4.02,3.87,3.91,-0.18,-4.4,20561566
09/06/2020,4.13,4.21,4,4.09,0.13,3.28,21949626
05/06/2020,3.79,3.985,3.79,3.96,0.12,3.12,17109336
04/06/2020,3.85,3.89,3.73,3.84,0.14,3.78,19266368
03/06/2020,3.57,3.71,3.51,3.7,0.2,5.71,16950964
02/06/2020,3.65,3.66,3.47,3.5,-0.03,-0.85,19033398
01/06/2020,3.43,3.55,3.38,3.53,-0.04,-1.12,17450980
29/05/2020,3.61,3.64,3.54,3.57,-0.04,-1.11,25473908
28/05/2020,3.6,3.685,3.575,3.61,0.01,0.28,43138398
27/05/2020,3.48,3.67,3.32,3.6,0.17,4.96,45773392
26/05/2020,3.24,3.49,3.23,3.43,0.23,7.19,16294575
25/05/2020,3.15,3.22,3.085,3.2,0.13,4.23,11472695
22/05/2020,3.08,3.17,3.06,3.07,0.04,1.32,13475662
21/05/2020,3.07,3.08,2.95,3.03,0.02,0.66,13412506
20/05/2020,2.91,3.04,2.88,3.01,0.02,0.67,11084219
19/05/2020,2.94,3,2.89,2.99,0.17,6.03,15766443
18/05/2020,2.75,2.89,2.73,2.82,0.12,4.44,12596442
15/05/2020,2.73,2.765,2.65,2.7,-0.01,-0.37,12330669
14/05/2020,2.64,2.745,2.61,2.71,0.02,0.74,13529926
13/05/2020,2.66,2.77,2.64,2.69,-0.03,-1.1,20285595
12/05/2020,2.74,2.76,2.67,2.72,-0.06,-2.16,14315974
11/05/2020,2.76,2.815,2.745,2.78,0.04,1.46,15397691
08/05/2020,2.77,2.83,2.71,2.74,0,0,13693006
07/05/2020,2.66,2.76,2.62,2.74,0.07,2.62,12607725
06/05/2020,2.67,2.7,2.6,2.67,-0.03,-1.11,14335979
05/05/2020,2.63,2.75,2.615,2.7,0.07,2.66,9352773
04/05/2020,2.57,2.63,2.555,2.63,0.02,0.77,10581858
01/05/2020,2.76,2.77,2.61,2.61,-0.27,-9.38,20785285
30/04/2020,2.8,2.95,2.74,2.88,0.16,5.88,17879058
29/04/2020,2.74,2.77,2.7,2.72,-0.04,-1.45,17449424
28/04/2020,2.84,2.9,2.74,2.76,0.01,0.36,10594802
27/04/2020,2.63,2.82,2.61,2.75,0.09,3.38,8164550
24/04/2020,2.6,2.695,2.59,2.66,0.03,1.14,8252387
23/04/2020,2.64,2.7,2.58,2.63,-0.04,-1.5,18621200
22/04/2020,2.72,2.75,2.63,2.67,-0.15,-5.32,16577979
21/04/2020,2.86,2.87,2.71,2.82,-0.05,-1.74,24578553
20/04/2020,2.98,3.01,2.86,2.87,-0.18,-5.9,11284181
17/04/2020,2.92,3.14,2.87,3.05,0.24,8.54,20795277
16/04/2020,2.9,2.92,2.79,2.81,-0.14,-4.75,18070899
15/04/2020,2.93,2.985,2.845,2.95,0.04,1.37,27428680
14/04/2020,3.02,3.05,2.86,2.91,-0.11,-3.64,16323568
09/04/2020,2.89,3.09,2.85,3.02,0.26,9.42,22090884
08/04/2020,2.55,2.855,2.46,2.76,0.2,7.81,24197552
07/04/2020,2.58,2.65,2.48,2.56,0.07,2.81,14574145
06/04/2020,2.42,2.53,2.42,2.49,0.1,4.18,13436567
03/04/2020,2.56,2.57,2.325,2.39,-0.19,-7.36,20612405
02/04/2020,2.57,2.75,2.51,2.58,-0.07,-2.64,17395802
01/04/2020,2.65,2.67,2.45,2.65,0.12,4.74,29340373
31/03/2020,2.41,2.58,2.4,2.53,0.22,9.52,34439857
30/03/2020,2.17,2.31,2.145,2.31,0.19,8.96,26743923
27/03/2020,2.46,2.46,2.05,2.12,-0.23,-9.79,37423650
26/03/2020,2.32,2.375,2.18,2.35,0.2,9.3,24694320
25/03/2020,2.19,2.19,2.06,2.15,0.16,8.04,21198704
24/03/2020,1.895,2,1.82,1.99,0.195,10.86,42550787
23/03/2020,1.905,1.93,1.72,1.795,-0.345,-16.12,36098876
20/03/2020,2.43,2.46,2.11,2.14,0.06,2.88,51747128
19/03/2020,2.74,2.85,2.07,2.08,-0.69,-24.91,32019543
18/03/2020,3.21,3.3,2.77,2.77,-0.49,-15.03,30884678
17/03/2020,3.38,3.47,3.22,3.26,-0.12,-3.55,34420760
16/03/2020,3.6,3.8,3.38,3.38,-0.6,-15.08,25769677
13/03/2020,3.6,3.98,3.51,3.98,-0.07,-1.73,27268793
12/03/2020,4.27,4.31,4.015,4.05,-0.33,-7.53,23371436
11/03/2020,4.34,4.465,4.315,4.38,0,0,19078466
10/03/2020,4.35,4.425,4.29,4.38,-0.1,-2.23,31327452
09/03/2020,4.65,4.7,4.48,4.48,-0.27,-5.68,12542297
06/03/2020,4.75,4.83,4.75,4.75,-0.04,-0.84,12262604
05/03/2020,4.75,4.82,4.74,4.79,0.12,2.57,10740386
04/03/2020,4.61,4.69,4.6,4.67,-0.02,-0.43,14135590
03/03/2020,4.67,4.73,4.66,4.69,0.06,1.3,16955964
02/03/2020,4.6,4.65,4.54,4.63,-0.08,-1.7,13450036
28/02/2020,4.7,4.74,4.66,4.71,-0.16,-3.29,21263887
27/02/2020,4.89,4.93,4.85,4.87,-0.07,-1.42,10608904
26/02/2020,5.02,5.05,4.88,4.94,-0.17,-3.33,14149054
25/02/2020,5.13,5.16,5.07,5.11,-0.12,-2.29,12672687
24/02/2020,5.23,5.31,5.23,5.23,-0.09,-1.69,10244390
21/02/2020,5.43,5.47,5.3,5.32,-0.1,-1.85,16848961
20/02/2020,5.31,5.43,5.25,5.42,0.23,4.43,13034905
19/02/2020,5.18,5.19,5.095,5.19,0.09,1.76,8754000
18/02/2020,5.01,5.1,5.01,5.1,0.06,1.19,5495830
17/02/2020,5.04,5.05,5,5.04,0.01,0.2,5501608
14/02/2020,4.96,5.03,4.94,5.03,0.06,1.21,8359870
13/02/2020,5.01,5.02,4.92,4.97,-0.03,-0.6,7998538
12/02/2020,5.01,5.03,4.98,5,0.01,0.2,7054947
11/02/2020,4.97,5.02,4.96,4.99,0.07,1.42,9273151
10/02/2020,4.95,4.95,4.9,4.92,-0.01,-0.2,4876264
07/02/2020,4.91,4.93,4.865,4.93,0.04,0.82,7453998
06/02/2020,4.93,4.93,4.87,4.89,-0.02,-0.41,8930829
05/02/2020,4.99,5.025,4.91,4.91,-0.03,-0.61,5954904
04/02/2020,4.9,4.95,4.885,4.94,0.04,0.82,7544913
03/02/2020,4.91,4.93,4.87,4.9,-0.02,-0.41,7132236
