Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,3.4,3.48,3.39,3.43,-0.02,-0.58,3088352
29/01/2021,3.5,3.52,3.44,3.45,0,0,2734186
28/01/2021,3.47,3.49,3.39,3.45,-0.06,-1.71,6485506
27/01/2021,3.63,3.64,3.51,3.51,-0.11,-3.04,4486134
25/01/2021,3.63,3.66,3.6,3.62,-0.03,-0.82,1428701
22/01/2021,3.65,3.68,3.63,3.65,-0.03,-0.82,3768448
21/01/2021,3.69,3.73,3.64,3.68,0.03,0.82,2751770
20/01/2021,3.59,3.65,3.58,3.65,0.03,0.83,2116774
19/01/2021,3.57,3.63,3.56,3.62,0.07,1.97,2234888
18/01/2021,3.56,3.58,3.53,3.55,-0.03,-0.84,2232464
15/01/2021,3.61,3.64,3.58,3.58,-0.04,-1.1,3539338
14/01/2021,3.62,3.65,3.59,3.62,-0.02,-0.55,2190832
13/01/2021,3.64,3.7,3.61,3.64,0.01,0.28,2069936
12/01/2021,3.67,3.725,3.63,3.63,-0.03,-0.82,2691516
11/01/2021,3.67,3.73,3.64,3.66,-0.05,-1.35,2503100
08/01/2021,3.66,3.71,3.62,3.71,0.05,1.37,1793547
07/01/2021,3.71,3.71,3.65,3.66,0.01,0.27,6829264
06/01/2021,3.69,3.72,3.64,3.65,-0.05,-1.35,1773261
05/01/2021,3.65,3.73,3.64,3.7,-0.05,-1.33,2387719
04/01/2021,3.69,3.77,3.67,3.75,0.07,1.9,2440127
31/12/2020,3.77,3.79,3.68,3.68,-0.1,-2.65,1660684
30/12/2020,3.78,3.79,3.72,3.78,-0.02,-0.53,1710165
29/12/2020,3.77,3.84,3.76,3.8,0.04,1.06,2650332
24/12/2020,3.72,3.77,3.7,3.76,0.08,2.17,1497145
23/12/2020,3.66,3.72,3.64,3.68,0.06,1.66,2414382
22/12/2020,3.63,3.66,3.605,3.62,-0.03,-0.82,5021929
21/12/2020,3.63,3.69,3.61,3.65,-0.09,-2.41,4689710
18/12/2020,3.71,3.77,3.61,3.74,-0.08,-2.09,12516329
17/12/2020,3.77,3.82,3.77,3.82,0.07,1.87,5705750
16/12/2020,3.75,3.81,3.74,3.75,0.03,0.81,3552565
15/12/2020,3.75,3.76,3.65,3.72,-0.03,-0.8,12696760
14/12/2020,3.82,3.82,3.7,3.75,-0.08,-2.09,4677170
11/12/2020,3.77,3.88,3.77,3.83,0,0,5604003
10/12/2020,3.85,3.89,3.78,3.83,-0.05,-1.29,4136864
09/12/2020,3.88,3.94,3.87,3.88,0.02,0.52,3062572
08/12/2020,3.85,3.89,3.84,3.86,-0.03,-0.77,4454794
