Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,34.37,34.97,34.06,34.71,0.34,0.99,1152472
29/01/2021,34.58,34.96,34.24,34.37,0.33,0.97,1388417
28/01/2021,33.5,34.15,33.5,34.04,-0.22,-0.64,1155781
27/01/2021,34.36,34.48,33.51,34.26,-1.13,-3.19,1937122
25/01/2021,35.15,35.53,35.12,35.39,0.29,0.83,583078
22/01/2021,34.85,35.43,34.85,35.1,0.3,0.86,1203392
21/01/2021,34.63,34.96,34.54,34.8,0.6,1.75,1304455
20/01/2021,34.14,34.4,33.78,34.2,-0.06,-0.18,1106703
19/01/2021,33.96,34.39,33.66,34.26,0.6,1.78,1075423
18/01/2021,33.66,33.95,33.54,33.66,-0.07,-0.21,484874
15/01/2021,34.16,34.16,33.53,33.73,-0.1,-0.3,734364
14/01/2021,33.41,33.99,33.235,33.83,0.27,0.8,945261
13/01/2021,33.53,33.66,33.22,33.56,0.06,0.18,904547
12/01/2021,33.47,33.81,33.36,33.5,-0.04,-0.12,811130
11/01/2021,34,34.11,33.44,33.54,-0.38,-1.12,673481
08/01/2021,33.37,34,33.085,33.92,0.75,2.26,1081019
07/01/2021,33.35,33.45,32.73,33.17,0.19,0.58,1223804
06/01/2021,32.68,32.98,32.35,32.98,-0.08,-0.24,1364591
05/01/2021,32.52,33.17,32.41,33.06,0.19,0.58,991958
04/01/2021,32.94,33.41,32.77,32.87,0.72,2.24,1660128
31/12/2020,32.72,32.8,32.15,32.15,-0.7,-2.13,537893
30/12/2020,32.9,33.1,32.7,32.85,-0.29,-0.88,502316
29/12/2020,33.32,33.41,32.91,33.14,-0.18,-0.54,423071
24/12/2020,33.45,33.47,33.17,33.32,0.04,0.12,204236
23/12/2020,33.6,33.72,33.1,33.28,-0.02,-0.06,609836
22/12/2020,33.43,33.55,33.16,33.3,-0.2,-0.6,689273
21/12/2020,33.7,34.15,33.42,33.5,0.1,0.3,871994
18/12/2020,33.6,33.64,33.13,33.4,0.01,0.03,1885410
