Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,7,7,6.79,6.92,-0.12,-1.7,553901
29/01/2021,6.99,7.16,6.89,7.04,0.17,2.47,890924
28/01/2021,6.88,6.91,6.74,6.87,-0.09,-1.29,441154
27/01/2021,6.91,7,6.85,6.96,0.07,1.02,491497
25/01/2021,6.86,6.93,6.8,6.89,0.02,0.29,628506
22/01/2021,6.86,6.87,6.8,6.87,0.01,0.15,431412
21/01/2021,6.88,6.94,6.84,6.86,0.02,0.29,354379
20/01/2021,6.9,6.91,6.8,6.84,-0.06,-0.87,773421
19/01/2021,6.86,6.91,6.82,6.9,0.13,1.92,672948
18/01/2021,6.75,6.925,6.73,6.77,0.06,0.89,502824
15/01/2021,6.67,6.74,6.64,6.71,0.03,0.45,993414
14/01/2021,6.65,6.74,6.595,6.68,0.05,0.75,628001
13/01/2021,6.7,6.75,6.58,6.63,-0.01,-0.15,529651
12/01/2021,6.64,6.78,6.62,6.64,0.06,0.91,431322
11/01/2021,6.77,6.77,6.58,6.58,-0.17,-2.52,297658
08/01/2021,6.77,6.77,6.7,6.75,-0.01,-0.15,254879
07/01/2021,6.95,6.95,6.74,6.76,-0.07,-1.02,387856
06/01/2021,6.9,6.99,6.83,6.83,-0.07,-1.01,420196
05/01/2021,6.82,6.95,6.8,6.9,0.02,0.29,375203
04/01/2021,6.84,6.95,6.84,6.88,0.05,0.73,337096
31/12/2020,6.95,6.98,6.83,6.83,-0.1,-1.44,233190
30/12/2020,6.95,7.03,6.84,6.93,-0.09,-1.28,686344
29/12/2020,6.99,7.09,6.89,7.02,0.07,1.01,615343
24/12/2020,6.74,6.95,6.7,6.95,0.17,2.51,729802
23/12/2020,6.69,7.01,6.69,6.78,0.48,7.62,2171324
22/12/2020,6.2,6.35,6.195,6.3,0.05,0.8,645447
21/12/2020,6.33,6.34,6.155,6.25,-0.08,-1.26,1212982
18/12/2020,6.43,6.43,6.33,6.33,-0.08,-1.25,476615
17/12/2020,6.43,6.44,6.33,6.41,0.06,0.94,798659
16/12/2020,6.3,6.38,6.2,6.35,0.08,1.28,933530
15/12/2020,6.27,6.36,6.2,6.27,0.02,0.32,1158099
14/12/2020,6.27,6.35,6.23,6.25,0.01,0.16,724208
11/12/2020,6.31,6.39,6.24,6.24,-0.07,-1.11,802834
10/12/2020,6.48,6.5,6.28,6.31,-0.14,-2.17,806866
09/12/2020,6.54,6.54,6.41,6.45,0,0,952392
08/12/2020,6.4,6.51,6.32,6.45,0.13,2.06,791462
07/12/2020,6.37,6.49,6.32,6.32,0.01,0.16,970756
04/12/2020,6.35,6.4,6.28,6.31,-0.01,-0.16,513304
03/12/2020,6.3,6.4,6.29,6.32,-0.03,-0.47,338997
02/12/2020,6.25,6.37,6.22,6.35,0.15,2.42,1116914
01/12/2020,6.31,6.33,6.16,6.2,-0.11,-1.74,655945
30/11/2020,6.37,6.4,6.29,6.31,-0.02,-0.32,1005003
27/11/2020,6.3,6.34,6.24,6.33,0.05,0.8,495424
26/11/2020,6.28,6.32,6.25,6.28,0.03,0.48,550543
25/11/2020,6.2,6.28,6.19,6.25,0.1,1.63,815795
24/11/2020,6.1,6.2,6.09,6.15,0.09,1.49,1471448
23/11/2020,6.05,6.1,5.97,6.06,0.06,1,859365
20/11/2020,5.99,6.08,5.98,6,0.01,0.17,584957
19/11/2020,6,6.02,5.9,5.99,-0.04,-0.66,1752183
18/11/2020,5.94,6.09,5.93,6.03,0.13,2.2,815882
17/11/2020,5.94,6,5.87,5.9,0,0,1290851
16/11/2020,5.9,5.94,5.9,5.9,0.01,0.17,71183
13/11/2020,5.85,5.95,5.8,5.89,0.07,1.2,907307
12/11/2020,5.9,5.92,5.81,5.82,-0.02,-0.34,1291215
11/11/2020,5.92,5.98,5.79,5.84,-0.08,-1.35,1001357
10/11/2020,5.97,6.09,5.85,5.92,0.12,2.07,1253619
09/11/2020,5.8,5.83,5.665,5.8,0.09,1.58,759829
06/11/2020,5.5,5.81,5.5,5.71,0.34,6.33,1285006
05/11/2020,5.34,5.41,5.255,5.37,0.09,1.7,1014938
04/11/2020,5.33,5.44,5.21,5.28,0.02,0.38,1280666
03/11/2020,5.31,5.34,5.19,5.26,-0.09,-1.68,1489042
02/11/2020,5.45,5.51,5.32,5.35,-0.08,-1.47,862058
30/10/2020,5.57,5.64,5.41,5.43,-0.13,-2.34,998170
29/10/2020,5.65,5.66,5.55,5.56,-0.11,-1.94,620753
28/10/2020,5.68,5.74,5.665,5.67,0,0,330761
27/10/2020,5.87,5.88,5.65,5.67,-0.2,-3.41,1058443
26/10/2020,5.98,6,5.85,5.87,0.03,0.51,1109439
23/10/2020,5.82,6,5.81,5.84,0.09,1.57,1064262
22/10/2020,5.67,5.805,5.63,5.75,0.01,0.17,449706
21/10/2020,5.61,5.79,5.61,5.74,0.14,2.5,403111
20/10/2020,5.68,5.7,5.57,5.6,-0.12,-2.1,694005
19/10/2020,5.83,5.85,5.71,5.72,-0.11,-1.89,544142
16/10/2020,5.94,5.99,5.815,5.83,-0.15,-2.51,464268
15/10/2020,5.99,6.05,5.915,5.98,-0.01,-0.17,582999
14/10/2020,6.01,6.08,5.97,5.99,-0.02,-0.33,554950
13/10/2020,5.93,6.06,5.8,6.01,0.06,1.01,480477
12/10/2020,6,6.03,5.87,5.95,-0.06,-1,378870
09/10/2020,5.94,6.06,5.91,6.01,0.12,2.04,662876
08/10/2020,5.75,5.95,5.72,5.89,0.14,2.43,1339814
07/10/2020,5.72,5.9,5.63,5.75,0.06,1.05,1368921
06/10/2020,5.72,5.81,5.63,5.69,-0.06,-1.04,569201
05/10/2020,5.64,5.75,5.6,5.75,0.21,3.79,458376
02/10/2020,5.7,5.78,5.54,5.54,-0.19,-3.32,715018
01/10/2020,5.8,5.86,5.73,5.73,0.01,0.17,415520
30/09/2020,5.77,5.87,5.72,5.72,-0.19,-3.21,765592
29/09/2020,5.77,5.93,5.77,5.91,0.16,2.78,309006
28/09/2020,5.76,5.82,5.72,5.75,-0.05,-0.86,362616
25/09/2020,5.81,5.93,5.77,5.8,-0.05,-0.85,412933
24/09/2020,5.85,5.97,5.82,5.85,-0.04,-0.68,475064
23/09/2020,5.9,5.9,5.82,5.89,0.16,2.79,376931
22/09/2020,5.79,5.8,5.63,5.73,-0.08,-1.38,441024
21/09/2020,5.81,5.88,5.78,5.81,-0.04,-0.68,865510
18/09/2020,5.79,5.91,5.74,5.85,0.17,2.99,1044030
17/09/2020,5.66,5.77,5.65,5.68,-0.01,-0.18,554399
16/09/2020,5.87,5.89,5.66,5.69,-0.1,-1.73,833130
15/09/2020,5.8,5.82,5.69,5.79,0.03,0.52,444085
14/09/2020,5.72,5.815,5.66,5.76,0.06,1.05,387720
11/09/2020,5.56,5.74,5.48,5.7,0.11,1.97,759992
10/09/2020,5.68,5.73,5.59,5.59,0.02,0.36,573033
09/09/2020,5.58,5.71,5.55,5.57,-0.17,-2.96,848977
08/09/2020,5.76,5.82,5.64,5.74,0.03,0.53,447156
07/09/2020,5.72,5.75,5.58,5.71,-0.05,-0.87,482091
04/09/2020,5.79,5.86,5.75,5.76,-0.15,-2.54,537944
03/09/2020,5.96,6,5.88,5.91,0.06,1.03,819861
02/09/2020,6,6,5.82,5.85,0.06,1.04,671910
01/09/2020,5.78,5.82,5.64,5.79,-0.18,-3.02,1304064
31/08/2020,5.93,6.06,5.92,5.97,0.02,0.34,560347
28/08/2020,6.05,6.095,5.92,5.95,-0.1,-1.65,3980788
27/08/2020,6.14,6.27,5.99,6.05,-0.09,-1.47,769536
26/08/2020,6.16,6.285,6.14,6.14,-0.04,-0.65,956702
25/08/2020,6.35,6.4,6.145,6.18,-0.07,-1.12,885505
24/08/2020,6.19,6.38,6.16,6.25,0.09,1.46,837143
21/08/2020,6.37,6.47,6.11,6.16,-0.22,-3.45,1490425
20/08/2020,6.36,6.41,6.19,6.38,0.1,1.59,1568963
19/08/2020,6.62,6.66,6.15,6.28,-0.25,-3.83,1280823
