Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,2.78,2.86,2.775,2.84,0.03,1.07,381048
29/01/2021,2.84,2.85,2.8,2.81,0.04,1.44,612053
28/01/2021,2.81,2.815,2.74,2.77,-0.05,-1.77,605272
27/01/2021,2.85,2.88,2.82,2.82,-0.02,-0.7,380006
25/01/2021,2.81,2.85,2.81,2.84,0,0,207030
22/01/2021,2.9,2.9,2.84,2.84,-0.03,-1.05,265390
21/01/2021,2.93,2.93,2.87,2.87,-0.04,-1.37,428759
20/01/2021,2.86,2.92,2.86,2.91,0,0,382884
19/01/2021,2.83,2.91,2.825,2.91,0.11,3.93,346058
18/01/2021,2.85,2.87,2.79,2.8,-0.05,-1.75,575096
15/01/2021,2.88,2.91,2.85,2.85,-0.02,-0.7,288407
14/01/2021,2.92,2.92,2.85,2.87,-0.03,-1.03,452813
13/01/2021,2.9,2.92,2.87,2.9,-0.01,-0.34,490466
12/01/2021,2.93,2.94,2.9,2.91,-0.02,-0.68,381015
11/01/2021,2.94,2.96,2.9,2.93,-0.04,-1.35,477086
08/01/2021,2.94,2.99,2.93,2.97,0.02,0.68,226057
07/01/2021,2.93,2.98,2.93,2.95,0.08,2.79,488584
06/01/2021,2.92,2.94,2.86,2.87,-0.04,-1.37,556014
05/01/2021,2.96,2.97,2.89,2.91,-0.06,-2.02,542648
04/01/2021,2.97,2.97,2.895,2.97,0,0,375131
31/12/2020,3,3.025,2.955,2.97,-0.07,-2.3,297496
30/12/2020,3.03,3.06,3.03,3.04,0.01,0.33,451410
29/12/2020,2.99,3.04,2.99,3.03,0.05,1.68,190338
24/12/2020,2.99,3.04,2.98,2.98,-0.02,-0.67,232216
23/12/2020,2.97,3.02,2.97,3,0.04,1.35,376602
22/12/2020,3,3.01,2.93,2.96,-0.05,-1.66,1359406
21/12/2020,3.04,3.08,2.98,3.01,-0.14,-4.44,755697
18/12/2020,3.11,3.16,3.09,3.15,0.01,0.32,1710373
17/12/2020,3.07,3.15,3.07,3.14,0.09,2.95,685647
16/12/2020,3.07,3.08,3.02,3.05,-0.05,-1.61,1263393
15/12/2020,3.07,3.16,3.03,3.1,0.07,2.31,735205
14/12/2020,3.08,3.08,3.02,3.03,0.01,0.33,636949
11/12/2020,3.02,3.06,3.01,3.02,-0.03,-0.98,746366
10/12/2020,3.03,3.07,3.01,3.05,-0.01,-0.33,686119
09/12/2020,3.04,3.06,3,3.06,0.06,2,464466
08/12/2020,3,3.04,2.99,3,-0.03,-0.99,607498
07/12/2020,3.03,3.05,3,3.03,0.04,1.34,780472
04/12/2020,3.04,3.05,2.99,2.99,-0.09,-2.92,378388
03/12/2020,2.97,3.1,2.97,3.08,0.1,3.36,2286196
02/12/2020,2.96,3.01,2.955,2.98,0.03,1.02,1755295
01/12/2020,2.92,2.98,2.9,2.95,0.02,0.68,5342161
30/11/2020,2.96,2.96,2.86,2.93,0.01,0.34,1057236
27/11/2020,2.96,2.99,2.92,2.92,-0.02,-0.68,303280
26/11/2020,2.96,2.99,2.93,2.94,0,0,1092842
25/11/2020,2.93,2.96,2.89,2.94,0.02,0.68,1085923
24/11/2020,2.95,2.97,2.92,2.92,-0.01,-0.34,474310
23/11/2020,2.93,2.99,2.89,2.93,0.05,1.74,879805
20/11/2020,2.89,2.91,2.87,2.88,-0.01,-0.35,811529
19/11/2020,2.9,2.93,2.87,2.89,0.01,0.35,1979591
18/11/2020,2.95,2.99,2.82,2.88,-0.01,-0.35,2537510
17/11/2020,2.91,3,2.87,2.89,0.05,1.76,3863835
16/11/2020,2.88,2.88,2.83,2.84,-0.12,-4.05,170803
13/11/2020,3,3,2.95,2.96,-0.04,-1.33,2472321
12/11/2020,3.02,3.06,2.98,3,-0.02,-0.66,2502544
11/11/2020,3.02,3.05,2.99,3.02,0.01,0.33,2963185
10/11/2020,2.95,3.03,2.95,3.01,0.16,5.61,1244792
09/11/2020,2.73,2.85,2.73,2.85,0.1,3.64,437593
06/11/2020,2.72,2.76,2.72,2.75,0,0,300358
05/11/2020,2.71,2.75,2.69,2.75,0.09,3.38,372795
04/11/2020,2.64,2.66,2.6,2.66,0,0,497318
03/11/2020,2.59,2.66,2.59,2.66,0.16,6.4,672462
02/11/2020,2.61,2.63,2.5,2.5,-0.12,-4.58,598307
30/10/2020,2.66,2.66,2.62,2.62,-0.04,-1.5,1207988
29/10/2020,2.69,2.7,2.64,2.66,-0.06,-2.21,937526
28/10/2020,2.73,2.75,2.7,2.72,0,0,3493806
27/10/2020,2.74,2.76,2.675,2.72,-0.06,-2.16,13768284
26/10/2020,2.8,2.86,2.77,2.78,-0.03,-1.07,280341
23/10/2020,2.83,2.86,2.79,2.81,0,0,759679
22/10/2020,2.79,2.86,2.78,2.81,-0.01,-0.35,1154974
21/10/2020,2.87,2.88,2.82,2.82,-0.04,-1.4,2331802
20/10/2020,2.86,2.9,2.84,2.86,-0.01,-0.35,1216662
19/10/2020,2.88,2.89,2.85,2.87,-0.01,-0.35,570399
16/10/2020,2.92,2.92,2.81,2.88,-0.01,-0.35,1741113
15/10/2020,2.92,2.96,2.89,2.89,-0.03,-1.03,722129
14/10/2020,2.87,2.94,2.84,2.92,0.04,1.39,637996
13/10/2020,2.86,2.89,2.84,2.88,0.03,1.05,489043
12/10/2020,2.85,2.87,2.81,2.85,0,0,526420
09/10/2020,2.86,2.89,2.82,2.85,-0.01,-0.35,382546
08/10/2020,2.82,2.88,2.805,2.86,0.04,1.42,496854
07/10/2020,2.8,2.82,2.76,2.82,0.02,0.71,1230956
06/10/2020,2.81,2.82,2.745,2.8,0.02,0.72,733860
05/10/2020,2.8,2.85,2.78,2.78,0.07,2.58,805912
02/10/2020,2.77,2.84,2.71,2.71,-0.05,-1.81,1816361
01/10/2020,2.7,2.825,2.69,2.76,0.01,0.36,2902485
30/09/2020,2.65,2.8,2.61,2.75,0.07,2.61,5468866
29/09/2020,2.67,2.72,2.66,2.68,0.01,0.37,1784141
28/09/2020,2.64,2.7,2.64,2.67,0.02,0.75,649819
25/09/2020,2.61,2.68,2.6,2.65,0.02,0.76,7489340
24/09/2020,2.68,2.7,2.6,2.63,-0.1,-3.66,1775416
23/09/2020,2.69,2.73,2.67,2.73,0.06,2.25,2459100
22/09/2020,2.58,2.68,2.56,2.67,0.06,2.3,1841672
21/09/2020,2.61,2.66,2.545,2.61,-0.05,-1.88,1725679
18/09/2020,2.65,2.7,2.64,2.66,-0.01,-0.37,2123719
17/09/2020,2.7,2.72,2.64,2.67,-0.02,-0.74,1351561
16/09/2020,2.69,2.73,2.68,2.69,0.04,1.51,12774859
15/09/2020,2.78,2.8,2.63,2.65,-0.14,-5.02,2666358
14/09/2020,2.74,2.845,2.72,2.79,0.06,2.2,1496732
11/09/2020,2.74,2.745,2.71,2.73,-0.01,-0.36,901827
10/09/2020,2.71,2.76,2.71,2.74,0.03,1.11,943784
09/09/2020,2.67,2.73,2.65,2.71,0,0,1914066
08/09/2020,2.65,2.74,2.64,2.71,0.08,3.04,1577835
07/09/2020,2.56,2.64,2.52,2.63,0.06,2.33,1895972
04/09/2020,2.48,2.57,2.475,2.57,0.09,3.63,1774155
03/09/2020,2.39,2.62,2.39,2.48,0.17,7.36,4375969
02/09/2020,2.28,2.38,2.25,2.31,0.07,3.12,1306687
01/09/2020,2.26,2.27,2.2,2.24,-0.03,-1.32,1831684
31/08/2020,2.27,2.32,2.27,2.27,-0.03,-1.3,1110596
28/08/2020,2.21,2.3,2.21,2.3,0.07,3.14,756693
27/08/2020,2.29,2.3,2.21,2.23,-0.09,-3.88,963249
26/08/2020,2.31,2.33,2.27,2.32,0.01,0.43,1158532
25/08/2020,2.31,2.33,2.295,2.31,0.01,0.43,729084
24/08/2020,2.31,2.32,2.275,2.3,0.02,0.88,645908
21/08/2020,2.29,2.31,2.27,2.28,-0.04,-1.72,630582
20/08/2020,2.26,2.32,2.25,2.32,0.07,3.11,900996
19/08/2020,2.2,2.26,2.2,2.25,0.01,0.45,806420
