Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,2.19,2.19,2.15,2.16,-0.04,-1.82,5439757
29/01/2021,2.17,2.25,2.16,2.2,0.04,1.85,12183295
28/01/2021,2.15,2.19,2.13,2.16,-0.02,-0.92,6205782
27/01/2021,2.16,2.19,2.15,2.18,-0.01,-0.46,4660778
25/01/2021,2.14,2.19,2.13,2.19,0.04,1.86,3893467
22/01/2021,2.12,2.15,2.115,2.15,0.02,0.94,2807670
21/01/2021,2.15,2.17,2.13,2.13,-0.01,-0.47,5430774
20/01/2021,2.1,2.14,2.09,2.14,0.05,2.39,3900691
19/01/2021,2.1,2.11,2.08,2.09,-0.01,-0.48,2178092
18/01/2021,2.1,2.11,2.07,2.1,0,0,3492753
15/01/2021,2.12,2.13,2.1,2.1,-0.03,-1.41,4043024
14/01/2021,2.11,2.14,2.11,2.13,0,0,4400812
13/01/2021,2.12,2.14,2.1,2.13,0.02,0.95,5413422
12/01/2021,2.14,2.14,2.1,2.11,-0.01,-0.47,5585423
11/01/2021,2.15,2.15,2.12,2.12,-0.03,-1.4,3823386
08/01/2021,2.19,2.19,2.14,2.15,-0.04,-1.83,5357121
07/01/2021,2.17,2.2,2.165,2.19,0.04,1.86,4664143
06/01/2021,2.14,2.16,2.135,2.15,0,0,3618466
05/01/2021,2.11,2.15,2.11,2.15,0.01,0.47,3517924
04/01/2021,2.14,2.14,2.12,2.14,0.03,1.42,1586652
31/12/2020,2.14,2.15,2.11,2.11,-0.02,-0.94,1986699
30/12/2020,2.15,2.15,2.12,2.13,-0.07,-3.18,2300000
29/12/2020,2.2,2.21,2.175,2.2,0.01,0.46,2802907
24/12/2020,2.17,2.19,2.16,2.19,0.01,0.46,1817672
23/12/2020,2.17,2.19,2.16,2.18,0.02,0.93,3491734
22/12/2020,2.18,2.19,2.14,2.16,-0.02,-0.92,5258121
21/12/2020,2.2,2.2,2.17,2.18,-0.02,-0.91,4084811
18/12/2020,2.16,2.2,2.16,2.2,0.04,1.85,8609067
17/12/2020,2.14,2.17,2.13,2.16,0.02,0.93,5773213
16/12/2020,2.14,2.18,2.125,2.14,0.01,0.47,6326742
15/12/2020,2.13,2.15,2.11,2.13,0,0,6879028
14/12/2020,2.12,2.16,2.12,2.13,-0.01,-0.47,5291222
