Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,1.64,1.65,1.555,1.605,0,0,13834103
29/01/2021,1.595,1.62,1.59,1.605,0.04,2.56,9975356
28/01/2021,1.585,1.595,1.535,1.565,-0.065,-3.99,15952455
27/01/2021,1.68,1.68,1.587,1.63,-0.05,-2.98,13722492
25/01/2021,1.695,1.695,1.645,1.68,0,0,6530076
22/01/2021,1.685,1.7425,1.68,1.68,-0.03,-1.75,7672042
21/01/2021,1.74,1.745,1.682,1.71,0.015,0.88,10678176
20/01/2021,1.7,1.705,1.64,1.695,-0.005,-0.29,9760215
19/01/2021,1.67,1.745,1.635,1.7,0.045,2.72,11448725
18/01/2021,1.675,1.69,1.645,1.655,-0.025,-1.49,7780830
15/01/2021,1.72,1.725,1.67,1.68,-0.035,-2.04,9485214
14/01/2021,1.73,1.75,1.695,1.715,-0.055,-3.11,7480199
13/01/2021,1.75,1.78,1.732,1.77,0.02,1.14,5801530
12/01/2021,1.745,1.76,1.72,1.75,0.01,0.57,8287402
11/01/2021,1.755,1.765,1.715,1.74,-0.105,-5.69,12231515
08/01/2021,1.92,1.94,1.832,1.845,-0.07,-3.66,10792488
07/01/2021,1.975,1.98,1.895,1.915,-0.085,-4.25,12121876
06/01/2021,2.05,2.08,1.977,2,-0.04,-1.96,15906634
05/01/2021,1.945,2.05,1.935,2.04,0.13,6.81,15419775
04/01/2021,1.82,1.9175,1.805,1.91,0.12,6.7,7524633
31/12/2020,1.8,1.83,1.78,1.79,0.015,0.85,3816424
30/12/2020,1.76,1.775,1.71,1.775,-0.015,-0.84,5941476
29/12/2020,1.78,1.81,1.755,1.79,0.025,1.42,5394246
24/12/2020,1.775,1.79,1.755,1.765,0.005,0.28,4298893
23/12/2020,1.78,1.78,1.735,1.76,-0.025,-1.4,6088153
22/12/2020,1.89,1.89,1.785,1.785,-0.13,-6.79,9324263
21/12/2020,1.875,1.925,1.87,1.915,0.055,2.96,7204290
18/12/2020,1.92,1.93,1.86,1.86,-0.03,-1.59,9157094
17/12/2020,1.875,1.915,1.86,1.89,0.04,2.16,10074072
16/12/2020,1.8,1.85,1.785,1.85,0.095,5.41,6984609
15/12/2020,1.79,1.795,1.742,1.755,-0.06,-3.31,5729024
14/12/2020,1.835,1.86,1.8,1.815,-0.01,-0.55,4469175
11/12/2020,1.82,1.835,1.79,1.825,0.055,3.11,5591974
10/12/2020,1.8,1.8,1.74,1.77,-0.055,-3.01,8064997
09/12/2020,1.915,1.915,1.822,1.825,-0.065,-3.44,7935223
08/12/2020,1.88,1.915,1.84,1.89,0.095,5.29,9739452
