Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,26.84,27.73,26.61,27.68,0.5,1.84,256318
29/01/2021,27.76,27.8,27.1,27.18,-0.34,-1.24,639473
28/01/2021,27.19,27.61,27.04,27.52,-0.4,-1.43,342335
27/01/2021,28.38,28.5,27.45,27.92,-0.44,-1.55,322680
25/01/2021,27.67,28.36,27.63,28.36,0.73,2.64,582683
22/01/2021,28.55,28.63,27.62,27.63,-1.37,-4.72,1762941
21/01/2021,28.84,29.17,28.82,29,0.36,1.26,190947
20/01/2021,28.45,28.77,28.16,28.64,-0.14,-0.49,321316
19/01/2021,28.35,28.87,28.08,28.78,0.85,3.04,376068
18/01/2021,28.2,28.38,27.79,27.93,-0.4,-1.41,202180
15/01/2021,28.52,28.84,28.33,28.33,-0.18,-0.63,202838
14/01/2021,28.21,28.9,28.17,28.51,0.04,0.14,285004
13/01/2021,28.66,28.92,28.01,28.47,-0.18,-0.63,297636
12/01/2021,28.97,29.25,28.51,28.65,-0.29,-1,269734
11/01/2021,30.12,30.29,28.94,28.94,-1.31,-4.33,289319
08/01/2021,29.65,30.32,29.65,30.25,0.52,1.75,211392
07/01/2021,29.91,29.975,29.36,29.73,0.23,0.78,226325
06/01/2021,30.1,30.33,29.32,29.5,-0.83,-2.74,277556
05/01/2021,30.01,30.4,29.94,30.33,0.01,0.03,230314
04/01/2021,30.09,30.45,30.07,30.32,0.23,0.76,193735
31/12/2020,30.55,30.75,30.09,30.09,-0.38,-1.25,115484
30/12/2020,30.07,30.47,29.91,30.47,0.25,0.83,188568
29/12/2020,30.06,30.45,30.01,30.22,0.18,0.6,229588
24/12/2020,30.42,30.505,29.96,30.04,-0.33,-1.09,113659
23/12/2020,30.33,30.68,30.33,30.37,0.04,0.13,192315
22/12/2020,30.11,30.83,30.11,30.33,-0.51,-1.65,199343
21/12/2020,30.18,30.84,30.08,30.84,0.66,2.19,204379
18/12/2020,30.5,30.84,29.98,30.18,-0.45,-1.47,843270
17/12/2020,29.57,30.75,29.34,30.63,1.13,3.83,574341
16/12/2020,30.19,30.33,29.38,29.5,-0.66,-2.19,346068
15/12/2020,30.42,30.49,29.8,30.16,-0.25,-0.82,384843
14/12/2020,30.25,30.7,30,30.41,0.17,0.56,427705
11/12/2020,29.81,30.64,29.67,30.24,0.11,0.37,497263
10/12/2020,29.71,30.28,29.38,30.13,0.41,1.38,360697
09/12/2020,29.18,29.84,29.13,29.72,0.71,2.45,406043
08/12/2020,29.19,29.46,28.88,29.01,-0.39,-1.33,537500
07/12/2020,29,29.6,28.97,29.4,0.51,1.77,300444
04/12/2020,28.66,28.94,28.48,28.89,0.11,0.38,228848
03/12/2020,28.67,29,28.53,28.78,0.31,1.09,314383
02/12/2020,28.96,28.96,28.34,28.47,-0.61,-2.1,353748
01/12/2020,28.86,29.12,28.18,29.08,0.04,0.14,332385
30/11/2020,29.31,29.39,28.86,29.04,-0.27,-0.92,752440
27/11/2020,29.16,29.49,29.04,29.31,0.12,0.41,196471
26/11/2020,28.88,29.41,28.71,29.19,0.29,1,230416
