Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,4.5,4.51,4.475,4.5,0.02,0.45,1730065
29/01/2021,4.51,4.55,4.46,4.48,0.03,0.67,1657256
28/01/2021,4.48,4.5,4.43,4.45,-0.09,-1.98,1754308
27/01/2021,4.56,4.58,4.51,4.54,0.05,1.11,1743841
25/01/2021,4.47,4.525,4.43,4.49,0.04,0.9,1120314
22/01/2021,4.46,4.495,4.44,4.45,0,0,1458191
21/01/2021,4.4,4.47,4.4,4.45,0.05,1.14,1620401
20/01/2021,4.41,4.43,4.37,4.4,-0.03,-0.68,1917055
19/01/2021,4.44,4.44,4.375,4.43,0.01,0.23,1121824
18/01/2021,4.48,4.49,4.39,4.42,-0.05,-1.12,1095351
15/01/2021,4.5,4.53,4.46,4.47,-0.05,-1.11,776313
14/01/2021,4.56,4.58,4.51,4.52,-0.06,-1.31,1438165
13/01/2021,4.57,4.595,4.54,4.58,0.05,1.1,1043009
12/01/2021,4.54,4.58,4.48,4.53,-0.03,-0.66,1352342
11/01/2021,4.58,4.6,4.53,4.56,-0.03,-0.65,1677880
08/01/2021,4.51,4.62,4.48,4.59,0.17,3.85,1835393
07/01/2021,4.5,4.52,4.4,4.42,-0.06,-1.34,4405977
06/01/2021,4.48,4.53,4.46,4.48,-0.02,-0.44,1123417
05/01/2021,4.4,4.5,4.4,4.5,0.1,2.27,1175730
04/01/2021,4.44,4.45,4.38,4.4,0,0,514910
31/12/2020,4.49,4.51,4.4,4.4,-0.04,-0.9,472820
30/12/2020,4.54,4.55,4.42,4.44,-0.1,-2.2,992096
29/12/2020,4.51,4.55,4.51,4.54,0.05,1.11,1004821
24/12/2020,4.44,4.5,4.44,4.49,0.06,1.35,468425
23/12/2020,4.44,4.46,4.41,4.43,0.01,0.23,1298015
22/12/2020,4.38,4.45,4.38,4.42,0.06,1.38,1665175
21/12/2020,4.33,4.39,4.32,4.36,0.04,0.93,1212332
18/12/2020,4.23,4.37,4.2,4.32,0.12,2.86,3318408
17/12/2020,4.2,4.26,4.165,4.2,-0.03,-0.71,1578598
16/12/2020,4.16,4.28,4.15,4.23,0.08,1.93,2304430
15/12/2020,4.23,4.24,4.15,4.15,-0.07,-1.66,1413575
14/12/2020,4.25,4.31,4.22,4.22,-0.01,-0.24,921784
11/12/2020,4.28,4.3,4.22,4.23,-0.06,-1.4,1136243
10/12/2020,4.3,4.32,4.26,4.29,0,0,1453303
09/12/2020,4.31,4.35,4.28,4.29,0.02,0.47,1375824
08/12/2020,4.3,4.305,4.26,4.27,-0.01,-0.23,845423
07/12/2020,4.32,4.33,4.27,4.28,-0.02,-0.47,1485159
04/12/2020,4.37,4.39,4.29,4.3,-0.06,-1.38,1128944
03/12/2020,4.4,4.415,4.36,4.36,-0.06,-1.36,1157940
02/12/2020,4.41,4.44,4.38,4.42,0.04,0.91,1014229
01/12/2020,4.38,4.46,4.36,4.38,0.05,1.15,1602855
30/11/2020,4.47,4.475,4.32,4.33,-0.07,-1.59,1563493
27/11/2020,4.46,4.46,4.39,4.4,-0.04,-0.9,829021
26/11/2020,4.47,4.47,4.4,4.44,0.02,0.45,1006369
25/11/2020,4.42,4.47,4.4,4.42,0.02,0.45,1516138
24/11/2020,4.3,4.42,4.29,4.4,0.12,2.8,1559346
23/11/2020,4.33,4.33,4.28,4.28,-0.01,-0.23,728809
20/11/2020,4.33,4.345,4.27,4.29,-0.01,-0.23,1069191
19/11/2020,4.33,4.35,4.28,4.3,-0.02,-0.46,1436588
18/11/2020,4.44,4.44,4.29,4.32,-0.06,-1.37,1413221
17/11/2020,4.42,4.43,4.35,4.38,-0.01,-0.23,1243519
16/11/2020,4.41,4.43,4.39,4.39,0.03,0.69,8847
13/11/2020,4.37,4.4,4.35,4.36,-0.02,-0.46,1209963
12/11/2020,4.51,4.535,4.36,4.38,-0.13,-2.88,4076988
11/11/2020,4.42,4.51,4.41,4.51,0.12,2.73,1367762
10/11/2020,4.39,4.43,4.37,4.39,0.04,0.92,1852998
