Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,1.865,1.87,1.802,1.815,-0.09,-4.72,2745516
29/01/2021,1.82,1.935,1.82,1.905,0.175,10.12,6939308
28/01/2021,1.765,1.765,1.705,1.73,-0.05,-2.81,2448305
27/01/2021,1.8,1.805,1.78,1.78,-0.025,-1.39,2683158
25/01/2021,1.8,1.817,1.765,1.805,0.015,0.84,1326335
22/01/2021,1.825,1.8275,1.775,1.79,-0.02,-1.1,1514611
21/01/2021,1.85,1.865,1.81,1.81,0.01,0.56,3115248
20/01/2021,1.73,1.825,1.73,1.8,0.07,4.05,2847519
19/01/2021,1.72,1.75,1.72,1.73,0,0,1425325
18/01/2021,1.72,1.745,1.72,1.73,0.005,0.29,1569261
15/01/2021,1.75,1.77,1.72,1.725,-0.03,-1.71,2311167
14/01/2021,1.72,1.77,1.712,1.755,0.03,1.74,1943088
13/01/2021,1.665,1.74,1.665,1.725,0.05,2.99,2554424
12/01/2021,1.675,1.7,1.66,1.675,0.005,0.3,3078664
11/01/2021,1.75,1.75,1.665,1.67,-0.08,-4.57,3090758
08/01/2021,1.765,1.775,1.73,1.75,-0.015,-0.85,1729442
07/01/2021,1.785,1.79,1.745,1.765,-0.005,-0.28,1804218
06/01/2021,1.775,1.795,1.76,1.77,-0.015,-0.84,2179032
05/01/2021,1.795,1.81,1.77,1.785,-0.025,-1.38,1781244
04/01/2021,1.81,1.825,1.8,1.81,0.005,0.28,1339471
31/12/2020,1.825,1.83,1.8,1.805,-0.02,-1.1,1060829
30/12/2020,1.82,1.835,1.805,1.825,0.01,0.55,1792839
29/12/2020,1.83,1.835,1.8,1.815,-0.01,-0.55,1748191
24/12/2020,1.78,1.83,1.78,1.825,0.055,3.11,2269702
23/12/2020,1.73,1.78,1.73,1.77,0.065,3.81,4262149
22/12/2020,1.8,1.8,1.705,1.705,-0.105,-5.8,5485903
21/12/2020,1.79,1.82,1.765,1.81,-0.005,-0.28,4013824
18/12/2020,1.84,1.8425,1.75,1.815,-0.035,-1.89,11998653
17/12/2020,1.915,1.93,1.705,1.85,-0.25,-11.9,20667561
16/12/2020,2.39,2.47,2.06,2.1,-0.29,-12.13,10913901
15/12/2020,2.36,2.41,2.34,2.39,0.02,0.84,3359360
14/12/2020,2.3,2.4,2.3,2.37,0.09,3.95,2738915
11/12/2020,2.3,2.32,2.25,2.28,-0.04,-1.72,2088547
