Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
03/02/2021,6.83,6.91,6.79,6.8,0.08,1.19,5393383
02/02/2021,6.57,6.74,6.57,6.72,0.17,2.6,7975564
01/02/2021,6.38,6.58,6.21,6.55,0.04,0.61,5733904
29/01/2021,6.72,6.75,6.47,6.51,-0.21,-3.12,7209880
28/01/2021,6.69,6.75,6.58,6.72,-0.13,-1.9,7028263
27/01/2021,7.06,7.07,6.83,6.85,-0.31,-4.33,9831636
25/01/2021,7.18,7.22,7.125,7.16,-0.05,-0.69,3557233
22/01/2021,7.17,7.25,7.12,7.21,-0.19,-2.57,9110787
21/01/2021,7.47,7.52,7.37,7.4,0,0,9064832
20/01/2021,7.35,7.46,7.32,7.4,0.06,0.82,4977155
19/01/2021,7.36,7.38,7.285,7.34,-0.02,-0.27,4387853
18/01/2021,7.27,7.37,7.2,7.36,-0.06,-0.81,4932481
15/01/2021,7.55,7.62,7.42,7.42,-0.08,-1.07,6447648
14/01/2021,7.4,7.55,7.38,7.5,-0.01,-0.13,7083113
13/01/2021,7.41,7.54,7.35,7.51,0.28,3.87,8396183
12/01/2021,7.27,7.37,7.23,7.23,0.03,0.42,7474865
11/01/2021,7.07,7.27,7.07,7.2,0.22,3.15,10661108
08/01/2021,6.95,7.05,6.84,6.98,0.03,0.43,8457294
07/01/2021,6.59,6.96,6.58,6.95,0.48,7.42,10826152
06/01/2021,6.55,6.67,6.4,6.47,0.13,2.05,9066268
05/01/2021,6.34,6.4,6.31,6.34,-0.09,-1.4,5645259
04/01/2021,6.32,6.45,6.26,6.43,0.16,2.55,5484962
31/12/2020,6.36,6.405,6.27,6.27,-0.08,-1.26,2670437
30/12/2020,6.3,6.35,6.24,6.35,0,0,3036686
29/12/2020,6.37,6.45,6.3,6.35,-0.02,-0.31,3316443
24/12/2020,6.3,6.42,6.3,6.37,0.16,2.58,3237729
23/12/2020,6.09,6.21,6.06,6.21,0.1,1.64,3531539
22/12/2020,6.25,6.25,6.08,6.11,-0.21,-3.32,5871492
21/12/2020,6.3,6.36,6.22,6.32,-0.04,-0.63,6522429
18/12/2020,6.49,6.49,6.36,6.36,-0.14,-2.15,13143326
17/12/2020,6.35,6.5,6.32,6.5,0.18,2.85,6714562
16/12/2020,6.46,6.49,6.32,6.32,-0.07,-1.1,5766532
15/12/2020,6.46,6.485,6.38,6.39,-0.18,-2.74,5059708
14/12/2020,6.69,6.69,6.54,6.57,-0.11,-1.65,5618461
11/12/2020,6.59,6.715,6.57,6.68,0.18,2.77,11872030
10/12/2020,6.44,6.53,6.4,6.5,0,0,6702059
09/12/2020,6.49,6.54,6.43,6.5,0.06,0.93,5232924
08/12/2020,6.54,6.54,6.42,6.44,-0.13,-1.98,5237271
07/12/2020,6.49,6.6,6.48,6.57,0.21,3.3,7426647
04/12/2020,6.35,6.43,6.34,6.36,0.07,1.11,6633791
03/12/2020,6.36,6.36,6.25,6.29,0.05,0.8,6392003
02/12/2020,6.2,6.315,6.15,6.24,0.03,0.48,12130397
01/12/2020,6.25,6.25,6.15,6.21,0.05,0.81,9771350
30/11/2020,6.3,6.34,6.16,6.16,-0.09,-1.44,11836086
27/11/2020,6.29,6.35,6.21,6.25,-0.13,-2.04,7185759
26/11/2020,6.52,6.54,6.37,6.38,-0.15,-2.3,6769951
