Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,11.02,11.09,10.85,10.89,-0.37,-3.29,1092319
29/01/2021,11.4,11.49,11.24,11.26,0.1,0.9,734007
28/01/2021,11.3,11.43,11.12,11.16,-0.44,-3.79,677678
27/01/2021,11.63,11.89,11.58,11.6,-0.03,-0.26,786142
25/01/2021,11.5,11.65,11.4,11.63,0.15,1.31,422682
22/01/2021,11.4,11.6,11.29,11.48,0.15,1.32,599277
21/01/2021,11.72,11.79,11.26,11.33,-0.55,-4.63,1440191
20/01/2021,11.8,12.04,11.64,11.88,0.04,0.34,1685619
19/01/2021,11.84,11.98,11.66,11.84,0.21,1.81,1325677
18/01/2021,12.3,12.4,11.52,11.63,-0.12,-1.02,2272522
15/01/2021,11.89,11.89,11.74,11.75,-0.14,-1.18,885450
14/01/2021,11.91,11.92,11.68,11.89,-0.1,-0.83,767241
13/01/2021,11.76,12,11.65,11.99,0.43,3.72,2591042
12/01/2021,11.35,11.86,11.2,11.56,0.6,5.47,2099502
11/01/2021,11.19,11.19,10.87,10.96,-0.16,-1.44,598527
08/01/2021,10.82,11.12,10.8,11.12,0.33,3.06,553727
07/01/2021,10.8,10.99,10.68,10.79,0,0,580651
06/01/2021,10.7,10.91,10.7,10.79,0.01,0.09,547897
05/01/2021,10.86,10.87,10.61,10.78,-0.2,-1.82,811820
04/01/2021,10.77,11.06,10.63,10.98,0.45,4.27,691578
31/12/2020,10.88,10.88,10.53,10.53,-0.34,-3.13,740151
30/12/2020,10.72,10.87,10.68,10.87,0.09,0.83,577154
29/12/2020,10.8,10.8,10.67,10.78,0.11,1.03,364865
24/12/2020,10.8,10.8,10.61,10.67,0.1,0.95,210534
23/12/2020,10.56,10.73,10.54,10.57,0.09,0.86,328902
22/12/2020,10.84,10.84,10.44,10.48,-0.2,-1.87,624711
21/12/2020,10.74,10.89,10.48,10.68,-0.02,-0.19,638852
18/12/2020,10.9,10.93,10.64,10.7,-0.16,-1.47,924023
17/12/2020,10.64,10.91,10.61,10.86,0.32,3.04,1415692
16/12/2020,10.27,10.6,10.27,10.54,0.29,2.83,738743
15/12/2020,10.3,10.56,10.14,10.25,-0.04,-0.39,1359146
14/12/2020,10.13,10.36,10.07,10.29,0.16,1.58,748656
11/12/2020,10.1,10.24,9.98,10.13,-0.17,-1.65,1031144
10/12/2020,10.29,10.38,10.11,10.3,0.04,0.39,1096180
09/12/2020,10.1,10.465,10.03,10.26,0.21,2.09,1182896
08/12/2020,9.92,10.18,9.87,10.05,0.2,2.03,2367630
07/12/2020,10.11,10.15,9.65,9.85,-0.24,-2.38,1561320
04/12/2020,10.2,10.29,10.07,10.09,-0.13,-1.27,1531354
03/12/2020,10.45,10.48,10.04,10.22,-0.15,-1.45,1252744
02/12/2020,10.21,10.45,10.185,10.37,0.19,1.87,1976185
01/12/2020,10.02,10.25,9.77,10.18,0.3,3.04,843936
30/11/2020,10.1,10.17,9.87,9.88,-0.1,-1,1270870
27/11/2020,10.09,10.09,9.85,9.98,0,0,692453
26/11/2020,9.99,10.17,9.97,9.98,0.08,0.81,813354
25/11/2020,10.1,10.23,9.9,9.9,-0.15,-1.49,3012963
24/11/2020,10.08,10.16,9.98,10.05,0.02,0.2,1374619
23/11/2020,10.1,10.18,9.93,10.03,-0.03,-0.3,683441
20/11/2020,10.04,10.4,10,10.06,0.06,0.6,1198187
19/11/2020,9.9,10.08,9.88,10,0.05,0.5,2056934
