Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,9.93,10.11,9.83,10.05,-0.03,-0.3,2266318
29/01/2021,10.35,10.38,9.975,10.08,-0.25,-2.42,3439953
28/01/2021,10.34,10.38,10.22,10.33,-0.16,-1.53,2591379
27/01/2021,10.4,10.535,10.4,10.49,0.07,0.67,2434458
25/01/2021,10.41,10.52,10.38,10.42,-0.03,-0.29,1358953
22/01/2021,10.47,10.49,10.38,10.45,-0.11,-1.04,3901567
21/01/2021,10.64,10.64,10.41,10.56,0,0,2290015
20/01/2021,10.58,10.65,10.55,10.56,0.02,0.19,1804951
19/01/2021,10.44,10.67,10.44,10.54,0.22,2.13,3513055
18/01/2021,10.42,10.51,10.245,10.32,-0.1,-0.96,2454155
15/01/2021,10.5,10.63,10.4,10.42,-0.14,-1.33,2936259
14/01/2021,10.64,10.7,10.53,10.56,-0.17,-1.58,3101135
13/01/2021,10.62,10.75,10.52,10.73,0.03,0.28,3322706
12/01/2021,10.41,10.73,10.37,10.7,0.31,2.98,4734272
11/01/2021,10.22,10.44,10.22,10.39,0.13,1.27,2508216
08/01/2021,10.29,10.29,10.19,10.26,0.01,0.1,2154134
07/01/2021,10.12,10.34,10.06,10.25,0.29,2.91,2912353
06/01/2021,9.7,9.995,9.7,9.96,0.19,1.94,3073780
05/01/2021,9.7,9.8,9.65,9.77,-0.08,-0.81,2746963
04/01/2021,9.78,9.89,9.77,9.85,0.11,1.13,4720498
31/12/2020,9.88,9.95,9.74,9.74,-0.16,-1.62,1325520
30/12/2020,9.91,9.97,9.81,9.9,-0.07,-0.7,1610341
29/12/2020,10.01,10.03,9.91,9.97,0.05,0.5,1021147
24/12/2020,9.96,10.05,9.92,9.92,-0.02,-0.2,600594
23/12/2020,9.83,10.07,9.82,9.94,0.14,1.43,2778899
22/12/2020,9.83,9.94,9.745,9.8,-0.08,-0.81,2158859
21/12/2020,9.63,9.88,9.57,9.88,0.14,1.44,3102239
18/12/2020,9.99,9.99,9.64,9.74,-0.3,-2.99,7822776
17/12/2020,10.04,10.11,10,10.04,-0.03,-0.3,6083023
16/12/2020,10.25,10.28,10.06,10.07,-0.08,-0.79,3323058
15/12/2020,10.05,10.18,10.025,10.15,-0.01,-0.1,4013583
14/12/2020,10.02,10.23,10.02,10.16,0.14,1.4,4939227
11/12/2020,10.1,10.11,10,10.02,-0.13,-1.28,3692107
10/12/2020,10.15,10.2,10.07,10.15,-0.03,-0.29,4290710
09/12/2020,10.26,10.285,10.14,10.18,-0.02,-0.2,2892701
08/12/2020,10.1,10.25,10.09,10.2,0,0,3806307
07/12/2020,10.2,10.29,10.13,10.2,0.04,0.39,1499999
04/12/2020,10.05,10.2,10.05,10.16,0.06,0.59,1787495
03/12/2020,10.11,10.13,10.06,10.1,-0.05,-0.49,3138487
02/12/2020,10.15,10.17,10.01,10.15,0.02,0.2,3481050
01/12/2020,10.03,10.215,9.9,10.13,0.04,0.4,4186522
30/11/2020,10.28,10.29,10.05,10.09,-0.09,-0.88,8265944
27/11/2020,10.08,10.25,10.08,10.18,-0.03,-0.29,3272886
26/11/2020,10.27,10.29,10.15,10.21,0,0,3116693
25/11/2020,10.01,10.265,10.01,10.21,0.31,3.13,4113892
24/11/2020,9.75,9.97,9.75,9.9,0.21,2.17,3414043
23/11/2020,9.72,9.74,9.59,9.69,0.01,0.1,3429162
20/11/2020,9.35,9.75,9.34,9.68,0.25,2.65,6601620
19/11/2020,9.26,9.53,9.26,9.43,-0.29,-2.98,10208475
18/11/2020,9.75,9.85,9.7,9.72,-0.01,-0.1,4557420
17/11/2020,9.4,9.77,9.4,9.73,0.47,5.08,6033095
16/11/2020,9.23,9.29,9.23,9.26,0.1,1.09,124123
13/11/2020,9.34,9.365,9.08,9.16,-0.25,-2.66,3510336
12/11/2020,9.56,9.57,9.34,9.41,-0.09,-0.95,4616032
11/11/2020,9.28,9.5,9.26,9.5,0.35,3.83,7934894
10/11/2020,8.99,9.2,8.97,9.15,0.58,6.77,6953192
09/11/2020,8.28,8.61,8.27,8.57,0.27,3.25,3271058
06/11/2020,8.23,8.3,8.12,8.3,0.11,1.34,5525268
05/11/2020,8.2,8.22,8.085,8.19,0,0,4794660
04/11/2020,8.24,8.28,8.12,8.19,-0.03,-0.36,3229897
03/11/2020,8.24,8.28,8.16,8.22,0.1,1.23,7646365
02/11/2020,8.23,8.25,8.09,8.12,-0.09,-1.1,3603844
30/10/2020,8.29,8.32,8.205,8.21,-0.03,-0.36,5393556
29/10/2020,8.35,8.365,8.21,8.24,-0.2,-2.37,4231254
28/10/2020,8.36,8.47,8.33,8.44,0,0,3508998
27/10/2020,8.61,8.63,8.37,8.44,-0.23,-2.65,5096008
26/10/2020,8.75,8.79,8.67,8.67,-0.08,-0.91,3253029
23/10/2020,8.77,8.82,8.71,8.75,-0.05,-0.57,2798986
22/10/2020,8.83,8.88,8.75,8.8,-0.17,-1.9,2940616
21/10/2020,8.9,8.99,8.81,8.97,0.06,0.67,2911048
20/10/2020,8.94,9.04,8.91,8.91,-0.09,-1,3367995
19/10/2020,8.94,9.04,8.89,9,0.13,1.47,2518559
16/10/2020,8.96,9,8.83,8.87,-0.07,-0.78,4090188
15/10/2020,8.82,9,8.815,8.94,0.12,1.36,2181426
14/10/2020,9,9.005,8.79,8.82,-0.32,-3.5,3739379
13/10/2020,9.04,9.16,9.02,9.14,0.23,2.58,2789706
12/10/2020,8.82,8.95,8.8,8.91,0.12,1.37,2691788
09/10/2020,8.88,8.92,8.76,8.79,-0.04,-0.45,6160024
08/10/2020,8.88,8.93,8.77,8.83,0.01,0.11,2622056
07/10/2020,8.67,8.83,8.66,8.82,0.12,1.38,3081130
06/10/2020,8.79,8.79,8.61,8.7,-0.03,-0.34,2272706
05/10/2020,8.58,8.76,8.58,8.73,0.32,3.8,2121915
02/10/2020,8.52,8.56,8.38,8.41,-0.19,-2.21,2912325
01/10/2020,8.48,8.65,8.43,8.6,0.15,1.78,4289157
30/09/2020,8.7,8.7,8.45,8.45,-0.32,-3.65,5214960
